date,open,high,low,close,volume
2025-03-14,207.2792,210.0419,205.5784,207.5054,960700
2025-03-17,207.1613,210.7989,206.8466,209.393,1042200
2025-03-18,209.2161,210.3074,206.8565,208.8523,973900
2025-03-19,209.1571,212.0967,207.4169,209.452,840800
2025-03-20,208.3312,209.0293,206.0601,206.3551,1188800
2025-03-21,206.5517,207.2203,203.6317,204.4772,1931900
2025-03-24,205.6177,207.5152,204.5264,207.1613,863200
2025-03-25,207.9871,209.5307,205.8242,208.9801,1102600
2025-03-26,209.4225,210.4057,207.2104,208.3607,1026200
2025-03-27,209.1767,211.7231,208.4197,209.1178,762300
2025-03-28,208.1248,209.0686,203.8284,204.2511,1179000
2025-03-31,204.6247,207.7806,204.084,205.7848,1112000
2025-04-01,205.9618,209.0883,204.5756,206.2174,964000
2025-04-02,204.5559,209.8158,204.5559,208.3312,986200
2025-04-03,207.1809,212.1164,205.8045,206.4042,1321800
2025-04-04,204.2216,208.6753,198.5488,198.6569,3081600
2025-04-07,195.1569,201.2426,192.4237,196.8381,1931900
2025-04-08,202.8845,203.9267,195.1864,197.369,1933100
2025-04-09,194.3409,214.063,192.6892,210.74,3827100
2025-04-10,208.931,214.535,204.8902,209.9141,2745700
2025-04-11,216.2948,219.4606,211.4478,218.2906,2245300
2025-04-14,217.9072,220.3356,215.3411,218.9395,1266400
2025-04-15,219.3524,220.4142,216.9142,217.2288,1262000
2025-04-16,218.5266,219.1361,214.8004,215.1937,1165300
2025-04-17,212.2835,216.3341,211.0251,214.5448,1411600
2025-04-21,213.4928,214.2007,207.82,210.5138,1583500
2025-04-22,210.5925,213.5616,207.8495,211.4576,1750900
2025-04-23,212.1852,215.115,211.0251,212.6669,1813700
2025-04-24,212.4211,215.7639,204.605,212.6276,1946700
2025-04-25,214.0532,214.476,210.74,212.4408,1637000
2025-04-28,214.4563,216.2948,213.0012,215.0757,1256000
2025-04-29,214.4366,218.5462,213.8271,217.5041,1273400
2025-04-30,217.7695,218.0153,214.2302,216.3145,1060400
2025-05-01,216.0195,217.3074,213.8369,216.2063,882400
2025-05-02,219.5589,222.9704,210.799,216.049,2282300
2025-05-05,216.2948,217.0322,214.4071,214.938,827700
2025-05-06,213.0405,214.2793,210.74,212.549,1227500
2025-05-07,211.7624,216.2063,210.9071,214.3285,1527100
2025-05-08,216.344,217.2387,213.0209,214.7119,1059700
2025-05-09,215.6066,216.4128,212.9324,215.6951,983100
2025-05-12,217.976,218.2218,211.5461,215.2723,1209800
2025-05-13,215.115,216.0293,213.7582,214.6922,1075700
2025-05-14,214.9184,216.403,210.4942,215.9507,1674300
2025-05-15,218.1432,223.3146,217.1502,223.0393,1626100
2025-05-16,224.2682,226.5885,222.6558,226.323,1577000
2025-05-19,226.2739,227.8961,225.6643,227.08,1286400
2025-05-20,226.146,228.0927,225.2415,226.9326,1046700
2025-05-21,237.6293,237.6293,227.4537,228.6728,2701800
2025-05-22,229.0759,236.8133,228.8104,235.1616,3696600
2025-05-23,233.0085,234.4439,231.75,233.4902,2359800
2025-05-27,236.0563,244.2853,234.1588,243.7249,2773300
2025-05-28,244.5409,244.9342,238.465,240.2543,2804800
2025-05-29,238.1111,239.8119,237.0493,239.3204,2080200
2025-05-30,240.5985,240.9721,237.6982,240.2249,2784700
2025-06-02,240.7066,240.7066,236.7937,239.0647,1339400
2025-06-03,239.1043,240.6851,237.6321,240.28,1212500
2025-06-04,241.0803,241.6238,239.0845,239.4106,804000
2025-06-05,240.3689,240.5764,237.7507,239.1635,1136200
2025-06-06,240.0923,241.4558,238.9165,241.3471,795700
2025-06-09,241.6929,243.0564,239.4303,242.4735,1067300
2025-06-10,243.1848,243.2836,240.6258,241.8609,927000
2025-06-11,240.6555,244.1037,234.7174,243.7184,1560400
2025-06-12,243.2935,247.4235,242.1079,247.3939,1336200
2025-06-13,249.8738,254.7053,249.0439,253.9149,3051100
2025-06-16,252.9368,253.2924,243.837,244.8052,1832400
2025-06-17,246.2873,248.4906,244.0839,247.8582,1371300
2025-06-18,247.9966,250.8619,245.4178,245.8526,1280000
2025-06-20,247.3148,248.866,243.2441,246.6825,1636500
2025-06-23,248.5005,251.84,246.6825,248.1053,1193700
2025-06-24,246.0205,246.7615,240.9223,243.6986,1188700
2025-06-25,244.7854,245.6253,242.5821,244.904,963700
2025-06-26,245.0325,246.6133,243.1552,243.8468,1956600
2025-06-27,242.5822,245.1313,242.1869,244.0247,2158900
2025-06-30,244.6669,248.2732,244.0444,247.8385,1110900
2025-07-01,247.7495,249.8936,246.0304,249.1624,958500
2025-07-02,247.7199,250.6742,246.1292,250.5259,883900
2025-07-03,250.8026,253.4999,250.7334,252.67,575400
2025-07-07,253.2825,254.9227,247.0283,253.3616,1263200
2025-07-08,251.6523,254.5275,251.0792,254.0137,1233500
2025-07-09,255.0511,256.3455,252.9466,255.9502,936100
2025-07-10,254.9425,257.7485,253.4407,256.9877,1157800
2025-07-11,258.0152,258.0152,254.9918,256.4442,954600
2025-07-14,256.138,259.6949,254.2706,259.1713,963000
2025-07-15,258.9045,259.4874,256.9482,258.0449,1012900
2025-07-16,258.4203,260.9497,257.6496,260.5051,1109800
2025-07-17,260.8114,263.6273,260.3569,262.333,1469900
2025-07-18,262.8072,264.3683,260.0111,261.6018,1441900
2025-07-21,261.8883,262.8961,259.3392,259.9419,942800
2025-07-22,258.2623,261.7895,257.1063,261.256,1599700
2025-07-23,261.009,266.9174,260.5248,266.374,2155500
2025-07-24,272.2034,276.6792,269.4567,269.9507,3422500
2025-07-25,266.7692,268.439,259.8333,266.0579,1965300
2025-07-28,267.362,267.6486,264.5461,266.2455,1216500
2025-07-29,267.9845,269.0911,266.6111,269.0516,931000
2025-07-30,270.6818,272.4208,268.3599,270.8399,954600
2025-07-31,271.0672,272.4208,270.0791,271.5316,1308300
2025-08-01,271.7094,275.6121,267.7573,274.9304,1413800
2025-08-04,274.9007,277.1238,273.4285,274.7328,1097200
2025-08-05,273.8336,277.1633,273.3001,274.8908,791500
2025-08-06,275.128,277.1139,273.3594,273.5669,1294800
2025-08-07,271.0375,272.6184,267.6091,270.5336,2100600
2025-08-08,270.4546,272.0947,265.9195,266.4926,1639200
2025-08-11,266.542,267.3818,264.0521,267.0854,996500
2025-08-12,264.8327,267.7573,264.8327,266.9767,1023100
2025-08-13,267.8857,269.4172,265.3267,266.9866,1502400
2025-08-14,267.6881,269.8321,266.6902,267.8066,984700
2025-08-15,267.451,268.4785,265.9887,267.3126,1178000
2025-08-18,268.1129,269.9408,267.6091,268.6663,1118200
2025-08-19,268.1228,270.3953,267.5695,268.9726,990600
2025-08-20,270.0297,273.5768,268.8441,272.8456,851300
2025-08-21,272.5393,273.4384,271.5513,272.8061,908500
2025-08-22,274.2289,275.8097,271.66,272.4702,754900
2025-08-25,272.9247,274.5747,272.075,272.8654,704800
2025-08-26,273.804,274.9205,271.7094,274.3376,1543000
2025-08-27,274.6537,275.6813,272.1837,273.4483,741300
2025-08-28,272.9444,273.9621,271.7489,273.725,759300
2025-08-29,274.3672,275.0588,272.2429,274.298,1266200
2025-09-02,274.2486,274.6241,271.5217,271.8279,1529600
2025-09-03,271.9564,272.401,268.3896,269.842,1119700
2025-09-04,270.089,270.9684,269.0516,269.7234,1084600
2025-09-05,270.2295,271.0334,266.9745,270.3189,1072000
2025-09-08,269.644,272.6113,267.2127,271.8075,1194500
2025-09-09,270.8845,271.2418,266.5577,268.6516,1092200
2025-09-10,268.5822,273.574,267.8081,273.5442,951800
2025-09-11,273.7228,278.5558,272.2541,278.4962,948500
2025-09-12,278.5756,279.5382,276.2336,277.0771,800800
2025-09-15,276.6901,280.0742,276.3427,279.7467,783400
2025-09-16,281.4734,284.6292,280.1138,282.1085,1332700
2025-09-17,281.9994,283.8353,279.1711,279.7169,732500
2025-09-18,277.6725,281.1261,276.3626,280.5803,664700
2025-09-19,281.5727,282.2971,279.6077,281.7811,1316000
2025-09-22,281.8406,282.8628,279.3497,282.1582,785400
2025-09-23,283.1704,285.83,282.0093,284.0139,760300
