date,open,high,low,close,volume
2025-03-14,453.5296,456.5276,449.6749,453.7729,972400
2025-03-17,451.5048,459.7106,450.5217,455.1746,1051600
2025-03-18,455.671,459.0877,453.0136,456.8002,881600
2025-03-19,458.6983,463.0397,454.3569,458.0364,1122700
2025-03-20,456.6834,457.4037,451.865,454.3277,922000
2025-03-21,465.3759,468.6952,421.008,428.0068,7141700
2025-03-24,414.311,424.1813,413.0163,423.4123,3015400
2025-03-25,425.1547,432.2022,421.485,430.3138,1600200
2025-03-26,432.465,439.201,431.2191,433.3314,1349700
2025-03-27,434.1685,436.2224,428.513,430.5182,1559300
2025-03-28,430.4695,433.9057,427.8705,429.7492,1595700
2025-03-31,429.8271,439.0647,429.0191,434.8304,1690000
2025-04-01,436.0861,439.2497,432.6597,436.7091,1042400
2025-04-02,434.3534,443.7955,433.1756,440.8266,1270300
2025-04-03,441.4496,449.597,438.8116,442.6858,1813800
2025-04-04,438.0329,442.8318,420.6381,420.6576,2392700
2025-04-07,410.9722,427.2378,407.7405,419.363,1968100
2025-04-08,436.5144,439.3859,425.7972,431.5695,2151500
2025-04-09,427.5688,455.8754,423.8017,449.9474,2291600
2025-04-10,447.7669,456.6249,438.4028,451.3686,1832600
2025-04-11,451.9818,465.4635,448.0785,462.2707,1452300
2025-04-14,460.2265,466.0183,455.1551,462.699,1079600
2025-04-15,461.6575,462.699,455.5542,457.0922,1224300
2025-04-16,464.6361,469.9801,461.9106,464.3928,1529700
2025-04-17,449.3634,457.1798,436.4657,451.7385,3052800
2025-04-21,447.0467,450.9111,440.7487,446.1414,1532900
2025-04-22,445.8688,458.2506,430.5864,449.7917,2878000
2025-04-23,454.5808,458.8541,445.4795,451.2226,1352700
2025-04-24,453.3835,455.1551,447.9227,454.3958,1105000
2025-04-25,457.4913,465.736,455.4569,464.9379,1521700
2025-04-28,466.5635,470.9243,461.677,463.6238,1159700
2025-04-29,463.322,466.5537,460.762,463.2247,897100
2025-04-30,465.5511,465.8821,458.601,465.045,1095000
2025-05-01,463.3415,466.6998,460.4213,465.0157,986400
2025-05-02,471.8588,478.0107,455.0773,460.2266,2090500
2025-05-05,461.3946,461.8716,456.8586,459.0195,1150200
2025-05-06,457.2771,458.6302,451.135,455.7586,1135400
2025-05-07,455.9436,462.2707,454.6392,458.7859,1204400
2025-05-08,460.4213,466.2617,459.1851,461.9106,1093100
2025-05-09,462.6309,463.9547,455.6321,460.9274,978800
2025-05-12,460.908,463.0397,453.3933,460.577,1364500
2025-05-13,460.2363,460.2363,446.9298,447.6015,1859400
2025-05-14,448.5846,449.5191,433.2243,437.2347,2129700
2025-05-15,446.7644,453.0331,442.9291,452.7703,1758700
2025-05-16,453.8118,456.0312,450.3562,455.8657,1319200
2025-05-19,456.9267,461.823,455.3401,460.4796,1199700
2025-05-20,458.6983,464.4122,458.3674,463.1663,1058500
2025-05-21,468.0528,468.1404,457.5497,457.7736,1435100
2025-05-22,456.3232,460.2947,454.6976,457.9391,885000
2025-05-23,455.5153,457.063,453.1791,456.4108,866700
2025-05-27,458.2797,464.1689,456.1967,464.1689,1548000
2025-05-28,464.8405,466.2422,456.5276,457.4816,956500
2025-05-29,455.486,461.9397,452.9455,461.0929,851000
2025-05-30,461.0734,469.5518,458.5328,469.5518,2196300
2025-06-02,468.7481,470.1889,464.5728,469.297,1154200
2025-06-03,469.4734,471.561,467.0623,470.6201,1032300
2025-06-04,472.4039,477.1771,472.1099,472.6196,1273700
2025-06-05,474.7366,475.4815,462.3676,468.5227,1063100
2025-06-06,468.3071,472.3745,467.4838,472.1099,714400
2025-06-09,470.7279,473.237,467.1407,471.267,1064100
2025-06-10,470.4535,472.0707,466.1802,467.4152,1150400
2025-06-11,454.9187,454.9187,434.5912,447.5189,3618200
2025-06-12,448.2148,459.9369,447.4209,459.9369,1700600
2025-06-13,469.444,478.5884,463.9357,476.7752,2729700
2025-06-16,472.4236,473.1292,455.2814,457.7709,2766600
2025-06-17,461.3973,472.0021,458.2021,469.8066,2191200
2025-06-18,468.9343,472.7666,458.653,459.2802,1871200
2025-06-20,459.6723,464.8767,451.9392,461.2013,2419400
2025-06-23,463.5241,472.7763,459.2116,463.0634,2666400
2025-06-24,458.5452,459.3783,448.5774,451.0473,1970200
2025-06-25,454.9775,455.6342,447.4209,449.2733,1265500
2025-06-26,450.175,454.8403,447.5581,448.793,1590100
2025-06-27,446.578,450.0476,442.4811,449.4693,1996400
2025-06-30,450.3122,454.5953,448.7734,453.9288,1205600
2025-07-01,453.7916,460.1035,450.8513,456.6732,1242800
2025-07-02,456.7319,457.6434,449.4889,453.3505,1127300
2025-07-03,454.4875,456.0949,451.802,453.3211,707900
2025-07-07,455.2618,461.1914,452.194,459.7311,1224100
2025-07-08,454.9678,457.3396,451.4883,453.8014,1243000
2025-07-09,456.1243,456.7221,451.0571,453.8504,892700
2025-07-10,449.5575,457.2024,446.9308,455.0756,1253300
2025-07-11,455.5068,458.898,452.6351,458.2119,1209200
2025-07-14,460.6524,465.3177,458.6922,464.1514,1488000
2025-07-15,463.877,464.514,459.192,460.77,1039500
2025-07-16,460.329,463.2007,457.1338,462.0931,935000
2025-07-17,461.1424,464.9648,458.4079,459.8683,926200
2025-07-18,459.8879,461.8383,451.802,454.7325,1845300
2025-07-21,455.399,458.0649,451.3707,451.3707,1577800
2025-07-22,414.3421,428.7498,401.9535,402.571,8886500
2025-07-23,405.5309,414.9498,402.8258,411.049,4578600
