date,open,high,low,close,volume
2025-03-14,219.908,220.3197,216.6536,220.0061,2672300
2025-03-17,220.555,222.1528,218.9866,221.3882,2821300
2025-03-18,220.4276,221.1236,218.173,218.5455,1811800
2025-03-19,219.3787,221.4274,218.026,221.0549,1944100
2025-03-20,221.0844,225.0249,219.5846,221.7901,1924200
2025-03-21,219.9081,222.7018,216.634,222.5841,6353400
2025-03-24,223.8683,228.5244,223.8683,228.2892,2485100
2025-03-25,227.7206,228.544,223.5644,226.1326,2476800
2025-03-26,226.2404,228.9557,226.1032,227.4657,1790500
2025-03-27,228.1421,229.2596,226.2993,227.5834,2425000
2025-03-28,227.8971,228.0343,222.9468,223.9075,2118300
2025-03-31,222.2607,230.3379,222.2607,228.6224,3465700
2025-04-01,227.8088,229.8771,225.9268,229.387,2212800
2025-04-02,227.554,231.4455,227.554,230.6319,2534400
2025-04-03,218.3887,221.7019,216.2518,218.124,4475000
2025-04-04,216.291,225.2896,214.7128,218.8788,4829800
2025-04-07,213.7423,221.1922,207.5178,212.6543,4478000
2025-04-08,215.6734,219.4572,203.4792,207.508,3294400
2025-04-09,204.6751,219.8786,202.3127,218.7906,4106200
2025-04-10,216.5948,218.9866,209.145,216.8301,3482500
2025-04-11,215.0167,216.8007,209.6057,215.9969,2904000
2025-04-14,218.5161,221.1432,216.1439,219.712,2766100
2025-04-15,219.5748,220.5844,214.4775,216.1537,2805200
2025-04-16,215.0167,216.9771,209.0862,210.1742,1916400
2025-04-17,212.7327,216.3302,211.5171,214.6735,2166900
2025-04-21,213.3698,213.8599,206.2532,208.5666,2769700
2025-04-22,210.5565,216.1929,210.3311,214.7422,2224000
2025-04-23,218.8908,222.3693,213.9834,214.5845,2382500
2025-04-24,214.5845,219.689,213.1359,218.812,2243200
2025-04-25,218.9696,219.0977,215.5699,217.6886,1493700
2025-04-28,217.2845,220.2802,216.102,217.925,2046700
2025-04-29,216.1119,220.6153,216.1119,220.0142,1603900
2025-04-30,218.6937,220.7335,215.0082,220.2999,3455500
2025-05-01,220.2309,222.251,217.9645,219.078,2067800
2025-05-02,221.2459,224.4091,220.6744,223.877,2318800
