date,open,high,low,close,volume
2025-03-14,42.3489,43.3873,41.7905,42.3097,9203700
2025-03-17,42.4861,43.4265,42.4861,42.78,4643700
2025-03-18,42.8094,42.9857,42.1432,42.3881,4039000
2025-03-19,42.6232,43.309,42.5449,43.0151,4339200
2025-03-20,42.5645,42.9073,41.9571,42.0061,3908400
2025-03-21,41.5163,41.575,40.0664,41.0754,7760300
2025-03-24,41.144,41.5554,40.3211,40.6542,5573300
2025-03-25,40.713,40.8599,39.3513,39.4493,7675300
2025-03-26,39.5276,39.8215,39.2533,39.4884,4277900
2025-03-27,39.3121,39.9195,39.1946,39.4982,3582500
2025-03-28,39.1848,39.3415,37.3529,37.4019,5782300
2025-03-31,36.6769,38.0092,36.6182,37.8427,5684700
2025-04-01,37.8427,38.4892,37.8427,38.3521,6310400
2025-04-02,38.2051,38.4794,37.7153,38.2443,5403500
2025-04-03,36.7455,37.0982,34.8353,35.6679,11130100
2025-04-04,34.2867,34.4532,32.0727,32.6899,11367000
2025-04-07,31.7005,33.4148,30.7796,31.4458,10019400
2025-04-08,32.3176,32.4254,29.5649,30.0743,11542600
2025-04-09,30.1821,33.1209,29.898,33.0425,13193300
2025-04-10,32.2295,32.3274,30.4172,31.0735,7840300
2025-04-11,31.0931,31.6123,30.0841,31.436,5116400
2025-04-14,31.9748,32.1511,30.9266,31.4654,6795700
2025-04-15,31.3086,32.3176,31.3086,32.0042,6218300
2025-04-16,31.6417,31.9846,30.956,31.2107,5044500
2025-04-17,31.6417,32.396,31.485,32.1021,5739600
2025-04-21,32.0042,32.1903,31.5437,31.8964,5564200
2025-04-22,32.2099,33.3462,32.1609,33.2483,7230300
2025-04-23,34.4042,35.2075,33.6303,33.6793,11854800
2025-04-24,33.7675,36.2655,33.6597,35.8639,11524800
2025-04-25,35.7659,36.0696,34.9038,35.1585,6978000
2025-04-28,34.7373,35.7463,34.7079,35.3055,5844600
2025-04-29,34.9724,35.9618,34.7765,35.8247,5370000
2025-04-30,35.1683,36.05,35.0312,35.9226,5606600
2025-05-01,36.0304,36.8435,35.8541,36.0598,5783600
2025-05-02,36.5888,37.441,36.481,37.2941,6355800
2025-05-05,37.0002,37.8525,36.7749,37.5292,7925700
2025-05-06,37.5292,38.4955,37.4207,38.2687,6981200
2025-05-07,38.8111,39.4027,38.3674,39.028,6677600
2025-05-08,39.1759,40.3,38.9097,39.2055,8006300
2025-05-09,39.2252,39.5605,39.0675,39.2351,5363700
2025-05-12,40.5465,41.8974,40.5465,41.7988,7470700
2025-05-13,41.7692,42.0059,41.3945,41.7298,5162100
2025-05-14,41.789,41.9073,41.3945,41.8284,4708700
2025-05-15,41.5622,41.9369,41.2959,41.5523,4562400
2025-05-16,41.7002,41.8876,41.2466,41.8383,3979500
2025-05-19,41.3945,41.858,41.1875,41.7199,3595500
