date,open,high,low,close,volume
2025-03-14,47.4962,50.297,47.292,49.5482,3371400
2025-03-17,49.9858,52.4656,49.7183,52.1252,2095100
2025-03-18,52.0572,52.0572,51.075,51.4251,1401600
2025-03-19,50.8902,51.6001,50.6928,51.2306,1723400
2025-03-20,51.5515,52.0912,51.0652,51.2986,2016700
2025-03-21,50.8999,51.9307,50.6665,51.6196,4602500
2025-03-24,51.746,52.913,51.4348,52.4462,1784000
2025-03-25,52.3392,52.4656,51.2014,51.5515,1556400
2025-03-26,51.357,52.3489,51.3375,52.2322,1473900
2025-03-27,51.8529,52.9227,51.6001,52.417,1823400
2025-03-28,52.3975,52.9324,52.0961,52.524,2720900
2025-03-31,52.1641,52.8838,51.3132,51.8335,2824900
2025-04-01,52.4462,52.9421,50.6082,51.8432,4601700
2025-04-02,51.6584,53.2631,51.5515,52.6601,3691400
2025-04-03,58.2908,59.2438,55.9179,57.931,10401400
2025-04-04,57.3572,58.32,56.3653,57.3767,5116800
2025-04-07,55.6165,56.9925,53.6229,54.9844,3999200
2025-04-08,55.8401,56.1124,50.7832,51.0361,3024500
2025-04-09,50.6811,53.9594,50.6811,53.7396,3117700
2025-04-10,53.5548,53.7396,51.4251,52.4267,2059900
2025-04-11,52.0377,53.4381,51.8092,53.2339,2207000
2025-04-14,53.6909,54.7121,53.2339,54.4398,2236700
2025-04-15,54.2355,54.7121,52.8449,53.1269,1439400
2025-04-16,53.1658,53.5548,51.7168,51.9307,1536900
2025-04-17,52.028,52.7768,51.887,52.0863,1458900
2025-04-21,51.357,51.6876,48.7799,50.0927,2266300
2025-04-22,50.4137,51.2695,50.4137,51.0263,1587700
2025-04-23,51.6682,52.028,50.5401,50.9972,1622900
2025-04-24,50.8221,51.5515,50.1803,51.1528,1332700
2025-04-25,50.9972,51.0458,49.976,50.5109,1325900
2025-04-28,50.4623,51.0361,50.1462,50.3261,1353800
2025-04-29,50.1122,50.8999,49.6065,50.7443,1232000
2025-04-30,50.8318,51.6001,50.0538,51.357,1407100
2025-05-01,51.3862,51.6876,50.5595,50.6762,1368600
2025-05-02,51.3423,51.5332,50.3138,50.4412,1444400
2025-05-05,50.1963,50.7448,49.8388,50.2355,1819300
2025-05-06,49.8437,50.2551,49.6674,50.1571,1460800
2025-05-07,50.1571,50.9015,49.5009,49.7947,1290800
2025-05-08,49.971,50.7154,49.1973,50.402,1628400
2025-05-09,50.3138,50.6273,49.6674,49.7849,1209800
2025-05-12,50.6762,51.3716,49.5695,50.1865,1986700
2025-05-13,50.1767,50.9221,49.3393,50.1571,1720100
2025-05-14,50.1571,50.4216,49.4382,50.353,2072200
2025-05-15,50.3628,51.2835,50.2326,50.7252,2406100
2025-05-16,50.735,52.7429,50.7203,52.7429,2213100
2025-05-19,52.0866,52.5274,51.7928,52.449,1935800
2025-05-20,52.5861,53.3305,52.2482,52.8016,1737700
2025-05-21,52.6057,52.6057,50.3334,50.353,1448800
2025-05-22,49.9515,50.3824,49.07,49.971,1628000
2025-05-23,49.7066,50.1473,48.9328,49.5205,1911800
2025-05-27,50.6762,52.1552,50.0004,52.0964,1681100
2025-05-28,52.0866,52.7135,51.8712,52.2629,1840300
2025-05-29,52.6253,53.164,52.1062,53.1248,1945200
2025-05-30,52.9877,55.0445,52.8996,54.6332,2842800
2025-06-02,54.0847,54.5842,52.8604,53.7125,1654600
2025-06-03,53.879,54.8584,52.831,54.5254,1864600
2025-06-04,54.4863,55.0152,54.0749,54.0847,907500
2025-06-05,53.8104,54.4588,53.1493,54.1043,1015700
2025-06-06,54.8095,55.309,54.2316,54.5352,1067800
2025-06-09,54.7409,54.9564,53.8398,54.5254,1062000
2025-06-10,54.976,55.4559,54.1826,54.4863,1189600
2025-06-11,54.4961,54.8584,54.212,54.6234,1683900
2025-06-12,53.977,55.1229,53.5166,55.1229,962200
2025-06-13,54.6234,55.8134,53.3942,53.6733,1635100
2025-06-16,53.9182,54.3491,53.0857,54.1532,1651600
2025-06-17,53.7615,54.212,52.6841,52.8408,2076700
2025-06-18,52.1552,53.1983,51.881,52.1258,2141600
2025-06-20,52.116,52.6057,51.5577,52.4294,2430300
2025-06-23,52.4784,53.2032,52.1552,52.9779,1303200
2025-06-24,53.4089,53.7615,52.2825,52.6841,1585100
2025-06-25,52.1258,52.4392,51.5186,51.9201,1520100
2025-06-26,52.2629,52.547,51.7732,52.0964,1117600
2025-06-27,52.3609,52.4275,51.5284,52.3021,3555700
2025-06-30,52.8898,53.9084,50.4069,50.784,3147500
2025-07-01,50.7056,52.1258,50.3726,51.2933,3170700
2025-07-02,51.3814,52.6645,51.3618,51.6753,1936200
2025-07-03,51.7144,52.1552,51.2296,51.3912,1089800
2025-07-07,51.1464,51.5078,49.9025,49.9221,2048900
2025-07-08,50.1375,52.5274,49.8829,51.2639,3605500
2025-07-09,50.9505,52.5764,49.8535,50.2061,2880100
2025-07-10,50.0396,50.7252,49.5401,50.3236,2961200
2025-07-11,49.8045,50.451,48.8251,50.2649,2328000
2025-07-14,49.3932,50.3824,49.212,50.02,2510600
2025-07-15,50.353,50.4608,48.7174,48.7663,1663500
2025-07-16,48.7174,49.021,47.7085,48.972,2781600
2025-07-17,49.1287,49.5793,48.7223,49.4519,2645100
2025-07-18,49.4617,49.4617,47.8065,47.9926,2577000
2025-07-21,48.306,48.4823,46.8858,47.0523,3464600
2025-07-22,47.2286,48.306,47.1405,48.1591,3397300
2025-07-23,54.9074,58.2767,53.8496,56.0142,10537900
2025-07-24,55.926,57.4931,54.5744,57.405,3771600
2025-07-25,57.0328,59.7654,56.9153,59.6087,3561500
2025-07-28,59.0113,59.451,57.9535,58.0025,2310700
2025-07-29,57.9927,58.6587,57.356,58.2375,1635600
2025-07-30,58.5313,58.5313,57.2189,57.4931,1405500
2025-07-31,56.9642,57.5764,55.5343,55.8967,2605000
2025-08-01,55.9459,56.015,54.7137,55.1967,1668700
2025-08-04,55.1573,55.7902,53.7968,53.8658,1945500
2025-08-05,53.6292,53.8954,52.2984,52.4068,1948400
2025-08-06,52.5054,52.5054,50.5239,50.721,2137900
2025-08-07,51.2534,51.628,50.0014,51.3815,1736300
2025-08-08,51.1844,51.9198,50.4401,50.8196,1064700
2025-08-11,50.6717,51.4604,50.6619,50.9182,1130900
2025-08-12,50.9182,52.742,50.7408,52.2195,1799600
2025-08-13,52.2195,54.4771,51.9829,53.9546,1936800
2025-08-14,53.1166,54.0729,52.88,54.0532,1458400
2025-08-15,54.2602,54.3686,53.1955,53.3828,1094000
2025-08-18,53.6391,54.132,53.2941,53.5307,1090600
2025-08-19,53.8658,54.9108,53.7771,54.3193,1114500
2025-08-20,54.1813,54.7038,53.6983,54.408,1046600
2025-08-21,54.0827,54.3883,53.718,53.8856,1361300
2025-08-22,54.3883,56.222,54.1567,56.1825,1203600
2025-08-25,55.9459,55.9903,55.039,55.1869,975400
2025-08-26,55.2756,55.6946,54.8369,55.6108,1486200
2025-08-27,55.2756,56.1234,55.1277,55.8572,1056600
2025-08-28,55.7488,55.8129,54.9995,55.453,1142900
2025-08-29,55.5418,56.8628,55.2263,56.7149,1115400
2025-09-02,56.2713,56.7938,55.5418,55.7488,1345900
2025-09-03,55.591,55.9755,54.408,55.7488,1302600
2025-09-04,55.8375,56.1648,54.6939,54.9798,1096500
2025-09-05,54.9503,57.336,54.9503,57.1782,1658900
2025-09-08,56.6163,56.8529,55.522,56.7543,1533200
2025-09-09,56.5572,57.0599,56.0938,56.3107,1311100
2025-09-10,55.9854,55.9854,54.063,55.0784,1495500
2025-09-11,55.5319,56.9613,55.2854,56.3107,1401100
2025-09-12,56.0741,56.3452,55.4333,55.6206,1009500
2025-09-15,56.0445,56.291,55.2953,55.2953,1629600
2025-09-16,55.6305,57.0402,55.527,56.9219,1834500
2025-09-17,56.8825,57.1092,54.7629,54.8615,1827700
2025-09-18,55.384,56.1924,55.1819,55.6699,1268800
2025-09-19,55.9657,55.9657,54.7334,54.8714,2174500
2025-09-22,54.7334,55.1425,53.8639,54.5855,1183800
2025-09-23,54.6545,54.9798,53.3433,53.5504,1116600
2025-09-24,53.6391,54.1024,52.7026,53.0082,1103400
2025-09-25,52.8209,53.3039,51.7463,52.0815,1062000
2025-09-26,52.1801,54.5165,51.766,54.4376,2742000
2025-09-29,55.1869,55.522,54.1517,54.8812,4258800
2025-09-30,58.5683,59.7414,55.7389,57.2571,6314500
2025-10-01,57.3853,62.0059,57.3853,61.1314,4445600
2025-10-02,61.3187,62.8468,61.1413,61.2596,2822700
2025-10-03,61.4173,62.2454,61.0821,62.0088,2409600
2025-10-06,61.7722,62.5905,61.5159,62.5017,2622100
2025-10-07,62.6003,62.6693,61.4666,62.413,2801000
2025-10-08,62.8961,63.6946,62.3637,63.1129,1734500
2025-10-09,62.9651,63.8622,62.6003,63.665,1499000
2025-10-10,63.9115,65.2226,62.5806,62.8468,2349800
2025-10-13,62.7679,63.1918,61.6243,62.9059,1461600
2025-10-14,62.4426,63.3397,62.0482,63.251,1389800
2025-10-15,63.0932,63.7833,62.7285,63.0735,1437300
2025-10-16,63.458,64.2812,63.1129,64.0396,1500500
2025-10-17,64.0938,64.2565,63.4678,64.0889,2139200
2025-10-20,64.641,65.3459,64.0002,64.7396,2489300
2025-10-21,64.9367,64.9663,63.5664,63.734,2410800
2025-10-22,63.8326,64.0436,63.0636,63.8326,1441400
2025-10-23,63.3693,64.2959,62.6397,64.2368,1448200
2025-10-24,64.7987,65.7155,64.0791,65.4395,1528200
2025-10-27,65.8141,66.1197,65.1832,65.6268,1482300
2025-10-28,65.5085,65.617,64.2368,64.641,1058800
2025-10-29,64.2762,64.8046,61.8018,62.2848,2081400
2025-10-30,62.0088,62.4771,61.2596,61.3089,1489600
2025-10-31,61.1403,61.3485,60.1585,61.2196,2772000
2025-11-03,61.0312,62.2808,60.3866,62.2411,1760800
2025-11-04,61.8147,62.132,61.175,61.4973,1432000
2025-11-05,61.4477,62.4196,61.0709,62.2411,1348500
2025-11-06,61.9039,62.5485,60.8229,61.3783,1382600
2025-11-07,61.4477,61.9634,60.9122,61.9039,1407700
2025-11-10,62.1122,62.3482,59.2758,59.8609,2154800
2025-11-11,60.1585,60.6147,59.4147,59.6031,2545400
2025-11-12,59.7717,59.7766,57.1634,57.9767,2189200
2025-11-13,57.8378,58.6609,57.2229,57.3519,1650500
2025-11-14,57.1238,57.2527,55.7849,56.5386,1778200
2025-11-17,56.8659,56.9105,55.6163,55.7849,1372700
2025-11-18,55.8543,56.0805,55.2444,55.7155,984600
2025-11-19,55.4378,55.6758,54.6246,55.5866,1037700
2025-11-20,55.656,56.37,55.0114,55.1304,1028300
2025-11-21,55.5072,58.1403,55.2444,57.2031,1615300
2025-11-24,56.8064,56.9254,55.9337,56.0527,1287900
2025-11-25,56.3403,58.6808,56.1023,58.5221,1543100
2025-11-26,58.4725,59.2758,58.4626,59.1171,1847800
2025-11-28,58.9783,59.4147,58.5618,58.5717,381300
2025-12-01,58.5717,59.5535,58.4606,59.008,1017400
2025-12-02,59.0775,59.0775,58.0461,58.5618,737900
2025-12-03,58.9188,60.2428,58.651,59.9899,963600
2025-12-04,60.4956,60.4956,59.0973,59.2659,970600
2025-12-05,59.2857,59.5337,58.9138,59.2064,981400
2025-12-08,59.2758,59.9105,58.8295,59.0378,1141400
2025-12-09,58.9684,59.251,56.5287,57.7486,1351500
2025-12-10,58.3337,58.651,57.5512,58.4923,2090300
2025-12-11,58.294,59.4543,57.9866,58.9882,1040900
2025-12-12,59.2957,60.0494,58.8295,59.1667,1029100
2025-12-15,59.9502,60.0494,58.7105,58.9684,1126200
2025-12-16,59.2857,59.8709,58.78,59.3056,996400
2025-12-17,59.2461,59.7419,58.5122,58.9684,1040300
2025-12-18,59.0676,60.0097,58.2573,58.8395,2691500
2025-12-19,50.4296,50.5535,43.3436,43.5767,23430300
2025-12-22,43.1304,44.2114,42.099,42.4461,8135000
2025-12-23,42.1784,42.2478,41.0676,41.4544,6027700
2025-12-24,41.3156,42.4868,41.1569,42.1288,2442300
2025-12-26,41.9899,42.3271,41.747,41.8015,2913300
2025-12-29,41.7222,41.9602,41.0746,41.4941,3423600
2025-12-30,41.4147,42.0197,41.3651,41.6032,2829600
2025-12-31,41.4941,42.3489,41.4643,41.5437,2690900
2026-01-02,41.7321,42.1843,41.2908,41.9403,2215300
2026-01-05,42.0494,42.2478,40.9486,40.9585,3164900
2026-01-06,41.0081,41.3949,40.7404,41.1767,3129800
2026-01-07,41.2065,41.2957,39.6296,39.9569,5043600
2026-01-08,39.6693,41.018,39.461,40.9585,3476700
2026-01-09,41.0081,41.266,40.3139,41.028,2328100
2026-01-12,40.8395,41.256,40.4329,41.0875,1863000
2026-01-13,40.9982,41.6527,40.8346,41.5238,2615900
2026-01-14,41.4147,43.1056,41.3156,42.9222,3203000
2026-01-15,42.7932,43.7056,42.2627,43.5668,2312500
2026-01-16,43.1205,43.5073,42.7337,42.9717,2243900
2026-01-20,42.704,43.5588,42.0296,43.1503,2425000
2026-01-21,43.1701,44.0428,42.6445,43.9536,2872900
2026-01-22,44.0726,44.975,43.5172,43.7453,3791200
2026-01-23,43.5767,43.8941,43.2941,43.3585,2773200
2026-01-26,43.3982,43.7354,42.8825,43.3585,3002700
2026-01-27,43.1106,44.6874,42.8527,44.6775,2658800
2026-01-28,44.6279,45.0941,43.9436,45.0941,2973600
2026-01-29,45.2031,45.7585,44.8263,45.58,4040600
2026-01-30,45.56,46.11,44.93,45.93,3507900
2026-02-02,45.63,46.15,45.0,45.02,3489500
2026-02-03,44.91,46.33,44.71,46.29,2959100
2026-02-04,46.5,48.15,46.41,47.78,4588900
2026-02-05,47.8,47.9,46.693,47.48,2215300
2026-02-06,47.94,50.41,47.4,50.12,3645100
2026-02-09,51.49,52.05,50.37,50.66,3016500
2026-02-10,50.38,51.13,50.18,50.58,1472200
2026-02-11,50.45,50.55,49.6,50.24,1677800
2026-02-12,50.3,50.58,49.35,50.31,1489200
2026-02-13,50.56,50.88,49.71,49.82,1383900
2026-02-17,50.01,50.39,46.59,48.18,2359400
2026-02-18,47.855,49.105,47.855,48.86,1361500
2026-02-19,48.95,49.18,48.57,48.6,1264100
2026-02-20,48.67,49.23,48.21,48.27,1452000
2026-02-23,47.66,48.07,46.97,47.22,1478000
2026-02-24,47.47,48.25,47.35,47.96,1333900
2026-02-25,47.77,48.156,46.33,47.08,1311500
2026-02-26,47.48,47.68,46.68,47.45,1974400
2026-02-27,47.4,48.263,47.13,48.19,1664800
2026-03-02,47.61,47.89,46.32,46.78,1868100
2026-03-03,46.54,47.805,45.92,46.91,1886300
2026-03-04,47.14,47.14,45.625,46.03,1534300
2026-03-05,45.68,46.86,45.43,45.65,2033000
2026-03-06,45.4,46.45,44.89,46.03,4678200
2026-03-09,46.06,46.76,44.99,45.75,2960100
2026-03-10,45.62,45.745,44.43,44.48,2447600
2026-03-11,44.65,44.7,43.42,43.44,2607600
2026-03-12,42.86,43.22,40.44,40.45,4372600
2026-03-13,40.96,41.13,40.105,40.55,4936400
2026-03-16,40.83,40.83,39.69,39.87,3284700
2026-03-17,40.38,41.48,40.0,40.92,2746800
2026-03-18,40.48,41.735,40.21,41.46,2827600
2026-03-19,41.12,41.71,40.29,40.64,2063000
2026-03-20,40.76,40.835,39.6,40.0,37314097
