date,open,high,low,close,volume
2025-03-14,118.25,120.61,117.0,119.26,3159200
2025-03-17,119.22,122.25,119.14,121.91,2598600
2025-03-18,121.32,121.97,118.35,119.21,1728500
2025-03-19,119.52,123.97,119.23,122.65,1921800
2025-03-20,121.46,124.1,121.0,122.14,1509500
2025-03-21,121.07,123.07,119.25,123.06,3075700
2025-03-24,125.0,127.61,124.73,127.02,1734400
2025-03-25,127.4,128.64,125.72,127.02,2177500
2025-03-26,127.18,129.76,126.14,126.75,1643000
2025-03-27,125.92,129.51,125.26,128.08,1978600
2025-03-28,128.14,128.33,124.3,125.03,1731500
2025-03-31,125.34,131.6,124.1,130.58,7952100
2025-04-01,130.25,133.63,129.27,132.01,3885700
2025-04-02,129.99,134.83,129.99,134.65,2607200
2025-04-03,127.89,130.36,125.57,126.06,3396700
2025-04-04,121.8,123.04,117.83,120.84,3786000
2025-04-07,116.33,125.82,113.2,119.23,3659200
2025-04-08,124.11,125.13,117.29,118.81,3283000
2025-04-09,118.35,133.31,117.81,131.75,3864600
2025-04-10,128.92,130.13,124.53,129.23,3102500
2025-04-11,127.5,130.46,125.41,129.6,2321800
2025-04-14,131.31,131.59,127.07,128.4,1697300
2025-04-15,128.4,130.11,128.22,128.98,1552500
2025-04-16,127.94,128.04,123.88,125.46,1847400
2025-04-17,126.38,128.74,125.14,127.22,2566600
2025-04-21,127.0,127.5,122.08,123.48,2056000
2025-04-22,125.74,128.84,125.05,128.5,2636100
2025-04-23,131.84,134.54,130.49,131.28,3284700
2025-04-24,130.9,133.87,129.02,132.72,1742600
2025-04-25,132.72,133.34,131.47,132.76,1277500
2025-04-28,133.41,134.24,132.02,133.27,1389600
2025-04-29,132.7,133.75,130.4,132.3,1879400
2025-04-30,129.98,132.6,127.76,132.45,1969800
2025-05-01,133.38,133.98,131.11,131.34,3055400
2025-05-02,131.68,134.81,128.7,133.77,3356700
2025-05-05,132.73,137.38,132.23,136.12,2968900
