date,open,high,low,close,volume
2025-03-14,155.4731,156.8151,154.5434,156.5371,1081100
2025-03-17,155.7511,158.1379,155.7511,157.6682,662400
2025-03-18,157.6203,158.3487,154.8597,155.5882,626600
2025-03-19,155.5882,156.2016,153.374,155.0802,753200
2025-03-20,155.4061,156.2783,153.8628,155.8278,687000
2025-03-21,155.1377,155.8757,152.9522,154.5817,1539100
2025-03-24,155.3102,157.304,154.5242,156.9205,472200
2025-03-25,156.9493,157.9845,154.9939,156.2783,605900
2025-03-26,157.0164,157.764,155.8949,157.6778,501000
2025-03-27,158.157,159.892,157.1985,158.3967,717000
2025-03-28,159.5469,159.5469,157.0643,159.0197,527500
2025-03-31,160.5917,162.3937,159.3935,160.63,976100
2025-04-01,160.4671,162.0103,157.9366,160.5342,588100
2025-04-02,160.5725,161.7132,159.7386,161.0326,511400
2025-04-03,159.3456,161.464,156.355,156.8534,1011500
2025-04-04,155.9812,157.3231,146.3671,146.7314,1386500
2025-04-07,143.712,149.7603,140.0984,144.4597,1861600
2025-04-08,147.9583,147.9583,142.5714,143.7504,2130600
2025-04-09,140.8844,152.1566,140.568,151.3036,2457800
2025-04-10,149.8658,150.9968,144.2488,148.4471,1545000
2025-04-11,146.3576,149.1469,143.7887,147.9008,1588600
2025-04-14,150.115,152.3963,148.658,151.8595,1064300
2025-04-15,152.445,153.1031,149.7352,149.8998,1545000
2025-04-16,150.0159,151.2837,148.1287,148.8642,1642300
2025-04-17,149.5029,152.8611,149.1062,152.0192,895700
2025-04-21,150.8869,152.5418,148.3513,149.832,577400
2025-04-22,152.0482,154.8548,151.4289,153.2193,581700
2025-04-23,154.4483,156.6549,153.7709,154.3806,599800
2025-04-24,154.4096,155.8806,153.2773,154.3225,683400
2025-04-25,153.9547,154.6806,152.9192,154.2451,366600
2025-04-28,153.9064,155.8806,153.9064,155.2709,676600
2025-04-29,154.4483,155.6677,152.3386,152.416,1309000
2025-04-30,152.4837,154.787,150.2094,154.5064,957800
2025-05-01,152.8515,158.4549,151.0611,156.8484,1056600
2025-05-02,159.684,163.5551,158.6872,162.3648,1026300
2025-05-05,161.6873,162.3357,159.4614,160.0131,653800
2025-05-06,158.7646,160.0034,158.213,159.3453,471700
2025-05-07,159.3356,160.6905,159.1711,159.5098,820000
2025-05-08,159.8292,159.9647,156.2968,156.4516,956500
2025-05-09,156.2097,158.3195,155.7161,157.7678,632800
2025-05-12,158.3678,159.5001,156.5871,158.3582,548900
2025-05-13,158.5808,158.5808,154.7,155.7451,677300
2025-05-14,154.9225,155.6,152.445,153.2386,819200
2025-05-15,154.2064,156.1807,153.7322,155.7161,965700
2025-05-16,155.8129,158.3582,155.1838,157.942,1660800
2025-05-19,156.6355,157.4097,155.929,156.142,693000
2025-05-20,154.9903,156.4226,154.6612,155.1838,593100
2025-05-21,153.7902,154.2354,150.8675,151.0127,538500
2025-05-22,152.1837,152.4934,149.0481,149.4352,668500
