date,open,high,low,close,volume
2025-03-14,68.8494,69.1144,67.9366,69.0064,2231600
2025-03-17,69.1733,70.0271,68.8003,69.772,2520100
2025-03-18,69.556,70.0958,69.0555,69.3696,2017100
2025-03-19,69.3401,70.4197,69.0064,70.2823,2160300
2025-03-20,69.6836,70.3412,69.0359,69.1046,2666600
2025-03-21,68.182,68.4372,67.2496,68.3096,6155200
2025-03-24,69.0653,69.9094,68.6335,69.4677,2182000
2025-03-25,69.2125,69.9094,68.6531,69.085,2049100
2025-03-26,69.0359,69.8505,68.5942,69.1046,1612000
2025-03-27,69.4383,69.4579,68.6727,69.1536,1984300
2025-03-28,69.5757,69.5757,67.2005,67.3968,1142700
2025-03-31,67.0337,68.6531,66.5822,68.2507,1896400
2025-04-01,68.2998,68.6924,67.3085,68.5452,1530400
2025-04-02,67.8974,69.9094,67.5342,69.7425,1197600
2025-04-03,66.5528,66.592,61.9497,62.9606,4439000
2025-04-04,60.9879,63.4906,59.1722,61.7534,4248600
2025-04-07,60.0653,62.8527,58.7207,59.8298,3316200
2025-04-08,60.8505,60.8505,56.7382,57.6411,2732500
2025-04-09,56.9247,63.1962,56.2082,62.5877,4300200
2025-04-10,61.0075,61.302,58.1907,60.5561,2713100
2025-04-11,60.2125,61.3805,58.5637,60.7916,2489900
2025-04-14,61.8712,61.8712,60.3205,61.2529,1761900
2025-04-15,61.2235,62.0381,60.5266,60.7229,2527300
2025-04-16,60.6542,61.1449,59.2703,59.7513,2054000
2025-04-17,60.134,60.8799,59.82,60.4383,1742400
2025-04-21,59.5452,59.9377,58.4067,58.9367,3023500
2025-04-22,59.5157,60.507,59.3783,60.2911,4445100
2025-04-23,57.8963,64.2463,55.5015,58.2202,5723000
2025-04-24,58.9465,59.3194,57.8276,59.182,3216100
2025-04-25,58.9465,59.7022,58.6717,59.2998,2892900
2025-04-28,59.4078,60.5266,58.9857,59.3587,2343400
2025-04-29,59.0741,60.1242,58.8287,59.3391,2910300
2025-04-30,58.8581,59.5452,57.9552,59.4863,3164700
2025-05-01,59.447,60.1635,58.8876,59.182,1896200
2025-05-02,59.9279,61.5179,59.712,61.1155,2613100
2025-05-05,60.7327,61.3412,60.2518,60.6149,2093300
2025-05-06,59.9966,60.5364,59.4078,59.4372,1245500
2025-05-07,59.5353,59.6335,58.8483,59.2998,2513600
2025-05-08,60.0064,61.0959,59.4666,60.5659,2203500
2025-05-09,60.929,61.4197,60.664,60.9486,2510900
2025-05-12,65.3456,68.1722,65.1885,67.8777,5885500
2025-05-13,68.29,68.6237,66.5233,66.808,2881700
2025-05-14,66.5332,66.7196,65.2573,65.4045,2669000
2025-05-15,65.2376,66.1798,64.4623,65.9737,1915600
2025-05-16,65.9737,66.4546,65.5615,66.4056,1678700
2025-05-19,64.7175,65.6498,64.7175,65.4928,1296700
2025-05-20,65.2769,65.4241,64.5015,64.6782,1326100
2025-05-21,63.7066,63.8047,61.6455,61.8418,2382000
