date,open,high,low,close,volume
2025-03-14,290.2552,293.8716,289.0237,293.0506,2696800
2025-03-17,294.4874,298.3285,293.2461,297.097,2758400
2025-03-18,298.0744,298.0744,295.4354,296.7354,2435400
2025-03-19,297.1165,301.114,296.7647,299.9803,2812200
2025-03-20,301.0652,302.6583,298.6022,300.0585,2723500
2025-03-21,299.4623,300.0585,294.8197,298.5338,6016100
2025-03-24,299.3743,300.987,297.6443,298.7586,3443400
2025-03-25,299.9901,301.681,297.1556,299.9803,2657100
2025-03-26,300.9382,306.9589,300.8307,306.4897,2624400
2025-03-27,308.034,309.4805,303.6553,305.6198,3119500
2025-03-28,302.0132,302.9906,299.0713,300.1464,3211600
2025-03-31,298.1037,306.1183,297.5563,305.307,4418800
2025-04-01,306.001,307.6626,303.9192,306.5386,2411200
2025-04-02,305.6394,306.8318,302.8245,304.5349,2776800
2025-04-03,304.3394,312.4909,304.2612,311.0736,7023900
2025-04-04,307.4574,307.8385,292.5326,293.3243,8831100
2025-04-07,285.9841,297.9864,283.9316,293.1093,7725900
2025-04-08,296.9113,301.2802,288.2516,293.0506,5562500
2025-04-09,290.6853,304.6033,290.0011,297.0872,8265700
2025-04-10,294.5265,300.6743,290.2064,299.8435,6049500
2025-04-11,299.5405,303.8605,297.0872,302.8929,4439900
2025-04-14,305.3657,311.0052,304.0951,308.9234,4068300
2025-04-15,308.982,310.0279,304.789,305.4146,2901200
2025-04-16,306.48,307.1837,300.4201,302.111,3098900
2025-04-17,302.2283,305.9131,300.1856,304.2613,2728500
2025-04-21,303.9681,304.2417,298.221,301.7396,2669900
2025-04-22,304.7109,312.7646,304.1538,311.8654,4200700
2025-04-23,311.2984,312.6668,307.6723,311.2789,3210100
2025-04-24,311.23,311.6796,306.4408,309.07,2479500
2025-04-25,309.3437,314.5043,307.9069,309.5782,2282900
2025-04-28,310.5166,310.8293,307.1446,309.6467,2578300
2025-04-29,308.9136,309.5685,305.9228,307.3889,3164500
2025-04-30,309.6271,313.7419,306.0205,312.4224,5564600
2025-05-01,306.0694,312.0315,304.5545,306.5484,5186900
2025-05-02,306.4604,308.8257,303.6553,304.9063,3994600
2025-05-05,305.9228,310.2233,303.6748,308.5813,3534100
2025-05-06,307.9851,310.067,305.7958,309.6272,2691700
2025-05-07,309.3241,312.0217,308.9723,310.9368,2725900
2025-05-08,310.8879,312.4322,306.0987,306.4017,2131500
2025-05-09,305.8251,307.1446,304.1342,306.5874,1917800
2025-05-12,304.9552,305.1213,298.1135,304.8672,4137900
2025-05-13,304.6033,305.1116,301.4757,301.7103,3018600
2025-05-14,301.2704,301.9253,298.7781,300.5472,2656600
2025-05-15,300.8404,308.0047,300.8404,307.3694,2928500
2025-05-16,307.2618,311.4548,306.2844,311.4059,2636900
2025-05-19,310.9173,314.3381,310.8391,313.9667,2748600
2025-05-20,313.957,314.4457,311.6406,312.5691,2035000
2025-05-21,310.3406,311.4646,308.0438,309.285,2386700
2025-05-22,308.9723,309.461,305.5612,307.2032,2642000
2025-05-23,307.946,308.5129,305.9521,307.4573,2701500
2025-05-27,307.3987,308.4836,305.1018,307.8287,2526700
2025-05-28,307.8288,308.5129,305.1312,305.7664,1935600
2025-05-29,305.307,306.4115,303.0297,304.8086,2248800
2025-05-30,304.9454,308.161,303.5575,306.7536,4062900
2025-06-02,305.4267,307.9036,304.1095,307.3434,2577000
2025-06-03,306.5177,309.0242,303.8736,307.0583,3028100
2025-06-04,307.6579,308.8865,304.198,306.2523,2069500
2025-06-05,306.675,306.675,302.5171,303.7065,3813500
2025-06-06,301.9077,304.5715,301.5735,302.1141,2622800
2025-06-09,298.5461,300.0205,294.7323,299.5782,4059800
2025-06-10,294.8896,297.2486,294.3392,295.3024,4698700
2025-06-11,295.0764,298.0252,292.1177,296.5704,3312100
2025-06-12,296.5213,298.0055,294.9486,297.9858,2584700
2025-06-13,296.6588,299.9025,296.0101,296.7571,2435500
2025-06-16,297.9662,298.8115,290.7023,291.2331,4045700
2025-06-17,290.948,290.9579,286.8099,287.321,3379000
2025-06-18,287.9992,288.1074,283.6743,284.6868,4008700
2025-06-20,284.8243,285.65,280.696,282.5538,7085000
2025-06-23,283.5957,284.5786,280.9909,284.5786,5172500
2025-06-24,284.6769,287.1146,283.6547,286.4954,4461200
2025-06-25,285.8958,286.112,279.4576,280.6764,4259800
2025-06-26,281.0696,281.8952,278.6319,280.755,5354900
2025-06-27,281.1285,287.2031,280.3717,286.574,7422200
2025-06-30,285.9154,288.5693,285.9154,287.1834,5054800
2025-07-01,287.5078,294.5357,287.3603,292.4126,5121900
2025-07-02,292.9925,292.9925,287.6061,289.6014,4021500
2025-07-03,289.6408,289.798,287.6159,289.0608,1678600
2025-07-07,289.1001,290.6335,287.4979,288.5202,3404300
2025-07-08,288.0091,288.0189,285.306,286.692,3123600
2025-07-09,287.2621,288.8053,286.3676,288.0189,3265800
