date,open,high,low,close,volume
2025-03-14,642.4611,649.324,636.654,647.8697,767200
2025-03-17,647.5709,654.5831,645.9473,652.6707,534800
2025-03-18,651.595,660.0516,646.9235,659.0057,1037100
2025-03-19,659.0555,664.3645,652.0731,661.1771,962000
2025-03-20,664.743,667.3627,657.9001,663.737,720100
2025-03-21,664.0956,668.1496,655.2605,658.5674,1969500
2025-03-24,660.46,660.978,653.2286,658.2587,775400
2025-03-25,660.2309,661.6353,650.7484,660.9879,710700
2025-03-26,663.9462,667.2233,657.2228,660.4102,737900
2025-03-27,665.2112,666.1674,660.4102,663.0497,690100
2025-03-28,665.0717,669.3547,656.884,665.4302,566800
2025-03-31,666.4961,675.9985,663.8067,670.3409,1036100
2025-04-01,673.5681,675.0622,665.3108,671.0381,630000
2025-04-02,673.1,692.7225,672.4227,690.8001,1203200
2025-04-03,696.0991,722.1462,693.7583,714.1079,2212200
2025-04-04,709.785,725.4531,677.8711,680.421,3150700
2025-04-07,660.5895,672.9506,647.4415,659.3643,2032600
2025-04-08,677.2436,677.2436,644.1842,650.2603,1526400
2025-04-09,643.8556,679.6442,639.204,669.1158,1977500
2025-04-10,670.8489,689.047,666.5758,676.6559,1105200
2025-04-11,672.1239,690.7801,670.809,686.6464,841600
2025-04-14,685.2918,693.6389,671.3868,691.2483,1138800
2025-04-15,699.4459,699.4459,684.2958,690.1327,670800
2025-04-16,692.1746,695.0632,682.6124,691.9655,879600
2025-04-17,686.009,699.2368,683.9373,694.3362,1044900
2025-04-21,700.2627,700.2627,672.7215,679.8035,836200
2025-04-22,683.0109,694.127,672.5223,692.4337,906200
2025-04-23,688.2003,697.1251,668.0599,689.545,843100
2025-04-24,692.2642,692.2642,681.7259,685.7201,862200
2025-04-25,689.4852,692.8917,679.2357,692.2642,731500
2025-04-28,695.8003,698.1709,689.8638,696.9756,762900
2025-04-29,698.4996,708.0818,690.5909,704.496,567400
2025-04-30,708.0718,712.3948,702.6234,709.9843,966000
2025-05-01,704.2867,712.0859,695.9895,703.9879,957600
2025-05-02,709.6556,713.9287,700.9101,705.6215,866300
