date,open,high,low,close,volume
2025-03-14,439.0775,445.8143,437.4008,443.3339,873900
2025-03-17,440.9428,453.186,440.9428,450.0309,975100
2025-03-18,448.4038,451.5092,443.0561,446.5683,611800
2025-03-19,447.2232,458.6925,445.4571,456.6982,1004600
2025-03-20,454.1186,458.2459,452.67,456.1823,778100
2025-03-21,452.551,456.2716,449.386,455.8846,1091200
2025-03-24,462.5618,467.1952,458.3849,465.4688,910900
2025-03-25,468.1079,474.6165,465.4291,473.4953,754800
2025-03-26,474.4577,477.0869,463.5143,466.4114,649200
2025-03-27,466.203,468.1575,461.6689,465.3002,526700
2025-03-28,464.8835,467.6119,456.6089,457.7598,535600
2025-03-31,454.9818,464.6652,452.4617,462.036,866500
2025-04-01,459.4465,466.3022,458.752,465.1017,674200
2025-04-02,459.7242,468.2171,458.8313,467.1952,638800
2025-04-03,451.5291,454.9619,438.1945,438.9188,1164800
2025-04-04,425.1874,427.6479,397.4368,399.2723,2309200
2025-04-07,388.5869,412.3986,375.7385,394.8771,2384200
2025-04-08,413.0236,416.5259,387.6443,393.5873,1311500
2025-04-09,386.3148,436.7262,382.5843,435.1487,2532700
2025-04-10,426.7154,428.3524,404.6399,419.7108,1330400
2025-04-11,416.7838,427.3801,409.184,425.0683,883800
2025-04-14,433.5513,435.7638,429.6025,434.2359,743300
2025-04-15,434.3648,437.8175,430.6442,431.6364,777000
2025-04-16,428.8683,433.1643,417.0021,422.3499,635000
2025-04-17,427.0725,427.8563,418.4408,421.5264,953300
2025-04-21,415.7123,419.9488,403.5584,410.057,1215900
2025-04-22,417.6867,428.2532,405.7908,426.497,1095600
2025-04-23,439.6828,445.477,426.0704,427.39,1147900
2025-04-24,429.9398,437.7084,426.0804,436.1309,974100
2025-04-25,433.3727,436.3194,430.1283,435.1784,691300
2025-04-28,436.4781,439.7423,431.2495,436.3293,618400
2025-04-29,435.9225,445.5365,434.3053,443.4926,673000
2025-04-30,439.8415,450.8743,434.9403,449.5646,838000
2025-05-01,447.1735,453.1959,446.8858,448.3145,624600
