date,open,high,low,close,volume
2025-03-14,62.2921,62.8543,62.1079,62.3406,6784700
2025-03-17,62.1855,63.2615,61.9431,63.0967,7012100
2025-03-18,63.2033,63.5038,62.5151,62.6702,6062000
2025-03-19,62.011,62.4569,61.536,62.0401,8181800
2025-03-20,62.1564,62.36,61.6232,61.9916,6013600
2025-03-21,61.9431,62.7186,61.7493,62.5345,25429800
2025-03-24,62.5732,63.0773,62.2824,62.961,7514400
2025-03-25,62.7768,62.8931,62.1758,62.7089,7459100
2025-03-26,62.6992,64.5023,62.6992,64.2987,9110100
2025-03-27,64.8513,65.5492,64.4538,65.4329,9020800
2025-03-28,65.8497,66.2859,64.9676,65.6461,11578500
2025-03-31,66.2318,66.4173,65.6169,66.2318,12950700
2025-04-01,66.5735,66.6516,65.6461,66.0366,8847000
2025-04-02,66.0366,66.0952,64.1038,64.5529,11356900
2025-04-03,66.0757,67.3544,65.6071,66.2806,13777300
2025-04-04,66.7785,67.4716,64.3869,64.7286,13787000
2025-04-07,63.6255,65.0995,63.0886,63.6743,15963400
2025-04-08,63.7622,64.8359,62.171,62.5322,12421600
2025-04-09,61.9758,65.0605,61.6342,64.6114,13380300
2025-04-10,64.8652,65.3631,63.1667,64.4064,10703600
2025-04-11,65.0019,66.0757,64.465,65.4509,8840600
2025-04-14,65.1093,66.964,64.9336,66.6711,6728400
2025-04-15,66.8663,66.9737,65.285,65.4314,5782500
2025-04-16,65.6461,66.144,64.5529,64.8945,6266300
2025-04-17,64.8945,66.2318,64.7871,65.7145,10777600
2025-04-21,65.695,66.2416,65.3143,66.144,7637100
2025-04-22,66.3587,67.4423,66.183,66.6613,6720500
2025-04-23,66.1147,66.9054,65.285,65.773,6369500
2025-04-24,65.3435,65.3435,63.9184,63.9574,8277000
2025-04-25,64.3186,64.3283,63.0691,64.0257,6454700
2025-04-28,64.0257,64.1722,63.2253,63.5474,6660800
2025-04-29,63.5181,64.1526,62.7567,64.0843,8194000
2025-04-30,66.4466,67.2178,65.7926,66.5052,15854800
2025-05-01,65.6071,66.5833,65.3045,66.2514,9414200
2025-05-02,66.7687,66.9444,65.5095,66.1342,7395000
2025-05-05,66.144,66.3099,65.4021,66.183,6310600
2025-05-06,66.1342,66.3197,65.5583,65.8999,5436100
2025-05-07,65.9683,66.0659,65.3143,65.5778,6841600
2025-05-08,65.4216,65.9878,65.1288,65.6169,7143600
2025-05-09,65.2655,65.5095,64.7286,64.7871,5136200
2025-05-12,64.6212,65.0702,63.8012,64.26,7069800
