date,open,high,low,close,volume
2025-03-14,30.85,31.84,30.7,31.76,5186400
2025-03-17,31.91,32.88,31.84,32.42,5132400
2025-03-18,32.33,32.48,31.68,31.86,4623300
2025-03-19,32.04,32.94,32.0,32.69,4176400
2025-03-20,32.57,33.27,32.44,32.53,4758300
2025-03-21,32.02,32.22,31.16,31.42,13130800
2025-03-24,31.84,32.51,31.75,32.42,5301400
2025-03-25,32.61,32.68,31.82,32.04,4664400
2025-03-26,31.95,32.33,31.9,32.12,2977700
2025-03-27,31.89,32.41,31.6,31.61,4009600
2025-03-28,31.26,31.57,30.23,30.36,6500600
2025-03-31,29.74,30.07,28.63,29.64,7021900
2025-04-01,29.54,30.0,28.97,29.94,6447600
2025-04-02,29.47,30.94,29.47,30.75,5133600
2025-04-03,28.91,29.14,27.5,27.9,13214400
2025-04-04,26.88,27.58,25.61,26.86,11275500
2025-04-07,26.06,28.17,25.53,26.3,11382900
2025-04-08,27.26,27.76,25.3,25.79,10725100
2025-04-09,25.63,30.24,25.62,29.93,9057200
2025-04-10,29.22,29.54,27.78,28.75,7317100
2025-04-11,28.66,29.68,28.36,29.35,4814700
2025-04-14,29.97,30.04,28.96,29.62,5143000
2025-04-15,29.62,30.16,29.47,29.71,5791300
2025-04-16,29.41,29.66,28.12,28.46,6446000
2025-04-17,28.65,29.24,28.36,28.9,4333600
2025-04-21,28.66,29.11,28.51,28.92,4534700
2025-04-22,29.23,30.38,29.19,30.28,5488400
2025-04-23,31.24,32.33,30.61,30.77,5789300
2025-04-24,30.75,31.57,30.47,31.42,6263200
2025-04-25,31.62,32.3,31.36,31.67,4628100
2025-04-28,31.88,32.72,31.85,32.21,5599000
2025-04-29,32.0,32.3,31.34,31.8,4491800
2025-04-30,31.0,31.62,30.7,31.46,6426500
2025-05-01,33.04,33.23,30.21,30.86,10705900
2025-05-02,31.49,32.3,31.15,31.97,7299800
2025-05-05,31.5,32.64,31.42,32.07,3747900
2025-05-06,31.53,31.9,31.21,31.42,5194600
2025-05-07,31.64,32.13,31.22,31.74,4552500
2025-05-08,31.85,32.72,31.55,32.21,6025700
2025-05-09,32.27,32.64,32.2,32.58,2847900
2025-05-12,33.96,34.74,33.5,34.66,5467800
2025-05-13,34.69,35.1,34.49,34.9,4641700
2025-05-14,34.73,35.09,34.67,34.95,5452100
2025-05-15,34.56,34.71,33.88,34.39,4665400
2025-05-16,34.39,34.4,32.87,33.97,4682300
2025-05-19,33.26,33.75,33.2,33.67,3364700
2025-05-20,33.43,33.44,32.77,32.9,3147400
2025-05-21,32.42,32.53,31.27,31.37,6218900
2025-05-22,31.25,31.54,30.75,31.35,5057100
2025-05-23,30.65,31.57,30.58,31.35,2980200
2025-05-27,31.91,32.26,31.39,31.99,4069700
2025-05-28,32.11,32.22,31.75,31.8,3143600
2025-05-29,32.22,32.22,31.43,31.73,4585000
2025-05-30,31.34,31.84,31.12,31.65,15732100
2025-06-02,31.57,31.71,30.72,31.17,5584600
2025-06-03,31.04,32.25,30.68,31.96,4539100
