date,open,high,low,close,volume
2025-03-14,467.6009,476.2744,462.5182,474.9018,786800
2025-03-17,472.5643,489.0161,472.5643,486.1216,706000
2025-03-18,483.8538,489.9311,481.0886,485.5845,602400
2025-03-19,483.3365,491.2441,478.9799,487.5837,528900
2025-03-20,483.0779,491.1347,480.9493,481.198,464800
2025-03-21,477.5377,479.2485,469.7892,474.484,857500
2025-03-24,481.1283,489.8913,477.3088,488.0711,448900
2025-03-25,485.9425,488.3397,479.4772,485.6939,361100
2025-03-26,485.8033,490.1897,479.4772,480.2928,286800
2025-03-27,478.4229,484.6296,471.8183,481.7152,325600
2025-03-28,479.9547,481.0389,470.575,475.4489,551600
2025-03-31,471.6592,478.1046,466.3377,475.5781,568300
2025-04-01,472.1963,482.7795,466.6063,481.9738,483400
2025-04-02,476.3441,493.4224,476.3441,489.8416,340700
2025-04-03,472.9522,483.5653,468.0386,482.3817,561100
2025-04-04,477.7067,480.9294,461.8816,468.1878,889700
2025-04-07,455.3865,477.7962,442.5354,457.3659,936100
2025-04-08,470.7739,470.7739,440.5263,450.0949,636200
2025-04-09,444.2761,485.296,439.5913,479.0595,757800
2025-04-10,470.4755,477.9554,460.33,472.7334,439600
2025-04-11,475.9064,495.2227,470.4457,489.0658,627100
2025-04-14,491.9205,502.623,486.1017,500.2458,522500
2025-04-15,501.8074,505.229,495.0636,496.3865,326500
2025-04-16,491.7613,495.9787,482.5606,488.4491,316200
2025-04-17,487.2058,496.0284,485.664,491.6022,251500
2025-04-21,488.5188,488.658,476.3043,482.4811,433900
2025-04-22,492.02,492.02,482.3817,488.3795,701500
2025-04-23,497.4309,504.5129,493.2633,495.6803,324900
2025-04-24,495.0835,508.3523,493.1737,506.532,324100
2025-04-25,504.1946,506.7807,499.9374,501.7477,327900
2025-04-28,501.3101,503.2696,494.4071,500.216,359900
2025-04-29,500.8824,506.0844,493.3329,502.1655,491600
2025-04-30,493.4124,523.1827,487.6931,521.1834,943500
2025-05-01,525.1719,533.2586,520.0693,520.0892,489600
2025-05-02,527.3006,536.8792,524.9134,532.9403,386400
2025-05-05,532.9403,543.1356,530.8416,539.2962,465900
2025-05-06,530.7322,539.6942,528.0267,532.1447,323200
