date,open,high,low,close,volume
2025-03-14,54.261,55.1568,54.261,54.9702,8370800
2025-03-17,55.1288,55.3528,54.7742,54.9609,8567800
2025-03-18,54.9609,55.2874,54.401,54.4383,8524400
2025-03-19,54.3823,54.4943,53.7385,54.0744,8505000
2025-03-20,54.1024,54.317,53.8878,54.205,7209400
2025-03-21,54.2424,54.2424,53.2532,53.7478,33837100
2025-03-24,53.7198,53.9997,53.5518,53.7945,11954800
2025-03-25,53.671,53.9464,53.4145,53.8704,10378300
2025-03-26,53.842,55.0294,53.842,54.8584,9357600
2025-03-27,54.9629,55.5518,54.9629,55.3808,8520100
2025-03-28,55.5708,55.6278,54.8679,55.2383,10396600
2025-03-31,55.5233,57.1667,55.5233,57.0147,17337300
2025-04-01,56.9102,57.0907,55.5708,55.8463,19150200
2025-04-02,55.8368,55.9698,52.9205,54.2599,20161000
2025-04-03,55.0959,56.2738,54.8774,54.9914,14319800
2025-04-04,54.7634,55.8843,53.0155,53.2625,16333000
2025-04-07,50.3462,53.3575,50.1752,52.873,16833100
2025-04-08,53.614,54.1174,52.3221,52.778,12315600
2025-04-09,52.2556,54.2884,52.1891,53.538,15940600
2025-04-10,53.6995,53.9274,52.7305,53.557,13148000
2025-04-11,53.728,54.0889,53.1295,53.8135,9760300
2025-04-14,53.9464,54.6304,53.6045,54.2694,9782600
2025-04-15,54.7634,55.0009,54.3074,54.6399,6384000
2025-04-16,55.0864,55.2763,54.2029,54.4024,8526100
2025-04-17,54.6019,55.5898,54.5639,55.2478,8765700
2025-04-21,55.3808,55.5233,54.1649,54.7444,6727900
2025-04-22,54.9059,56.0458,54.8869,55.8748,9475200
2025-04-23,55.5993,55.9793,55.0484,55.6278,8942500
2025-04-24,55.5613,55.8368,55.3143,55.7703,6053700
2025-04-25,55.8083,55.9793,55.0484,55.3428,5680300
2025-04-28,55.3333,55.8368,54.9724,55.2763,8849800
2025-04-29,54.1459,56.4638,53.9654,55.8273,12724200
2025-04-30,56.1598,56.6727,55.6468,56.1883,13422300
2025-05-01,55.9698,56.5777,55.6753,56.3403,9436800
2025-05-02,56.3878,56.7297,56.0933,56.6252,7027500
2025-05-05,56.7677,57.0432,56.1598,56.8722,6656000
2025-05-06,56.9197,57.5847,56.8532,57.4517,6527400
2025-05-07,57.4992,58.1926,57.3472,57.8601,9189200
2025-05-08,57.4517,57.9266,57.0812,57.3757,7904400
2025-05-09,57.1097,57.1477,56.3878,56.4543,5747300
2025-05-12,55.3523,55.3523,53.69,54.0984,16278600
2025-05-13,54.0984,54.1174,53.4905,53.6425,11410600
2025-05-14,53.5285,53.8894,53.253,53.5095,9070600
2025-05-15,53.8135,55.4283,53.7945,55.1529,8851100
2025-05-16,55.2858,55.9983,55.1719,55.9413,5927700
2025-05-19,56.0933,56.5017,55.8463,56.4922,6318300
2025-05-20,56.4258,57.0812,56.4258,56.9007,5819900
2025-05-21,56.9007,56.9482,56.4068,56.4733,7614300
2025-05-22,56.4258,56.6062,55.7988,56.3308,5789200
2025-05-23,56.6442,56.8152,56.2928,56.7487,4863100
2025-05-27,56.7392,56.7867,56.1788,56.6347,5216200
2025-05-28,56.6157,56.7392,56.3688,56.5017,4767100
2025-05-29,56.2263,56.5777,55.9413,56.5017,5321400
2025-05-30,56.5397,57.5847,56.5207,57.5752,12772800
2025-06-02,57.3377,57.6037,57.1382,57.5942,6413400
2025-06-03,57.5182,57.8316,56.8342,57.3472,6785200
2025-06-04,57.3282,57.3852,56.2168,56.3403,7602600
2025-06-05,56.4448,56.6252,55.9793,56.4163,9055200
2025-06-06,56.3783,56.6727,56.2643,56.2738,4858300
2025-06-09,56.1978,56.3688,55.9603,56.1123,6357500
2025-06-10,56.1218,56.2833,55.4758,55.6278,8697200
2025-06-11,55.6278,56.9482,55.6088,56.9102,9052300
2025-06-12,57.1002,57.1287,56.2358,56.9197,10489400
2025-06-13,57.1857,57.4707,56.5682,56.8152,10174000
2025-06-16,56.6509,57.3371,56.2161,56.8249,10536900
2025-06-17,56.8346,57.3854,56.448,57.0085,7222400
2025-06-18,56.9505,57.7816,56.9505,57.4917,8262900
2025-06-20,57.3371,57.743,57.2018,57.743,23289800
2025-06-23,57.743,58.5934,57.6947,58.4581,8956900
2025-06-24,58.4001,58.4195,57.8879,57.8976,5767100
2025-06-25,57.7043,57.801,56.9505,56.9602,7040700
2025-06-26,57.0568,57.482,56.6799,56.8152,6974700
2025-06-27,56.6799,56.8732,56.2837,56.7766,11502900
2025-06-30,56.7476,56.8152,56.303,56.6606,9462300
2025-07-01,56.9409,57.2984,56.0904,56.1871,7656800
2025-07-02,56.564,57.2404,56.2934,57.1825,9264200
2025-07-03,57.0858,57.6463,57.0472,57.6463,4776100
2025-07-07,57.6173,58.3325,57.5884,58.2262,7376500
2025-07-08,57.9846,58.2552,57.2404,57.54,7939200
2025-07-09,57.4241,57.4917,54.9501,55.8102,22224800
2025-07-10,55.7812,56.6993,55.5686,56.5833,14342400
2025-07-11,56.477,56.477,55.6652,55.8585,9431100
2025-07-14,56.0518,56.3707,55.5975,56.1774,8320700
2025-07-15,55.8585,56.6509,55.8102,56.5156,7739800
2025-07-16,56.506,56.9892,56.39,56.8829,7054300
2025-07-17,56.7282,57.5594,55.5686,56.0324,12501400
2025-07-18,56.0324,56.3803,55.8295,56.0711,5688800
2025-07-21,55.9551,57.1245,55.9551,56.9409,6946800
2025-07-22,56.5833,57.5304,56.1967,57.4434,9649500
2025-07-23,57.1825,57.8493,57.0085,57.7623,7172200
2025-07-24,57.714,57.8106,57.3178,57.6077,6933900
2025-07-25,57.5594,57.9169,57.482,57.83,6368800
2025-07-28,57.743,57.8203,56.6316,56.7476,7419900
2025-07-29,56.5543,57.6753,56.4673,57.3661,11825600
2025-07-30,57.8589,60.1203,57.801,59.4342,20487500
2025-07-31,59.1539,60.2266,58.864,59.8594,10623100
2025-08-01,60.072,60.5456,59.6178,59.7048,9689400
2025-08-04,59.6855,60.3716,59.6855,59.8594,6384500
2025-08-05,59.9077,60.5262,59.8884,60.4199,5889500
2025-08-06,60.7292,61.6183,60.4296,61.0288,6482800
2025-08-07,60.8838,61.483,60.6325,61.4153,5124400
2025-08-08,61.425,62.1885,61.4153,62.0338,5434900
2025-08-11,62.2368,63.7347,62.1498,63.4641,10650500
2025-08-12,63.5318,64.0633,63.3095,63.7927,8848600
2025-08-13,63.754,63.9377,62.8456,63.2998,7508200
2025-08-14,63.3095,63.7057,63.1645,63.3482,10791100
2025-08-15,63.4448,63.957,63.0389,63.6091,10137000
2025-08-18,63.7347,64.3629,63.6767,63.7734,7371700
2025-08-19,63.783,64.3532,63.5414,64.3242,6482700
2025-08-20,64.5562,65.5902,64.3629,65.31,8893100
2025-08-21,65.3196,65.5226,64.9621,65.4066,5963200
2025-08-22,65.7255,66.2957,65.0684,65.3969,9603300
2025-08-25,65.2327,65.4356,64.7205,64.7978,5706800
2025-08-26,64.7688,64.7688,64.0053,64.2179,8535600
2025-08-27,64.2276,64.4015,63.8893,64.1793,4973500
2025-08-28,64.1406,64.2759,63.4158,64.1889,5807700
2025-08-29,64.3146,64.9911,64.2276,64.9524,5930600
2025-09-02,65.1263,65.2713,64.4209,64.8751,6919700
2025-09-03,64.6528,64.8751,63.8217,64.3919,6722300
2025-09-04,64.5755,65.1457,64.0246,64.3532,6388600
2025-09-05,64.2663,64.5852,63.9667,64.3146,5935900
2025-09-08,64.2566,64.6142,63.2708,63.5608,10316600
2025-09-09,63.4931,64.073,62.8553,63.9667,6918500
2025-09-10,63.9473,64.2856,63.6574,64.0053,6677300
2025-09-11,64.0536,64.3919,63.7734,64.131,10022800
2025-09-12,64.0826,64.4885,63.7057,64.4112,7975900
2025-09-15,64.1264,64.4014,63.6256,63.7238,9129700
2025-09-16,63.6158,63.822,62.9382,63.6452,9536300
2025-09-17,64.0086,64.421,63.7631,64.3326,7261100
2025-09-18,63.8318,63.8318,62.7909,62.7909,10329700
2025-09-19,62.8989,63.8023,62.7221,63.7238,22705100
2025-09-22,63.6354,63.6845,62.2704,62.6436,7628300
2025-09-23,62.6239,63.714,62.4962,63.7041,7417400
2025-09-24,63.5568,64.1952,63.3801,63.9595,6838200
2025-09-25,64.5683,64.804,63.8907,64.0184,5747900
2025-09-26,64.1755,64.6371,63.9693,64.529,5513800
2025-09-29,64.3228,64.5094,63.8907,64.4898,6867400
2025-09-30,64.5094,64.9906,64.1853,64.8728,7797300
