date,open,high,low,close,volume
2025-03-14,312.24,313.31,305.96,308.22,863500
2025-03-17,307.71,317.15,305.99,315.97,520100
2025-03-18,317.22,318.17,314.66,317.07,401000
2025-03-19,315.83,318.15,311.61,314.87,545400
2025-03-20,315.35,316.52,311.27,315.26,571700
2025-03-21,314.4,317.91,307.29,309.93,1046900
2025-03-24,312.09,314.48,309.4,312.65,448200
2025-03-25,315.46,315.46,308.44,310.53,366100
2025-03-26,311.69,325.34,311.49,323.44,534500
2025-03-27,320.99,324.17,316.28,323.47,505600
2025-03-28,325.11,326.18,321.56,322.85,360200
2025-03-31,322.0,331.02,320.21,329.39,519000
2025-04-01,331.01,332.16,324.91,327.71,417700
2025-04-02,326.82,329.32,322.53,328.49,384100
2025-04-03,332.8,357.5,332.17,353.24,1509400
2025-04-04,351.53,359.97,341.55,346.71,1049800
2025-04-07,342.22,352.59,336.25,340.38,908400
2025-04-08,355.7,358.89,326.71,330.66,1294200
2025-04-09,329.99,351.79,327.43,340.09,918400
2025-04-10,340.07,350.84,335.89,342.68,779000
2025-04-11,340.71,351.58,337.85,345.0,662000
2025-04-14,345.53,351.95,338.9,348.57,467400
2025-04-15,346.83,347.79,334.32,335.5,695300
2025-04-16,336.25,340.88,330.88,332.38,1171800
2025-04-17,319.93,329.4,313.5,322.19,1443500
2025-04-21,320.54,321.52,299.65,302.09,1111500
2025-04-22,305.0,321.48,302.21,321.16,1351700
2025-04-23,322.14,332.98,321.77,332.0,894100
2025-04-24,333.2,333.22,306.92,313.81,1476300
2025-04-25,314.04,315.88,301.45,314.51,755000
2025-04-28,315.87,320.64,313.43,320.2,624400
2025-04-29,320.72,325.44,316.78,319.82,687300
2025-04-30,323.82,327.97,319.65,327.01,897600
2025-05-01,324.56,325.49,312.77,313.04,671400
2025-05-02,316.62,319.5,312.49,318.04,569100
2025-05-05,318.88,323.12,315.03,319.63,460300
2025-05-06,317.07,318.9,313.48,316.2,435300
2025-05-07,320.54,327.31,317.61,327.02,522700
2025-05-08,328.25,329.67,324.26,325.86,553800
2025-05-09,326.18,327.29,321.65,322.2,602900
2025-05-12,326.06,333.0,317.49,327.69,631600
2025-05-13,322.03,322.03,307.48,310.45,745900
2025-05-14,317.14,318.58,309.55,311.62,582500
2025-05-15,306.17,313.97,291.2,313.97,947700
2025-05-16,316.4,325.51,309.51,325.34,518900
2025-05-19,323.92,326.91,321.49,325.35,315500
2025-05-20,326.0,327.68,321.31,326.15,522100
2025-05-21,322.1,325.34,319.57,319.62,383800
2025-05-22,315.05,320.45,309.52,309.77,906100
2025-05-23,312.13,312.85,300.18,305.23,579500
2025-05-27,309.07,309.07,301.49,307.77,423800
2025-05-28,305.46,306.67,297.0,301.33,666500
2025-05-29,301.85,306.7,300.74,303.87,382100
2025-05-30,304.1,308.43,301.25,305.04,1008200
2025-06-02,301.98,303.98,292.34,297.35,604400
2025-06-03,295.3,297.33,289.96,293.59,654500
2025-06-04,294.07,296.99,291.89,292.61,560500
2025-06-05,291.84,294.5,290.59,293.56,441700
2025-06-06,293.47,298.05,291.02,296.88,397700
2025-06-09,299.99,300.36,293.07,297.0,438600
2025-06-10,299.48,299.48,293.96,295.69,464700
2025-06-11,294.78,299.5,292.03,294.62,675800
2025-06-12,293.67,293.67,287.02,293.48,542800
2025-06-13,292.24,298.5,290.87,298.14,630600
2025-06-16,297.15,297.15,286.69,290.25,650800
2025-06-17,289.29,295.5,289.29,292.4,521900
2025-06-18,292.74,296.59,288.4,295.34,636700
2025-06-20,295.92,297.79,291.28,294.01,921300
2025-06-23,294.86,295.99,288.82,291.14,513100
2025-06-24,291.25,295.44,288.7,294.51,514600
2025-06-25,294.02,295.08,290.5,294.14,367800
2025-06-26,296.0,303.76,289.46,291.06,744100
2025-06-27,291.28,297.92,290.0,297.05,642000
2025-06-30,295.92,298.39,294.0,297.9,689400
2025-07-01,296.54,311.52,294.83,306.29,889200
2025-07-02,267.7,268.15,236.37,239.0,3101800
2025-07-03,242.24,242.56,238.0,239.58,788900
2025-07-07,242.0,242.5,230.96,232.61,1354500
2025-07-08,231.6,234.51,229.86,231.02,855900
2025-07-09,230.0,237.5,227.68,237.22,996600
2025-07-10,233.0,235.88,227.63,228.58,1440500
2025-07-11,226.5,226.8,219.72,221.55,1446100
2025-07-14,221.46,222.66,216.56,218.95,1117200
2025-07-15,219.04,221.1,213.22,214.61,1103400
2025-07-16,213.64,218.03,211.61,216.06,1059500
2025-07-17,210.0,213.42,200.63,204.25,1774200
2025-07-18,203.48,204.39,182.09,182.98,3593200
2025-07-21,183.39,183.4,175.0,176.44,2769200
2025-07-22,177.9,183.15,176.65,180.64,2288800
2025-07-23,182.71,190.81,180.53,190.25,2696400
2025-07-24,173.21,180.0,157.48,158.22,5488500
2025-07-25,157.8,169.42,156.36,165.02,4892200
2025-07-28,164.52,166.75,162.0,164.19,2124200
2025-07-29,160.28,169.88,158.75,161.07,3408900
2025-07-30,163.0,164.0,158.74,159.97,2332000
2025-07-31,158.6,162.52,155.53,157.87,1725500
2025-08-01,159.31,160.49,153.01,155.13,2008000
2025-08-04,157.59,161.75,153.98,158.15,1731500
2025-08-05,158.71,159.0,152.13,155.24,1649000
2025-08-06,154.56,155.75,151.95,152.31,1294000
2025-08-07,155.0,157.23,152.83,155.0,1622800
2025-08-08,155.54,159.59,154.73,156.9,1310300
2025-08-11,157.04,160.51,153.65,153.83,1065200
2025-08-12,155.01,157.79,153.95,157.31,1621200
2025-08-13,158.55,163.8,157.81,161.21,1316600
2025-08-14,160.45,162.38,157.55,159.63,899000
2025-08-15,166.51,168.2,164.5,167.49,1712800
2025-08-18,171.73,175.0,168.96,169.15,1843400
2025-08-19,169.98,176.08,169.16,173.85,1754500
2025-08-20,174.0,177.98,173.46,173.6,1983000
2025-08-21,173.14,174.54,170.99,172.83,1420300
2025-08-22,174.81,177.91,173.77,174.44,1183900
2025-08-25,175.0,175.24,172.22,175.17,1254000
2025-08-26,174.43,176.33,172.52,174.78,2038900
2025-08-27,174.46,178.8,173.9,176.12,1522900
2025-08-28,176.96,176.96,173.64,174.72,1263500
2025-08-29,174.88,181.11,174.88,180.83,1489500
2025-09-02,181.31,184.83,180.29,183.25,1513400
2025-09-03,182.14,184.0,176.6,177.04,1405000
2025-09-04,170.0,172.5,166.46,170.83,2113500
2025-09-05,170.73,175.46,169.54,174.65,1294900
2025-09-08,175.47,175.59,171.57,175.55,1257500
2025-09-09,177.14,182.78,174.5,181.54,1295900
2025-09-10,179.94,181.59,175.01,179.15,1083400
2025-09-11,194.61,197.79,187.2,188.44,1540500
2025-09-12,187.62,189.48,180.38,180.88,1011300
2025-09-15,181.09,181.66,174.72,176.11,947700
2025-09-16,177.49,178.44,174.37,176.45,861600
2025-09-17,176.92,181.2,175.68,176.32,980800
2025-09-18,177.16,180.95,176.25,179.71,733000
2025-09-19,179.0,180.48,174.83,175.14,2064300
2025-09-22,174.79,182.64,174.0,181.87,1089400
2025-09-23,181.87,185.32,181.87,182.56,974400
2025-09-24,182.44,192.73,181.93,190.71,1473400
2025-09-25,188.85,190.5,185.19,189.3,1681300
2025-09-26,189.66,195.16,189.01,191.98,1080300
2025-09-29,192.0,193.87,189.45,192.95,720200
2025-09-30,192.93,195.56,191.18,191.36,796000
2025-10-01,192.38,194.71,190.37,192.79,618700
2025-10-02,191.64,196.53,190.8,194.25,808400
2025-10-03,194.99,203.27,194.99,201.97,1048100
2025-10-06,202.1,204.2,199.77,200.57,854200
2025-10-07,203.86,206.89,202.4,203.26,1149700
2025-10-08,204.0,205.47,200.6,202.92,880600
2025-10-09,204.8,204.8,200.16,200.36,993600
2025-10-10,201.89,201.89,193.27,194.05,838000
2025-10-13,193.66,196.54,192.19,194.27,749900
2025-10-14,192.32,196.24,191.7,194.89,804700
2025-10-15,192.27,193.33,188.4,192.39,970800
2025-10-16,188.33,192.18,186.0,188.56,1112800
2025-10-17,188.71,192.76,187.43,192.68,875900
2025-10-20,193.1,198.84,192.76,197.49,1051700
2025-10-21,193.87,199.22,187.23,196.8,1545800
2025-10-22,196.24,197.98,192.85,195.13,2759700
2025-10-23,157.05,161.41,152.25,161.0,7847100
2025-10-24,160.4,166.31,159.5,163.32,3511600
2025-10-27,163.87,164.88,160.0,162.19,2195300
2025-10-28,165.0,165.0,160.15,162.84,1364700
2025-10-29,165.0,165.0,160.0,160.28,1830300
2025-10-30,160.0,160.11,151.02,151.1,1887700
2025-10-31,151.1,153.57,147.75,153.06,1550300
2025-11-03,152.5,153.49,146.13,147.03,2239800
2025-11-04,147.51,152.31,146.65,151.69,1753000
2025-11-05,151.02,152.95,147.73,149.75,1546000
2025-11-06,149.8,152.8,146.8,147.12,1333000
2025-11-07,147.55,152.17,145.03,152.06,1707500
2025-11-10,145.0,147.14,139.29,140.9,2275300
2025-11-11,142.25,145.0,140.02,143.52,1615700
2025-11-12,142.64,145.68,141.02,141.03,1717800
2025-11-13,140.11,141.8,138.26,138.48,1866100
2025-11-14,138.6,138.75,136.48,137.54,1345600
