date,open,high,low,close,volume
2025-03-14,134.4463,138.6755,134.1428,138.186,1708300
2025-03-17,138.7147,144.0111,138.6755,143.0908,2324000
2025-03-18,144.5496,145.5971,141.6517,142.9342,2797800
2025-03-19,143.4335,147.4474,142.6894,146.4292,3591400
2025-03-20,144.9216,148.8865,144.5789,148.7592,3638800
2025-03-21,147.9173,148.8571,144.7355,146.811,6814000
2025-03-24,147.9663,150.2277,144.4614,145.5579,3087300
2025-03-25,146.439,148.1816,145.2936,145.9593,3562000
2025-03-26,147.7509,150.6585,146.2139,146.6642,1980900
2025-03-27,145.9202,146.5565,143.7468,144.2559,1579100
2025-03-28,143.9132,144.4418,140.3594,141.0741,1689100
2025-03-31,140.2517,143.4237,139.4979,142.6307,2483400
2025-04-01,142.709,143.8642,139.0573,143.551,1898800
2025-04-02,141.8083,145.0195,141.2405,144.7943,1654500
2025-04-03,137.0602,137.7259,125.0087,125.8898,5076200
2025-04-04,122.0423,123.3542,113.5348,118.5277,5833200
2025-04-07,115.6103,125.7136,112.6831,119.1053,4922800
2025-04-08,121.4745,123.4814,113.8774,116.0606,4459700
2025-04-09,113.2019,130.3051,112.9963,128.6604,5604400
2025-04-10,124.4017,127.466,116.1585,118.978,3970500
2025-04-11,118.2046,121.2004,115.2676,120.8381,2901200
2025-04-14,124.3234,124.7737,120.7011,122.2283,2709500
2025-04-15,121.4353,123.1486,119.1347,119.6633,2416100
2025-04-16,121.0731,125.1849,120.1431,121.4647,2897300
2025-04-17,122.9626,126.2226,122.9626,125.038,2387700
2025-04-21,122.6493,124.4115,121.3962,124.059,2425100
2025-04-22,126.6828,129.4044,125.5178,128.631,1736200
2025-04-23,131.5386,133.7512,129.2282,131.4799,2996300
2025-04-24,132.4295,135.3567,131.2253,134.6518,3061400
2025-04-25,133.5064,134.7791,132.9386,134.5539,1681100
2025-04-28,134.5637,135.4742,133.1344,134.691,1868400
2025-04-29,133.4281,135.7483,133.0267,135.4057,1747600
2025-04-30,132.8015,135.1022,130.2072,134.5246,2549300
2025-05-01,135.3861,138.421,133.9274,134.8281,2053400
2025-05-02,136.9133,139.1846,134.4169,138.5776,1944500
