date,open,high,low,close,volume
2025-03-14,580.5609,602.35,577.8336,601.0707,916000
2025-03-17,604.9882,639.462,604.641,635.366,1109700
2025-03-18,626.5988,632.7874,609.6197,617.1671,690500
2025-03-19,616.701,638.9165,611.7719,624.655,706300
2025-03-20,615.7786,647.5151,598.7797,604.0063,998100
2025-03-21,585.9065,593.0869,570.2663,586.1147,1713600
2025-03-24,604.0658,631.1113,595.9035,622.7606,1170800
2025-03-25,623.1871,633.4519,618.7836,627.7591,702400
2025-03-26,623.7226,624.8135,588.4454,595.5266,907100
2025-03-27,588.3661,606.0791,578.3394,596.4887,707000
2025-03-28,594.5448,607.8345,568.3126,575.1161,810800
2025-03-31,564.6745,578.2685,550.9413,576.757,1141400
2025-04-01,571.9339,584.9213,563.3916,578.2486,676900
2025-04-02,564.038,594.0901,561.1044,587.3677,506100
2025-04-03,549.8772,558.668,491.4437,495.9087,1927700
2025-04-04,473.9514,489.6437,448.7821,474.7371,1734100
2025-04-07,462.5153,522.1222,440.2299,485.9046,1814700
2025-04-08,505.7835,513.0529,436.4212,452.6604,1587900
2025-04-09,456.4592,564.5551,447.0319,558.7178,2335400
2025-04-10,523.057,527.6911,467.6069,482.0164,2145600
2025-04-11,486.9687,535.4478,473.3548,530.1673,2218600
2025-04-14,557.6338,557.6338,529.1629,535.8057,1291300
2025-04-15,542.1802,551.6871,534.3638,541.2255,634400
2025-04-16,515.191,528.1287,496.9131,521.9432,1275000
2025-04-17,535.0102,536.8201,511.4319,520.6703,864600
2025-04-21,509.8707,511.969,493.6414,505.3659,798700
2025-04-22,509.5127,523.6438,503.4963,508.9757,859100
2025-04-23,542.8762,550.9014,529.7496,533.9859,828700
2025-04-24,545.3623,579.3325,543.7215,577.5226,1046700
2025-04-25,574.0024,584.981,565.7982,580.4761,508700
2025-04-28,576.8464,588.1035,561.0844,581.9578,552300
2025-04-29,580.8938,590.4603,571.6753,583.4793,783800
2025-04-30,562.069,592.6083,559.2547,589.804,784700
2025-05-01,596.6657,610.5879,591.5344,598.2866,990100
2025-05-02,611.2641,645.7912,605.5759,633.3507,1651600
2025-05-05,631.1331,639.0289,622.5212,623.9135,629000
2025-05-06,616.8428,627.911,609.5436,619.5278,567200
2025-05-07,618.2152,636.9605,609.5934,633.1717,569400
2025-05-08,645.1845,652.7622,626.499,636.3738,638300
2025-05-09,643.8818,652.3544,627.1155,634.2258,639200
2025-05-12,690.1234,716.9933,676.2212,705.2887,1506800
2025-05-13,701.828,738.0754,701.828,733.6302,909300
2025-05-14,732.9044,750.8044,721.8163,730.1995,589500
2025-05-15,721.5876,726.3012,699.4413,706.3726,981400
2025-05-16,708.7891,712.8066,692.5797,711.4244,362000
2025-05-19,688.9301,702.7727,684.276,698.4866,512400
2025-05-20,691.635,698.3275,688.9202,696.279,420900
2025-05-21,687.16,700.0579,670.7218,674.8488,487500
2025-05-22,676.241,690.9587,667.3407,668.4644,461300
2025-05-23,646.3778,664.3971,645.0751,658.5001,508500
2025-05-27,679.5326,685.6882,667.9274,681.7104,787300
2025-05-28,682.2474,685.5689,671.7162,673.7151,517800
2025-05-29,695.6227,695.6227,673.3471,676.9371,419800
2025-05-30,667.7982,676.1912,639.7847,658.2217,950300
2025-06-02,657.635,667.4203,651.8573,664.9441,422700
2025-06-03,666.0679,684.9722,659.1068,681.9492,521300
2025-06-04,689.5367,717.2617,685.36,690.8891,534600
2025-06-05,697.8602,701.9772,671.0699,677.2752,568800
2025-06-06,694.3896,694.8769,681.7105,683.2618,293500
2025-06-09,689.6858,707.0488,686.0661,702.355,550300
2025-06-10,708.7592,734.7042,704.861,727.773,901100
2025-06-11,732.5165,736.7827,705.2688,716.8242,564900
2025-06-12,709.4752,725.9432,709.4454,714.5767,322600
2025-06-13,695.9608,699.0336,666.2767,669.27,1027900
2025-06-16,680.6564,708.7692,677.4343,702.6634,613800
2025-06-17,696.11,706.7803,685.9865,687.0307,430100
2025-06-18,689.9941,702.4744,682.2474,689.3875,455200
2025-06-20,701.0524,701.0524,672.8997,682.0884,1074600
2025-06-23,682.0883,691.1377,667.4501,688.7709,480600
2025-06-24,701.9274,715.1535,696.7563,712.5978,709700
2025-06-25,713.3337,720.9611,704.8909,718.8032,337400
2025-06-26,723.9543,739.8754,714.9944,731.0845,494500
2025-06-27,731.9994,741.3372,720.9511,731.9398,562300
2025-06-30,734.9394,738.9356,720.7086,728.8604,396500
2025-07-01,726.7177,754.133,719.7618,744.3966,587100
2025-07-02,740.5301,767.3473,733.2253,761.7667,578700
2025-07-03,767.3473,774.2036,751.811,756.0265,400100
2025-07-07,745.6523,752.7079,734.0922,738.6166,450600
2025-07-08,750.5653,767.4968,747.5756,758.6873,504200
2025-07-09,759.3849,776.1768,727.4851,748.5523,584700
2025-07-10,753.8041,753.8041,732.8665,737.8991,386900
2025-07-11,736.5936,745.0245,722.5023,733.5242,383100
2025-07-14,726.9171,727.0666,700.6379,718.6556,561100
2025-07-15,740.1912,752.389,714.4801,715.1478,585700
2025-07-16,714.0715,719.7419,684.5037,711.5702,779700
2025-07-17,707.4444,715.2474,701.0066,711.1117,431700
2025-07-18,717.41,723.3295,703.4084,722.7415,432700
2025-07-21,726.08,735.2184,721.416,722.2731,409700
2025-07-22,720.9975,727.4353,699.9004,717.4996,554200
2025-07-23,715.4069,718.9746,705.5609,717.5295,401900
2025-07-24,714.9884,718.3368,700.1397,710.5437,343500
2025-07-25,709.1585,715.7756,701.5946,712.2179,275900
2025-07-28,720.0708,738.517,719.2336,736.0057,545500
2025-07-29,742.9517,748.9011,712.5368,721.8745,488700
2025-07-30,731.9298,744.9248,723.5487,728.0233,629600
2025-07-31,728.7208,737.4507,703.5678,708.7897,1344500
2025-08-01,737.4507,800.2336,709.009,782.9135,1524100
2025-08-04,788.6935,829.1038,776.2167,827.7684,1360400
2025-08-05,827.1406,831.5653,771.4731,800.0144,988800
2025-08-06,799.2371,804.6185,787.3482,803.0738,416400
2025-08-07,813.4878,816.6768,782.2957,795.1911,640200
2025-08-08,795.7691,812.1923,791.7629,801.5192,399400
2025-08-11,803.4524,812.5909,793.0783,794.7625,540400
2025-08-12,805.0171,841.0924,800.2336,837.6642,713900
2025-08-13,842.6869,862.1496,837.1062,858.8311,543900
2025-08-14,842.6171,852.0445,833.6282,845.8858,582300
