date,open,high,low,close,volume
2025-03-14,226.02,227.9368,225.3909,227.5829,1721100
2025-03-17,226.8654,229.4014,226.4034,228.9394,1603100
2025-03-18,228.7723,230.2271,227.6419,228.2022,1510800
2025-03-19,228.0154,229.1163,226.6,228.6052,1598600
2025-03-20,228.5462,230.0698,227.1013,229.3916,1713900
2025-03-21,229.0672,229.9617,227.3175,228.3496,3067100
2025-03-24,229.8437,231.7605,228.8706,230.6202,2226500
2025-03-25,233.0973,233.7952,230.7579,232.5862,1444400
2025-03-26,232.9498,235.1517,232.9204,234.729,1873700
2025-03-27,235.9085,239.7322,234.5619,239.2604,2507400
2025-03-28,239.516,239.6732,237.3731,238.2578,2431100
2025-03-31,239.4767,241.7866,237.6189,239.8698,2595200
2025-04-01,239.8109,240.9216,238.0415,239.8403,1937600
2025-04-02,238.6903,239.86,236.7833,239.4865,2052400
2025-04-03,238.9983,243.1405,237.8937,240.9116,2117000
2025-04-04,239.1758,244.5903,226.1869,227.035,5141200
2025-04-07,226.1375,230.0135,219.4902,220.6639,6027200
2025-04-08,224.9639,226.2559,214.342,217.6163,3109900
2025-04-09,215.7523,227.6761,214.5688,226.4038,2858800
2025-04-10,226.4334,228.83,221.1175,225.6247,2257000
2025-04-11,225.8713,231.5323,223.7114,230.1319,2500200
2025-04-14,231.8874,236.0494,230.3883,234.0572,2339100
2025-04-15,234.2149,234.8461,228.8202,229.1653,2406600
2025-04-16,231.128,232.0156,226.7589,228.1396,2164200
2025-04-17,215.7622,221.6896,210.3871,217.0443,4377600
2025-04-21,215.6044,216.3046,207.0339,209.1839,2708600
2025-04-22,211.2452,217.1824,210.5055,216.5315,2483000
2025-04-23,218.1982,218.7407,214.8253,216.0285,2166200
2025-04-24,215.417,216.1172,212.4878,215.9496,1792900
2025-04-25,213.8982,216.6991,209.2825,216.2257,3174600
2025-04-28,217.1035,218.5927,216.423,217.429,2196900
2025-04-29,215.4367,219.2437,214.8746,218.9478,2059900
2025-04-30,219.5888,223.1689,216.2257,222.3701,3263800
2025-05-01,220.3088,222.5082,218.1489,220.9203,2313000
2025-05-02,222.8336,224.4412,221.6304,224.165,1355600
2025-05-05,223.9185,223.9974,220.4074,223.455,1501300
2025-05-06,222.8928,224.4215,221.7487,223.5832,1689100
2025-05-07,223.5832,225.9009,223.5832,224.7765,1677000
