date,open,high,low,close,volume
2025-03-14,539.8387,549.2813,537.1746,547.3277,405800
2025-03-17,545.3444,561.5163,544.7524,558.4378,343100
2025-03-18,558.9312,563.9041,557.3229,561.1315,555200
2025-03-19,560.2928,566.0452,554.5996,562.8187,522000
2025-03-20,557.8064,564.3284,555.0338,558.4576,580600
2025-03-21,554.4911,556.2277,547.3672,555.0732,822800
2025-03-24,562.2761,566.4005,557.6781,559.2469,476900
2025-03-25,561.4867,568.8671,556.6914,566.9628,409800
2025-03-26,567.0812,571.2254,558.0234,561.8912,455100
2025-03-27,562.651,563.4009,556.3757,558.2405,453900
2025-03-28,558.5267,561.99,547.6829,551.0377,390000
2025-03-31,546.716,559.7305,542.7297,557.9741,569400
2025-04-01,556.6716,562.8089,553.2479,559.7501,550100
2025-04-02,554.4911,569.0448,553.8201,568.2949,481900
2025-04-03,554.1063,556.7013,536.4346,536.9378,631700
2025-04-04,525.9955,526.1632,500.3908,500.6868,1194700
2025-04-07,490.662,514.4116,480.2622,499.8185,1092200
2025-04-08,516.4344,524.5844,490.2377,500.223,852900
2025-04-09,493.3458,543.5882,488.6886,542.0193,935700
2025-04-10,530.3369,531.146,503.045,520.7463,525800
2025-04-11,517.0462,538.7731,514.7176,534.4909,464600
2025-04-14,544.0124,550.4654,540.4505,543.9138,484200
2025-04-15,546.5383,554.5404,544.9596,549.163,362000
2025-04-16,543.9335,548.7584,531.5801,535.3394,418500
2025-04-17,540.2433,547.6533,535.7735,539.6118,508600
2025-04-21,532.0932,535.4578,518.7729,526.3802,917300
2025-04-22,514.7077,533.4153,509.419,531.3137,818200
2025-04-23,540.9142,552.5374,524.7127,526.3112,940900
2025-04-24,528.7779,531.2644,521.9599,523.5386,689700
2025-04-25,525.877,530.5934,521.6342,528.2352,504500
2025-04-28,527.5643,532.0241,522.3841,527.8307,433200
2025-04-29,529.3897,535.6749,524.3378,533.2674,350500
2025-04-30,529.8435,539.2566,524.1996,537.8554,600800
2025-05-01,535.7735,544.9399,532.4878,538.8027,430400
2025-05-02,547.1205,551.2843,543.3218,548.423,389900
2025-05-05,545.0189,550.4358,542.1772,543.085,328400
2025-05-06,538.3094,543.5783,535.1717,537.9147,438300
2025-05-07,538.3291,546.933,538.3291,545.3148,339800
2025-05-08,546.9133,555.6751,545.5615,550.5542,526100
2025-05-09,551.8172,553.6623,547.3375,549.1531,379900
2025-05-12,562.0392,562.3845,550.9784,561.3978,431600
2025-05-13,561.5558,566.8938,554.8068,556.3658,512800
2025-05-14,557.1552,560.1843,554.0965,559.0398,445200
2025-05-15,558.1516,569.0941,558.1516,567.7521,608300
2025-05-16,568.841,572.523,562.0214,566.3764,786900
2025-05-19,562.2588,569.1775,561.9916,566.802,284000
2025-05-20,563.4763,568.3164,561.4968,565.3768,508000
2025-05-21,562.1104,564.8522,553.7468,554.3802,509400
2025-05-22,553.8061,561.0117,550.7576,558.1216,435600
2025-05-23,552.4204,556.4588,550.9753,552.9648,226500
2025-05-27,558.0028,562.249,554.4792,560.804,433500
2025-05-28,560.3189,563.7238,556.7557,556.9338,359100
2025-05-29,559.2302,561.4374,555.0137,560.22,531900
2025-05-30,560.22,560.22,551.203,558.2602,631900
2025-06-02,551.9553,558.5967,538.989,558.4384,299100
2025-06-03,556.8546,561.576,548.7186,560.6257,338400
2025-06-04,562.3875,563.9118,559.5765,561.1205,264600
2025-06-05,563.12,563.12,555.4195,558.3097,348300
