date,open,high,low,close,volume
2025-03-14,18.86,19.3,18.65,19.19,11002800
2025-03-17,20.05,20.31,19.54,20.04,22133000
2025-03-18,19.71,19.81,18.86,19.07,18652300
2025-03-19,19.26,20.1,19.2,19.84,14923900
2025-03-20,19.61,20.32,19.56,20.09,12848500
2025-03-21,19.77,20.58,19.25,20.4,19959700
2025-03-24,20.58,20.88,20.4,20.69,14231700
2025-03-25,20.76,20.87,20.16,20.47,10935100
2025-03-26,20.5,20.57,20.12,20.22,7830100
2025-03-27,19.95,20.28,19.68,19.89,6933300
2025-03-28,19.66,19.8,19.01,19.15,9885900
2025-03-31,18.5,19.11,18.19,18.96,9994300
2025-04-01,18.95,19.16,18.35,19.06,7311300
2025-04-02,18.68,19.59,18.65,19.5,13937400
2025-04-03,18.18,18.28,16.24,16.31,29515400
2025-04-04,15.7,15.89,14.5,15.69,19510100
2025-04-07,14.84,16.58,14.21,15.5,23353800
2025-04-08,16.9,16.96,15.31,15.54,18894900
2025-04-09,15.6,18.65,15.24,18.39,30254800
2025-04-10,17.4,17.55,16.11,16.69,19764500
2025-04-11,16.59,16.66,15.81,16.32,15522600
2025-04-14,16.96,17.25,16.24,16.3,18691500
2025-04-15,16.51,16.6,16.17,16.31,17487100
2025-04-16,16.13,16.63,15.85,16.09,13154800
2025-04-17,16.12,16.52,15.97,16.38,9761500
2025-04-21,16.3,16.67,15.84,16.05,12452600
2025-04-22,16.19,16.66,16.19,16.61,10740900
2025-04-23,17.57,18.2,16.97,17.0,18243100
2025-04-24,16.82,17.23,16.66,17.15,15301200
2025-04-25,17.1,17.26,16.95,17.23,10184800
2025-04-28,17.48,18.06,17.23,17.44,12812700
2025-04-29,17.72,17.76,16.93,17.38,17782400
2025-04-30,15.64,16.08,15.31,16.03,33034000
2025-05-01,16.23,16.43,16.05,16.26,19853000
2025-05-02,16.71,17.56,16.68,17.37,25980900
2025-05-05,17.0,17.72,16.9,17.37,17882600
2025-05-06,16.98,17.45,16.78,17.27,10670400
2025-05-07,17.33,17.6,17.14,17.31,9633900
2025-05-08,17.55,18.09,17.45,17.88,13639100
2025-05-09,17.81,17.96,17.46,17.7,9773000
2025-05-12,18.9,19.4,18.67,19.15,22948800
2025-05-13,19.22,19.51,19.08,19.34,21521200
2025-05-14,19.34,19.68,19.33,19.44,15556800
2025-05-15,19.24,19.37,18.86,19.09,11175400
2025-05-16,19.22,19.37,19.08,19.27,10445600
2025-05-19,18.71,18.97,18.38,18.91,13147800
2025-05-20,18.43,18.55,18.06,18.17,14922400
2025-05-21,17.9,17.9,17.12,17.22,15027700
2025-05-22,17.24,17.6,17.05,17.44,11880200
2025-05-23,16.91,17.4,16.87,17.32,7429700
2025-05-27,17.77,18.31,17.71,18.09,16507400
2025-05-28,18.02,18.1,17.52,17.54,10977500
2025-05-29,17.65,17.84,17.43,17.6,9194000
2025-05-30,17.5,17.8,17.42,17.65,10748700
2025-06-02,17.5,17.74,17.2,17.67,9819700
2025-06-03,17.68,18.33,17.6,18.28,11680300
2025-06-04,18.26,18.46,18.04,18.4,16505800
2025-06-05,18.6,19.72,18.48,19.35,28055800
2025-06-06,19.65,19.86,19.28,19.56,14742800
2025-06-09,19.8,20.15,19.48,19.59,15397600
2025-06-10,19.62,19.85,19.48,19.74,12526500
2025-06-11,19.79,19.84,18.98,19.08,15549400
2025-06-12,18.75,18.95,18.52,18.72,10845200
2025-06-13,17.77,18.41,17.61,17.78,17278000
2025-06-16,18.0,18.6,18.0,18.55,13101600
2025-06-17,18.32,18.63,18.05,18.13,12367800
2025-06-18,17.83,18.5,17.82,18.39,13195300
2025-06-20,18.61,18.97,18.54,18.86,14736000
2025-06-23,18.42,18.68,17.42,18.6,31785100
2025-06-24,19.3,19.99,19.26,19.4,28488400
2025-06-25,19.45,19.5,18.88,19.02,12966800
2025-06-26,19.24,19.5,19.04,19.46,14388000
2025-06-27,19.56,20.26,19.37,20.18,17346800
2025-06-30,20.19,20.44,20.03,20.28,14436500
2025-07-01,20.1,21.16,20.08,20.98,19604400
2025-07-02,20.99,21.54,20.99,21.37,18909700
2025-07-03,21.6,22.09,21.49,21.98,10913000
2025-07-07,21.8,22.23,21.22,21.45,14561900
2025-07-08,21.84,21.9,21.38,21.64,15248300
2025-07-09,21.98,22.15,21.73,21.96,10690700
2025-07-10,22.3,23.24,22.25,23.15,19817500
2025-07-11,22.61,23.01,22.58,22.62,10950800
2025-07-14,22.54,23.32,22.49,23.27,13471100
2025-07-15,23.38,23.38,22.71,22.74,14698300
2025-07-16,23.0,23.45,22.82,23.05,17115200
2025-07-17,23.17,23.71,23.09,23.6,12123400
2025-07-18,23.82,23.87,23.58,23.59,8903800
2025-07-21,23.64,23.76,23.17,23.19,11727500
2025-07-22,23.56,23.66,22.86,23.6,17029500
2025-07-23,23.89,24.44,23.87,24.32,14824500
2025-07-24,24.11,24.26,23.48,23.5,12064100
2025-07-25,23.63,23.86,23.32,23.82,9160300
