date,open,high,low,close,volume
2025-03-14,200.5126,204.78,200.5126,204.4055,296300
2025-03-17,204.5731,208.9096,204.5731,207.6382,279600
2025-03-18,207.2637,208.4365,204.3563,205.5192,251800
2025-03-19,205.0264,206.5639,203.2721,205.5587,273400
2025-03-21,201.1514,202.5124,198.745,201.0527,533800
2025-03-24,202.1869,206.2502,201.753,204.7215,287600
2025-03-25,205.5302,206.9997,200.9245,203.0942,290400
2025-03-26,203.2816,205.4217,202.6406,203.7057,196500
2025-03-27,203.0351,205.2935,201.9601,203.7057,253900
2025-03-28,203.3901,203.6071,197.5812,197.6996,300400
2025-03-31,197.2459,200.6879,194.2872,198.9422,382200
2025-04-01,198.0842,199.8989,196.4273,198.1828,284900
2025-04-02,196.4471,200.9048,195.6088,200.5498,234700
2025-04-03,193.9322,195.0466,183.6655,183.8233,450700
2025-04-04,178.0933,178.3695,170.9728,174.2963,707500
2025-04-07,177.3241,178.3695,166.4361,168.448,1024400
2025-04-08,173.0635,175.4206,162.7969,165.2033,715900
2025-04-09,163.7042,185.2928,162.7575,184.7109,767100
2025-04-10,180.5293,180.6378,172.8367,178.547,666800
2025-04-11,178.547,183.2809,176.4956,183.0047,622400
2025-04-14,184.494,185.2534,179.6318,181.91,449100
2025-04-15,181.2789,183.6951,179.7798,180.5688,272300
2025-04-16,180.5688,181.1013,176.466,178.2018,249800
2025-04-17,178.2018,180.1545,177.0874,178.3202,404300
2025-04-21,176.1603,177.2156,172.1858,174.6711,389800
2025-04-22,176.8211,181.0126,174.4246,180.5392,302400
2025-04-23,184.3263,189.4547,181.7818,182.1862,255800
2025-04-24,182.5511,187.2357,181.3775,186.8412,298400
2025-04-25,186.6341,186.6341,184.7602,185.6281,219600
2025-04-28,186.2889,189.1983,184.5236,186.1015,245600
2025-04-29,185.8747,187.8767,185.204,186.1607,248600
2025-04-30,183.9318,187.4724,182.0382,186.9595,638800
2025-05-01,187.285,189.6223,184.6616,187.7386,435600
2025-05-02,191.2299,191.6441,189.3166,190.1845,333200
2025-05-05,188.3205,190.6776,188.074,188.2712,268400
2025-05-06,187.1075,188.2318,185.3027,185.8451,229500
2025-05-07,186.3185,187.7485,185.6281,186.6834,295700
2025-05-08,189.001,193.6462,188.1825,191.4272,277100
2025-05-09,191.7329,192.4923,189.5829,189.9675,251400
2025-05-12,197.7686,200.9147,197.2459,200.2046,420100
2025-05-13,200.6188,201.9699,198.7943,199.8101,294300
2025-05-14,198.3801,200.2046,197.2656,198.3604,316200
2025-05-15,198.5477,199.2184,196.3287,198.3308,277500
2025-05-16,198.7154,202.8082,197.7489,202.5222,313900
2025-05-19,200.244,202.1968,199.5142,201.6346,303100
2025-05-20,200.5892,201.6445,198.6168,199.6129,194300
2025-05-21,198.0053,198.5379,193.5081,193.7645,262000
