date,open,high,low,close,volume
2025-03-14,164.552,169.812,164.552,168.866,9266000
2025-03-17,167.8,171.136,167.0,168.586,8284000
2025-03-18,167.486,167.494,164.07,166.0,8840000
2025-03-19,167.146,170.8,166.004,168.824,7809000
2025-03-20,165.448,165.652,161.836,164.824,12965000
2025-03-21,163.228,165.78,161.76,165.55,14536500
2025-03-24,169.2,170.696,168.244,169.946,7997500
2025-03-25,171.646,174.198,171.0,172.276,8216000
2025-03-26,171.268,172.102,166.806,167.71,6743000
2025-03-27,167.008,167.99,164.434,165.548,7400000
2025-03-28,164.0,164.202,157.906,159.552,8792500
2025-03-31,156.304,159.8,151.568,159.228,14921000
2025-04-01,159.644,162.592,158.546,162.312,7715000
2025-04-02,158.936,165.432,158.936,164.806,8132000
2025-04-03,156.55,157.612,151.45,154.814,10439000
2025-04-04,151.268,151.754,143.69,144.33,14502000
2025-04-07,137.6,151.73,135.732,147.1,14391000
2025-04-08,153.602,155.176,142.638,145.52,10616000
2025-04-09,145.0,166.328,144.64,165.19,15460000
2025-04-10,161.418,161.998,152.216,156.698,10232000
2025-04-11,154.262,157.376,151.0,157.134,10515000
2025-04-14,160.444,162.426,157.36,159.964,8585000
2025-04-15,160.192,164.98,159.842,163.3,8676000
2025-04-16,160.922,164.234,158.148,159.332,9347500
2025-04-17,160.012,160.012,153.804,154.432,9019500
2025-04-21,151.872,153.11,148.482,151.198,8343500
2025-04-22,152.56,155.326,150.488,153.366,7914000
2025-04-23,164.208,166.792,161.4,162.54,15096000
2025-04-24,180.062,188.796,179.666,187.714,30415500
2025-04-25,188.8,192.0,185.834,189.052,14439000
2025-04-28,191.97,192.206,185.426,187.482,10262000
2025-04-29,188.0,189.446,186.11,188.572,6226500
2025-04-30,186.112,191.532,184.08,191.002,9739500
2025-05-01,194.772,195.724,191.504,191.59,9038500
2025-05-02,195.784,197.1,193.812,195.472,8347000
2025-05-05,194.6,198.4,194.268,195.61,6371000
2025-05-06,193.808,195.736,192.838,193.052,6402500
2025-05-07,194.244,197.462,193.458,196.658,8648500
2025-05-08,197.0,198.4,194.562,194.898,7344000
2025-05-09,196.0,197.356,194.324,196.012,4600500
2025-05-12,201.704,203.4,199.134,203.12,7160500
2025-05-13,204.6,207.996,203.4,207.344,7415500
2025-05-14,207.4,209.2,205.33,205.364,7073000
2025-05-15,206.884,208.13,204.392,207.036,4940000
2025-05-16,207.678,208.748,206.626,208.036,5804500
2025-05-19,205.79,206.938,203.21,205.15,10356000
2025-05-20,203.0,204.932,202.664,204.368,5375000
2025-05-21,201.78,206.148,201.116,202.952,6298000
2025-05-22,202.952,205.498,202.358,203.154,4282000
2025-05-23,200.0,202.858,198.92,200.874,6940500
2025-05-27,202.722,205.966,202.596,205.478,5512500
2025-05-28,205.478,207.534,203.636,204.26,4966500
2025-05-29,204.634,204.916,200.94,203.046,6329500
2025-05-30,204.0,204.0,200.518,202.218,13319500
2025-06-02,201.828,203.59,200.06,202.422,5013000
2025-06-03,202.364,203.25,201.1,202.176,5118500
2025-06-04,202.312,203.51,200.592,202.548,3589000
2025-06-05,205.462,206.288,202.834,203.52,4512000
2025-06-06,205.246,206.92,203.268,206.042,4798500
2025-06-09,206.2,206.896,203.612,205.372,4539000
2025-06-10,204.228,205.372,199.824,201.958,5946000
2025-06-11,202.048,203.544,200.28,200.866,3714000
2025-06-12,200.52,203.208,200.52,201.474,4241000
2025-06-13,199.606,200.2,195.638,197.732,6661000
2025-06-16,198.4,203.394,198.276,201.026,6154500
2025-06-17,200.77,202.4,199.868,200.982,4099000
2025-06-18,200.888,201.408,195.84,196.416,6047500
2025-06-20,197.118,197.202,193.09,194.282,10038500
2025-06-23,194.282,196.266,191.366,196.08,5499500
2025-06-24,198.0,199.9,197.0,199.264,7570000
2025-06-25,199.656,202.8,199.63,201.032,5968500
2025-06-26,201.436,202.712,198.9,202.288,6022000
2025-06-27,202.556,206.606,202.414,204.484,7571500
2025-06-30,205.948,207.274,203.69,205.616,5046500
2025-07-01,205.452,206.388,198.946,202.378,6220500
2025-07-02,200.074,202.208,198.4,201.952,4357000
2025-07-03,203.546,211.478,203.0,208.938,6029500
2025-07-07,208.646,209.8,205.524,207.002,5668000
2025-07-08,207.436,207.754,202.25,204.596,7301000
2025-07-09,204.9,205.602,201.8,202.742,5767000
2025-07-10,202.74,202.74,193.062,193.618,10016500
2025-07-11,192.0,193.2,186.834,187.756,10773500
2025-07-14,187.74,192.868,187.028,192.356,9062500
2025-07-15,193.054,194.868,191.2,191.384,6321500
2025-07-16,193.012,193.818,190.676,193.394,4925500
2025-07-17,193.698,195.0,191.0,191.83,6378000
2025-07-18,191.61,192.704,189.946,192.68,5778000
2025-07-21,191.906,193.82,191.6,191.982,5564000
2025-07-22,192.756,194.792,191.368,192.474,5878500
2025-07-23,189.572,193.37,189.572,191.286,9920000
2025-07-24,206.932,210.2,196.4,199.236,20350500
2025-07-25,200.024,200.2,192.816,193.758,9998000
2025-07-28,195.2,199.208,195.196,197.15,7373000
2025-07-29,198.306,201.15,196.456,198.64,6038500
2025-07-30,198.318,198.606,194.6,195.496,5471000
2025-07-31,196.4,196.4,188.012,188.624,10659500
2025-08-01,187.458,187.458,181.898,182.874,9055500
2025-08-04,183.704,185.916,183.052,184.6,6427500
2025-08-05,184.4,185.1,180.89,181.024,7242500
2025-08-06,182.32,182.61,180.566,182.462,5343000
2025-08-07,184.4,184.578,172.4,174.824,13993500
2025-08-08,175.678,176.4,172.428,174.502,9514000
