date,open,high,low,close,volume
2025-03-14,225.0427,228.5316,223.5726,227.6593,1081000
2025-03-17,227.8259,230.9914,227.1987,229.7076,909800
2025-03-18,230.4426,231.844,226.9341,229.8644,997600
2025-03-19,229.8644,231.2756,228.2571,229.9722,735200
2025-03-20,228.1199,230.423,227.3653,228.8745,959300
2025-03-21,226.9243,228.0219,224.3958,227.1203,1248300
2025-03-24,230.3446,231.7558,229.5312,230.8444,1294900
2025-03-25,230.423,231.6872,228.6687,229.3254,939900
2025-03-26,229.2176,231.0502,227.5907,231.0502,1276700
2025-03-27,231.5206,232.5006,229.639,230.5112,1260800
2025-03-28,230.129,230.227,225.6993,225.9443,835300
2025-03-31,225.6111,233.3729,225.5817,232.1184,1682600
2025-04-01,229.884,232.0498,227.7377,231.8832,788700
2025-04-02,229.0216,234.5097,229.0216,233.8041,827100
2025-04-03,227.3261,228.1101,215.605,216.3303,2057600
2025-04-04,213.2628,215.1738,206.0106,206.7162,2308400
2025-04-07,204.3642,212.8022,197.602,203.8938,2229800
2025-04-08,210.5677,211.2243,198.5036,202.2179,1622600
2025-04-09,199.6797,218.1923,198.8956,217.5847,3668100
2025-04-10,214.5956,214.5956,206.6574,211.1557,1519800
2025-04-11,210.7931,214.3408,207.6864,213.9488,1401100
2025-04-14,216.6831,218.4079,214.9484,216.9771,977000
2025-04-15,216.2518,219.3291,212.9688,213.3706,843200
2025-04-16,212.0378,213.5568,208.0001,209.7543,1275300
2025-04-17,210.4011,216.9673,210.2149,215.4482,1362700
2025-04-21,213.3706,214.9288,210.4893,214.5662,1496100
2025-04-22,216.7027,217.8885,213.645,215.605,1895900
2025-04-23,220.5052,226.5911,217.3985,217.5161,1853400
2025-04-24,214.6348,223.8862,212.9884,222.1516,1798700
2025-04-25,219.9269,222.279,216.0853,217.2809,1306900
2025-04-28,216.7321,219.3781,215.409,217.3005,958700
2025-04-29,215.6932,220.1817,215.6932,218.8979,1053000
2025-04-30,216.8987,220.1131,214.5564,219.5741,1111400
2025-05-01,218.9469,220.2798,216.2813,217.3397,1088600
2025-05-02,220.6034,222.6248,218.9765,221.2246,1051000
2025-05-05,219.4695,222.043,218.6412,219.1737,749800
