date,open,high,low,close,volume
2025-03-14,89.6386,91.02,89.0605,90.1187,1751600
2025-03-17,90.0991,92.4113,89.8443,91.3923,2073700
2025-03-18,91.167,91.6765,90.0501,90.393,2552900
2025-03-19,91.0788,92.8032,90.4714,91.6373,2075600
2025-03-20,90.9809,92.2056,90.1676,90.2362,2845900
2025-03-21,89.7953,91.0886,88.9527,90.3832,5417000
2025-03-24,92.0292,93.3225,91.118,93.1951,2170400
2025-03-25,93.4303,94.1553,91.9704,92.4799,2095300
2025-03-26,92.5387,92.8718,90.8241,90.8731,1900300
2025-03-27,89.8345,90.0011,88.9429,89.2467,2640200
2025-03-28,88.9135,88.9919,86.3564,86.6111,2662200
2025-03-31,85.4256,86.8462,84.6516,86.0624,2953400
2025-04-01,86.5621,87.8554,86.2192,87.679,2838800
2025-04-02,86.5621,89.374,86.2584,88.6588,1591200
2025-04-03,84.9847,85.1317,79.9095,79.9585,3334200
2025-04-04,77.3751,77.7202,73.7859,75.0381,3381900
2025-04-07,71.9814,78.4893,70.8376,75.9946,3676600
2025-04-08,78.7161,79.9388,73.7563,75.0776,2913300
2025-04-09,74.979,86.2396,74.2493,84.8986,4518500
2025-04-10,81.9799,82.5715,78.6964,81.1319,3555600
2025-04-11,80.6389,82.4828,79.5641,81.4869,2738500
2025-04-14,83.9421,83.9421,80.7671,82.118,2516700
2025-04-15,81.3587,82.7983,80.6192,81.0333,2539800
2025-04-16,79.5542,81.0629,79.1007,80.2149,1776400
2025-04-17,81.546,82.1673,80.5206,81.4573,1602000
2025-04-21,80.3628,81.053,79.5148,80.5403,1286200
2025-04-22,81.4869,81.8616,80.5896,81.2995,1771700
2025-04-23,84.1591,86.3481,83.3012,83.6956,1722400
2025-04-24,84.2577,87.1073,83.9323,86.9397,1813000
2025-04-25,86.6636,87.2651,85.7072,87.2158,1699100
2025-04-28,86.6833,87.8567,85.9734,86.7721,1383700
2025-04-29,85.9832,87.4426,85.9832,86.634,1207300
2025-04-30,86.8707,88.6949,85.4902,88.4977,2861500
2025-05-01,88.7442,89.4837,87.906,88.478,1386200
2025-05-02,90.0852,91.2586,89.5922,91.0417,1528400
2025-05-05,90.4698,92.3531,90.1049,91.7911,1844400
2025-05-06,90.7261,92.2249,89.8781,90.9727,1865000
2025-05-07,91.5643,91.7911,90.3317,91.722,2257100
2025-05-08,92.2545,94.0195,91.6136,93.1222,1839300
2025-05-09,93.7336,93.8815,91.9291,92.146,1365000
2025-05-12,96.1395,97.165,95.7846,97.0566,1532500
2025-05-13,97.0566,98.4074,96.741,98.1412,1377700
2025-05-14,98.5751,99.0385,97.6186,98.2595,1839800
2025-05-15,97.8059,98.4469,96.9086,98.4272,1894400
2025-05-16,98.5849,99.5513,97.9834,99.1273,1698600
2025-05-19,98.23,100.5274,97.7961,100.1133,2036800
2025-05-20,99.0878,100.2809,98.7131,99.6498,1666100
2025-05-21,98.7131,100.7444,97.806,98.1806,1777200
