date,open,high,low,close,volume
2025-03-14,201.023,203.1431,199.7273,202.3579,2771400
2025-03-17,201.0818,208.2079,201.0818,205.9602,2207500
2025-03-18,203.6241,205.1357,201.4843,203.2805,1862500
2025-03-20,201.2821,202.8603,198.7865,199.8814,1455400
2025-03-21,197.4549,198.6386,194.2689,197.9087,3352000
2025-03-24,203.5114,209.5283,202.8012,208.246,2743000
2025-03-25,210.998,213.681,207.881,208.4531,1662300
2025-03-26,208.1671,209.7157,200.1083,202.9491,3636500
2025-03-27,200.5226,201.0947,196.0148,197.3366,2877400
2025-03-28,195.5709,196.3699,186.2792,187.4037,4260700
2025-03-31,184.7503,188.5084,181.0612,187.4727,4304200
2025-04-01,185.9833,187.5516,181.7911,187.4135,2270400
2025-04-02,183.8625,193.9138,183.8625,191.0336,2231700
2025-04-03,180.9823,182.7873,169.3725,169.5402,6169100
2025-04-04,162.6256,165.1014,153.7481,158.6209,6449000
2025-04-07,154.409,171.1875,150.2958,161.0671,6564400
2025-04-08,162.3396,166.6994,146.074,151.4104,5100400
2025-04-09,154.3893,184.9574,150.138,183.3397,8787100
2025-04-10,173.7225,175.4388,157.3583,163.3358,6325900
2025-04-11,162.1028,167.4984,156.5001,166.4922,5169400
2025-04-14,170.1024,170.9803,164.4899,168.2283,2349500
2025-04-15,170.3687,172.1344,167.1531,169.2936,1924200
2025-04-16,163.0004,168.1296,160.9389,166.295,4699400
2025-04-17,167.597,169.6783,164.4899,168.4157,2106400
2025-04-21,164.3321,169.6092,164.3321,169.1653,2624900
2025-04-22,171.3749,173.683,169.8262,172.2823,2876200
2025-04-23,178.9898,182.8367,177.0663,178.4078,3917500
2025-04-24,184.6615,191.7832,182.2547,190.9349,4247200
2025-04-25,186.8118,191.941,185.8452,190.9152,2485700
2025-04-28,190.2444,195.4526,187.9955,193.5686,4337500
2025-04-29,179.049,183.0142,174.7779,180.134,6950800
2025-04-30,176.8493,182.4224,173.8605,181.801,3210600
2025-05-01,183.5765,184.2768,179.0391,179.3646,3354900
2025-05-02,181.9686,189.0016,181.7714,185.5788,3434700
2025-05-05,183.4877,184.3163,181.6432,182.4323,2323900
2025-05-06,179.769,182.1265,178.1711,179.9268,1579800
2025-05-07,181.1401,185.2632,179.9367,184.3261,2137500
2025-05-08,187.0584,190.4121,184.3557,186.003,2412200
2025-05-09,188.6761,191.4084,186.8611,189.2679,2682900
2025-05-12,202.0909,206.0858,201.5386,204.2117,4998000
2025-05-13,203.393,210.1103,203.393,209.5086,3909900
2025-05-14,209.6861,210.5147,206.2239,208.4531,2386700
2025-05-15,206.8552,208.7885,205.8294,207.8613,1999500
2025-05-16,208.0783,210.0906,206.2732,209.6664,2093700
2025-05-19,203.8664,208.5617,202.7222,207.4964,2108800
2025-05-20,204.8528,208.0783,204.8528,207.2202,1672000
2025-05-21,204.5372,210.4555,201.5978,202.5546,3017900
2025-05-22,206.8453,208.1276,193.5883,193.8349,5012600
2025-05-23,187.3346,191.4577,186.7428,189.5342,3674100
2025-05-27,192.6414,197.7213,191.1421,196.1924,3935000
2025-05-28,196.3403,197.5437,193.1148,193.539,2240400
2025-05-29,197.2774,197.593,191.9509,193.2233,1851400
2025-05-30,192.0101,192.3948,185.6183,188.5281,4292600
2025-06-02,187.7686,191.0237,187.2162,190.1852,1734200
2025-06-03,189.5934,197.0012,187.739,196.2515,2866900
2025-06-04,199.5066,208.2164,198.5399,207.161,3857200
2025-06-05,208.0586,210.5936,202.8899,204.0835,2362500
2025-06-06,207.7331,208.1276,204.5668,204.8528,1901200
2025-06-09,206.7566,212.3,206.0957,210.1793,2727100
2025-06-10,211.5208,217.7252,210.5936,215.7425,2588900
2025-06-11,216.8078,219.1949,212.1915,214.4504,2222200
2025-06-12,214.3517,217.0248,213.2667,214.4405,1711000
2025-06-13,209.982,212.2507,207.5555,208.029,1840200
2025-06-16,211.0276,215.0422,210.3174,214.5687,1739100
2025-06-17,210.1497,214.3123,209.6861,209.9327,2202200
2025-06-18,210.6627,211.5307,207.8613,208.5715,1938800
2025-06-20,210.5147,212.4382,204.8824,206.1549,4244800
2025-06-23,206.7171,208.6997,203.0675,207.9895,1847200
2025-06-24,212.0732,217.6759,211.1855,215.5354,2833300
2025-06-25,215.5592,215.9655,211.8826,214.3304,1781700
2025-06-26,215.9358,217.3826,214.6277,216.3322,2709700
2025-06-27,216.1835,218.8988,213.1709,215.0835,2060500
2025-06-30,217.7295,217.7295,214.697,216.5204,2165300
2025-07-01,214.6376,223.5366,213.5078,219.2159,4451100
2025-07-02,222.0799,230.1069,221.842,229.0663,2730800
2025-07-03,229.0663,231.078,228.1744,230.0078,1299400
2025-07-07,226.7871,229.542,223.4177,223.9627,2165700
2025-07-08,226.6978,232.2077,225.0825,230.2456,2287900
2025-07-09,229.6906,232.4158,225.3898,228.3429,1819200
2025-07-10,230.969,234.3285,228.3528,231.0879,1948100
2025-07-11,228.2042,229.978,225.9447,226.8564,1870700
2025-07-14,225.0132,225.0132,220.4943,222.5853,2706600
2025-07-15,224.8447,224.9537,218.9087,219.0673,2397900
2025-07-16,219.0772,220.1673,213.9538,218.5916,2140300
2025-07-17,217.8682,223.0808,216.9862,222.4763,1981400
2025-07-18,226.9654,227.6393,220.5637,223.8636,2500700
2025-07-21,225.2907,230.196,225.2015,226.2123,6030200
2025-07-22,220.1276,227.7582,218.7898,225.9447,6032400
2025-07-23,223.6555,224.6267,216.5006,222.6844,3655500
2025-07-24,220.415,222.6943,215.9357,222.4069,2413700
2025-07-25,220.8808,221.7826,219.0078,221.2772,2160700
2025-07-28,223.8141,226.6087,222.724,226.4303,2924900
2025-07-29,227.2528,231.0086,224.3889,224.6961,1915600
2025-07-30,226.0042,226.0042,217.8186,218.9483,2092700
2025-07-31,217.5015,217.5015,210.2772,211.843,2727200
2025-08-01,209.316,210.0889,204.4106,208.0277,2554400
2025-08-04,208.7412,210.2079,207.4628,210.079,2184000
2025-08-05,211.6547,213.1511,205.9268,206.5908,2756900
2025-08-06,205.58,205.58,201.4079,204.0638,2769600
2025-08-07,206.8781,208.6421,202.6764,204.0538,2195900
2025-08-08,204.6088,207.9187,202.7457,205.2926,1659700
2025-08-11,205.2331,208.6817,202.8845,203.3106,3902300
2025-08-12,205.8475,218.7898,205.0547,218.0664,4210300
2025-08-13,218.7799,228.9276,218.0862,228.442,3582900
2025-08-14,224.2501,230.424,222.0601,229.4528,2810200
2025-08-15,231.415,231.415,224.1808,226.7177,3336700
2025-08-18,226.9258,231.8411,225.6771,229.9186,2470000
2025-08-19,230.5032,231.8807,226.46,227.2033,2217600
2025-08-20,229.4033,231.3852,220.9898,226.7078,3986800
