date,open,high,low,close,volume
2025-03-14,162.812,163.3185,160.6372,161.3721,1412300
2025-03-17,159.8924,165.9302,158.0056,164.9669,1602600
2025-03-18,164.1923,165.2152,159.376,160.955,1148200
2025-03-19,160.9649,162.2856,158.3929,161.3125,1646500
2025-03-20,159.7931,162.2757,159.2568,160.0116,1585700
2025-03-21,157.2111,164.2221,156.5756,164.0732,3630700
2025-03-24,166.4466,169.4754,166.3175,168.8696,1302600
2025-03-25,168.9391,169.535,165.9302,166.4366,1478600
2025-03-26,166.387,168.3036,165.7614,167.4992,1423100
2025-03-27,167.5985,170.3493,167.1914,169.0484,1260200
2025-03-28,168.4327,168.7505,163.5766,163.7057,1285800
2025-03-31,160.9252,165.4635,160.9252,164.3016,1608300
2025-04-01,162.5339,166.8339,161.8884,165.9302,1219200
2025-04-02,163.5171,169.396,163.3284,168.9193,904900
2025-04-03,161.4018,164.4704,151.9579,154.6689,2683400
2025-04-04,152.1068,154.6987,146.0392,151.0045,3326300
2025-04-07,151.213,158.7504,144.9468,150.359,2779500
2025-04-08,156.3174,156.3571,145.3044,147.3103,1877800
2025-04-09,145.8207,165.0563,144.778,164.3413,3158600
2025-04-10,160.8358,160.8358,151.1733,155.662,2180900
2025-04-11,153.7454,153.7454,145.1256,151.1733,2640800
2025-04-14,153.2091,154.7682,150.8953,154.0334,1189200
2025-04-15,154.222,155.3938,150.4186,151.789,1001800
2025-04-16,150.0214,150.8357,144.8873,146.8237,1928000
2025-04-17,148.353,153.7454,148.0154,152.6828,1456500
2025-04-21,150.4186,151.6798,146.0293,148.8297,1791100
2025-04-22,149.2369,152.1068,147.6083,151.0145,1840300
2025-04-23,158.0155,166.7246,150.5477,152.1664,3069700
2025-04-24,150.6073,158.0751,149.8525,157.797,1834800
2025-04-25,148.2438,150.4683,143.8942,145.7215,4094900
2025-04-28,145.9896,148.4921,144.778,147.9657,2699000
2025-04-29,146.933,148.9985,145.5526,148.6112,2026000
2025-04-30,148.1147,152.5934,145.354,152.216,2958800
2025-05-01,151.799,153.1197,148.5715,149.5149,2153700
2025-05-02,151.938,159.7037,151.1932,156.9132,2628100
2025-05-05,155.801,157.6282,154.9768,155.1456,1272100
2025-05-06,152.9311,154.5597,151.4613,152.2856,1012300
2025-05-07,152.8913,155.4137,152.8913,154.51,1173900
2025-05-08,155.0165,160.3095,154.4603,159.0086,1733900
2025-05-09,158.6411,159.1774,156.2479,157.1813,1058000
2025-05-12,168.681,175.6224,166.8339,174.8479,3596800
2025-05-13,174.7386,175.1458,170.0514,170.1507,1841000
2025-05-14,169.2867,170.8061,167.2013,170.4585,1470400
2025-05-15,169.3662,170.1408,167.6283,168.7505,1652400
2025-05-16,170.0017,170.3493,167.7773,170.0911,1098200
2025-05-19,167.817,171.1934,166.675,170.4188,2107100
2025-05-20,169.2172,170.528,167.6382,168.4228,1886500
2025-05-21,165.7812,167.4794,163.0205,163.0503,2048800
