date,open,high,low,close,volume
2025-03-14,147.4261,149.3664,146.3965,147.7726,9330000
2025-03-17,148.8912,154.1876,148.8912,152.465,9885000
2025-03-18,150.8415,150.891,147.139,147.9508,9402500
2025-03-19,148.5547,152.5244,148.4953,150.9207,6909500
2025-03-20,150.0594,152.9402,149.3071,151.188,7051600
2025-03-21,150.1287,152.2967,148.6042,150.7029,17620200
2025-03-24,154.7717,155.0291,152.4848,153.3164,7848300
2025-03-25,152.96,154.0391,151.5147,152.3858,8521200
2025-03-26,151.3563,151.4949,145.0898,146.3174,13210000
2025-03-27,144.3869,145.565,143.4662,144.3176,9148300
2025-03-28,142.3377,144.1889,137.7145,139.4569,13144500
2025-03-31,137.2492,139.1797,135.3881,138.4075,15509900
2025-04-01,138.358,141.813,137.368,140.5161,9518500
2025-04-02,138.457,146.4064,138.457,144.3968,11594400
2025-04-03,137.8531,139.9815,135.2693,135.8534,14433800
2025-04-04,131.5767,132.4776,125.6765,126.9833,14986900
2025-04-07,117.6677,132.7647,117.6677,125.8844,19482700
2025-04-08,131.2104,131.6559,120.4792,123.2511,11950300
2025-04-09,122.1621,139.1797,122.1621,138.2887,17762000
2025-04-10,135.7651,135.7651,128.423,132.4865,12401600
2025-04-11,131.2546,132.1388,128.0057,131.493,10190200
2025-04-14,135.9142,135.9142,132.0096,133.7682,8217700
2025-04-15,133.8874,135.5963,132.8541,133.0727,8630000
2025-04-16,131.4234,131.6817,127.0221,128.9197,8295200
2025-04-17,130.0524,130.4498,127.6083,127.7871,8925500
2025-04-21,126.0683,126.3763,120.4549,122.0247,12201200
2025-04-22,123.6938,127.1612,122.591,126.4161,11233700
2025-04-23,134.0364,134.9902,130.1418,130.5491,9528900
2025-04-24,131.6519,136.9673,131.1452,136.6196,7305900
2025-04-25,136.5997,138.0999,135.8744,137.5932,5476400
2025-04-28,138.7457,139.7591,137.1859,139.2325,6985100
2025-04-29,138.9047,140.246,138.6464,139.8783,4851500
2025-04-30,137.5833,140.385,134.6921,139.8088,9443500
2025-05-01,145.611,147.6775,144.3989,144.5479,11525800
2025-05-02,147.3695,152.0689,147.3695,149.754,11346000
2025-05-05,148.4723,149.8434,147.5583,148.3233,5187400
2025-05-06,146.0282,147.9756,144.7764,146.7436,5108600
2025-05-07,146.5449,148.9293,146.2866,148.4028,6049600
2025-05-08,148.0848,150.827,147.6477,149.3268,6113600
2025-05-09,149.0684,150.8171,148.8201,149.3665,4707100
2025-05-12,155.2978,156.4106,153.4201,156.202,7875500
2025-05-13,157.1955,162.1631,156.5497,161.2193,11955200
2025-05-14,161.3087,162.3519,160.0171,161.8948,7499400
2025-05-15,160.3151,160.6927,157.881,158.3678,10169200
2025-05-16,158.9639,159.7985,157.4935,159.4508,8515500
2025-05-19,157.275,160.9212,156.808,158.6063,10268900
2025-05-20,157.6028,159.3216,156.5099,159.2719,7576400
2025-05-21,157.3246,159.8581,155.4469,156.1622,6011000
2025-05-22,155.9635,158.1592,155.8045,156.2914,7603300
2025-05-23,153.9864,156.3609,153.2611,154.96,6527500
2025-05-27,158.2883,161.3484,157.8909,160.8616,6976800
2025-05-28,160.8218,163.256,160.2357,162.789,8090700
2025-05-29,163.9316,164.2495,160.4443,161.8452,6994700
2025-05-30,162.3717,164.6767,160.5039,164.4581,17547900
2025-06-02,163.1069,165.9186,161.5471,165.4914,7166000
2025-06-03,165.7199,168.2335,165.5113,168.0448,7155300
2025-06-04,168.6111,169.3761,166.4849,167.0115,6375800
2025-06-05,167.9057,171.1446,167.6672,170.0318,7707800
2025-06-06,172.8733,173.6582,171.542,172.8932,6833700
2025-06-09,173.7277,177.5627,172.6646,176.0029,9668900
2025-06-10,176.5593,176.6984,173.1515,176.3307,11056700
2025-06-11,176.4003,178.3873,175.059,175.2379,18002900
2025-06-12,188.7299,201.1788,187.6569,198.5658,54610000
2025-06-13,200.2747,215.1975,199.8972,213.8264,53707400
2025-06-16,211.8194,213.7767,208.6203,209.733,22665300
2025-06-17,209.2959,214.4821,206.1365,206.832,17819200
2025-06-18,209.7231,213.3296,208.213,209.5045,15055400
2025-06-20,211.9685,212.4156,203.3149,203.8414,20879100
2025-06-23,204.1792,205.9279,201.2285,205.6993,13418400
2025-06-24,208.6302,214.9689,207.1996,213.8761,19030600
2025-06-25,213.5482,215.5253,208.8687,209.3555,11804600
2025-06-26,210.6272,213.0316,208.9978,211.4419,10531100
2025-06-27,212.3063,213.2601,208.6004,208.8786,14127500
2025-06-30,225.0333,226.7422,216.9659,217.2143,31844200
2025-07-01,217.88,221.7249,214.9093,217.5422,16962200
2025-07-02,216.2704,230.3984,215.3167,228.4908,22326900
2025-07-03,231.7098,236.4489,229.7029,235.7833,18441400
2025-07-07,233.5876,233.7267,228.0139,230.756,16584300
2025-07-08,235.5945,239.8766,231.68,232.9815,20401800
2025-07-09,233.985,234.9785,230.4977,234.2831,10871600
2025-07-10,238.8928,239.0123,232.4809,233.9744,11486300
2025-07-11,230.3602,232.9788,228.8668,229.5538,10208200
2025-07-14,228.4486,229.6334,224.1375,228.2794,11337000
2025-07-15,231.3957,234.5718,228.1997,233.9346,10728800
2025-07-16,234.4722,240.2768,232.1723,240.2469,12597500
2025-07-17,242.278,250.502,240.9538,247.6644,17631300
2025-07-18,247.4155,248.5903,243.9308,244.3788,9678100
2025-07-21,244.2394,245.7229,242.1784,242.4771,7348400
2025-07-22,240.9239,241.2326,234.3826,237.0708,11380900
2025-07-23,238.9028,242.3577,237.6184,240.8443,7255800
2025-07-24,241.3521,243.0148,239.5102,241.7702,8237900
2025-07-25,241.2824,244.3987,240.3763,244.0502,7149600
2025-07-28,244.9264,246.6986,242.3577,246.6289,6756800
2025-07-29,247.6146,251.9655,245.5138,248.889,8415300
2025-07-30,247.5549,249.9544,244.5282,249.5063,8441400
2025-07-31,254.6538,259.7315,252.2145,252.6625,15548700
2025-08-01,246.7484,247.3259,240.9439,243.3533,12718200
2025-08-04,244.8268,251.8063,244.8268,251.4279,8614800
2025-08-05,254.2953,257.3619,250.273,254.5542,11197300
2025-08-06,255.7191,255.7191,250.6214,255.3109,9930200
2025-08-07,256.5853,256.6351,245.4441,248.3016,11954200
2025-08-08,248.9388,249.7951,246.7783,248.9587,8313300
2025-08-11,247.3159,253.5785,244.4883,251.5773,9012100
2025-08-12,251.4777,256.7446,249.9842,252.7521,9998400
2025-08-13,256.0477,256.5455,241.5811,243.1143,14182100
2025-08-14,243.881,247.8337,241.5114,243.891,10285600
2025-08-15,245.8424,249.5362,241.8698,247.1965,11554000
2025-08-18,245.1255,248.0726,242.5568,247.983,6759900
2025-08-19,248.1622,248.1622,231.2165,233.5961,16819300
2025-08-20,231.1667,234.8506,227.2539,234.0341,11256400
2025-08-21,232.0329,234.8904,231.4156,232.1424,7403100
2025-08-22,233.0385,237.4591,230.4499,235.3384,9343600
2025-08-25,236.3142,237.9868,234.2432,234.3826,6308600
2025-08-26,233.9744,235.8761,231.6944,233.1879,11805200
