date,open,high,low,close,volume
2025-03-14,98.5847,99.1002,97.8582,98.7909,1613000
2025-03-17,98.3098,99.8316,97.8974,99.5469,1757600
2025-03-18,99.4193,100.0476,98.678,99.8218,2183400
2025-03-19,99.8218,100.9411,99.488,100.9018,1833100
2025-03-20,100.0083,100.6711,99.2523,100.0476,1812300
2025-03-21,99.6451,100.46,98.4571,99.3702,7259800
2025-03-24,99.7236,100.3176,99.2523,99.5371,2161400
2025-03-25,99.7531,99.8218,98.8302,99.5567,1392100
2025-03-26,99.5174,101.0393,99.3604,100.8233,1779000
2025-03-27,101.0687,101.3407,100.0574,101.1374,1543700
2025-03-28,101.4124,101.4516,100.1262,100.2538,1327600
2025-03-31,99.812,101.6382,99.1247,101.324,2477700
2025-04-01,101.4713,102.1978,100.6465,102.1684,1970500
2025-04-02,101.2847,102.1438,100.8134,102.0505,1922600
2025-04-03,101.756,104.024,101.3436,102.404,4133800
2025-04-04,100.5974,101.0294,93.0472,93.2436,5319500
2025-04-07,91.6432,94.2352,89.6894,90.2883,4484200
2025-04-08,91.5941,92.5563,88.0694,89.2279,3422700
2025-04-09,88.8549,94.0487,88.6241,92.5661,4818800
2025-04-10,92.1047,93.4792,89.7336,92.6054,3937600
2025-04-11,92.4581,96.2185,91.7247,95.3251,2941400
2025-04-14,95.6687,97.3771,95.2367,96.7291,1736900
2025-04-15,97.0727,97.9073,96.6849,96.9942,1566800
2025-04-16,97.1218,97.5832,94.6574,95.0207,2005000
2025-04-17,95.492,97.436,95.2858,96.7291,1964400
2025-04-21,96.1694,96.5818,94.3727,95.2858,2114100
2025-04-22,96.1203,97.4949,95.6392,97.1512,2921600
2025-04-23,94.196,95.6098,88.9285,90.6221,5327100
2025-04-24,90.9363,91.7709,90.4356,91.0541,5064300
2025-04-25,91.6138,91.9967,90.0674,91.2407,4901100
2025-04-28,91.2407,92.2127,90.8185,91.9476,4346200
2025-04-29,91.4665,93.548,91.437,93.1749,2802300
2025-04-30,93.6167,94.8145,92.5318,94.52,3275600
2025-05-01,94.0487,95.0501,93.9309,94.6378,2219300
2025-05-02,95.3545,95.8454,94.9225,95.5509,2397400
2025-05-05,95.6393,96.0614,94.5789,95.6393,1411000
2025-05-06,95.0992,95.3643,94.2549,94.4414,4212700
2025-05-07,94.8145,95.8258,94.5642,95.5509,3436500
2025-05-08,96.2676,96.4542,95.1287,95.5509,5228900
2025-05-09,95.7472,96.0712,95.1778,95.2367,2082300
2025-05-12,96.7978,96.7978,95.654,96.2185,3758900
2025-05-13,96.0811,96.1105,95.0501,95.2269,3216600
2025-05-14,95.1189,95.5607,94.0978,94.2941,4297700
2025-05-15,94.7262,96.1989,94.5347,96.0811,5922700
2025-05-16,96.4853,97.5306,96.0663,97.5108,3716200
2025-05-19,97.077,97.5503,96.5741,97.1657,3165200
2025-05-20,97.2052,97.5799,96.6431,96.8403,2410300
2025-05-21,96.2487,97.1361,95.6472,96.2684,2165200
2025-05-22,95.8641,96.579,95.3859,95.8247,2368400
2025-05-23,95.4105,95.7951,94.9274,95.4303,2286800
2025-05-27,95.7852,95.7951,94.9767,95.7359,2192500
2025-05-28,95.6866,95.8148,93.7638,93.8329,1988500
2025-05-29,94.3653,94.3653,93.1475,93.8329,2121600
2025-05-30,93.8329,94.6513,93.3595,94.0202,3846100
2025-06-02,93.4384,94.0695,91.9889,92.8961,2208300
2025-06-03,92.6989,93.685,92.4031,93.5666,2359700
2025-06-04,94.0005,94.6907,93.6406,93.9413,1496400
2025-06-05,94.2371,94.4245,93.3398,93.9512,1707400
2025-06-06,94.1977,94.9471,94.1977,94.7203,1669500
2025-06-09,94.9077,95.095,93.4286,93.9906,1646700
2025-06-10,94.4146,94.4738,93.7244,93.9906,1852300
2025-06-11,94.5034,94.5034,93.4582,94.0695,1781200
2025-06-12,93.961,95.5979,93.5765,95.5979,2406000
2025-06-13,94.8781,95.6373,94.2569,94.4837,1873600
2025-06-16,95.2331,96.2093,94.7105,95.1049,2252800
2025-06-17,94.4048,94.8781,93.9117,94.0202,1925500
2025-06-18,94.2076,95.2429,93.6761,94.3357,1918100
2025-06-20,94.6907,95.238,92.6299,92.7778,4536400
2025-06-23,93.1919,94.7203,92.5609,94.6414,2378500
2025-06-24,94.8189,96.1501,94.2914,96.0515,2929900
2025-06-25,96.012,96.0712,95.1542,95.2824,2146500
2025-06-26,95.6472,96.6924,95.4401,96.1599,2585300
2025-06-27,96.3769,96.8107,95.5486,96.2388,2998800
2025-06-30,95.8247,97.8954,95.5732,97.639,2350400
2025-07-01,97.7475,99.5815,97.0967,99.0294,1853400
2025-07-02,98.8322,99.0885,97.8165,98.4082,1709200
2025-07-03,98.3095,98.6152,97.7376,98.1222,1052300
2025-07-07,98.4377,98.5067,97.2988,98.3884,1914900
2025-07-08,98.6054,99.2907,97.9743,98.2898,1809400
2025-07-09,98.7631,98.7631,97.077,97.9546,1706800
2025-07-10,97.9546,99.3745,97.5848,98.5659,1590300
2025-07-11,97.8264,98.2159,97.5897,98.1025,1187200
2025-07-14,97.6588,98.7829,97.3925,98.6448,1897000
2025-07-15,99.8281,100.0056,97.9644,97.994,2334000
2025-07-16,97.9348,99.0097,97.2495,98.9406,1899900
2025-07-17,99.0096,99.9464,98.6842,99.6604,1425500
2025-07-18,99.5618,99.5618,97.3728,98.0532,2211300
2025-07-21,98.2208,98.3786,97.0227,97.1263,2498600
2025-07-22,97.0277,99.7344,96.9685,99.5816,2773200
2025-07-23,87.7588,90.5986,84.8006,87.2559,12607900
2025-07-24,87.4334,88.6857,86.7727,87.956,6741700
2025-07-25,88.9322,89.1688,87.8771,88.5378,4084500
2025-07-28,88.2124,88.4687,86.6544,86.6741,4694700
