date,open,high,low,close,volume
2025-03-14,178.87,183.05,178.49,182.34,3563600
2025-03-17,183.5,186.16,182.01,185.0,3231100
2025-03-18,182.95,184.35,180.94,183.1,2790600
2025-03-19,183.1,189.67,182.6,187.54,3476800
2025-03-20,185.59,188.85,183.83,184.01,4395000
2025-03-21,181.72,183.6,179.72,182.32,8565900
2025-03-24,186.0,186.49,183.86,184.79,3758100
2025-03-25,184.79,190.1,184.51,189.95,5343400
2025-03-26,189.67,191.0,184.73,184.96,3409900
2025-03-27,182.7,183.09,173.56,174.44,7156300
2025-03-28,173.91,174.89,170.77,172.76,6249900
2025-03-31,169.57,171.02,165.88,170.64,5888600
2025-04-01,168.52,171.89,166.83,171.31,4037300
2025-04-02,168.27,174.74,168.27,173.18,3371800
2025-04-03,165.43,168.69,163.19,165.17,7365400
2025-04-04,158.96,160.84,153.39,153.57,9000500
2025-04-07,147.57,159.59,144.15,152.44,9837900
2025-04-08,157.72,161.5,150.12,152.53,13716500
2025-04-09,151.63,174.11,151.63,173.02,10513500
2025-04-10,168.93,170.66,162.24,168.27,6465600
2025-04-11,164.74,168.84,161.45,168.34,6302300
2025-04-14,171.66,173.53,168.68,169.98,5103300
2025-04-15,170.5,174.94,169.98,173.55,4147500
2025-04-16,171.54,173.85,167.92,169.76,5405200
2025-04-17,171.14,171.37,167.13,167.69,4784600
2025-04-21,165.09,165.95,157.6,160.05,4555100
2025-04-22,162.46,165.36,160.27,163.63,4005300
2025-04-23,168.74,172.52,167.33,168.32,4924400
2025-04-24,169.35,176.45,169.07,176.04,4023400
2025-04-25,176.49,179.5,175.33,178.98,3536800
2025-04-28,178.62,182.2,178.09,181.54,3551900
2025-04-29,182.96,187.31,182.1,186.65,5112300
2025-04-30,184.98,187.63,182.37,186.93,6163200
2025-05-01,188.64,189.16,186.03,186.27,4627100
2025-05-02,190.0,191.7,187.27,187.7,3842200
2025-05-05,186.0,190.98,185.47,188.13,3804300
2025-05-06,186.8,190.27,186.02,188.69,3031900
2025-05-07,188.8,189.31,186.35,188.14,3712900
2025-05-08,187.69,188.98,184.35,188.53,3677200
2025-05-09,188.76,189.79,184.64,186.93,3211000
2025-05-12,191.62,193.67,189.52,193.5,4580800
2025-05-13,192.73,195.42,191.88,192.0,5556500
2025-05-14,191.83,192.2,189.43,190.9,5445800
2025-05-15,189.79,194.19,189.59,192.9,5460100
2025-05-16,191.05,193.79,190.91,192.98,4210900
2025-05-19,190.49,194.4,190.17,194.3,4419500
2025-05-20,194.64,194.93,192.66,194.48,9533400
2025-05-21,184.76,185.3,178.64,181.26,19049700
2025-05-22,183.01,187.65,182.46,186.14,7613400
2025-05-23,183.61,187.65,183.22,186.75,4902900
2025-05-27,188.67,189.1,186.53,187.46,5331700
2025-05-28,187.76,189.84,187.47,187.8,3869000
2025-05-29,189.0,189.15,182.89,185.82,4498200
2025-05-30,187.02,192.73,186.73,192.42,11419700
2025-06-02,192.14,195.29,191.48,194.86,4411500
2025-06-03,195.0,198.45,194.88,197.12,4820900
