date,open,high,low,close,volume
2025-03-14,138.4752,140.8804,138.3786,140.4843,1591300
2025-03-17,139.9724,143.3821,139.557,142.9474,1897000
2025-03-18,141.4792,142.5031,140.6582,141.9815,1351100
2025-03-19,142.0008,142.8605,141.1701,142.5031,1722300
2025-03-20,141.74,142.4162,140.0883,140.2815,1464000
2025-03-21,139.2093,139.615,137.1712,138.1468,4764500
2025-03-24,138.736,140.2235,138.4462,139.8951,2153500
2025-03-25,139.8468,140.8224,138.3496,139.219,3388000
2025-03-26,143.7395,147.9027,139.5957,145.0725,4429800
2025-03-27,144.3867,146.9464,142.5611,146.6566,2640400
2025-03-28,147.1299,147.6708,144.9856,145.8839,2419700
2025-03-31,146.2413,149.4385,146.2413,149.0231,2910600
2025-04-01,148.8203,149.8731,147.7481,149.3226,1940800
2025-04-02,149.1197,149.9697,147.9316,149.6606,1422500
2025-04-03,149.6317,150.2788,147.2845,148.2987,2623500
2025-04-04,147.6322,147.835,138.3593,138.4366,3049800
2025-04-07,136.0024,140.5809,132.1581,135.703,4652000
2025-04-08,136.6883,137.7218,130.6512,132.3416,4456200
2025-04-09,130.8251,141.5082,130.4001,141.1702,5285600
2025-04-10,140.3684,141.4889,135.4229,139.4894,3099900
2025-04-11,139.557,142.7929,136.6882,141.7497,1918200
2025-04-14,141.8753,144.4446,141.0639,143.9907,1720000
2025-04-15,143.7492,144.7344,142.4162,142.59,1154300
2025-04-16,142.5128,143.1793,139.615,140.6099,1559000
2025-04-17,141.315,141.8077,139.6633,139.9627,2148200
2025-04-21,139.1514,139.586,133.4621,135.6064,2653600
2025-04-22,137.1712,138.9775,136.6303,138.4076,1903400
2025-04-23,138.9678,140.6292,137.8474,138.34,2870700
2025-04-24,138.1275,139.5474,135.7899,139.2962,1602800
2025-04-25,139.0548,139.0548,137.0939,138.3303,1395000
2025-04-28,138.3303,139.5957,137.4707,139.248,2228900
2025-04-29,139.248,142.194,138.369,141.4213,2131000
2025-04-30,139.7985,142.3003,137.0939,142.1071,2500100
2025-05-01,141.3537,142.5031,139.3832,141.6145,1785000
2025-05-02,143.1986,145.4202,142.4741,144.7054,1460400
2025-05-05,144.7054,145.652,143.7975,144.3577,1345300
2025-05-06,143.7781,144.3094,142.706,143.9424,1291700
2025-05-07,144.4156,145.9418,143.9713,145.198,1610300
2025-05-08,146.3668,147.5936,145.4009,146.1736,1295300
2025-05-09,146.0191,146.8691,145.652,146.4827,1120300
2025-05-12,149.1192,149.1192,146.0255,147.5723,2435100
2025-05-13,147.6988,148.3604,147.0762,147.154,1456500
2025-05-14,146.3757,148.156,145.4126,147.8837,1823500
2025-05-15,148.4187,150.3158,148.2922,150.2379,1549900
2025-05-16,150.0045,152.028,149.4986,151.7459,1415500
2025-05-19,150.9773,153.9543,150.7049,153.8959,1628400
2025-05-20,153.3024,153.9348,152.602,153.39,1467000
2025-05-21,152.4172,153.2344,151.4054,151.9794,1217500
2025-05-22,151.9502,152.7479,151.0552,151.9404,1034400
2025-05-23,150.8314,152.3101,149.985,151.8529,1085400
2025-05-27,153.2246,154.9271,152.6215,154.6547,1759800
2025-05-28,155.0633,155.4135,152.709,152.7285,1484000
2025-05-29,152.7869,153.6138,151.9697,153.1468,1402400
2025-05-30,153.5262,154.4991,152.6895,153.6235,1993800
2025-06-02,152.8355,153.2927,151.2595,153.2246,1417400
2025-06-03,152.816,154.0613,152.2323,153.9543,1459500
2025-06-04,153.6624,155.4038,153.2441,155.0049,1271100
2025-06-05,154.8298,155.5887,154.2267,154.9855,958800
2025-06-06,156.2307,156.8631,155.0633,155.4427,1005800
2025-06-09,154.8104,155.0536,151.6875,152.709,1488000
2025-06-10,152.5534,153.2343,149.9947,151.0941,1462900
2025-06-11,151.347,151.347,149.2748,149.8585,1653500
2025-06-12,150.0531,150.0726,147.2805,149.3235,1492700
2025-06-13,148.4285,149.7418,147.9712,149.0608,2525400
2025-06-16,149.7418,150.6952,149.0997,149.5083,1665100
2025-06-17,149.4986,150.1017,147.8058,148.3798,1567100
2025-06-18,148.3798,148.6911,146.0255,146.2395,2910200
2025-06-20,146.2395,146.6384,144.5662,145.0721,3483500
2025-06-23,145.6169,147.2416,144.7705,147.1443,2337900
2025-06-24,147.1929,148.4285,146.1131,148.1171,4296500
2025-06-25,141.3266,142.0368,133.1644,134.1956,9294200
2025-06-26,134.7404,137.4546,134.3513,137.1823,3931500
2025-06-27,137.3768,140.6359,137.0071,140.0327,3850000
2025-06-30,140.0813,142.0368,139.0598,141.5114,4050200
2025-07-01,141.7352,144.7219,141.2877,143.4182,3666900
2025-07-02,142.6789,142.6789,139.3809,141.9979,3702000
2025-07-03,142.3286,143.2626,141.6087,143.1361,1540000
2025-07-07,143.2334,143.749,141.3266,141.7158,3435900
2025-07-08,141.3266,142.2119,139.4587,140.9764,3500000
2025-07-09,141.1904,142.1438,140.2467,141.9784,2514400
2025-07-10,141.0737,142.1341,140.7818,141.3655,2792900
2025-07-11,141.239,141.492,138.9139,139.4003,1910300
2025-07-14,139.2155,140.5775,138.7291,140.3927,2416000
2025-07-15,139.7312,139.8965,136.8223,136.8612,2034400
2025-07-16,136.939,138.6513,136.4137,138.3886,1760800
2025-07-17,138.3886,139.8576,138.2427,139.4003,1834500
2025-07-18,140.2565,140.2565,139.0501,139.5658,2487300
2025-07-21,139.5657,140.7126,139.2619,139.8402,1439900
2025-07-22,140.0853,142.6143,140.0853,141.7223,1585600
2025-07-23,141.585,142.8201,141.0655,142.3692,1873300
2025-07-24,141.9869,143.7612,141.1831,143.5063,1698700
2025-07-25,144.0258,145.1727,143.0064,145.0649,1294600
2025-07-28,145.1139,145.1825,143.1142,143.369,1447000
2025-07-29,143.8297,144.4375,142.1732,144.3787,2112100
2025-07-30,143.7906,145.0747,142.6143,143.026,1749900
2025-07-31,141.9281,143.9278,141.2223,141.4772,2420700
2025-08-01,140.2911,140.742,135.635,136.5858,4235400
2025-08-04,136.6839,137.4778,135.8801,136.674,2389400
2025-08-05,136.9093,137.1838,136.0173,136.429,1976700
2025-08-06,136.8407,136.9289,135.488,136.331,2018000
2025-08-07,137.2818,138.2718,136.6642,137.7425,1885100
2025-08-08,137.5269,139.0854,137.4876,138.3993,1368000
2025-08-11,138.3111,138.7914,135.6546,135.8605,2521900
2025-08-12,135.8507,135.9879,132.1454,132.3218,3123400
2025-08-13,132.3708,136.0663,132.165,135.8703,2584200
2025-08-14,135.6448,136.1447,134.5371,134.7724,1425000
2025-08-15,135.2723,136.1937,134.2137,135.5174,2672200
2025-08-18,135.5958,136.3212,134.5175,134.8508,1966100
2025-08-19,135.0371,136.8407,134.7626,136.2624,2117000
2025-08-20,137.1152,137.9876,135.7036,136.1349,2274300
2025-08-21,135.5468,135.9683,134.9488,135.6742,1609500
2025-08-22,136.4192,138.3993,136.0957,138.0268,2066300
2025-08-25,137.6347,137.7817,135.5076,135.7624,1707700
2025-08-26,135.4488,136.2526,134.8802,135.3115,3317500
2025-08-27,135.4782,136.5858,135.0077,135.9095,1852700
2025-08-28,136.0075,136.4584,135.1547,135.9781,1681400
2025-08-29,136.1153,136.7721,135.6448,136.7035,1715800
2025-09-02,135.9487,136.3114,132.5375,133.2726,2059200
2025-09-03,132.5473,133.3511,131.6847,132.9492,1549200
2025-09-04,132.8511,134.6744,132.1258,134.6058,1995600
2025-09-05,134.9978,135.4586,131.0769,132.7629,1898300
2025-09-08,132.9492,133.3609,131.9199,132.7531,2097700
2025-09-09,132.4296,133.106,131.42,131.7533,1388000
2025-09-10,131.2534,132.3806,129.8222,130.4398,1860500
2025-09-11,130.2535,133.0766,130.0379,132.7825,1698900
2025-09-12,132.4198,133.2824,132.0179,132.4394,1305400
2025-09-15,132.6649,133.0962,129.1655,129.3615,2195000
2025-09-16,129.3517,129.783,127.6657,129.0184,2991400
2025-09-17,129.6654,131.4886,129.5379,129.8418,3784600
2025-09-18,129.2341,130.2437,128.3519,128.5185,3656200
2025-09-19,129.1655,129.3517,126.7737,127.4304,7782900
2025-09-22,126.0581,128.293,125.6954,127.8225,4327300
2025-09-23,127.156,128.0578,126.2542,126.7443,3847200
2025-09-24,126.3914,127.4598,125.6464,125.7346,3547400
2025-09-25,126.362,126.7443,123.6369,124.1859,3168900
2025-09-26,124.6466,126.0875,124.2055,125.6758,3571300
2025-09-29,126.0581,127.7441,125.7542,125.9895,4663000
2025-09-30,119.2063,124.3329,116.6675,124.2545,6937500
2025-10-01,124.2545,124.4897,119.8336,121.5588,4875200
2025-10-02,121.1864,121.3236,119.4219,120.9805,2709200
2025-10-03,121.0197,122.4116,120.412,122.147,1970500
2025-10-06,122.4901,122.4901,120.8237,121.9117,2936000
2025-10-07,121.6667,124.5486,121.304,124.5093,2437300
2025-10-08,124.2447,124.3427,123.0096,124.0878,2273700
2025-10-09,124.627,124.627,122.0882,122.7351,2325100
2025-10-10,123.3233,123.8428,122.4607,123.0684,2711800
2025-10-13,123.2056,125.1955,122.7743,124.9014,2867500
2025-10-14,125.0289,126.6463,124.5682,126.0483,2444100
2025-10-15,125.7444,126.6855,124.823,124.9995,2546000
2025-10-16,125.2249,125.7248,123.3919,123.9898,2860600
2025-10-17,124.3623,124.7446,123.0292,124.0584,2461100
2025-10-20,124.2447,125.4014,122.8233,124.0878,2388000
2025-10-21,124.1565,126.2346,123.2252,125.0191,2380300
2025-10-22,124.7054,126.0287,124.0094,124.1075,2218300
2025-10-23,123.8722,124.4505,121.9901,122.2842,1993400
2025-10-24,122.6371,123.0782,121.7549,122.1372,4436800
2025-10-27,122.1274,122.8135,121.6863,122.5391,2646100
2025-10-28,122.049,122.2646,120.5884,121.5981,2763600
2025-10-29,119.9317,120.0787,114.6874,115.0795,4919000
2025-10-30,115.4422,116.295,114.511,114.9129,2476200
2025-10-31,114.511,115.6774,113.7856,114.7168,2754200
2025-11-03,114.2757,114.2757,111.2272,112.8348,2942700
