date,open,high,low,close,volume
2025-03-14,77.7032,79.0885,77.3351,78.982,2287000
2025-03-17,78.8173,80.251,78.3717,79.6601,2031000
2025-03-18,78.982,79.7957,78.8754,79.602,3348600
2025-03-19,79.4664,80.8904,79.3792,80.532,3738400
2025-03-20,80.3673,81.0745,80.1251,80.6967,3100300
2025-03-21,80.3092,80.6095,79.7376,80.3867,5339700
2025-03-24,80.8613,81.9173,80.6482,80.7257,2446300
2025-03-25,80.6773,81.1617,78.207,78.8754,2615200
2025-03-26,78.8948,79.3114,78.5267,78.982,2168500
2025-03-27,79.2145,79.2145,78.0035,78.1876,2519300
2025-03-28,78.7204,79.8248,78.236,79.0788,1907300
2025-03-31,78.856,80.1251,78.5654,79.7279,3169900
2025-04-01,79.6601,80.7742,79.5148,80.6579,2208200
2025-04-02,80.0088,81.3457,79.6988,81.1713,2352100
2025-04-03,80.1639,80.9195,78.8076,79.0014,2666600
2025-04-04,78.7688,79.786,74.5064,75.3007,4819800
2025-04-07,74.2157,76.531,72.3364,74.7195,4481400
2025-04-08,76.7248,77.432,74.1964,75.2717,4259900
2025-04-09,75.0876,79.5632,72.8207,79.2726,5342700
2025-04-10,78.6235,79.3695,76.812,78.6914,4349100
2025-04-11,78.5364,79.8926,77.4901,79.5729,2495300
2025-04-14,80.406,81.4135,79.9217,81.0551,2202400
2025-04-15,81.5298,81.8592,80.7838,80.9195,1651100
2025-04-16,81.0067,81.3942,79.9798,80.4351,1989600
2025-04-17,80.9195,82.111,80.6579,80.7548,2125200
2025-04-21,80.406,80.6289,76.7926,77.742,1985000
2025-04-22,78.8076,80.0379,78.3523,79.4373,1839900
2025-04-23,80.6385,81.307,78.6429,79.2823,2946600
2025-04-24,79.3017,79.9507,78.546,79.166,2634500
2025-04-25,79.0498,79.4276,77.9551,78.4976,2886100
2025-04-28,78.2942,78.7979,77.7614,78.3717,3615000
2025-04-29,77.8873,79.137,77.8873,79.0595,3076500
2025-04-30,78.1392,78.1876,75.3201,77.432,4465600
2025-05-01,77.151,78.0714,76.037,76.2017,4684500
2025-05-02,76.9573,77.3448,75.8336,76.9961,2203300
2025-05-05,76.5698,76.6764,75.6882,75.9014,3537900
2025-05-06,75.572,77.9648,75.5139,77.2092,2910400
2025-05-07,76.8992,77.9745,76.3179,77.2964,2510400
2025-05-08,77.0348,77.8001,76.3954,76.9961,3549400
2025-05-09,77.2286,77.4998,76.192,76.4729,1793000
2025-05-12,76.5407,77.0542,75.9982,76.5407,3377800
2025-05-13,76.4148,76.9767,74.9617,75.1651,2767500
2025-05-14,75.2232,75.2232,73.6248,74.8745,3171100
2025-05-15,75.2232,76.221,75.1554,75.9885,3689500
2025-05-16,76.2017,76.8604,75.6786,76.812,3990100
2025-05-19,76.2598,77.306,75.9304,77.277,3011700
2025-05-20,76.7151,77.3545,76.3664,76.8895,2810500
2025-05-21,76.5214,76.8701,75.3104,75.4557,3480200
2025-05-22,75.136,75.6107,74.3417,74.952,3150500
2025-05-23,75.3492,76.6376,74.8067,76.4923,2572100
2025-05-27,77.2285,77.3157,76.5407,77.1123,2953100
2025-05-28,76.9089,77.3545,75.3782,75.6495,2192900
2025-05-29,75.6495,77.0929,75.3492,77.0639,2544000
2025-05-30,77.1414,78.8367,76.8217,78.4976,12247500
2025-06-02,78.2264,80.1154,77.8195,79.3404,3701800
2025-06-03,80.6482,80.7839,79.6407,79.7376,4132600
2025-06-04,79.2145,79.7279,77.8098,77.8776,3314900
2025-06-05,77.8776,77.9745,77.2285,77.3351,2112700
2025-06-06,77.9454,77.9454,76.9089,77.6935,2017400
2025-06-09,77.7033,78.504,76.805,77.8107,2671500
2025-06-10,77.7912,77.9865,76.8245,77.5568,2346400
2025-06-11,78.2599,79.0215,77.8986,78.9043,3647500
2025-06-12,78.7383,79.7928,78.6114,79.6366,3360100
2025-06-13,79.3632,79.4218,78.6016,79.0898,2451100
2025-06-16,79.3437,80.0467,78.8848,79.246,2525900
2025-06-17,78.8945,79.6366,78.1134,79.1289,2946300
2025-06-18,79.2656,80.5056,79.002,80.1639,3579700
2025-06-20,80.2811,80.6228,79.7929,80.1639,5286100
2025-06-23,80.408,81.482,80.408,81.3746,2569000
2025-06-24,81.0817,81.7847,80.8278,81.1696,1982900
2025-06-25,80.9548,81.482,80.1444,80.7986,2787900
2025-06-26,80.6716,81.1305,80.1737,81.072,2388100
2025-06-27,81.072,82.1753,81.0036,81.5504,2756000
2025-06-30,81.5309,82.3706,81.2575,82.1948,2842800
2025-07-01,81.9605,82.6049,80.7009,80.9157,2667900
2025-07-02,80.7204,80.7986,79.2168,79.3046,2221900
2025-07-03,79.1875,79.8905,78.6993,79.2558,2018400
2025-07-07,80.5545,80.6716,79.7343,80.3494,2275600
2025-07-08,79.7733,80.1151,78.8848,79.6757,2070100
2025-07-09,79.7636,80.0077,78.7578,79.6464,1848400
2025-07-10,78.7676,80.408,78.7676,80.2225,1791800
2025-07-11,79.3144,80.779,79.2754,80.6033,1870700
2025-07-14,80.0858,81.3356,79.9295,81.0427,2358700
2025-07-15,80.7693,81.0231,79.6073,79.9198,3581800
2025-07-16,79.3242,80.4666,79.3242,80.2322,2520300
2025-07-17,79.9979,81.443,79.8905,80.7986,2510000
2025-07-18,81.2379,82.7807,81.1794,82.3218,3009300
2025-07-21,82.4682,83.4056,82.2827,82.4194,2445900
2025-07-22,82.5952,83.7669,82.4682,83.7669,2769100
2025-07-23,84.8019,85.954,84.1184,84.6261,3649600
2025-07-24,84.7823,85.0655,83.8059,84.88,2004400
2025-07-25,84.919,85.6709,84.6945,85.5146,1918000
2025-07-28,85.4951,85.4951,84.4308,84.8898,1866000
2025-07-29,85.3096,86.5789,84.9581,86.5204,2072000
2025-07-30,86.4911,87.5847,86.2958,86.784,2682700
2025-07-31,86.1981,87.9655,86.0614,87.6725,2448400
2025-08-01,87.6725,87.7799,86.5399,86.8719,2460300
2025-08-04,87.2917,88.522,87.155,88.0143,2475800
2025-08-05,87.3698,89.1079,85.1827,86.0907,3576800
2025-08-06,86.12,86.5301,83.8254,83.845,4032400
2025-08-07,83.5618,85.6709,83.5618,85.4072,2691700
2025-08-08,85.8955,86.1103,85.0362,85.6123,2400800
2025-08-11,85.6123,85.8955,84.2062,84.4992,3115000
2025-08-12,84.6652,86.1103,84.4699,85.7588,2214900
2025-08-13,86.081,86.5594,84.7335,85.6025,2343300
2025-08-14,85.5049,85.5049,84.5968,84.753,1452800
2025-08-15,84.7237,84.7237,83.1127,83.3079,2922500
2025-08-18,83.2884,83.5228,81.9898,82.1362,2494200
2025-08-19,82.2144,82.644,82.0972,82.5952,1780000
2025-08-20,82.6537,83.552,82.5756,83.1517,2540900
2025-08-21,83.1029,83.6302,81.2379,81.3258,2507900
2025-08-22,81.7066,82.0093,81.0524,81.7261,3117000
2025-08-25,81.4625,81.8238,80.3103,80.6521,2457500
2025-08-26,80.6619,81.5113,80.4373,81.5016,6505500
2025-08-27,81.5211,81.7652,80.7595,80.8864,2546900
2025-08-28,80.7595,81.1696,80.2127,80.6423,2046100
2025-08-29,80.6521,81.1403,80.076,80.3885,2254600
2025-09-02,79.9979,80.076,79.3632,79.8807,2395300
2025-09-03,79.3925,79.9491,79.1094,79.4316,1589100
2025-09-04,79.9296,80.5154,78.9727,79.8026,2478700
2025-09-05,79.6952,79.9198,78.6114,79.207,1798500
2025-09-08,79.2558,79.2656,77.8693,78.2989,3007500
2025-09-09,78.3284,78.9189,78.0037,78.7221,3116500
2025-09-10,78.9386,80.6412,78.732,80.4247,4372900
2025-09-11,80.5231,81.1431,79.9917,80.7298,2229300
2025-09-12,80.5625,81.6057,80.5428,81.3793,1703000
2025-09-15,81.4482,82.3339,81.4384,81.6549,2281600
2025-09-16,81.2711,81.6155,79.844,79.9326,1707300
2025-09-17,80.3066,80.6806,78.9485,79.1551,3405500
2025-09-18,79.3323,80.6117,78.8796,79.9031,2426300
2025-09-19,80.0802,80.6117,79.539,80.3066,4629400
2025-09-22,80.3558,80.7495,79.411,80.4345,2331400
2025-09-23,80.6215,80.9955,80.159,80.9069,1894200
2025-09-24,81.0152,81.4876,80.7888,81.0939,2460300
2025-09-25,80.7298,80.9758,79.4996,79.598,2627600
2025-09-26,79.9031,81.025,79.6767,80.9955,2326300
2025-09-29,81.0053,81.9108,80.218,81.7238,2906800
2025-09-30,81.7041,82.1666,81.2907,82.1371,2568800
2025-10-01,82.1273,82.5997,81.153,81.2415,2213500
2025-10-02,81.0841,81.4088,79.844,80.2869,3159100
2025-10-03,80.5723,81.0447,80.2279,80.7003,3053000
2025-10-06,81.1923,81.2711,78.8501,80.5428,3741500
2025-10-07,80.2967,80.9463,78.8894,79.2437,3351500
2025-10-08,79.4996,81.3596,78.978,80.5034,3850700
2025-10-09,80.9758,81.2219,79.8047,80.1098,2471600
2025-10-10,80.3952,81.025,78.9189,79.3717,2713200
2025-10-13,79.4701,81.0742,79.2339,80.4444,2235500
2025-10-14,80.218,81.9993,80.1983,81.1333,2588800
2025-10-15,81.8714,83.8594,81.5663,83.387,3361000
2025-10-16,83.8594,84.568,82.6193,83.0032,2713700
2025-10-17,82.8063,83.4559,82.1863,83.4067,2546800
2025-10-20,83.6429,84.7254,83.1803,83.4854,2151800
2025-10-21,83.6232,83.7216,81.3203,81.8025,1959000
2025-10-22,82.6882,82.7571,81.7927,82.4619,2024700
2025-10-23,82.8851,82.9146,81.0742,81.4187,1838700
2025-10-24,82.1765,82.1765,81.3596,81.7927,3082000
2025-10-27,81.9009,82.2946,81.3793,82.1273,1847100
2025-10-28,81.8419,82.147,79.9621,79.9818,2156700
2025-10-29,80.0802,80.4444,78.8697,79.0174,2535400
2025-10-30,78.8894,80.1196,78.732,79.4701,2527000
2025-10-31,78.8107,80.0802,78.3088,79.2831,3539500
2025-11-03,79.539,80.5723,78.2989,80.0704,3974500
2025-11-04,79.4405,80.8577,78.7418,80.5231,2344600
2025-11-05,80.9561,80.9561,78.0332,78.5942,3629000
2025-11-06,79.0272,81.4777,79.0272,81.0939,4687100
2025-11-07,80.9168,81.9895,80.3952,81.9895,3764100
2025-11-10,81.7041,82.4914,81.4679,81.9206,2173400
2025-11-11,81.8517,82.4619,81.5171,82.4225,1319900
2025-11-12,82.3733,82.5209,81.5958,82.206,2209200
2025-11-13,81.9895,82.3143,80.8774,81.0841,2268200
2025-11-14,81.0742,82.1174,80.6412,81.5269,2378400
2025-11-17,81.6549,81.6549,80.4148,81.1628,2567500
