date,open,high,low,close,volume
2025-03-14,78.2725,79.9092,77.9837,79.6974,880500
2025-03-17,79.3315,81.1223,79.216,80.7564,1140500
2025-03-18,80.6505,81.3629,80.0632,80.1402,976000
2025-03-19,80.0536,81.5459,80.0536,81.2667,1190600
2025-03-20,80.7949,81.7673,80.5735,80.9971,1056900
2025-03-21,80.275,80.5831,79.5337,80.1595,2541400
2025-03-24,81.0164,82.2005,80.9105,82.0754,802100
2025-03-25,82.1428,83.2692,81.9599,82.4797,1108900
2025-03-26,82.8456,83.8758,82.0369,82.4124,1022000
2025-03-27,82.2776,82.6145,81.2859,81.9117,702400
2025-03-28,82.0946,82.6723,79.37,79.9669,1357100
2025-03-31,79.8129,81.6229,79.1197,81.2282,1160300
2025-04-01,81.5651,82.3835,80.8334,81.9791,1108200
2025-04-02,81.0067,83.2403,80.7757,82.9804,1040500
2025-04-03,78.6383,80.121,76.2892,76.3662,1413700
2025-04-04,77.5312,77.5312,69.6269,70.2238,2218700
2025-04-07,68.539,71.8509,66.1417,68.9818,2718700
2025-04-08,71.2828,71.9375,65.978,66.9697,2331700
2025-04-09,66.055,74.9028,65.8432,74.3925,2933800
2025-04-10,72.7366,72.8521,68.356,69.2803,2040900
2025-04-11,69.2803,70.3297,67.8265,69.9061,2092100
2025-04-14,71.0999,71.8605,70.1564,70.6955,2484700
2025-04-15,70.9844,71.6583,70.2238,70.3682,2267600
2025-04-16,69.9542,70.917,68.616,68.9722,1508500
2025-04-17,69.3477,70.5993,69.2996,69.4536,1635700
2025-04-21,68.6641,69.1263,67.2007,67.6436,1843300
2025-04-22,69.3477,70.2623,68.6738,70.1371,1848800
2025-04-23,71.8701,73.295,71.0036,71.2828,1549800
2025-04-24,71.148,72.6307,70.6667,72.2071,1987200
2025-04-25,71.5235,71.6776,68.8759,70.7244,2703600
2025-04-28,70.5993,71.5909,70.0794,71.1192,1811600
2025-04-29,70.6474,72.1204,70.6474,71.8124,1626000
2025-04-30,70.8111,71.6776,69.521,71.3887,1807500
2025-05-01,71.5332,71.9857,70.8303,71.3117,1665700
2025-05-02,72.5152,74.0171,72.0434,73.9689,1817900
2025-05-05,73.4202,74.5562,72.9677,73.709,988400
2025-05-06,73.2854,73.9978,72.9773,73.4972,1203400
2025-05-07,74.0845,74.9509,73.9497,74.6621,1816700
2025-05-08,75.3168,76.501,74.845,75.9041,1318200
2025-05-09,75.9522,76.2988,75.596,75.9619,933100
2025-05-12,78.4169,79.2256,78.2243,78.6576,1539900
2025-05-13,78.7154,79.293,78.4362,78.6576,978900
2025-05-14,78.6576,79.1486,77.7911,78.0222,1155100
2025-05-15,77.9451,78.4554,77.6659,78.388,885700
2025-05-16,78.4939,78.6865,78.0607,78.5132,1036900
2025-05-19,77.9933,78.7924,77.6659,78.2725,864200
2025-05-20,77.9451,78.4458,77.4156,77.5312,764400
2025-05-21,77.0305,77.3386,74.4696,74.4792,1040300
2025-05-22,74.4311,74.9991,73.9689,74.4696,826000
2025-05-23,73.2276,74.6044,73.2276,74.1422,846000
2025-05-27,75.2879,75.9715,74.691,75.9522,904000
2025-05-28,76.0004,76.2699,74.6814,74.7777,1069100
2025-05-29,75.2687,75.8559,74.8258,75.6249,1014700
2025-05-30,75.3746,75.6249,74.6525,74.9895,1960700
2025-06-02,74.8339,74.8631,73.7742,74.8339,874500
2025-06-03,74.6395,75.5534,73.8228,75.1936,1073200
2025-06-04,75.2325,75.5436,74.2214,74.2214,734300
2025-06-05,74.2797,74.5908,73.4339,73.8325,1208800
2025-06-06,74.6492,75.3492,74.2214,74.8339,1164300
2025-06-09,74.8631,75.2423,74.1631,74.7075,1052900
2025-06-10,74.7075,75.2617,74.3186,74.6297,1143200
2025-06-11,74.6492,74.9895,74.1144,74.3672,1383300
2025-06-12,73.9297,74.9117,73.3658,74.8825,971700
2025-06-13,74.7756,74.7756,73.6672,73.7936,1263200
2025-06-16,74.4644,75.32,74.1728,74.6006,1152300
