date,open,high,low,close,volume
2025-03-14,163.3084,164.087,162.1696,163.4836,6790500
2025-03-17,163.8729,166.5202,163.6393,165.2258,9931700
2025-03-18,165.5275,165.7124,163.104,163.2305,6099900
2025-03-19,163.3863,164.2428,162.6466,164.0676,7569200
2025-03-20,164.379,164.6905,161.5954,163.0748,8789200
2025-03-21,162.6757,163.649,159.7364,162.2378,16027300
2025-03-24,161.9847,162.413,160.9433,161.2255,6102100
2025-03-25,160.8849,160.953,157.8677,158.5003,8366700
2025-03-26,158.987,162.3643,158.6366,162.1307,7756000
2025-03-27,163.3863,164.5153,162.1696,164.2038,6211700
2025-03-28,164.8559,165.1771,163.1429,163.542,5479100
2025-03-31,163.6101,166.5689,163.6101,165.8681,11520100
2025-04-01,166.0141,166.4813,164.5445,166.0044,7021100
2025-04-02,165.5275,166.3158,163.8145,164.9727,6274500
2025-04-03,169.5764,170.1311,166.1698,167.7855,9393300
2025-04-04,167.1821,168.9632,159.1038,159.3763,13454200
2025-04-07,159.2887,160.3009,154.9381,155.9503,15708000
2025-04-08,157.9748,158.9189,152.5243,154.1595,11541100
2025-04-09,153.157,160.2814,152.5049,157.9845,10670200
2025-04-10,158.549,160.661,156.4564,159.1914,10581600
2025-04-11,159.0064,163.5322,158.2765,162.4519,8602800
2025-04-14,162.5784,165.5664,161.3521,164.6126,9877300
2025-04-15,164.6223,165.6151,163.7853,163.9702,8765000
2025-04-16,164.7683,165.1479,161.3618,161.9458,5897500
2025-04-17,163.0553,167.0653,162.8801,166.0725,7227100
2025-04-21,166.383,166.4417,160.8888,162.3284,8062400
2025-04-22,162.4362,165.2861,161.1434,164.4145,7907400
2025-04-23,162.965,163.1707,159.7429,162.3089,9309200
2025-04-24,157.1868,157.6373,153.3477,156.2368,20077700
2025-04-25,156.5796,158.46,154.5132,157.6961,12892800
2025-04-28,157.7157,159.2043,157.0791,158.509,8127000
2025-04-29,157.9605,159.0378,155.9137,158.9105,8266200
2025-04-30,159.0966,159.7919,156.6482,159.2141,12475500
2025-05-01,157.3435,158.0193,155.7668,156.6776,6792800
2025-05-02,157.6079,158.4698,156.5992,157.2064,5750200
2025-05-05,157.5688,157.5884,154.758,155.5513,7576200
2025-05-06,154.7776,156.4131,154.3956,155.9626,7703800
2025-05-07,155.7374,156.7461,155.2673,156.0018,6430000
2025-05-08,155.1106,156.6972,154.7482,155.375,7230800
2025-05-09,154.758,155.8451,154.1606,154.4055,6453200
2025-05-12,154.1802,157.7255,153.4555,157.5786,7378400
2025-05-13,156.7167,157.4023,154.1116,155.4534,7780800
2025-05-14,154.8559,155.8745,154.3173,154.758,5988900
2025-05-15,156.2956,159.5471,155.424,159.0574,8727300
2025-05-16,159.2924,160.0563,158.509,159.9094,7100800
2025-05-19,160.0955,161.7408,160.0367,161.3687,8119900
2025-05-20,161.212,162.5733,161.2022,162.2207,5576600
2025-05-21,161.4177,162.9357,161.2218,162.0151,6424200
2025-05-22,161.0455,162.7692,160.6342,161.6233,6245600
2025-05-23,161.4274,162.7887,160.1053,162.4362,5349800
2025-05-27,161.8584,164.5124,161.8584,164.297,11423800
2025-05-28,164.1892,165.3547,163.6114,163.9052,5385900
2025-05-29,163.298,165.5016,163.0042,165.0804,4842500
2025-05-30,165.2665,167.4603,165.1196,166.383,12587500
2025-06-02,165.5309,165.5505,162.7985,164.3165,7574400
2025-06-03,163.3372,163.9542,162.4753,163.4057,6223000
2025-06-04,163.249,164.581,162.4949,162.5243,4939000
2025-06-05,162.015,162.0248,159.1553,159.4393,10351800
