date,open,high,low,close,volume
2025-03-14,263.1631,266.995,260.693,266.4409,2223400
2025-03-17,265.4735,275.1754,265.2669,273.513,3454600
2025-03-18,272.4987,273.9075,265.0415,266.0558,3548600
2025-03-19,259.6881,261.4538,251.132,256.6732,6077100
2025-03-20,256.2882,261.4162,255.8655,257.9224,3630400
2025-03-21,258.561,261.4068,255.9595,256.2694,7280200
2025-03-24,258.7301,259.2279,255.9595,257.3401,2553300
2025-03-25,258.3169,259.1621,255.5932,257.7439,2911600
2025-03-26,259.4533,260.5052,255.3208,255.9689,3463000
2025-03-27,257.0208,258.4014,254.5225,257.9694,3117300
2025-03-28,258.4859,262.7968,257.4997,261.9045,4346900
2025-03-31,261.9891,267.3989,261.8576,265.8023,4886800
2025-04-01,266.2718,269.0049,263.9332,267.0044,4740200
2025-04-02,265.8116,267.0326,259.4157,264.1305,2710000
2025-04-03,261.481,272.3514,260.4851,269.6455,3831200
2025-04-04,259.4046,264.5251,241.0462,242.0609,7338600
2025-04-07,237.5136,245.4808,232.985,239.8342,5910700
2025-04-08,248.0363,253.9084,241.4032,244.6352,5763700
2025-04-09,241.6851,256.3512,240.3415,253.7768,6074600
2025-04-10,254.3406,259.151,249.9154,256.6612,4346300
2025-04-11,255.872,259.9213,252.2642,258.9724,3052600
2025-04-14,260.9924,264.4123,259.1134,261.7159,2486900
2025-04-15,262.195,264.9479,259.057,259.414,2368900
2025-04-16,263.9896,266.3572,257.4598,258.4933,3069000
2025-04-17,256.0411,257.845,248.9758,249.3986,3648800
2025-04-21,248.2054,248.9476,238.8383,241.8448,2775400
2025-04-22,244.5037,249.7744,243.0944,249.051,3712300
2025-04-23,249.051,250.8643,247.2095,249.004,2001200
2025-04-24,248.7691,249.9248,246.3452,249.1543,1821600
2025-04-25,249.004,249.6429,244.9828,248.9852,1826900
2025-04-28,252.3487,253.9553,249.9905,253.2789,2104200
2025-04-29,253.9084,260.3348,253.3446,259.6019,2690600
2025-04-30,260.6166,265.5116,257.4316,264.7036,3124900
2025-05-01,261.9977,263.0688,259.3107,260.8703,2474500
2025-05-02,262.1856,266.3008,261.7347,265.7089,1566100
2025-05-05,265.3518,266.8269,262.4581,265.0982,2229200
2025-05-06,264.4781,267.2403,263.7171,266.5075,1927200
2025-05-07,266.4323,270.1059,265.8028,269.063,2304600
2025-05-08,267.8604,268.8939,266.0095,266.7518,2147000
2025-05-09,266.4323,269.6455,265.9908,267.3061,1542700
2025-05-12,266.8645,268.9503,258.0987,263.3037,3349100
2025-05-13,263.36,267.8416,262.5051,265.5022,3014500
2025-05-14,266.5732,267.2779,260.7012,261.3495,2422700
2025-05-15,261.9884,264.7975,261.077,264.1493,4913600
2025-05-16,263.8674,268.8281,263.8204,268.7342,2779500
2025-05-19,269.3073,271.6185,267.5316,270.8105,1825900
2025-05-20,269.5704,271.4494,268.0483,268.3584,1844800
2025-05-21,266.6766,268.5181,261.4998,264.0083,3127500
2025-05-22,263.2003,264.0083,259.2731,260.3629,2505700
2025-05-23,261.0112,262.0071,259.7804,260.532,1677600
2025-05-27,260.0717,263.407,256.8867,261.8944,3468200
2025-05-28,258.7188,263.4822,258.7,260.2784,3182600
2025-05-29,259.6771,260.5978,258.7282,260.532,2270700
2025-05-30,260.3629,267.9919,259.7804,267.7007,5075000
2025-06-02,266.0941,271.3649,264.5721,271.2803,2107600
2025-06-03,270.4348,272.4266,264.1681,269.8804,2896500
2025-06-04,270.9139,270.9139,264.6472,265.1076,2432100
2025-06-05,266.1317,266.592,262.5803,263.2567,2520800
2025-06-06,265.0418,266.78,261.8286,262.4299,2442300
2025-06-09,261.1897,261.8568,249.9247,254.9043,5885900
2025-06-10,253.7674,254.613,248.553,249.4362,3987300
2025-06-11,248.9382,249.4456,246.2606,247.3035,3013400
2025-06-12,247.4256,252.2172,247.031,252.189,3045600
2025-06-13,252.2642,253.5231,250.5072,251.6535,3152200
2025-06-16,252.2548,253.4668,249.6147,250.3193,3509200
2025-06-17,249.455,250.714,247.0028,249.6993,2495200
2025-06-18,249.1167,250.1596,242.0327,244.5882,4771900
2025-06-20,244.7574,248.2618,243.4326,246.1667,8887100
2025-06-23,246.8901,250.8737,246.8901,250.2724,3006500
2025-06-24,249.7932,251.1462,248.3557,249.9248,3540300
2025-06-25,248.1114,249.3234,243.4608,243.9681,2957800
2025-06-26,244.7198,246.0445,242.9628,245.8002,4008600
2025-06-27,246.4767,248.4027,245.8848,248.0269,12464500
2025-06-30,247.839,251.7286,247.1437,250.7233,4016500
2025-07-01,250.7233,250.8549,244.6916,248.3181,3042300
2025-07-02,247.5102,247.8766,240.5388,242.2112,3495400
2025-07-03,242.3616,245.9332,241.5063,245.9332,2685600
2025-07-07,243.2451,244.467,236.6564,238.3012,5032800
2025-07-08,237.5023,238.32,234.692,236.5154,4960500
2025-07-09,237.0324,237.7843,234.7578,235.3594,2534700
2025-07-10,235.0774,235.256,231.9193,234.3913,4289800
2025-07-11,233.1694,234.1563,229.861,230.2557,3182500
2025-07-14,230.2745,232.6524,229.0338,232.5021,4758100
2025-07-15,231.8817,232.1637,226.4397,227.6428,5200300
2025-07-16,230.2745,233.5078,227.8496,231.6468,6060300
2025-07-17,229.8422,232.4739,228.0,232.4081,4470700
2025-07-18,232.6618,233.6112,230.3685,231.5998,2966500
2025-07-21,230.4813,232.5209,230.1993,230.3967,3481300
2025-07-22,231.252,232.737,230.1711,232.5021,2642400
