date,open,high,low,close,volume
2025-03-14,596.5928,603.1819,588.5571,602.3099,929500
2025-03-17,599.0203,619.1937,599.0203,615.8843,824200
2025-03-18,612.0696,616.3798,603.4989,610.7518,733400
2025-03-19,610.7518,629.439,610.6626,624.2371,814300
2025-03-20,616.6176,625.4163,615.0323,618.9956,693300
2025-03-21,615.924,622.3842,606.1246,616.3995,813100
2025-03-24,628.8149,638.8916,626.7539,636.692,893800
2025-03-25,641.7651,646.4121,637.2667,645.3915,903700
2025-03-26,643.9845,650.8708,626.0999,631.6684,953500
2025-03-27,626.5061,627.3781,615.5574,620.5215,628200
2025-03-28,618.0048,619.4911,591.817,595.9191,812600
2025-03-31,585.4856,606.3823,575.6663,602.2802,835200
2025-04-01,601.4082,608.3639,592.7582,604.2717,679400
2025-04-02,593.3131,624.9803,589.7362,623.2166,785400
2025-04-03,570.831,578.6685,548.3291,551.5989,1788800
2025-04-04,523.7366,533.3378,505.3268,512.4905,2254800
2025-04-07,500.4817,544.2965,483.9743,526.7785,1796100
2025-04-08,556.8502,564.4698,509.5873,520.6649,1601200
2025-04-09,512.7284,598.8123,506.6446,590.6379,2201800
2025-04-10,569.5826,573.5856,534.1503,555.047,1028800
2025-04-11,549.1614,564.7472,541.1951,560.1894,938600
2025-04-14,573.8134,573.8134,553.1347,564.3906,759800
2025-04-15,570.2365,570.7518,561.5072,563.043,440800
2025-04-16,554.4822,561.9135,545.4953,554.3237,681300
2025-04-17,558.2672,565.2823,555.8495,555.8594,558200
2025-04-21,547.0014,551.044,533.1495,542.2751,496200
2025-04-22,549.9145,563.5187,549.1515,561.4578,718400
2025-04-23,584.1876,609.1863,572.1191,575.488,669800
2025-04-24,572.3073,592.7087,570.9796,591.3413,903800
2025-04-25,593.5311,598.0889,586.6745,592.5403,530400
2025-04-28,595.7802,602.4783,587.5861,591.6188,617200
2025-04-29,588.0023,598.7331,587.051,597.217,699600
2025-04-30,587.6752,600.9525,578.5397,599.5157,1209000
2025-05-01,608.7999,614.2594,590.2515,604.5294,1236800
2025-05-02,616.0529,621.9384,607.3632,613.3479,665900
2025-05-05,605.6193,618.3416,605.6193,610.9203,617000
2025-05-06,604.8069,614.3388,602.736,608.2946,603900
2025-05-07,612.9218,620.789,610.9103,617.3112,664000
2025-05-08,624.6532,640.9921,622.4733,635.6218,859900
2025-05-09,638.6127,646.8101,637.3011,643.4616,1298800
2025-05-12,675.5954,681.1001,662.0722,664.4966,1083400
2025-05-13,668.9183,680.4741,663.185,674.095,812100
2025-05-14,672.7834,675.3967,668.6599,670.5081,505800
2025-05-15,667.4279,671.3526,664.3575,668.3519,464500
2025-05-16,671.9885,677.7714,667.2092,676.0624,460100
2025-05-19,666.7323,676.9368,665.6592,674.9496,720100
2025-05-20,671.0843,678.1291,670.7564,675.7146,856700
2025-05-21,668.0637,671.1837,656.0806,657.5612,627500
2025-05-22,655.0174,657.2233,647.2771,653.1593,662200
2025-05-23,640.1528,655.7825,633.1478,650.7846,430800
2025-05-27,660.3333,668.8089,655.6732,666.6329,564300
2025-05-28,668.8487,670.0112,660.5817,662.0522,469200
2025-05-29,667.1794,667.1794,657.5014,662.9763,486300
2025-05-30,659.4688,662.9962,653.4673,660.4625,1042600
2025-06-02,660.2836,661.307,647.0684,656.0905,628900
2025-06-03,658.7932,662.6286,656.5774,660.4725,808100
2025-06-04,663.9899,664.586,660.3135,660.8997,334600
2025-06-05,664.5661,666.146,655.3949,657.7498,638000
2025-06-06,668.1829,669.7926,664.7152,666.9807,387700
2025-06-09,670.6968,672.4456,665.1822,665.6094,475400
2025-06-10,667.5868,668.9083,662.3603,666.6528,457400
2025-06-11,668.1929,671.9588,661.0686,667.4676,511800
2025-06-12,662.8174,664.3475,657.0742,662.6087,493200
2025-06-13,653.0998,657.9586,648.2708,649.9202,682700
2025-06-16,657.1736,661.6946,654.0139,657.6208,636200
2025-06-17,654.5107,658.6045,647.5951,648.0522,623900
2025-06-18,647.585,656.4184,647.5751,648.1315,478700
2025-06-20,653.9045,655.7328,645.2203,648.5688,864700
2025-06-23,650.7846,660.3234,642.3885,659.9855,499300
2025-06-24,664.3476,672.4754,660.7109,670.9453,605900
