date,open,high,low,close,volume
2025-03-14,107.9157,108.4275,106.6991,108.0413,4732700
2025-03-17,107.6647,111.0346,107.655,110.5036,3436100
2025-03-18,110.0372,110.1725,107.8917,108.6069,3464200
2025-03-19,108.4909,109.9212,107.9497,109.1771,4121100
2025-03-20,108.8388,110.0952,107.9497,108.3073,3344200
2025-03-21,107.5342,107.9111,104.3063,104.7799,7526600
2025-03-24,105.611,106.7224,104.4899,106.5581,5379400
2025-03-25,106.3745,106.732,104.7799,105.5627,3467100
2025-03-26,105.9202,107.8338,105.8043,107.3989,3246100
2025-03-27,107.4955,108.5586,106.877,107.0316,2825100
2025-03-28,107.2732,107.8724,106.2392,106.7417,3660200
2025-03-31,106.6064,108.4426,106.4035,108.0367,5071200
2025-04-01,108.7615,108.9548,106.3938,107.7081,3359900
2025-04-02,107.7081,108.7712,106.4614,108.5682,3230800
2025-04-03,104.4803,105.7076,97.7829,98.1792,7613200
2025-04-04,96.0144,96.9518,92.139,94.932,12661100
2025-04-07,93.405,95.8404,88.5922,91.3465,12717900
2025-04-08,93.8013,94.3135,85.3547,86.7464,8177500
2025-04-09,84.9971,95.4925,82.4844,94.9223,17532000
2025-04-10,93.2794,94.1975,89.7229,91.7041,17204000
2025-04-11,90.873,93.1731,89.4137,92.9991,6480100
2025-04-14,94.3618,96.0434,93.6176,94.9996,6844900
2025-04-15,95.5408,96.1593,94.8063,95.1736,6702200
2025-04-16,96.3526,98.4884,94.6904,96.9228,7334600
2025-04-17,97.6863,100.199,97.609,98.672,6213100
2025-04-21,97.1354,97.609,93.8399,95.3185,4801500
2025-04-22,96.8552,97.7056,95.4538,96.5942,4794400
2025-04-23,98.7977,101.4553,97.58,98.0729,6911200
2025-04-24,98.5367,100.2377,97.58,99.8897,4602300
2025-04-25,99.8994,100.025,98.5657,98.8073,2828200
2025-04-28,98.875,100.6049,98.4594,99.8511,3149600
2025-04-29,99.1263,100.1893,98.6237,99.6385,2520500
2025-04-30,99.0006,99.6095,96.8552,98.7687,7712300
2025-05-01,99.8124,100.9625,98.5367,99.6191,3956100
2025-05-02,101.639,102.3638,100.9045,101.8709,4193700
2025-05-05,101.0881,102.4604,100.8755,101.7936,3246600
2025-05-06,101.2041,101.9676,100.1217,100.9915,6505100
2025-05-07,100.9915,102.4604,100.7015,101.5133,4741200
2025-05-08,101.639,102.8567,99.9767,101.9482,3514500
2025-05-09,102.1415,103.6781,101.7066,103.3205,5506200
2025-05-12,107.2249,109.1578,106.3068,106.6257,10025000
2025-05-13,106.5001,106.7997,104.8572,106.0169,4533900
2025-05-14,105.1954,105.5047,103.0983,103.9874,7699900
2025-05-15,103.8714,105.8333,103.0403,105.5627,3163500
2025-05-16,105.669,106.9156,105.1084,106.8383,2768400
2025-05-19,105.1568,107.0993,104.7122,106.935,2880300
2025-05-20,106.2392,106.993,104.8282,105.0794,2689400
2025-05-21,104.2193,104.5672,100.8562,101.1558,2861600
2025-05-22,101.2524,102.3251,100.315,101.5617,3492800
2025-05-23,100.8272,101.3394,99.5612,100.5469,3075500
2025-05-27,101.8516,103.2915,100.9431,103.0403,4067300
2025-05-28,103.3012,104.374,102.905,104.2966,4580500
2025-05-29,105.2244,107.6405,104.7412,105.5627,4585600
2025-05-30,105.0601,105.4274,103.1853,104.9538,7261600
2025-06-02,104.2387,105.0988,102.5861,105.0988,3958700
2025-06-03,104.6832,105.8526,104.1227,105.3597,3423200
2025-06-04,105.2244,105.466,104.6446,104.7895,2436300
2025-06-05,104.8572,105.3404,103.7748,104.2,2632800
2025-06-06,105.2437,106.3261,104.5189,105.1374,3644400
2025-06-09,105.6013,106.3648,104.8475,105.2727,3032300
2025-06-10,105.3404,106.3068,104.5479,105.8139,3771600
2025-06-11,106.3165,106.4421,104.5866,104.8572,3454900
2025-06-12,104.2773,105.7076,104.0454,104.7992,3526800
2025-06-13,103.7554,104.316,102.673,103.6781,3359400
2025-06-16,103.4075,104.8958,102.8277,103.2336,4537500
2025-06-17,102.8726,103.6043,101.7603,102.5311,3068100
2025-06-18,102.4433,104.0824,101.9555,102.5213,2599300
2025-06-20,102.9604,103.6824,102.5604,103.1165,6746300
2025-06-23,103.0092,104.6483,102.3262,104.5214,3118900
2025-06-24,104.3946,105.9556,103.7799,105.4971,2990100
2025-06-25,104.8922,104.8922,102.1604,102.2286,4926000
2025-06-26,102.2091,102.5506,100.9798,101.8481,4506500
2025-06-27,102.5506,104.9897,102.4726,103.0482,5732900
2025-06-30,102.8726,103.2726,100.931,102.5604,7418000
2025-07-01,102.3165,105.8288,101.7116,103.9848,6626300
2025-07-02,104.1409,105.819,103.5263,105.6727,3458900
2025-07-03,105.6532,106.1312,104.9995,105.3897,1549600
2025-07-07,105.1263,106.3459,102.9409,103.7409,3837900
2025-07-08,103.2628,105.7215,103.175,104.2482,2939000
2025-07-09,104.5214,104.8727,102.7165,103.7994,4461200
2025-07-10,104.3165,107.3215,103.936,105.7703,4765000
2025-07-11,104.1019,106.5117,103.8677,106.5117,3209800
2025-07-14,105.741,106.863,105.458,106.6874,3582000
2025-07-15,107.0093,107.4289,105.5556,105.9752,5309300
2025-07-16,110.0046,111.712,106.3654,107.4874,12177900
2025-07-17,106.7069,107.7703,103.175,103.8385,6612800
2025-07-18,104.5605,104.5605,103.1458,104.18,4481500
2025-07-21,104.6385,106.0532,104.0824,105.2337,3838200
2025-07-22,105.5849,106.7069,105.0775,106.5313,5214700
2025-07-23,106.4825,107.7313,105.8971,107.3215,4215000
2025-07-24,107.1167,107.8484,106.5605,107.0484,6208800
2025-07-25,107.2728,107.6728,105.6922,107.6045,2150700
2025-07-28,107.3215,107.5947,104.4629,104.5117,2850600
2025-07-29,104.9605,107.1557,104.1995,107.0484,3812700
2025-07-30,107.224,107.702,104.9702,105.8483,3796500
2025-07-31,104.8532,106.1313,103.9946,104.18,4136100
2025-08-01,104.5702,104.658,101.5652,102.3555,6122800
2025-08-04,102.7653,103.3116,101.8677,102.6482,4631700
2025-08-05,103.1262,104.9605,102.736,104.4336,3556700
2025-08-06,104.3263,104.8141,103.058,103.1555,3706100
2025-08-07,104.3556,104.8629,102.7457,103.7019,2214900
2025-08-08,103.6336,104.1702,103.0482,103.1067,1841700
2025-08-11,102.8433,103.2823,101.4091,101.5457,3181500
