date,open,high,low,close,volume
2025-03-14,247.66,257.25,246.5,255.44,913500
2025-03-17,254.7,262.48,252.47,261.63,780300
2025-03-18,261.25,264.83,255.64,260.47,738500
2025-03-19,261.43,266.89,260.01,265.82,588400
2025-03-20,264.5,269.69,263.81,265.39,811700
2025-03-21,263.47,268.97,258.25,268.32,1299500
2025-03-24,272.38,274.85,270.42,274.04,697000
2025-03-25,274.62,276.13,268.83,272.71,958600
2025-03-26,272.47,275.42,261.5,264.88,948800
2025-03-27,263.98,267.91,260.04,260.27,636800
2025-03-28,259.87,261.6,255.76,258.75,536800
2025-03-31,256.68,263.63,255.75,262.61,744800
2025-04-01,260.92,264.62,257.62,263.18,564500
2025-04-02,260.64,270.33,258.1,269.13,899800
2025-04-03,255.39,258.3,248.73,256.8,1099500
2025-04-04,250.62,250.62,236.77,245.26,1337200
2025-04-07,240.0,261.25,236.7,256.23,1313100
2025-04-08,263.82,265.71,244.87,247.04,1050900
2025-04-09,243.88,266.07,241.54,264.72,1527600
2025-04-10,263.95,263.95,245.76,251.47,921300
2025-04-11,253.2,255.27,246.24,253.99,596700
2025-04-14,257.84,257.84,251.8,255.47,538700
2025-04-15,254.83,257.37,252.89,256.43,542500
2025-04-16,255.89,258.0,247.14,250.73,731300
2025-04-17,245.0,248.96,234.22,246.8,623500
2025-04-21,243.67,244.54,237.5,238.57,518000
2025-04-22,241.83,246.55,239.37,244.02,550500
2025-04-23,250.59,255.75,245.07,246.49,483700
2025-04-24,249.82,261.62,249.81,259.38,520800
2025-04-25,258.75,262.83,258.75,260.71,465400
2025-04-28,262.0,264.25,255.0,259.52,766000
2025-04-29,255.65,258.98,247.4,251.27,1152300
2025-04-30,249.55,252.94,245.66,252.29,721000
2025-05-01,252.94,254.32,248.4,250.25,596700
2025-05-02,255.16,259.26,254.72,257.01,838700
2025-05-05,256.83,260.96,252.88,258.79,736900
2025-05-06,256.46,260.58,256.0,258.87,875600
2025-05-07,259.71,264.67,259.52,264.31,454900
2025-05-08,266.35,267.32,256.93,257.0,1284500
2025-05-09,293.03,312.16,293.03,310.67,3216200
2025-05-12,313.46,318.86,305.95,316.67,1404400
2025-05-13,316.67,323.0,313.87,314.46,1469300
2025-05-14,313.39,321.85,313.39,321.41,966700
2025-05-15,320.59,322.37,318.95,322.02,661100
2025-05-16,322.02,325.22,315.38,324.75,836400
2025-05-19,322.56,326.5,321.17,325.84,634500
2025-05-20,324.0,329.0,320.17,327.47,998400
2025-05-21,325.41,329.33,322.64,324.5,653400
2025-05-22,324.0,324.67,319.89,321.0,991400
2025-05-23,319.46,322.71,315.91,321.36,693200
2025-05-27,325.0,329.1,324.67,326.64,697100
2025-05-28,325.49,328.11,322.5,323.55,919800
2025-05-29,324.69,326.07,322.29,323.85,427900
2025-05-30,324.22,326.24,320.71,325.03,960700
2025-06-02,324.23,325.22,319.74,325.0,712000
2025-06-03,325.0,325.09,319.32,323.24,859500
2025-06-04,325.29,325.61,319.07,319.21,790000
2025-06-05,319.58,320.95,315.52,317.16,902300
2025-06-06,317.89,320.98,311.06,311.77,682600
2025-06-09,310.4,312.0,302.69,305.66,913000
2025-06-10,306.27,307.68,295.56,298.73,1095700
2025-06-11,299.92,304.33,297.9,302.24,876500
2025-06-12,302.24,303.71,299.38,303.62,866100
2025-06-13,299.61,308.79,299.61,304.63,670600
2025-06-16,307.65,310.18,305.16,306.59,867300
2025-06-17,303.64,305.92,300.61,304.39,591800
2025-06-18,304.61,305.64,299.47,301.79,756500
2025-06-20,304.28,305.51,300.59,303.15,1539100
2025-06-23,303.84,309.66,301.62,307.67,1171100
2025-06-24,310.46,315.49,304.13,310.9,908000
2025-06-25,311.41,311.41,304.31,306.23,639400
2025-06-26,306.23,309.86,305.2,309.83,628500
2025-06-27,309.4,313.35,305.07,313.08,760300
2025-06-30,312.83,316.0,311.78,314.18,682800
2025-07-01,310.54,313.54,296.47,299.99,1404400
2025-07-02,299.54,304.38,297.29,301.62,884000
2025-07-03,301.84,302.44,297.0,301.05,527300
2025-07-07,299.71,302.34,297.22,300.7,585400
2025-07-08,300.3,302.48,295.18,296.51,714500
2025-07-09,297.79,298.73,293.38,297.46,456900
2025-07-10,297.91,300.0,296.03,297.4,476000
2025-07-11,296.23,296.23,289.03,289.32,507500
2025-07-14,290.39,296.44,290.26,292.01,605800
2025-07-15,292.96,293.17,289.08,289.99,511000
2025-07-16,290.66,291.71,287.27,288.27,386900
2025-07-17,287.16,288.5,282.8,283.45,582200
2025-07-18,285.52,286.48,283.45,284.23,349100
2025-07-21,284.65,288.0,280.43,280.96,376500
2025-07-22,281.58,285.94,281.58,285.57,511200
2025-07-23,287.13,288.79,284.67,286.67,583600
2025-07-24,287.0,288.12,284.0,286.58,672100
2025-07-25,288.01,291.24,286.91,290.22,528100
2025-07-28,290.74,294.11,290.21,292.27,397800
2025-07-29,292.61,293.0,289.85,291.49,373300
2025-07-30,292.13,300.24,291.89,298.27,540800
2025-07-31,295.72,298.06,287.76,288.4,640200
2025-08-01,286.25,287.4,282.75,284.91,567400
2025-08-04,286.09,290.25,283.94,287.77,614600
2025-08-05,287.75,287.75,280.71,281.0,833100
2025-08-06,279.26,281.15,276.46,277.3,1016700
2025-08-07,317.0,322.8,286.68,303.55,1787800
2025-08-08,303.55,312.99,299.83,307.1,1099700
2025-08-11,307.12,311.55,304.26,304.84,725900
2025-08-12,305.12,309.79,302.41,309.63,723100
2025-08-13,312.04,314.35,306.91,308.68,804300
2025-08-14,309.15,316.16,307.51,315.78,763900
2025-08-15,318.11,321.72,316.23,321.27,617200
2025-08-18,321.32,323.83,320.75,323.07,457900
2025-08-19,323.28,327.69,322.85,327.48,534100
2025-08-20,328.88,333.41,326.69,333.0,618600
2025-08-21,332.23,334.18,327.76,327.85,458600
2025-08-22,329.85,333.22,328.08,330.77,499600
2025-08-25,329.88,330.76,327.17,329.0,517300
2025-08-26,330.58,332.33,328.87,331.83,493000
2025-08-27,331.49,335.86,329.65,334.35,517000
2025-08-28,332.08,337.84,331.75,337.6,458000
2025-08-29,337.31,341.14,335.81,339.88,515200
2025-09-02,338.13,350.0,334.91,344.92,788600
2025-09-03,346.64,346.64,339.0,343.53,595500
2025-09-04,343.34,349.09,341.89,346.47,499600
2025-09-05,345.27,348.72,345.27,348.43,498500
2025-09-08,349.56,350.0,345.56,349.56,526500
2025-09-09,349.27,353.5,347.31,352.82,656700
2025-09-10,350.68,351.11,330.0,337.61,800800
2025-09-11,337.69,342.4,336.04,337.94,563700
2025-09-12,337.75,351.94,336.0,341.78,472900
2025-09-15,342.0,345.74,339.98,340.29,335500
2025-09-16,340.72,345.2,328.93,332.13,812100
2025-09-17,332.13,333.1,313.24,322.22,1109000
2025-09-18,322.03,334.91,319.13,333.51,684800
2025-09-19,333.51,333.72,328.76,330.84,1028500
2025-09-22,330.31,336.02,327.86,335.12,431500
2025-09-23,332.95,335.58,326.48,327.8,435700
2025-09-24,329.79,330.21,324.64,326.97,576200
2025-09-25,324.5,324.5,312.59,323.58,745500
2025-09-26,323.51,326.29,317.47,318.0,577400
2025-09-29,319.6,319.6,308.33,310.62,676500
2025-09-30,311.41,311.41,304.64,308.73,985800
2025-10-01,308.75,312.05,288.02,305.98,1140500
2025-10-02,304.36,312.7,302.92,312.21,545800
2025-10-03,312.24,316.59,308.42,309.12,651600
2025-10-06,310.9,312.08,306.02,311.69,538500
2025-10-07,311.98,315.44,310.02,313.45,479900
2025-10-08,311.32,318.14,310.07,315.49,465000
2025-10-09,318.24,324.69,315.83,320.38,567300
2025-10-10,320.69,322.54,313.53,314.52,543000
2025-10-13,314.43,317.53,312.1,314.56,462700
2025-10-14,314.16,323.69,312.69,318.3,360800
2025-10-15,317.97,319.82,312.05,312.45,399700
2025-10-16,314.65,322.58,312.74,316.29,466000
2025-10-17,315.4,321.63,315.17,318.59,376900
2025-10-20,318.12,326.88,318.12,326.85,376000
2025-10-21,325.84,329.97,322.83,328.97,441400
2025-10-22,332.98,335.26,328.81,329.22,557800
2025-10-23,327.9,330.81,323.17,323.46,411600
2025-10-24,325.91,327.74,320.78,320.91,297000
2025-10-27,321.4,326.42,320.76,325.8,378300
2025-10-28,324.77,326.81,321.66,324.34,328700
2025-10-29,322.67,323.04,314.92,316.17,571100
2025-10-30,316.81,320.43,311.5,311.95,403500
2025-10-31,310.81,316.67,309.27,313.01,543800
2025-11-03,313.61,320.67,313.61,318.77,634300
2025-11-04,319.48,322.86,316.37,320.27,605500
2025-11-05,315.23,319.14,308.84,314.44,854100
2025-11-06,323.49,335.0,290.16,323.4,1498300
2025-11-07,326.35,332.95,316.86,319.82,677200
2025-11-10,320.63,325.0,311.51,320.35,545000
2025-11-11,322.19,327.38,321.96,326.28,476600
2025-11-12,325.96,339.51,324.76,336.84,606200
2025-11-13,334.87,341.03,331.61,332.67,550500
2025-11-14,333.93,336.56,328.84,332.7,405800
2025-11-17,331.43,334.81,327.24,328.02,512200
2025-11-18,327.84,335.87,324.97,333.47,654900
2025-11-19,340.24,348.23,336.82,346.36,977900
2025-11-20,347.25,354.88,312.06,312.89,1801400
2025-11-21,321.97,334.47,316.88,331.17,1443000
2025-11-24,330.03,341.27,330.03,337.53,1129400
2025-11-25,337.53,342.13,325.55,328.85,884600
2025-11-26,327.54,330.83,324.0,326.8,662100
2025-11-28,327.95,328.28,324.28,327.19,224700
2025-12-01,324.83,325.0,310.18,310.83,878700
2025-12-02,313.17,314.0,306.69,309.0,759500
2025-12-03,309.18,310.44,303.2,307.56,905100
2025-12-04,308.78,317.34,305.05,315.92,757000
2025-12-05,315.12,315.99,302.96,304.49,518100
2025-12-08,304.56,304.56,295.16,296.19,644300
2025-12-09,300.23,306.04,293.66,294.2,798300
2025-12-10,293.92,301.22,292.77,295.19,918600
2025-12-11,296.45,297.67,290.98,294.17,629500
2025-12-12,296.08,297.48,293.51,295.7,576600
2025-12-15,296.1,297.2,291.18,291.51,731500
2025-12-16,296.36,296.36,287.52,288.73,1029400
2025-12-17,288.81,295.0,288.81,289.57,697800
2025-12-18,292.19,299.22,291.74,292.88,750200
2025-12-19,293.75,297.02,288.4,289.62,1179100
2025-12-22,289.82,292.53,287.97,291.57,627800
2025-12-23,291.61,292.75,285.02,285.5,579900
2025-12-24,285.08,289.91,285.08,288.82,294300
2025-12-26,288.36,290.12,286.66,288.63,310500
2025-12-29,289.26,290.6,285.58,287.36,580600
2025-12-30,286.03,287.53,285.2,287.03,322500
2025-12-31,286.18,287.0,284.09,284.24,287600
2026-01-02,285.46,286.52,280.18,282.92,456800
2026-01-05,282.21,285.4,278.79,283.51,795100
2026-01-06,283.4,295.16,281.91,294.35,752600
2026-01-07,295.86,299.8,294.51,299.17,573200
