date,open,high,low,close,volume
2025-03-14,319.0731,321.9979,316.6588,321.144,268700
2025-03-17,319.3675,325.2857,317.4439,320.9968,393300
2025-03-18,318.6413,321.9194,317.1396,318.975,349100
2025-03-19,318.1407,321.9292,313.9303,316.2465,358300
2025-03-20,316.5213,320.8201,314.264,314.4014,411500
2025-03-21,314.3326,314.6074,310.4755,314.205,443300
2025-03-24,317.2182,322.1353,316.4134,319.8976,307000
2025-03-25,318.1112,323.4602,316.7765,319.5933,364700
2025-03-26,319.5147,322.2727,317.7089,320.8692,308500
2025-03-27,320.6827,321.939,315.2258,318.1702,333000
2025-03-28,319.4264,319.4264,308.8463,309.0818,271500
2025-03-31,306.5006,314.7253,305.6762,312.4483,339400
2025-04-01,310.6718,315.2552,309.7296,312.2323,382700
2025-04-02,309.7983,320.6435,309.7983,319.6227,341200
2025-04-03,309.9063,311.4668,303.9979,308.0317,958600
2025-04-04,309.1505,314.1265,295.8419,309.2094,789900
2025-04-07,303.0459,311.9772,291.759,297.4613,871500
2025-04-08,304.3218,307.1189,280.6096,285.566,621000
2025-04-09,283.6325,309.4842,279.0,307.747,693800
2025-04-10,301.927,302.5551,288.8932,299.6402,563900
2025-04-11,297.8245,306.1865,293.7711,305.4995,411900
2025-04-14,307.4526,310.7601,302.9379,305.7743,258200
2025-04-15,305.4995,308.4243,299.7874,301.2694,244300
2025-04-16,301.3087,303.2323,291.9259,295.7634,441700
2025-04-17,297.3927,303.3109,297.3927,300.5726,508500
2025-04-21,297.8245,297.8245,287.6762,291.0622,460900
2025-04-22,295.7437,303.6838,295.1941,300.9946,428000
2025-04-23,305.8725,312.4973,301.4952,303.5759,500000
2025-04-24,307.0797,308.2182,280.2072,283.3479,1339000
2025-04-25,283.5246,286.469,279.108,286.1844,824200
2025-04-28,286.3806,293.0251,283.8583,285.9291,515600
2025-04-29,283.9565,290.7384,283.9565,288.4515,501200
2025-04-30,285.0458,288.4515,281.1102,287.7056,631600
