date,open,high,low,close,volume
2025-03-14,285.3676,289.2345,282.9932,288.9341,744200
2025-03-17,286.7901,290.3495,284.9865,288.2101,482600
2025-03-18,287.0876,289.4477,284.9769,286.3776,510300
2025-03-19,285.5909,287.7496,281.0818,283.6146,798700
2025-03-20,283.9312,286.013,282.1659,284.4396,692800
2025-03-21,283.8737,284.0943,278.7793,279.3166,1421700
2025-03-24,280.391,285.2167,280.132,282.9526,667500
2025-03-25,282.8567,283.864,274.8554,277.4073,610200
2025-03-26,278.2132,281.5135,278.2132,279.7003,441900
2025-03-27,280.7652,284.4876,279.6139,280.0648,550300
2025-03-28,282.1564,282.6456,278.6162,282.4154,524600
2025-03-31,284.3437,289.3133,283.7393,287.1355,1015000
2025-04-01,289.275,289.275,282.7703,286.723,838700
2025-04-02,287.4522,287.5481,281.0818,284.8714,596800
2025-04-03,283.6338,290.196,280.6693,282.7703,1151300
2025-04-04,282.3962,287.3658,272.4281,272.975,1407100
2025-04-07,271.6222,274.1358,259.5627,264.494,1409400
2025-04-08,268.6097,271.3152,253.2883,255.4949,1338700
2025-04-09,253.2116,272.2746,246.1792,270.826,1789400
2025-04-10,270.068,273.3491,259.4956,266.7773,1227700
2025-04-11,266.4031,269.5883,260.7619,268.9551,1035600
2025-04-14,270.7012,277.8486,269.9049,277.0044,1044300
2025-04-15,277.2634,280.3431,275.4406,277.1771,691500
2025-04-16,277.2826,280.65,275.9107,277.2922,698000
2025-04-17,279.4605,286.3776,279.4605,283.9888,741400
2025-04-21,281.6862,282.1179,272.5528,275.8819,664200
2025-04-22,281.5615,285.9171,279.7674,284.622,843200
2025-04-23,285.3031,288.2964,281.0914,283.2404,709600
2025-04-24,284.6316,284.67,280.7173,281.8589,689700
2025-04-25,281.8013,282.1851,276.1026,279.0959,909800
2025-04-28,279.5275,281.4847,278.0693,280.2471,844100
2025-04-29,279.1726,282.0604,277.4361,281.0914,621300
2025-04-30,280.8419,289.0543,279.3453,288.2292,1044200
2025-05-01,287.1067,292.4217,283.0677,287.8167,905100
2025-05-02,291.9517,291.9517,287.385,287.9606,1290500
2025-05-05,287.8167,289.8698,285.1592,288.1429,861300
2025-05-06,286.0418,288.9296,283.5378,285.8788,647300
2025-05-07,285.9363,289.1407,285.5046,287.7208,991100
2025-05-08,287.0588,290.6661,285.6101,288.4883,734700
2025-05-09,287.7783,292.4985,287.337,291.7214,460100
2025-05-12,293.103,293.7745,286.7134,292.7863,822600
2025-05-13,295.0121,295.0409,287.692,289.8602,730800
2025-05-14,288.354,289.4477,284.5836,286.0802,642000
2025-05-15,288.3828,292.8631,286.9533,292.5945,532700
2025-05-16,292.748,296.5951,292.3738,296.5951,706900
2025-05-19,294.9642,297.1804,293.0933,296.8925,505900
2025-05-20,296.0387,297.0556,294.5324,295.3192,479400
2025-05-21,292.7959,293.4867,283.3172,283.8448,615400
2025-05-22,283.8065,285.3799,280.2759,283.7681,592500
2025-05-23,284.6412,285.4087,282.6456,284.6508,558700
2025-05-27,287.2123,288.9776,284.3629,287.951,874600
2025-05-28,287.9126,290.3303,286.7997,289.889,626100
2025-05-29,290.5798,295.2712,289.2846,293.5922,570000
