date,open,high,low,close,volume
2025-03-14,119.2125,122.5789,118.0357,122.2413,3469800
2025-03-17,122.5789,125.2219,122.0966,124.6142,3865400
2025-03-18,125.3376,125.6077,123.1577,123.8618,2627800
2025-03-19,123.9486,125.1736,122.6561,124.4309,2194200
2025-03-20,123.4277,124.7203,122.8586,124.2573,2134200
2025-03-21,123.9776,124.4791,120.37,121.0452,4624600
2025-03-24,121.1031,123.0805,120.5436,121.9905,4032700
2025-03-25,122.4439,123.4374,120.8523,121.0452,2331800
2025-03-26,122.4149,124.074,121.6336,122.087,1714700
2025-03-27,120.7848,121.4021,119.3379,120.3025,1762300
2025-03-28,120.1192,120.5726,116.9457,117.4473,2433200
2025-03-31,116.9458,119.9456,116.5021,119.1064,2179300
2025-04-01,119.2415,120.2253,116.2609,119.9456,2000900
2025-04-02,118.6434,119.8106,118.1997,119.6659,2216600
2025-04-03,113.2996,114.5729,102.8725,103.3837,6785500
2025-04-04,99.0046,99.7183,92.2814,95.3102,6421200
2025-04-07,92.0596,98.4162,89.706,93.1688,5958300
2025-04-08,95.6382,96.4484,87.9505,89.5806,4682400
2025-04-09,88.3556,102.0623,87.7865,99.4772,11450700
2025-04-10,96.5931,97.5288,90.3716,93.5547,4512400
2025-04-11,93.2846,94.799,90.1883,93.9309,3572000
2025-04-14,96.2073,96.6124,92.7348,94.3553,2524000
2025-04-15,94.2781,95.6478,92.7155,92.8023,2347800
2025-04-16,93.2364,95.3391,92.7058,93.1496,1951900
2025-04-17,94.3842,96.7378,94.2492,95.5899,2437300
2025-04-21,93.9984,94.2395,92.3104,93.574,2326600
2025-04-22,95.86,97.712,94.963,97.3262,2908600
2025-04-23,99.6605,101.0881,98.2618,99.1396,3055100
2025-04-24,99.9016,101.3388,99.0914,100.9819,2536800
2025-04-25,99.6219,100.3743,97.9435,100.2875,3056400
2025-04-28,99.6315,102.5156,99.3807,102.0333,2295500
2025-04-29,100.6347,102.5928,100.6347,102.2455,1564400
2025-04-30,100.6636,100.8276,98.5416,100.3743,3211100
2025-05-01,100.5768,101.9658,99.6894,99.7955,2608600
2025-05-02,101.5125,103.6828,99.7183,103.3548,2588700
2025-05-05,102.0816,104.7245,101.9658,103.1137,2710900
2025-05-06,103.403,104.3869,101.6475,101.6572,2348500
2025-05-07,101.7343,102.5735,101.117,101.8115,1748000
2025-05-08,102.6217,106.4415,102.5735,105.3226,2679800
2025-05-09,106.673,107.2324,105.5155,106.9913,2396800
2025-05-12,113.3768,115.4603,113.1453,114.4764,4529700
2025-05-13,119.2318,122.2027,116.9168,121.1224,11117000
2025-05-14,119.7045,121.4021,119.4537,120.2832,3215900
2025-05-15,118.6724,120.5919,118.3058,120.3507,2372000
2025-05-16,120.9005,121.3635,118.6917,121.2767,3242800
2025-05-19,119.5724,120.9066,118.0435,118.9881,3770000
2025-05-20,119.1147,119.738,117.4494,117.7416,2831700
2025-05-21,113.6123,113.8947,108.4995,108.8598,7211900
2025-05-22,108.7235,111.0608,106.8828,110.0285,3588100
2025-05-23,108.6066,110.418,108.4995,110.1745,2248700
2025-05-27,111.1776,112.5508,110.1258,111.3432,2832700
2025-05-28,112.2586,112.4437,109.5707,109.8239,2006400
2025-05-29,109.9311,112.0444,109.3565,111.6841,2609900
2025-05-30,111.3529,111.9567,110.2038,110.5154,4559900
2025-06-02,112.0736,112.3268,108.2852,111.2945,2841300
2025-06-03,111.5087,114.6933,110.1843,112.9403,2065500
