date,open,high,low,close,volume
2025-03-14,155.13,156.25,153.21,155.8,1488100
2025-03-17,155.53,160.3,154.79,158.79,1035700
2025-03-18,158.14,160.08,157.78,160.02,594900
2025-03-19,159.61,162.44,159.61,161.24,619400
2025-03-20,160.2,161.6,159.32,159.9,728500
2025-03-21,158.83,160.93,157.6,159.84,1544300
2025-03-24,161.41,163.06,160.41,161.45,582900
2025-03-25,162.62,163.3,161.14,162.8,974900
2025-03-26,162.68,163.91,161.0,162.15,644600
2025-03-27,161.11,161.38,158.65,160.31,1022100
2025-03-28,159.93,160.62,154.27,154.8,976000
2025-03-31,153.76,155.4,151.92,154.95,1458500
2025-04-01,154.19,156.44,153.2,156.2,1131900
2025-04-02,154.74,158.42,154.6,157.16,692100
2025-04-03,151.83,152.86,146.9,149.53,1416500
2025-04-04,145.85,145.85,139.66,139.77,1244300
2025-04-07,136.91,144.81,134.16,139.69,1867000
2025-04-08,142.72,145.11,134.26,136.74,1081900
2025-04-09,134.61,149.62,133.38,149.24,1450100
2025-04-10,144.86,146.73,139.34,143.76,1019400
2025-04-11,143.62,145.75,140.66,145.32,893400
2025-04-14,147.09,147.91,145.19,146.54,946200
2025-04-15,146.62,148.52,146.54,147.06,552600
2025-04-16,144.62,146.94,141.33,143.98,1128600
2025-04-17,144.38,144.87,142.92,143.56,655600
2025-04-21,142.19,142.27,138.32,139.62,585900
2025-04-22,141.89,143.97,140.7,143.81,683600
2025-04-23,147.61,151.17,146.77,147.7,658200
2025-04-24,146.88,152.06,146.19,151.64,787400
2025-04-25,150.78,154.13,150.44,154.03,1016800
2025-04-28,153.95,155.81,151.34,151.83,943800
2025-04-29,151.84,154.21,151.84,153.65,660800
2025-04-30,151.66,155.33,149.99,154.97,1403800
2025-05-01,160.21,160.59,151.67,156.34,1819100
2025-05-02,159.04,162.92,157.64,160.09,852200
2025-05-05,158.64,162.95,158.64,161.33,984900
2025-05-06,159.19,162.4,158.14,158.72,835200
2025-05-07,159.63,161.41,158.94,161.05,649900
2025-05-08,161.26,166.11,159.97,164.74,1196300
2025-05-09,168.06,168.06,162.64,163.02,481400
2025-05-12,167.98,170.9,167.43,170.51,1076600
2025-05-13,170.47,172.75,170.08,170.96,1047300
