date,open,high,low,close,volume
2025-03-14,255.3776,261.6304,251.6319,260.5117,2080100
2025-03-17,258.0145,270.2605,257.8248,267.0941,1736100
2025-03-18,263.3684,266.5547,261.2009,263.0587,1220500
2025-03-19,264.8967,272.8276,262.1099,270.0907,1301100
2025-03-20,266.1952,273.7965,264.647,270.7899,1174900
2025-03-21,268.2927,269.831,264.6969,267.9132,1606100
2025-03-24,274.4257,279.43,273.5168,278.0815,1346600
2025-03-25,277.692,278.581,273.5768,275.9341,1262500
2025-03-26,274.9951,275.5345,258.7836,260.3419,1521000
2025-03-27,257.1655,258.3042,250.3932,254.5884,1581100
2025-03-28,255.2277,255.9569,250.5631,253.9991,1150100
2025-03-31,248.5154,254.5884,244.4201,253.8892,1626800
2025-04-01,252.5608,257.8347,249.6741,257.605,979800
2025-04-02,251.8116,264.4671,250.603,264.2874,867300
2025-04-03,248.4995,256.5733,248.4995,251.8469,1703900
2025-04-04,242.9337,245.7615,232.172,239.2865,2086900
2025-04-07,232.0321,252.4564,226.906,245.0121,2396200
2025-04-08,253.2058,259.8008,240.6255,244.8622,1702200
2025-04-09,243.0336,271.4519,241.4349,269.3934,1952900
2025-04-10,262.129,269.923,254.8046,262.4987,1535200
2025-04-11,262.4688,270.7125,258.8615,269.3635,1098300
2025-04-14,275.0791,277.4872,269.4634,274.0898,1103000
2025-04-15,274.8792,276.7178,270.7924,272.8208,805800
2025-04-16,268.3543,273.5203,265.0868,269.2436,1049600
2025-04-17,270.8423,271.292,264.4072,267.0153,971300
2025-04-21,262.4787,263.1582,250.8476,253.5756,1046300
2025-04-22,256.8031,263.5679,254.7846,261.6494,979300
2025-04-23,277.0675,284.3319,273.5502,274.0998,1555800
2025-04-24,274.0199,284.0022,271.7916,281.9038,1606100
2025-04-25,284.282,289.7778,282.5434,287.1198,1205500
2025-04-28,285.3512,292.6856,284.9615,290.3973,1058500
2025-04-29,289.488,293.495,286.8401,292.156,1047900
2025-04-30,284.292,294.0245,280.9546,292.4657,1639700
2025-05-01,319.9646,330.3467,312.0607,321.6833,3300800
2025-05-02,324.9808,329.4973,319.435,320.894,2062600
2025-05-05,318.0361,323.6318,314.7586,322.3728,1035600
2025-05-06,318.8655,322.0731,316.1376,317.4066,988100
2025-05-07,319.445,324.751,315.2083,323.342,1204000
2025-05-08,328.0784,330.4966,324.0915,326.0,1169200
2025-05-09,325.7902,327.3091,321.0938,325.6404,999700
2025-05-12,335.6426,337.1615,332.0354,332.535,1585000
2025-05-13,334.9232,346.2145,334.1837,343.3167,1654800
2025-05-14,345.6449,348.153,341.688,342.8871,1651300
2025-05-15,339.8194,341.9978,336.3721,340.1092,1393200
2025-05-16,342.6473,345.0954,337.8809,344.5258,1070400
2025-05-19,337.741,345.0454,336.8118,344.4459,730300
2025-05-20,343.2668,346.2345,343.0769,344.6957,690600
2025-05-21,341.3583,348.6327,340.469,340.9686,1005000
2025-05-22,336.2422,336.9417,320.3144,330.5765,1877300
2025-05-23,328.9478,336.532,326.6396,335.1031,932400
2025-05-27,339.5696,343.1769,337.0915,342.0877,1198000
2025-05-28,342.6573,343.2568,338.3106,340.0593,666500
2025-05-29,343.2568,343.7364,336.3121,339.4797,572700
2025-05-30,338.8202,342.4774,336.5619,342.2975,1655400
2025-06-02,342.2276,345.7848,337.2214,345.2653,766100
2025-06-03,347.3037,357.6657,346.7341,356.2168,1133800
2025-06-04,358.1254,361.283,356.007,358.8348,1105800
2025-06-05,360.6335,361.7526,356.1969,359.3045,877100
2025-06-06,363.3014,363.4613,358.3652,361.0732,700600
2025-06-09,361.8226,363.3214,355.0577,355.3875,902600
2025-06-10,356.2069,356.8363,341.668,348.4928,1489900
2025-06-11,350.2215,355.9171,345.1054,355.5074,857200
2025-06-12,355.3176,360.5236,353.9786,358.3752,860100
2025-06-13,352.3998,358.0654,348.7925,357.9855,796200
2025-06-16,361.263,366.7188,360.6534,361.5228,840600
2025-06-17,356.5266,361.3629,353.419,358.3452,876400
2025-06-18,360.0939,365.6297,357.9955,360.1538,855000
2025-06-20,363.3914,365.5797,358.645,360.5036,1563400
2025-06-23,360.7234,366.459,358.1054,365.4798,923200
2025-06-24,368.7872,373.014,366.3391,371.9748,938600
2025-06-25,373.7134,375.2423,371.1854,373.7834,1102400
2025-06-26,377.8003,380.828,376.5912,379.1792,1210200
2025-06-27,379.7089,382.4967,373.5136,380.9679,3687800
2025-06-30,374.8526,381.2576,368.4175,377.7903,1354400
2025-07-01,374.402,377.5904,364.2571,372.1031,1428800
2025-07-02,365.9262,373.7723,365.3865,373.2226,1164200
2025-07-03,375.8313,387.1756,374.7718,386.316,869600
2025-07-07,385.8363,387.8053,380.2091,385.6064,839700
2025-07-08,382.1781,382.8078,369.4445,377.3705,1154600
2025-07-09,381.8083,383.0876,377.7703,381.9282,631900
2025-07-10,380.2491,382.6979,371.2936,379.8993,972100
2025-07-11,379.1096,385.2666,377.8203,383.5874,906700
2025-07-14,382.7778,389.0147,381.3285,386.8058,712800
2025-07-15,389.0647,389.9042,383.6974,386.346,606100
2025-07-16,386.476,389.2346,381.1086,388.9247,837500
2025-07-17,387.5754,398.41,386.6559,397.7003,1000100
2025-07-18,398.7298,405.2265,398.1101,403.1076,1060100
2025-07-21,403.5274,404.8367,396.8008,398.4599,1003400
2025-07-22,398.28,398.37,380.409,394.7318,1120800
2025-07-23,397.8003,405.7962,397.7503,404.9067,1575200
2025-07-24,407.9352,410.5838,406.5259,407.0156,1076500
2025-07-25,412.3929,424.7267,412.3929,421.4684,1370800
2025-07-28,418.7797,418.7797,408.9247,411.7832,2101400
2025-07-29,416.201,416.201,408.1251,410.7837,1094800
2025-07-30,412.5829,414.292,409.2545,410.9037,1837000
2025-07-31,405.8862,423.2875,398.8697,405.9262,2435900
2025-08-01,392.403,399.1196,384.377,394.9717,2094000
2025-08-04,400.1391,401.8582,391.0237,393.4225,1444000
2025-08-05,397.8003,399.8892,384.8068,388.9247,1149400
2025-08-06,388.0052,391.7033,384.397,387.3055,930300
2025-08-07,389.6244,392.1931,383.5674,387.1556,874500
2025-08-08,389.8043,390.8038,384.1971,385.9562,655300
2025-08-11,385.8762,387.7453,380.2491,383.9272,926900
2025-08-12,384.2171,391.5934,382.3181,391.3735,858700
2025-08-13,393.5324,398.6499,368.8748,379.7693,1728000
2025-08-14,379.7693,382.308,375.0117,377.3206,919700
2025-08-15,377.6504,384.2271,371.4535,380.6189,1436400
2025-08-18,379.5594,383.4075,377.1706,383.1276,695800
2025-08-19,382.8478,383.8872,377.2106,379.0797,750800
2025-08-20,375.8013,378.7798,367.7154,375.6814,1142300
2025-08-21,376.3211,380.2291,375.5015,378.0202,699800
2025-08-22,381.2486,386.0962,377.5204,379.6494,1037700
2025-08-25,379.6494,381.6684,377.2306,378.1201,612400
2025-08-26,378.8897,384.2271,378.5699,383.7273,1021500
2025-08-27,382.5979,385.4065,379.7693,381.3685,637200
2025-08-28,383.3675,387.6154,382.1781,385.7663,641900
2025-08-29,385.5664,385.5664,373.2826,377.7703,774400
2025-09-02,369.8143,375.0517,366.1661,374.4919,686000
2025-09-03,376.301,378.2101,371.2036,374.2221,761100
2025-09-04,375.1116,378.6099,370.7438,375.9012,942100
2025-09-05,378.2801,378.8997,362.8278,372.313,1128900
2025-09-08,376.8208,379.8093,373.2226,375.3416,780000
2025-09-09,374.432,375.8013,370.0842,373.2826,502500
2025-09-10,381.0087,392.9827,380.7688,389.9742,1305800
2025-09-11,390.9337,400.6688,388.7648,389.4445,1189400
2025-09-12,387.9552,391.7333,382.0781,382.338,833400
2025-09-15,382.7078,387.6653,381.3585,385.4865,774900
2025-09-16,385.8362,387.0057,375.3115,378.0501,821900
2025-09-17,378.31,382.368,373.2126,375.8213,887900
