date,open,high,low,close,volume
2025-03-14,67.4494,68.7723,67.1609,68.5833,9828700
2025-03-17,68.3048,69.8466,67.6185,69.2796,7971200
2025-03-18,68.7027,69.0906,67.9268,68.5137,7520800
2025-03-19,68.7325,70.1052,68.454,69.6277,6876400
2025-03-20,69.0657,70.4334,68.8817,69.2995,7453600
2025-03-21,68.2551,70.0356,68.1854,69.8167,14603800
2025-03-24,71.1695,71.2789,70.1301,70.5926,9911000
2025-03-25,70.6224,71.3286,70.1728,70.4832,6690600
2025-03-26,70.5528,71.2391,69.1752,69.5979,7449600
2025-03-27,68.6927,69.583,68.3347,68.4938,7883100
2025-03-28,67.6981,67.8771,64.6046,64.8035,16536300
2025-03-31,63.9382,65.082,63.0628,64.903,11562000
2025-04-01,64.2764,66.0071,64.2565,65.7485,8000600
2025-04-02,64.903,67.2107,64.7538,66.7929,8123000
2025-04-03,62.7644,63.6,60.6259,61.3818,18479900
2025-04-04,59.6809,59.8699,57.0152,58.0596,22125000
2025-04-07,56.4383,61.153,55.553,58.2187,20263200
2025-04-08,59.4422,60.9342,56.1597,57.1047,16533600
2025-04-09,56.3686,63.8287,56.2095,63.6099,22502000
2025-04-10,61.9687,62.1179,58.6266,60.2379,14398100
2025-04-11,60.2081,62.476,60.1245,62.2571,12919400
2025-04-14,63.3612,63.5602,61.3619,61.9389,8997500
2025-04-15,62.0284,62.4561,61.3172,61.6703,9140800
2025-04-16,61.0486,61.1332,59.4024,59.9196,9833600
2025-04-17,60.0291,61.1431,59.8122,60.6756,9023700
2025-04-21,59.9196,60.6358,59.1388,59.9644,7354100
2025-04-22,60.407,61.5808,59.6312,61.0934,9390100
2025-04-23,62.3815,64.2266,61.8394,62.1278,9838900
2025-04-24,62.5655,64.4852,62.4262,64.4256,10877000
2025-04-25,64.1421,65.0721,64.1421,64.9925,8693400
2025-04-28,64.9577,65.47,63.789,64.5847,14251500
2025-04-29,66.0171,67.0714,64.0177,65.9673,19706800
2025-04-30,64.8085,65.6391,63.2021,65.4899,10293800
2025-05-01,65.271,65.7684,64.5051,65.0622,10073000
2025-05-02,65.7833,67.3997,65.6291,66.8824,10081500
2025-05-05,66.6039,68.9911,66.5542,68.1755,12000300
2025-05-06,67.5886,68.5634,67.4394,67.6881,7659400
2025-05-07,67.9716,68.5734,67.3599,68.3247,8103700
2025-05-08,68.9315,70.5687,68.9315,70.1052,11791500
2025-05-09,70.4931,70.9407,69.6377,69.8864,7470500
2025-05-12,72.5819,73.7557,71.4679,71.9255,12513000
2025-05-13,72.0249,72.2636,71.5077,71.9056,8076200
2025-05-14,72.2736,72.95,71.8558,72.2935,7724000
2025-05-15,71.9553,72.2835,71.0601,71.1894,8116500
2025-05-16,71.0899,71.8359,70.702,71.7962,8717900
2025-05-19,70.7816,72.1542,70.7318,71.9354,7434900
2025-05-20,71.5077,72.393,71.3585,72.2239,8403200
2025-05-21,71.816,72.8147,71.1247,71.269,8094300
2025-05-22,71.0949,71.6022,70.9009,71.07,6451000
2025-05-23,69.0906,69.767,69.0409,69.4785,7683600
2025-05-27,70.3737,71.6121,70.2892,71.0999,8770900
2025-05-28,71.1993,71.6519,70.7219,71.0601,6292100
2025-05-29,71.7763,72.0637,69.8764,70.5528,7058300
2025-05-30,70.5826,70.702,69.1503,69.9062,14937200
2025-06-02,68.9066,70.5826,68.6828,70.5528,7518200
2025-06-03,70.6224,71.0501,69.4885,70.9507,7316400
2025-06-04,71.1098,72.6814,70.9507,72.4129,7712300
2025-06-05,72.4079,73.1589,71.6967,72.0846,6323600
2025-06-06,72.8754,73.2285,72.2537,73.0395,7240200
2025-06-09,73.3081,73.5766,72.5621,73.1589,6166500
2025-06-10,73.1887,74.8697,72.9301,74.3624,9510700
2025-06-11,74.7006,74.81,73.5368,74.2132,7706100
2025-06-12,73.6264,74.9065,73.6065,74.4122,8644600
2025-06-13,72.9102,73.8203,70.1559,70.4533,16744400
2025-06-16,71.2491,72.0995,70.692,71.8757,7195500
2025-06-17,71.5375,71.7166,70.0903,70.2942,7374300
2025-06-18,70.135,70.897,67.1609,68.2053,20427700
2025-06-20,68.464,70.1748,68.1855,69.6775,18497900
2025-06-23,70.6224,71.7633,69.7869,71.6271,11447900
2025-06-24,72.7361,73.5468,72.1642,73.1887,9500900
2025-06-25,73.7457,73.8551,72.0299,72.6814,7851900
2025-06-26,72.8555,72.9898,71.2292,72.7809,10235600
2025-06-27,72.8803,73.3578,72.4676,73.2484,10449500
2025-06-30,73.5468,74.1436,73.2683,73.9248,7738000
2025-07-01,73.5567,75.2925,73.4075,74.8896,8633800
2025-07-02,74.6111,76.4562,74.6012,75.9042,9361500
2025-07-03,76.3021,76.9486,76.0683,76.1827,5263400
2025-07-07,75.8047,76.4214,75.2179,75.7749,5918600
2025-07-08,76.0335,76.1081,74.1138,74.631,8758400
2025-07-09,75.0885,75.387,73.9795,74.4321,6755700
2025-07-10,74.0591,75.8147,73.7358,75.2974,6380200
2025-07-11,74.7703,74.8001,70.4135,70.9805,21877700
2025-07-14,71.1794,73.9148,71.1596,73.4971,12993900
2025-07-15,73.3777,73.5169,72.5521,72.572,7333600
2025-07-16,72.8704,73.1887,71.3485,72.5819,9671100
2025-07-17,72.0846,73.7855,71.9652,73.4672,8522700
2025-07-18,73.7059,73.9546,72.8943,73.7756,9011600
2025-07-21,73.9546,75.8246,73.8452,74.4221,8200400
2025-07-22,74.3674,75.745,74.3674,75.5958,9094400
2025-07-23,76.5159,76.8193,75.5063,76.2523,9283200
2025-07-24,77.3266,78.3412,76.9387,77.4062,10504300
2025-07-25,77.1774,78.3959,77.0878,77.5653,6888100
2025-07-28,78.0925,79.0772,77.5156,77.804,15978400
2025-07-29,71.3485,72.8903,69.9361,71.07,42890700
2025-07-30,71.8061,71.821,69.1851,69.3393,20790400
2025-07-31,69.1055,69.6824,68.0959,68.3943,16657600
2025-08-01,67.6384,67.9865,66.216,66.7531,15181100
2025-08-04,67.4643,68.2053,66.9172,67.6483,11756800
2025-08-05,68.0959,68.3048,67.0515,67.4693,10714700
2025-08-06,67.9368,69.2398,67.8463,69.0508,11913000
2025-08-07,69.6277,69.7968,67.3201,67.8572,10129300
2025-08-08,68.076,68.2451,67.0615,67.2902,9683400
2025-08-11,67.4494,68.1158,66.5442,66.7233,10118600
2025-08-12,66.8824,68.3744,66.8725,67.6085,9747500
2025-08-13,67.8672,70.3539,67.7876,70.2544,12344700
2025-08-14,69.0707,69.4487,67.8672,69.011,10695400
2025-08-15,69.2,69.7869,68.7922,68.8618,8128000
2025-08-18,68.9414,69.6128,68.8618,69.1602,8410200
2025-08-19,69.4189,69.9908,68.5634,68.6828,9052800
2025-08-20,68.5734,68.7425,67.3201,67.7179,9992300
2025-08-21,67.3201,67.5091,66.5691,67.1908,7039500
2025-08-22,67.5489,69.7769,67.4593,69.5283,9394100
2025-08-25,69.2796,69.4387,68.6728,69.1105,6460300
2025-08-26,69.0309,69.8764,68.8121,69.8068,9471500
2025-08-27,68.3645,69.7073,68.3257,69.2796,8648200
2025-08-28,69.6277,70.1848,69.1602,69.6874,5882000
2025-08-29,69.6476,70.324,69.5283,69.8167,5636300
2025-09-02,68.5535,69.0051,67.7876,68.8817,12882500
2025-09-03,68.5435,69.5183,68.4341,69.2697,11808200
2025-09-04,69.3293,69.5283,65.8778,68.0959,14063500
2025-09-05,68.5137,69.5681,67.8075,67.897,7794300
2025-09-08,68.0959,68.2252,67.4394,68.0363,7954900
2025-09-09,67.8373,68.1357,67.1709,67.3201,8776500
2025-09-10,67.1212,67.6682,64.8881,65.2909,14352500
2025-09-11,65.4003,66.9918,65.3606,66.9123,11154400
2025-09-12,66.8526,67.3897,66.5044,66.5343,7505600
2025-09-15,66.9421,67.8274,66.4477,66.7531,9597900
2025-09-16,66.4796,66.783,65.7535,66.4945,9353900
2025-09-17,66.7829,68.9016,66.6437,68.2551,18607800
2025-09-18,69.7073,69.9261,67.9666,68.1556,14330500
2025-09-19,68.3943,68.4839,67.5638,67.8572,19774200
2025-09-22,67.3997,67.7478,66.6934,67.3201,13298200
2025-09-23,67.4444,68.6231,66.7631,66.952,10449000
2025-09-24,67.2902,68.2153,67.0814,67.4991,9180600
2025-09-25,66.9023,67.1311,65.8479,66.3851,10773700
2025-09-26,66.6437,67.2703,65.9673,66.9421,8431600
2025-09-29,67.5986,70.881,67.529,69.3094,28497000
2025-09-30,69.4537,69.4587,66.4945,66.7034,21464800
2025-10-01,66.5442,67.4394,65.8678,66.3055,17050100
2025-10-02,66.7133,68.5833,66.594,68.5634,13461600
2025-10-03,67.7378,69.1602,67.3897,68.8817,12219800
2025-10-06,69.8466,71.4878,69.0827,70.9109,16769900
2025-10-07,73.6761,75.2726,72.6715,74.2132,31977500
2025-10-08,74.8349,76.0932,72.8853,75.7251,17904800
2025-10-09,76.7795,76.9287,74.634,75.3472,15774400
2025-10-10,75.7053,76.4911,69.389,69.4686,22326500
2025-10-13,70.3439,70.5528,67.7995,68.4938,20036800
2025-10-14,67.0515,69.3393,66.4149,68.7823,12968500
2025-10-15,69.016,69.5034,67.4792,67.6185,11247300
2025-10-16,67.7677,68.2352,65.0721,65.6987,19258500
2025-10-17,65.1865,67.3499,65.1019,67.0515,11151500
2025-10-20,67.3151,69.1006,67.2902,68.832,10016100
2025-10-21,68.6529,69.9858,68.464,69.6775,9032000
2025-10-22,68.8021,69.0011,67.5489,67.708,8173400
2025-10-23,67.708,69.6874,67.6881,69.2896,8199000
2025-10-24,69.7769,70.8711,69.3691,69.399,8638200
2025-10-27,70.4782,71.4878,69.757,69.8764,18821300
2025-10-28,75.8047,78.7937,72.4427,72.6317,83722300
2025-10-29,72.3134,72.3432,68.9464,69.3094,38505400
2025-10-30,69.4636,70.3936,67.5389,67.5687,19550800
2025-10-31,67.9069,69.21,67.2604,68.9016,18370100
2025-11-03,69.1553,69.9759,67.3449,67.9766,14619000
2025-11-04,66.8725,66.9312,65.5993,65.7286,19711800
2025-11-05,65.6689,67.8473,65.5495,67.6981,13606100
2025-11-06,67.4394,67.708,65.8579,65.9076,11480200
2025-11-07,65.1517,66.1613,64.4355,65.8678,13449300
2025-11-10,66.7034,67.0714,65.3924,65.8977,11129900
2025-11-11,65.8977,67.5886,65.8778,67.0416,10032500
2025-11-12,67.1709,67.6284,66.5442,66.8426,10134000
2025-11-13,66.1563,66.9222,64.8035,64.9826,14185800
2025-11-14,63.7691,64.3062,62.4163,62.476,21979900
2025-11-17,62.476,62.8341,60.9641,61.5609,20632700
2025-11-18,61.0635,61.3122,60.1484,60.3772,18446600
2025-11-19,60.427,60.5766,58.9814,59.9286,25061900
2025-11-20,60.3922,60.5317,57.8249,57.9296,21059300
2025-11-21,58.0642,60.776,57.8648,60.3872,20849400
2025-11-24,60.427,60.6464,59.6693,60.3772,21013500
2025-11-25,60.6763,61.7879,60.5367,61.0352,11065200
2025-11-26,61.2147,61.9724,60.9854,61.6434,8335300
2025-11-28,62.0422,62.8647,61.9425,62.5008,7875900
2025-12-01,61.8627,63.0192,61.6434,62.3911,10923300
2025-12-02,62.7301,63.6423,61.9624,62.7101,10834100
2025-12-03,62.6603,63.737,60.2276,61.0551,24402800
2025-12-04,60.3174,61.9125,60.2027,61.5437,15994300
2025-12-05,61.4838,62.75,61.2944,62.092,11152900
2025-12-08,62.2366,62.3213,60.8059,60.9355,12544000
2025-12-09,60.5666,61.3144,60.3074,60.5965,13214700
2025-12-10,60.3074,61.2904,59.9784,60.9754,19985100
2025-12-11,59.8937,61.6035,59.6693,61.5038,14023800
2025-12-12,60.8956,61.9624,60.8159,61.4739,15964000
2025-12-15,61.773,62.6304,60.442,60.5567,18187500
2025-12-16,61.5038,61.9584,60.766,61.1449,17316800
2025-12-17,61.2047,62.2216,59.9485,59.9983,16357800
2025-12-18,59.4101,60.1379,58.7372,59.2606,23734500
2025-12-19,58.7421,59.9335,58.6225,59.6295,31927500
2025-12-22,59.779,60.3622,59.5796,59.6793,13976100
2025-12-23,59.6494,59.8887,58.7621,59.2307,12153600
2025-12-24,59.1529,59.9635,59.131,59.8588,5491700
2025-12-26,59.8189,59.9286,59.3553,59.789,7537800
2025-12-29,59.6693,59.9585,58.9465,59.3104,12910100
2025-12-30,59.2805,59.4201,58.9017,58.9216,11277900
2025-12-31,58.8518,58.8618,58.1639,58.2038,13027300
2026-01-02,58.4929,58.6225,57.476,57.9645,14693100
2026-01-05,57.8349,59.9236,57.7252,59.111,17115900
2026-01-06,59.0911,59.7541,58.802,59.6295,11110800
2026-01-07,59.6843,59.9535,58.0792,58.3334,18044300
2026-01-08,57.8449,58.8219,57.5956,58.0941,13105200
2026-01-09,58.6225,58.6823,57.1071,57.486,15061500
2026-01-12,57.4361,57.6056,56.5887,57.1171,19898900
2026-01-13,57.0373,57.127,56.1051,56.3893,15900500
2026-01-14,56.2298,57.6156,56.1001,57.486,16039900
2026-01-15,57.5657,57.6873,56.4291,56.5687,16405300
2026-01-16,56.6186,56.798,56.0702,56.7183,15116900
2026-01-20,55.4122,55.9077,54.8489,54.9137,19744400
2026-01-21,55.3524,56.16,54.9287,55.7213,15117000
2026-01-22,56.4192,57.3763,56.3793,56.9775,14540700
2026-01-23,56.6585,56.813,56.2397,56.4491,8758900
2026-01-26,56.3992,56.9476,56.3245,56.4291,9971400
2026-01-27,56.3295,56.4591,55.0384,55.3424,14240700
2026-01-28,54.8439,55.3225,53.4831,53.9168,19222700
2026-01-29,53.9566,54.0065,52.3714,52.9497,19463500
