date,open,high,low,close,volume
2025-03-14,676.9116,683.247,653.4299,663.2463,1306000
2025-03-17,664.6287,676.1358,661.0681,674.7335,942900
2025-03-18,674.3159,674.5844,660.6903,661.3467,608100
2025-03-19,660.0636,670.9044,655.4489,668.7064,675700
2025-03-20,666.3593,671.163,658.7309,659.0193,663000
2025-03-21,654.4244,657.4081,647.5221,654.9018,1869100
2025-03-24,656.4136,663.8331,651.7392,657.4082,962400
2025-03-25,658.8503,658.9696,629.6597,630.6941,852900
2025-03-26,630.6942,640.5006,625.602,636.6616,1251900
2025-03-27,637.7257,639.9336,626.5169,632.3749,811500
2025-03-28,634.5432,639.4762,628.0188,633.8967,805900
2025-03-31,626.6562,637.2384,615.1491,630.7836,1066300
2025-04-01,627.0839,637.7556,611.6581,613.6473,1059700
2025-04-02,610.1961,624.5875,606.7847,622.2005,902600
2025-04-03,622.847,624.5875,604.5768,607.3218,1047500
2025-04-04,607.3318,609.659,568.8918,570.3339,1547700
2025-04-07,566.107,588.3256,554.7988,569.6676,1687400
2025-04-08,576.3113,582.8456,543.3911,553.7844,1159700
2025-04-09,535.0766,577.5743,523.1318,573.5861,1871500
2025-04-10,565.8385,568.8818,526.8515,543.421,1357800
2025-04-11,545.6488,552.5113,530.3623,551.1686,1170900
2025-04-14,557.3946,571.597,552.3721,567.9569,946300
2025-04-15,565.4605,572.0744,549.995,554.8783,838500
2025-04-16,553.9733,558.7771,541.5412,546.2953,875700
2025-04-17,545.0918,561.1441,542.0385,560.0998,827700
2025-04-21,553.0185,567.2507,549.9652,558.4389,745600
2025-04-22,562.4271,583.9097,562.0691,582.3085,1036800
2025-04-23,592.6321,600.4892,581.2742,584.6556,791900
2025-04-24,587.7189,598.0127,583.6213,596.501,1317000
2025-04-25,595.0787,599.5144,582.5969,599.3653,964400
2025-04-28,600.0813,611.489,597.9232,607.5406,1175200
2025-04-29,558.6975,576.8284,539.4924,565.8185,2660300
2025-04-30,576.1124,596.9386,563.909,595.5064,1679400
2025-05-01,586.5652,590.7026,575.3564,586.7939,1190500
2025-05-02,596.7397,612.2648,595.8247,602.3192,1606400
2025-05-05,603.5922,607.7197,598.5299,600.3002,1124300
2025-05-06,597.7441,603.5723,554.6098,555.485,1510900
2025-05-07,558.7372,565.0428,553.3367,557.8819,1140500
2025-05-08,544.9029,549.5674,517.6716,544.694,2709200
2025-05-09,546.0168,549.8359,524.2656,524.9121,1499000
2025-05-12,540.8649,574.8492,532.3813,572.5021,1898300
2025-05-13,568.3448,571.9252,555.4154,571.04,1149900
2025-05-14,573.2181,577.4053,564.5058,568.2552,1664500
2025-05-15,572.9993,582.0797,561.8403,581.8112,1301800
2025-05-16,585.0336,591.9558,578.3302,591.0905,936900
2025-05-19,585.2823,595.3075,583.4921,593.2985,666300
2025-05-20,592.6511,613.01,592.6511,612.3526,1102100
2025-05-21,610.6195,615.0718,595.5495,602.2229,1089300
2025-05-22,600.8085,603.0994,590.38,594.4836,867200
2025-05-23,584.5234,589.2944,580.0611,586.0075,656300
2025-05-27,600.699,605.7588,588.4577,600.8683,876100
2025-05-28,600.8683,603.5975,587.8103,589.5035,1008300
2025-05-29,594.6928,603.3284,588.6768,602.9898,756700
2025-05-30,515.6076,517.7193,483.0771,488.3362,6313100
2025-06-02,489.143,500.5676,479.6707,488.8641,2944300
2025-06-03,488.8442,499.1233,483.4158,485.9258,2141600
2025-06-04,489.7606,497.9181,481.0751,483.0074,1870700
2025-06-05,484.0732,489.8203,474.6009,481.1548,1791100
2025-06-06,483.615,497.8982,483.0771,491.2646,1497900
2025-06-09,496.0256,516.2152,492.4598,515.5479,1983100
2025-06-10,517.9384,527.8888,516.1057,521.4545,1175000
2025-06-11,523.6856,526.2752,514.0539,516.5439,963100
2025-06-12,515.1793,523.1377,510.9362,519.7711,873200
2025-06-13,516.1953,527.4505,512.9383,527.1417,951500
2025-06-16,530.7673,536.0662,518.1575,520.6077,1325800
2025-06-17,517.2113,520.9365,506.6832,506.8426,890400
2025-06-18,506.4939,517.1117,501.2548,511.5439,841000
2025-06-20,518.9842,519.2432,504.3724,507.6992,2259300
2025-06-23,507.978,514.1335,505.5975,509.8904,1076000
2025-06-24,513.7451,525.3589,513.7451,520.1994,970600
2025-06-25,519.3328,523.546,514.9403,518.2272,639500
2025-06-26,517.9384,522.4405,512.749,518.9344,965500
2025-06-27,519.7213,529.104,515.3388,518.9344,1607800
2025-06-30,518.1477,523.9944,516.8428,522.9186,1013200
2025-07-01,521.8927,545.8673,518.9345,532.7893,1200700
2025-07-02,531.5442,549.3135,527.59,545.5684,818100
2025-07-03,545.5783,552.7996,544.4429,545.1899,456400
2025-07-07,543.8354,545.4191,530.4885,535.9766,960300
2025-07-08,536.7336,557.242,535.3193,545.5784,847100
2025-07-09,544.931,556.1663,543.2178,550.3893,843800
2025-07-10,552.182,564.1245,547.9289,557.5407,827300
2025-07-11,556.1762,566.2063,549.2935,565.4891,844600
2025-07-14,563.8556,572.8498,559.7718,568.3278,717100
2025-07-15,571.8738,572.4714,544.1143,545.7876,998400
2025-07-16,547.8194,556.1363,544.403,545.7576,1089900
2025-07-17,543.5065,552.2816,539.8611,547.8194,989200
2025-07-18,547.8195,548.706,539.3532,540.3691,1307800
2025-07-21,541.2854,550.7876,540.3492,543.3672,709100
2025-07-22,544.7516,560.7679,544.7516,558.7061,976700
2025-07-23,565.8676,574.4136,560.7779,570.1207,891100
2025-07-24,570.27,575.4394,561.4352,562.4014,1037600
2025-07-25,563.1683,564.9612,553.2976,560.8675,755800
2025-07-28,561.2959,565.6983,556.3256,556.4153,588400
2025-07-29,555.7877,557.3913,549.8115,555.9371,814900
2025-07-30,558.2281,561.3556,548.3075,552.3813,564900
2025-07-31,547.8294,555.9172,539.4627,543.2975,1413900
2025-08-01,580.6986,580.9676,540.7377,556.6543,1656400
2025-08-04,564.7321,574.9216,559.7818,569.274,1362500
2025-08-05,567.9892,577.5213,566.2462,567.6406,993300
2025-08-06,566.7441,571.1964,548.3175,552.9291,865000
2025-08-07,555.4491,563.2381,550.8574,557.5806,811200
2025-08-08,557.5806,565.4394,555.8475,560.7679,1024300
2025-08-11,559.2938,570.31,542.0026,543.7756,1103900
2025-08-12,545.7677,560.509,544.921,554.3435,766000
2025-08-13,554.8714,563.258,549.8115,559.3237,1096100
2025-08-14,558.6762,571.2163,555.7877,563.7261,976300
2025-08-15,575.6686,579.6428,568.5768,578.1088,1122200
2025-08-18,580.6626,583.5655,572.4029,572.5026,769400
2025-08-19,573.8893,580.2636,569.4003,570.3779,854600
