date,open,high,low,close,volume
2025-03-14,140.0969,141.824,138.5967,140.5311,1451500
2025-03-17,140.3732,143.6696,139.485,142.584,1609600
2025-03-18,142.4853,142.8998,140.4226,141.8635,1509900
2025-03-19,141.2023,145.5942,140.9062,144.5085,1302700
2025-03-20,142.663,143.1465,139.0902,139.8798,1750700
2025-03-21,138.0539,140.235,137.4913,139.2185,5311200
2025-03-24,141.4589,143.7288,140.3436,143.0676,1295600
2025-03-25,143.5413,144.4296,142.8406,143.8078,988500
2025-03-26,144.4394,146.058,142.4557,142.6531,1314500
2025-03-27,140.6101,142.1991,139.8403,140.7779,1053900
2025-03-28,140.1462,140.7088,136.7709,137.1953,1282100
2025-03-31,135.3201,137.2545,133.3166,137.0966,2938500
2025-04-01,136.0367,137.5324,135.4523,136.7895,1690700
2025-04-02,134.6599,141.0487,134.6599,140.5435,1793400
2025-04-03,133.3623,134.0359,128.8555,129.0437,2127800
2025-04-04,122.5955,126.3,117.4448,122.4766,3460800
2025-04-07,118.9009,125.6859,116.4543,123.7544,2894600
2025-04-08,128.489,129.1725,121.9715,123.6752,2524900
2025-04-09,121.6446,135.6306,121.6446,134.9868,3187400
2025-04-10,132.0648,132.8671,126.7853,130.9752,2280700
2025-04-11,129.5489,134.8085,128.4395,134.0458,2090200
2025-04-14,136.6112,136.6112,132.5105,133.7486,1082400
2025-04-15,134.65,136.839,134.1448,134.9174,1440700
2025-04-16,133.3722,134.7292,129.9946,130.9257,1509600
2025-04-17,132.6195,134.3727,132.0153,132.1936,2421800
2025-04-21,131.104,131.8766,128.2414,129.5984,1592600
2025-04-22,131.8172,133.7685,131.0247,133.4911,1303000
2025-04-23,136.3141,138.3248,133.2336,134.0458,2220700
2025-04-24,132.4709,136.7301,130.5988,135.9575,1750600
2025-04-25,135.8188,136.9381,134.3826,136.0665,1139500
2025-04-28,136.324,136.8787,134.7986,136.2745,1156700
2025-04-29,135.8783,136.9282,133.8279,136.7895,864700
2025-04-30,133.5803,136.2051,132.6195,135.7396,1253200
2025-05-01,135.9674,137.5918,135.1056,136.4032,1019400
2025-05-02,138.6715,140.8704,138.0673,140.4148,780400
2025-05-05,139.2856,141.7916,139.0974,140.7813,781300
2025-05-06,138.8993,141.0685,138.4635,139.7808,921800
2025-05-07,140.3157,142.267,140.0285,141.8411,1029900
2025-05-08,143.5349,146.2885,142.9703,144.1589,1343700
2025-05-09,144.8523,145.3673,142.792,143.9905,917500
2025-05-12,148.3389,150.9736,148.2596,150.1416,1517400
2025-05-13,150.5576,152.5485,149.3789,151.5877,990800
2025-05-14,151.3698,151.9641,150.1713,150.7458,896800
2025-05-15,149.9534,151.6868,149.5473,151.4986,725200
2025-05-16,151.6373,153.3013,150.6368,152.4198,934300
2025-05-19,151.3896,152.816,150.7953,152.3504,730100
2025-05-20,151.0925,152.3504,150.518,151.1717,761400
2025-05-21,150.2605,150.6963,146.9918,147.0512,870500
2025-05-22,146.5857,146.7441,143.8519,145.0801,1170000
2025-05-23,142.1878,144.9018,141.5935,143.941,639600
2025-05-27,145.3772,146.7441,144.2976,146.6253,1079500
2025-05-28,146.6352,147.4375,144.8423,144.8523,836700
2025-05-29,145.2188,146.6154,144.0995,146.3281,1180300
2025-05-30,145.7041,146.5956,144.5155,145.5852,2849600
2025-06-02,145.0801,145.5753,142.7227,144.0401,963900
2025-06-03,143.6934,145.3574,142.5741,144.7037,1061200
2025-06-04,145.0306,145.7041,143.9212,144.0202,1489900
2025-06-05,143.9311,144.3372,140.8308,142.0491,1328800
2025-06-06,144.1886,145.8032,143.7429,145.3574,1169600
2025-06-09,145.8428,146.7243,144.5848,145.5654,983600
2025-06-10,145.3178,146.6946,144.6443,145.4862,896600
2025-06-11,145.6843,147.2889,145.4268,146.3281,877500
2025-06-12,144.6146,147.4177,143.9806,147.1998,866500
2025-06-13,145.5456,146.5064,143.9509,144.2382,917900
2025-06-16,146.0607,148.3191,145.922,147.0908,773100
2025-06-17,146.5956,147.8931,145.7041,146.1697,963600
2025-06-18,145.9121,148.3686,145.8527,146.9323,937300
2025-06-20,147.8436,148.3785,146.9422,147.5365,2143100
2025-06-23,147.7247,149.5671,145.7833,149.5275,1225700
2025-06-24,151.2807,151.6967,149.1115,149.4482,1370100
2025-06-25,149.7949,150.5477,148.6162,150.2902,889800
2025-06-26,150.3199,151.4491,147.9328,151.1618,1176800
2025-06-27,151.6967,153.0438,150.6765,151.7759,1843900
2025-06-30,152.2019,153.0537,150.6368,151.9146,1138200
2025-07-01,151.4475,154.3791,150.7519,153.6736,919500
2025-07-02,154.2002,157.4001,153.5245,157.1914,1395700
2025-07-03,157.5293,159.3379,156.7542,159.0,599900
2025-07-07,158.841,159.5069,155.82,156.297,1062500
2025-07-08,156.6349,157.8871,155.8101,156.5952,843700
2025-07-09,158.2945,159.0,157.1119,157.6684,1005100
2025-07-10,158.0858,159.9938,157.1715,159.1988,745500
2025-07-11,158.3442,158.3442,156.8237,157.41,1050900
2025-07-14,157.8473,158.7317,157.2312,158.3143,918000
2025-07-15,157.8076,158.4634,155.2834,155.2934,902600
2025-07-16,155.8399,156.466,153.0872,155.1741,1340100
2025-07-17,154.6574,158.7317,154.5679,158.4833,939900
2025-07-18,158.692,160.0335,158.6522,159.6559,1143700
2025-07-21,159.964,160.9677,158.3243,158.3839,1125700
2025-07-22,158.3839,159.9242,157.8076,159.6062,983800
2025-07-23,160.7292,161.4844,159.477,159.8646,2525700
2025-07-24,162.4782,166.5526,158.2349,165.7973,2196400
2025-07-25,165.9066,167.6258,164.5949,167.4767,1086800
2025-07-28,167.3177,167.8941,165.9166,166.3737,800000
2025-07-29,167.5066,168.4109,165.9166,166.9699,877300
2025-07-30,167.5463,169.812,166.9699,168.4009,1217200
2025-07-31,167.1488,169.0369,165.5588,166.0855,885700
2025-08-01,163.0744,163.0744,159.1094,162.0111,960900
2025-08-04,162.9055,165.6383,162.8856,165.4395,681300
2025-08-05,165.4395,166.5625,163.7402,165.5787,797600
2025-08-06,166.0259,166.9898,165.2209,165.7178,561100
2025-08-07,166.9501,166.9501,161.3354,161.9714,793800
2025-08-08,163.1738,164.5253,162.4782,163.8893,659500
2025-08-11,164.1576,164.9427,163.5912,163.8893,1123000
2025-08-12,164.7042,167.4966,164.4756,167.3177,649500
2025-08-13,167.9438,167.9438,160.1826,162.816,1719800
2025-08-14,163.5812,163.9688,161.7329,163.6409,906400
2025-08-15,164.2371,164.2371,161.9515,162.2993,956200
2025-08-18,161.6434,163.8098,161.2559,163.3328,816500
2025-08-19,162.9949,164.6445,162.4384,163.1539,1047900
2025-08-20,162.975,162.975,159.646,161.4546,1149100
2025-08-21,161.077,162.4782,160.2919,161.0174,754200
2025-08-22,161.713,165.1812,160.9677,164.2371,677900
2025-08-25,164.4359,165.2309,163.9191,164.8632,677800
2025-08-26,164.6346,166.9898,164.1179,166.9103,965600
2025-08-27,166.5923,167.8643,166.2246,166.9004,590200
2025-08-28,167.3475,167.9041,166.6718,167.6556,661500
2025-08-29,167.8643,168.6692,167.1289,168.381,843300
2025-09-02,166.6917,167.5364,164.4458,167.2681,996100
2025-09-03,166.7414,167.3575,164.4458,165.519,702200
2025-09-04,166.5426,170.1797,166.155,170.0207,888500
2025-09-05,169.9313,170.1102,162.19,164.4657,1293500
2025-09-08,164.1079,165.0421,163.4024,164.734,969100
2025-09-09,164.088,166.1053,164.088,164.5551,486000
2025-09-10,164.4756,166.7612,163.5614,165.6582,578000
2025-09-11,166.324,170.0307,165.8172,170.0108,1472700
2025-09-12,169.7922,170.3785,168.3016,169.2059,1188300
2025-09-15,169.2655,170.9747,167.1786,167.2084,1583500
2025-09-16,167.0196,168.5699,165.847,168.0134,1173200
2025-09-17,167.9537,170.7263,167.3972,169.0071,1017400
2025-09-18,169.5338,173.7573,169.1363,172.843,942000
2025-09-19,173.0914,174.1746,170.8754,172.9722,3059700
2025-09-22,172.0082,175.546,171.3623,174.2243,1050000
2025-09-23,173.8467,176.5497,173.5088,174.7112,907500
2025-09-24,174.9895,175.9037,170.4779,170.8356,1535100
2025-09-25,169.7425,172.6442,168.7885,170.8157,1308900
2025-09-26,172.0778,175.2181,171.5809,174.592,1593400
2025-09-29,175.5261,176.0131,174.0554,175.3274,1002500
2025-09-30,175.3174,176.2019,170.2394,171.5213,1183000
2025-10-01,169.0895,170.1559,165.2823,165.3421,1181200
2025-10-02,164.5448,166.6677,163.3389,165.9003,843900
2025-10-03,166.5381,167.5248,165.2525,166.2591,857200
2025-10-06,167.465,168.053,165.372,167.0763,630800
2025-10-07,167.8935,168.8902,163.03,165.083,1320300
2025-10-08,165.0033,166.4484,163.9269,164.5947,618100
2025-10-09,165.3122,166.3288,163.1994,163.598,707800
2025-10-10,164.3056,164.5847,158.874,159.741,1358300
2025-10-13,162.2027,162.9004,158.5351,159.3324,1191400
2025-10-14,157.8175,163.897,157.8175,161.9934,883000
2025-10-15,163.8671,164.6246,161.3755,163.1396,1116900
2025-10-16,163.7774,164.6844,158.575,159.6414,1326200
2025-10-17,159.9902,161.1064,157.7876,160.947,2950400
2025-10-20,162.3223,165.7209,161.6047,164.4252,1093000
2025-10-21,163.319,165.7209,163.319,165.1926,1031500
2025-10-22,165.2425,166.9467,164.794,165.4817,1806400
2025-10-23,171.9,172.4183,159.2527,164.5249,2801500
2025-10-24,165.2225,165.5714,160.6579,161.8938,2012500
2025-10-27,163.8273,163.8273,160.7277,161.1762,1667600
2025-10-28,161.2759,161.7842,159.0235,159.153,1081700
2025-10-29,157.2694,159.6912,156.4521,157.7179,1504500
2025-10-30,158.0966,159.3922,156.2229,157.5185,1002600
2025-10-31,157.4289,158.864,156.5219,158.1365,1177300
2025-11-03,157.3292,159.0833,156.5418,158.3457,1176000
2025-11-04,157.6082,158.8939,156.6415,157.6282,1133700
2025-11-05,157.5086,159.6613,157.0601,159.0135,748700
2025-11-06,159.2627,161.2559,158.6348,160.2892,1161700
2025-11-07,160.1995,162.6512,159.0633,162.5615,908100
2025-11-10,162.9004,164.0565,159.5018,161.3855,1032300
2025-11-11,161.3656,163.9469,161.3656,162.9602,614800
2025-11-12,163.4884,167.3753,163.0499,165.3521,874300
2025-11-13,164.495,165.681,160.2294,160.6281,1134300
2025-11-14,159.0534,160.4387,157.9571,158.1962,1197400
2025-11-17,158.1664,158.3657,153.9107,154.8177,1087800
2025-11-18,153.9605,156.4721,152.7546,155.2562,1247100
2025-11-19,155.595,157.8873,154.7579,157.1897,952700
2025-11-20,159.0534,160.1696,150.1833,150.8211,1850800
2025-11-21,151.3394,154.13,150.6218,152.4756,1510500
2025-11-24,152.1766,153.3825,150.8311,152.635,2146700
2025-11-25,152.9639,154.6482,152.5453,154.0203,1053200
2025-11-26,154.3891,156.2827,154.0203,155.2263,769600
2025-11-28,155.6748,157.1498,155.2661,156.0136,659400
2025-12-01,155.0868,156.8508,154.6383,155.306,1590300
2025-12-02,155.8342,156.3923,154.7778,155.1166,1194600
2025-12-03,155.1166,158.3657,155.1166,158.256,881300
2025-12-04,159.6414,162.7908,159.6414,162.0533,1341400
2025-12-05,161.4254,163.5083,161.3257,162.5815,1122000
2025-12-08,162.3921,164.9136,161.9934,163.6379,1042400
2025-12-09,163.7974,166.5979,163.7974,164.3754,1181900
2025-12-10,164.6545,167.1161,164.2259,166.3786,1736100
2025-12-11,164.8937,166.279,162.7509,163.3588,1439000
2025-12-12,164.485,165.2425,161.9934,163.299,972100
2025-12-15,164.0066,164.1661,161.3556,162.2825,1339000
2025-12-16,162.4519,162.9104,160.9868,161.4154,1301000
2025-12-17,161.525,163.4386,160.2992,160.4686,1529800
2025-12-18,160.8672,163.0299,159.6314,159.6812,1605500
