date,open,high,low,close,volume
2025-03-14,218.251,218.251,212.8987,217.5597,1028400
2025-03-17,216.2068,218.567,211.3384,217.2734,826200
2025-03-18,221.5987,223.3367,215.4069,217.0759,1252800
2025-03-19,215.2786,223.0207,214.3009,221.7666,944400
2025-03-20,219.673,224.9463,218.9818,222.3196,910000
2025-03-21,218.1621,223.6428,215.9303,221.2333,2324300
2025-03-24,224.9365,234.3475,224.3143,233.0934,1357700
2025-03-25,231.7602,233.3995,227.4349,228.8372,640100
2025-03-26,228.7285,229.3112,222.9417,225.9141,616300
2025-03-27,223.1985,225.9833,219.2879,222.3492,812600
2025-03-28,219.5393,220.4809,210.1729,213.7708,1127400
2025-03-31,209.9648,220.134,207.1004,218.786,1571000
2025-04-01,219.8664,226.963,219.232,226.8936,1402700
2025-04-02,222.4731,235.9824,221.7495,234.2578,1002500
2025-04-03,207.14,210.9758,191.2916,196.1383,3346600
2025-04-04,185.1068,204.0179,179.6456,195.8707,3061000
2025-04-07,189.2994,201.996,182.9659,191.4601,1999500
2025-04-08,200.8363,200.8363,177.1578,180.7259,1499000
2025-04-09,178.932,213.0869,175.0467,206.5255,2074800
2025-04-10,198.2891,199.7064,188.1199,192.9468,1905500
2025-04-11,190.6671,198.2593,187.0197,196.168,975400
2025-04-14,203.3836,203.453,194.83,199.9641,928900
2025-04-15,198.6459,203.0268,198.4377,201.4607,972900
2025-04-16,199.6767,202.6303,196.2572,200.2615,873700
2025-04-17,201.0544,205.8813,200.7967,204.6721,726400
2025-04-21,202.9078,202.9078,196.8618,202.2338,815800
2025-04-22,205.2866,209.5188,203.1358,207.7347,724200
2025-04-23,217.4083,223.3354,210.6388,210.6487,1059900
2025-04-24,212.74,219.8366,211.8083,218.2012,912600
2025-04-25,217.1506,219.5888,215.089,218.0129,741700
2025-04-28,218.6572,221.363,216.6253,219.9853,760400
2025-04-29,218.4193,222.3541,217.0614,221.9676,599100
2025-04-30,216.0901,223.5534,212.3336,222.9587,673600
