date,open,high,low,close,volume
2025-03-14,50.0317,50.8519,50.0021,50.7926,1345100
2025-03-17,50.6444,51.4448,50.6148,51.1879,1280900
2025-03-18,50.9408,51.3658,50.7926,51.3164,1574600
2025-03-19,51.2077,51.7314,51.1879,51.4152,1960500
2025-03-20,51.4646,51.6425,50.7333,51.0693,1445300
2025-03-21,50.8321,51.1978,50.5752,51.0199,3167400
2025-03-24,51.6622,51.85,50.8816,51.7018,1561000
2025-03-25,51.6029,52.1662,51.3262,51.7116,1818500
2025-03-26,52.0674,53.0556,51.8895,52.4231,2513300
2025-03-27,52.5615,53.3619,52.433,53.1445,1645900
2025-03-28,53.2038,53.3125,52.3441,52.433,1798000
2025-03-31,52.7492,53.5793,52.601,53.3915,2199400
2025-04-01,53.2334,53.7671,53.184,53.7176,1867100
2025-04-02,53.7176,54.2019,53.4805,54.0833,2299600
2025-04-03,54.0141,55.5952,53.5892,55.2395,3247400
2025-04-04,54.7552,55.2592,51.4844,51.5931,4217800
2025-04-07,50.5357,52.2848,49.1424,50.3479,4297300
2025-04-08,51.2966,51.4843,49.5969,50.0515,2865400
2025-04-09,49.9033,52.937,49.5574,52.4824,2903400
2025-04-10,52.186,53.8856,51.7808,53.4706,2759100
2025-04-11,53.2137,55.2395,52.8777,54.5675,3977800
2025-04-14,54.6465,55.2987,54.4193,55.0319,1641200
2025-04-15,55.1209,55.3383,54.439,54.7058,1206400
2025-04-16,54.7355,55.0715,54.0833,54.36,1693900
2025-04-17,54.8738,55.4173,54.4687,55.1209,2046200
2025-04-21,54.9726,55.1604,53.4904,54.0833,1213000
2025-04-22,54.3995,55.2493,54.3303,55.0023,1813600
2025-04-23,55.0023,55.1505,53.9943,54.2809,4086900
2025-04-24,53.3026,55.6446,51.1583,54.8145,3360300
2025-04-25,54.8738,55.3481,54.1623,54.6564,2572100
2025-04-28,55.2098,55.4865,54.5873,55.358,2147600
2025-04-29,55.2493,55.8719,55.0715,55.6742,1562400
2025-04-30,55.7039,56.5241,55.111,56.4549,2043300
2025-05-01,55.8719,55.9312,54.9924,55.4074,2609500
2025-05-02,55.8027,56.277,55.5458,56.0003,2522800
2025-05-05,55.9608,56.6624,55.615,56.3067,1931700
2025-05-06,56.0399,56.5142,55.7928,56.1387,2173500
2025-05-07,55.783,56.4944,55.783,56.2375,1327200
2025-05-08,56.198,56.7514,55.9509,56.0201,1472400
2025-05-09,55.8719,56.1881,55.694,56.0498,1321900
2025-05-12,55.9358,56.3223,54.6078,55.2321,2160700
2025-05-13,55.0736,55.3114,54.2708,54.36,2189400
2025-05-14,54.3501,54.5582,54.0924,54.469,1822000
2025-05-15,54.9051,55.8763,54.7961,55.8664,2360700
2025-05-16,55.916,56.5602,55.8367,56.4511,4605500
2025-05-19,56.2628,56.9368,56.1935,56.9169,1531100
2025-05-20,56.8178,57.1152,56.5602,56.798,1564000
2025-05-21,56.5106,56.9467,56.3025,56.4908,1374400
2025-05-22,56.4313,56.5304,55.8565,56.243,1322200
2025-05-23,56.2232,56.5899,55.688,56.3619,1332800
2025-05-27,56.4611,56.9169,56.2926,56.8377,1523200
2025-05-28,56.6989,56.9863,56.1439,56.2331,1401900
2025-05-29,55.9457,56.5602,55.8763,56.4115,1304400
2025-05-30,56.7782,56.9665,56.3421,56.7385,3986800
2025-06-02,57.2638,58.0963,56.9764,58.0567,2314200
2025-06-03,58.126,58.126,57.244,57.8188,2029800
2025-06-04,57.9477,58.0368,57.4224,57.5215,1308600
2025-06-05,57.5314,57.5611,56.8971,57.3134,1383800
2025-06-06,57.3134,57.7098,57.0359,57.2539,887500
2025-06-09,57.0458,57.0953,55.6087,56.5502,1853500
2025-06-10,56.5701,56.8178,56.1241,56.3619,1620700
2025-06-11,56.471,56.5403,55.8268,56.4809,1224000
2025-06-12,56.7088,56.8872,56.4412,56.7782,1334100
2025-06-13,56.5899,57.0656,56.0745,56.3719,1780600
2025-06-16,56.4611,56.8178,56.0944,56.2133,1114400
2025-06-17,56.0547,56.4809,55.579,55.9061,1856300
2025-06-18,56.0646,56.2827,55.4402,55.579,1772900
2025-06-20,55.7376,56.2133,55.4303,55.9754,3411700
2025-06-23,56.2727,56.6593,56.1142,56.6196,1299600
2025-06-24,56.7088,57.0854,56.1043,57.0061,1507000
2025-06-25,56.9764,57.026,55.5691,55.6385,1391700
2025-06-26,55.8763,56.0844,54.9249,55.1826,1428600
2025-06-27,55.1132,55.916,55.0537,55.6682,2824100
2025-06-30,55.5988,56.0844,55.2321,55.916,2351200
2025-07-01,55.9655,56.7385,55.8268,56.134,1897000
2025-07-02,55.7772,56.0646,54.4789,55.1429,1400400
2025-07-03,55.1727,55.9358,55.0438,55.9358,690200
2025-07-07,56.0745,56.4313,55.4997,55.7277,1313300
2025-07-08,55.4105,55.6979,54.7762,54.9943,1460900
2025-07-09,54.915,55.3411,54.5483,55.3114,1098900
2025-07-10,55.2123,55.4601,54.7465,55.1231,1594400
2025-07-11,55.1429,55.1429,54.36,54.7663,1427700
2025-07-14,54.578,55.4105,54.4987,55.242,1024500
2025-07-15,55.0042,55.242,54.5483,54.5582,1760800
2025-07-16,54.5384,55.2321,54.469,55.1628,1469300
2025-07-17,55.0934,55.5691,54.9546,55.2718,1511600
2025-07-18,55.3511,55.8069,55.2519,55.3015,1416400
2025-07-21,55.3709,55.7078,54.8952,54.9051,1352800
2025-07-22,55.0934,55.3411,54.7168,55.0141,1628600
2025-07-23,54.806,55.133,54.3203,54.6672,3110800
2025-07-24,55.7277,57.9873,55.4006,57.5116,3496200
2025-07-25,57.3431,57.9774,56.9863,57.571,2051200
2025-07-28,57.3926,57.6801,56.6692,56.7485,1456100
2025-07-29,56.9566,57.1548,56.4115,56.8079,1731100
2025-07-30,56.6295,57.3927,56.5403,57.1251,1548800
2025-07-31,56.9368,57.4026,56.6494,56.7584,1645500
2025-08-01,57.2638,57.2836,56.3619,57.2242,1919600
2025-08-04,57.2341,58.0666,57.1845,57.9377,1832100
2025-08-05,57.9278,58.4333,57.581,57.6008,1458400
2025-08-06,57.5909,57.8981,57.2539,57.8089,1470500
2025-08-07,58.017,58.3342,57.799,57.9873,1186700
2025-08-08,57.9774,58.572,57.9477,58.1161,966100
2025-08-11,58.2404,58.459,57.9323,58.0515,935000
2025-08-12,58.0515,58.0515,57.1968,57.5248,1563800
2025-08-13,57.6142,57.8229,57.2763,57.7633,1132900
2025-08-14,57.813,57.813,57.0676,57.0676,1161200
2025-08-15,56.998,57.1869,56.6701,56.9782,1150300
2025-08-18,56.849,57.1272,56.4812,56.7396,1453800
2025-08-19,56.7794,57.6242,56.7595,57.5844,1196900
2025-08-20,57.9621,58.5982,57.8229,58.0813,1156600
2025-08-21,57.813,57.9919,57.2564,57.644,909800
2025-08-22,57.8726,58.0317,57.495,57.6341,1117500
2025-08-25,57.4453,57.5546,56.2228,56.2924,1096200
2025-08-26,56.4315,56.6303,55.9644,56.1234,2565100
2025-08-27,56.0837,56.4017,55.875,56.3222,1542900
2025-08-28,56.1334,56.3321,55.5569,55.8948,1463700
2025-08-29,55.9147,56.2129,55.8054,56.193,1881500
2025-09-02,56.0638,56.5707,56.0141,56.3222,1453100
2025-09-03,56.2228,56.3719,55.706,55.9545,1396800
2025-09-04,55.9744,56.5309,55.9744,56.511,915900
2025-09-05,56.4514,56.5806,55.5371,56.1731,1184200
2025-09-08,56.1731,56.839,55.9147,56.7794,1250300
2025-09-09,56.8986,57.008,56.1831,56.9682,1428600
2025-09-10,56.6701,56.8887,55.8153,56.024,1475700
2025-09-11,56.2825,57.9919,56.0539,57.8627,1353400
2025-09-12,57.6341,58.0416,56.8191,57.0179,1806500
2025-09-15,56.9086,57.3757,55.9843,56.0837,1769700
2025-09-16,55.7259,55.8948,54.6625,54.891,2344800
2025-09-17,55.0699,56.0638,55.0699,55.7955,2913500
2025-09-18,55.4774,55.8551,55.3184,55.388,1662100
2025-09-19,55.6066,55.6066,54.9507,55.1693,2622600
2025-09-22,55.0401,55.3681,54.7917,55.219,1931600
2025-09-23,55.1395,55.2588,54.3146,55.06,1750600
2025-09-24,55.0103,55.8551,54.6923,55.7656,1612800
2025-09-25,55.875,56.6402,55.7756,56.0936,2039100
2025-09-26,56.8986,58.1211,56.5607,58.0714,2067000
2025-09-29,58.2205,58.3497,57.9223,58.1609,2145600
2025-09-30,57.9919,58.7572,57.813,58.3795,2890300
2025-10-01,58.1609,58.5186,56.8986,57.7732,2124200
2025-10-02,57.4652,58.2503,57.3061,57.9521,1474400
2025-10-03,57.6739,58.6677,57.5447,58.3497,1143900
2025-10-06,58.3,58.4193,57.813,57.9621,1133600
2025-10-07,58.0018,58.131,57.4254,57.6242,1153800
2025-10-08,57.7335,57.9521,57.0378,57.7633,1634700
2025-10-09,57.7037,57.7037,56.2129,56.2427,1621500
2025-10-10,56.4117,56.9881,56.0638,56.6502,2454800
2025-10-13,56.2526,56.6899,55.2389,55.7458,1851800
2025-10-14,55.9346,56.6204,55.547,56.5409,1914900
2025-10-15,56.2427,56.5707,55.3681,55.6762,1749200
2025-10-16,55.4973,55.6265,54.4041,54.901,1662100
2025-10-17,55.06,55.547,54.9209,55.4774,1253700
