date,open,high,low,close,volume
2025-03-14,122.2212,123.5436,121.1651,122.5863,4042900
2025-03-17,123.2969,124.4319,122.5666,123.8989,3868400
2025-03-18,123.0524,123.389,121.686,122.488,3359500
2025-03-19,123.4781,125.6762,122.795,124.7059,5331200
2025-03-20,123.894,125.0821,122.9138,123.3692,4366200
2025-03-21,121.8939,123.6267,121.1514,122.3197,6659800
2025-03-24,124.0227,128.003,123.597,127.904,4208300
2025-03-25,127.4485,128.3891,125.9633,126.8644,3660700
2025-03-26,127.1911,127.399,125.8445,126.4386,1901200
2025-03-27,126.4485,128.4782,126.102,127.8149,2120200
2025-03-28,127.0921,127.0921,123.7851,124.1811,2273600
2025-03-31,123.3692,126.9832,122.8445,126.5277,3318300
2025-04-01,126.6168,128.3693,126.5475,127.8347,1904200
2025-04-02,126.4386,131.7753,126.4188,131.0625,2137400
2025-04-03,128.5773,132.5278,127.3198,129.9139,4055400
2025-04-04,130.102,135.0725,128.3099,129.0228,5570300
2025-04-07,127.597,131.31,123.1316,126.6168,4744800
2025-04-08,129.6565,132.2209,124.0326,125.6465,3702000
2025-04-09,125.2901,137.9141,124.7554,135.6467,7302100
2025-04-10,134.7061,138.7953,133.2011,137.5181,4736500
2025-04-11,137.4488,141.0627,136.3002,140.1122,4388900
2025-04-14,141.0033,142.8845,140.4884,142.241,2995600
2025-04-15,141.8053,142.7162,139.2805,139.6369,2570100
2025-04-16,140.3498,140.8548,136.3695,137.3101,2512500
2025-04-17,138.0329,139.0726,136.8547,138.2508,2287600
2025-04-21,137.7656,137.7656,132.3793,134.1517,3161100
2025-04-22,135.1517,137.3596,134.8645,136.5279,2523400
2025-04-23,139.2211,140.2706,136.3497,136.8547,2294500
2025-04-24,135.7358,138.9537,134.4289,138.5478,2484900
2025-04-25,139.0726,141.2211,137.221,138.33,2289800
2025-04-28,138.5379,140.5973,137.419,137.9933,2515800
2025-04-29,137.419,139.7854,137.3794,139.3894,2165900
2025-04-30,137.4983,138.1914,135.8943,137.627,4037300
2025-05-01,137.023,138.5676,137.023,137.5577,2342700
2025-05-02,138.9439,140.4884,138.7755,139.1023,2133500
2025-05-05,138.6567,140.835,138.2309,140.0726,2263900
2025-05-06,138.8845,140.5974,138.7161,140.2112,1856400
2025-05-07,139.8251,142.4885,139.0726,141.6172,2723300
2025-05-08,142.6469,143.835,141.6568,141.9538,2049600
2025-05-09,141.9538,142.4984,140.3696,140.8746,1727900
2025-05-12,145.8054,147.8352,144.4786,147.7856,2663100
2025-05-13,147.4589,148.5876,146.6173,147.8549,1658300
2025-05-14,147.4094,149.5381,146.9836,149.1718,2491600
2025-05-15,148.8054,150.4788,148.1817,150.3896,2438300
2025-05-16,150.5382,151.5976,149.3896,151.4095,2065000
2025-05-19,150.4986,152.8254,150.1025,152.7362,1896500
2025-05-20,151.9244,154.0432,151.7956,152.7165,2166600
2025-05-21,150.0134,152.3897,149.6272,151.1718,2878400
2025-05-22,151.865,151.865,150.4887,150.7461,3996000
2025-05-23,133.2705,138.5181,127.9238,135.9042,18535000
2025-05-27,136.7062,144.0727,136.7062,139.8943,7636000
2025-05-28,139.4389,141.1419,138.122,138.3201,3596800
2025-05-29,140.7162,141.2409,137.3794,137.5577,3913700
2025-05-30,137.5576,139.3201,136.8646,138.7062,4225900
2025-06-02,138.4884,141.033,136.6963,141.0132,3073100
2025-06-03,140.2409,143.1222,140.2409,142.6073,3161600
2025-06-04,142.5479,142.9934,140.6172,141.1023,2260500
2025-06-05,140.8746,141.2013,139.33,140.835,1620700
2025-06-06,141.7855,142.6667,140.0231,142.3796,1496400
2025-06-09,142.1816,142.241,139.8053,140.7558,2782300
2025-06-10,140.2444,141.1381,138.2188,139.0926,2159600
2025-06-11,139.1621,139.1621,134.3264,135.4286,4645100
2025-06-12,135.2399,135.6272,132.0029,132.5292,6157800
2025-06-13,131.8639,133.6115,130.3844,130.9206,2996900
2025-06-16,132.2114,132.2611,130.0567,130.2255,3537400
2025-06-17,129.3418,130.1263,127.4949,128.1404,3971400
2025-06-18,128.2198,128.8751,127.058,127.1474,3833200
2025-06-20,127.8325,128.4382,126.2041,126.7701,7112800
2025-06-23,126.3431,127.5644,124.4168,126.9686,4898100
2025-06-24,127.4751,128.2496,126.2041,127.4254,4515800
2025-06-25,127.6141,127.8127,126.0651,126.3828,2017600
2025-06-26,126.1445,126.353,123.6125,125.7275,4160000
2025-06-27,126.5119,128.6765,126.1048,126.9984,4422900
2025-06-30,127.3261,127.7531,125.8963,126.6807,2553500
2025-07-01,126.5119,130.7319,126.4126,129.0538,2976300
2025-07-02,134.4356,134.8924,129.4212,130.5929,3684200
2025-07-03,130.4241,131.1986,129.3219,130.6227,2343800
2025-07-07,130.1858,130.8213,128.468,129.8482,2504600
2025-07-08,129.5801,130.9702,129.3716,130.6326,2737200
2025-07-09,130.7121,131.4071,129.3319,130.2851,2211500
2025-07-10,130.0865,132.0526,129.7588,129.9376,3142900
2025-07-11,129.4808,130.9107,128.6368,130.2454,2171500
2025-07-14,129.9574,130.3149,128.6368,130.2454,2485600
2025-07-15,130.2454,130.4142,126.6509,126.6906,2082400
2025-07-16,126.7502,128.4382,125.4296,128.19,3697800
2025-07-17,128.468,129.9574,127.912,129.5603,2105400
2025-07-18,130.4837,130.5135,128.5673,129.0241,2714100
2025-07-21,129.6099,133.6115,129.5702,133.0753,2749200
2025-07-22,133.0753,135.1307,132.2015,134.803,2077000
2025-07-23,135.4782,136.2925,134.7931,136.2031,2350100
2025-07-24,135.8158,137.0868,133.9392,135.4782,2311600
2025-07-25,136.3024,137.5436,135.657,137.3549,1644100
2025-07-28,137.8017,139.9962,137.7024,139.8274,2687600
2025-07-29,140.3934,140.3934,138.1195,138.5762,2118800
2025-07-30,139.0132,139.0727,136.9279,137.5039,2231400
2025-07-31,136.2627,137.7223,135.3789,135.5775,2519300
2025-08-01,135.0413,136.64,133.4228,136.0442,2220600
2025-08-04,136.6102,141.4955,136.6102,140.9693,2686100
2025-08-05,140.304,141.7636,139.7181,140.7905,2055900
2025-08-06,141.2771,145.7652,140.9097,145.517,2955200
2025-08-07,145.517,146.4702,143.3921,144.1268,2107100
2025-08-08,144.1964,145.0404,143.0644,144.1964,2295700
2025-08-11,145.0006,146.639,143.7594,145.4574,2399300
2025-08-12,145.5567,147.5327,144.9708,146.9567,2346800
2025-08-13,146.8972,149.5285,146.5298,149.2207,2795700
2025-08-14,148.1979,148.2377,146.2617,146.3411,3247300
2025-08-15,146.6688,147.4532,145.4475,145.9042,3695600
2025-08-18,146.0035,146.8177,144.6531,145.0304,5075400
2025-08-19,144.9113,147.7511,144.3354,146.8376,3615600
2025-08-20,147.8008,149.5186,145.0503,145.3184,4966100
2025-08-21,145.0701,145.8149,143.1637,144.5935,5611000
2025-08-22,149.171,149.9356,144.3354,146.212,7736700
2025-08-25,145.934,147.066,144.4347,146.4106,3371600
2025-08-26,146.3709,148.1284,145.9241,147.2844,2693400
2025-08-27,147.483,149.459,147.0263,149.2306,2360100
2025-08-28,149.8065,150.7598,147.0263,147.9994,2321200
2025-08-29,147.8802,148.5852,145.7354,146.1227,2633600
2025-09-02,145.3382,150.3626,145.3382,150.1838,3132600
2025-09-03,149.9356,150.9285,149.181,149.6675,2701300
2025-09-04,150.1044,152.4577,150.0051,151.7328,2620900
2025-09-05,151.6931,152.3385,149.3994,149.886,2438400
2025-09-08,149.876,151.3754,149.4093,150.5016,2393400
2025-09-09,149.6404,149.9888,147.7188,148.3859,1863500
2025-09-10,147.5496,149.262,146.9921,148.585,1957000
2025-09-11,148.8937,150.6061,148.8738,150.4369,2029400
2025-09-12,149.3318,149.6902,146.1259,147.2509,2131700
2025-09-15,147.2509,147.2509,145.7675,146.4046,1946200
2025-09-16,146.4544,146.8925,145.1303,145.8073,1554600
2025-09-17,146.3051,147.4998,145.5882,146.0164,3285600
2025-09-18,146.3947,146.7232,142.7607,145.4489,3155100
2025-09-19,145.7774,146.2852,143.9256,145.5385,4702500
2025-09-22,145.7973,146.2752,143.0793,144.0351,3294600
2025-09-23,144.1247,145.1601,143.368,145.0406,2704300
2025-09-24,145.3592,149.8096,145.3592,148.7742,2689200
2025-09-25,149.4114,149.9689,147.1215,148.8041,2758400
2025-09-26,149.5408,151.2632,148.4855,150.855,2265100
2025-09-29,151.8208,152.1891,149.7499,151.1935,2346400
2025-09-30,150.4767,152.229,150.397,151.7212,2025100
2025-10-01,151.2334,153.2943,150.1382,152.5276,2193400
2025-10-02,152.3883,156.3408,151.9402,155.4846,2576400
2025-10-03,155.3253,155.8729,151.323,151.9701,2372700
2025-10-06,151.5719,152.7865,150.5364,151.5918,2669700
2025-10-07,152.3086,152.3086,149.0131,149.6802,1591600
2025-10-08,150.3074,151.4325,149.7499,151.3528,1992700
2025-10-09,150.5763,151.8606,148.4257,149.3218,1466900
2025-10-10,150.0088,150.9745,146.8427,147.0618,2365500
2025-10-13,148.3162,154.7279,147.9279,154.0908,3214600
2025-10-14,153.9813,155.8729,153.4934,154.5786,2077600
2025-10-15,154.8872,157.217,154.8175,156.301,1851300
2025-10-16,156.6097,156.7889,154.0111,154.5288,1793900
2025-10-17,155.4348,156.6595,154.4791,155.624,2896100
2025-10-20,156.6296,157.0975,155.6638,156.759,1691400
2025-10-21,155.9426,156.9084,155.6837,155.7236,1457000
2025-10-22,156.2214,157.3364,155.2058,155.3651,1311900
2025-10-23,154.5089,156.2014,154.1903,155.9725,1337600
2025-10-24,156.2911,157.1373,155.7236,156.0621,1598100
2025-10-27,158.7701,161.2393,158.5312,160.0246,3812300
2025-10-28,159.4173,160.6021,157.9537,159.9947,1534100
2025-10-29,158.2226,160.1142,157.2269,157.6451,1507500
2025-10-30,158.2225,158.7203,156.8685,157.3763,1619900
2025-10-31,157.2867,158.9294,156.6993,158.2225,1755800
2025-11-03,158.9593,160.7315,156.9581,160.4925,2414000
2025-11-04,159.487,162.0258,158.9294,161.518,2083100
2025-11-05,161.518,164.3456,160.612,161.518,2650700
2025-11-06,161.518,162.3046,158.1529,159.5268,1572700
2025-11-07,160.0644,161.309,159.2779,160.3731,2142100
2025-11-10,161.0899,161.8964,159.6562,161.2094,2852800
2025-11-11,161.9561,162.6829,160.6817,162.0158,1718100
2025-11-12,162.3145,162.7227,160.4427,162.1353,2535500
2025-11-13,161.8167,162.6132,160.6618,161.1198,2285300
2025-11-14,160.393,161.518,159.1983,159.8753,2918600
2025-11-17,159.8753,160.5125,157.0378,158.7104,2767700
2025-11-18,158.3022,160.5821,157.7944,159.1982,2285700
2025-11-19,159.7956,161.1496,158.1728,159.7458,2454400
2025-11-20,160.383,163.5092,159.6363,159.7956,4895600
2025-11-21,165.9983,174.0926,162.7924,173.2364,7821200
2025-11-24,172.6091,175.2276,172.1611,173.3658,5598700
2025-11-25,173.5251,176.5518,172.7386,175.7254,4531100
2025-11-26,175.4566,177.3084,174.6999,176.9102,2193800
2025-11-28,176.5318,177.408,175.4068,175.586,984100
2025-12-01,174.7198,178.0153,174.1125,176.721,2439600
2025-12-02,176.94,177.7465,175.3072,176.7907,4002200
2025-12-03,177.5872,177.856,176.3427,177.2188,3434600
2025-12-04,177.8859,178.2642,175.2375,176.3128,3431500
2025-12-05,176.7011,177.1591,175.2575,177.0894,2904200
2025-12-08,177.5573,178.6326,176.7708,177.408,2553900
2025-12-09,176.934,177.3132,175.2675,176.6446,2024900
2025-12-10,177.7622,182.1329,177.7423,181.4344,3730100
2025-12-11,181.7438,183.51,181.0852,182.7417,3090700
2025-12-12,183.7495,184.6077,180.9055,181.7038,2549400
2025-12-15,182.7716,184.3582,181.3845,183.8892,3118300
2025-12-16,184.4181,185.4559,181.6539,182.0132,2645100
2025-12-17,182.1529,182.9113,181.2049,182.3525,2327600
2025-12-18,183.1109,184.1087,181.3745,182.1828,2163900
2025-12-19,182.5121,182.7816,180.9355,182.0232,6157600
2025-12-22,183.1208,183.3603,179.4885,180.2968,3069900
2025-12-23,180.4066,180.7559,178.5007,180.227,1563500
2025-12-24,180.696,182.0331,179.728,181.2947,621200
2025-12-26,180.0773,181.3945,179.7779,180.7559,918100
2025-12-29,179.8278,181.4743,179.5484,180.3367,1840800
2025-12-30,180.3368,181.3147,179.8478,181.0652,1267100
2025-12-31,180.8656,181.4344,179.6682,179.758,1350000
2026-01-02,180.207,182.3824,178.6404,182.3525,2566400
2026-01-05,182.5121,186.3839,182.5121,186.2841,2343100
2026-01-06,185.4858,189.178,184.9769,187.1323,2843700
2026-01-07,187.0126,187.252,185.3461,186.5935,2047800
2026-01-08,186.5935,190.8145,186.0247,188.8686,2385600
2026-01-09,188.8686,191.8523,188.5194,191.034,2659400
2026-01-12,190.595,192.0818,188.5393,191.8523,2071000
2026-01-13,191.8223,193.0797,191.6926,192.8202,1768100
2026-01-14,192.0818,193.379,189.8665,191.4232,2262000
2026-01-15,192.1616,194.1075,190.8744,193.379,1667300
2026-01-16,193.7882,194.5066,191.3733,191.9521,3269700
2026-01-20,190.1359,191.7824,188.5094,189.2877,2304100
2026-01-21,190.5351,192.2015,189.4673,191.9122,1964000
2026-01-22,192.5208,193.5487,186.0646,186.6134,3219800
2026-01-23,186.5236,188.4495,185.7253,188.1501,1976900
2026-01-26,187.2121,188.9983,186.324,187.1722,2828700
2026-01-27,187.262,188.0903,184.3482,185.6056,3270000
2026-01-28,185.5756,186.4937,184.3083,185.6455,1753600
2026-01-29,184.8871,186.7132,184.2983,186.1045,2759800
2026-01-30,185.2663,188.3098,185.2663,188.2499,2062600
2026-02-02,188.2499,190.8544,187.4017,189.7068,3444500
2026-02-03,188.7888,193.1695,188.3697,190.7147,2291400
2026-02-04,191.4232,193.4788,187.6512,188.8686,2764000
2026-02-05,188.9684,190.6947,187.5913,188.8287,2626300
2026-02-06,190.2058,191.4432,189.3177,190.3355,3185300
2026-02-09,190.2557,194.347,189.607,194.0875,1902200
2026-02-10,193.4489,194.4069,191.533,191.9221,2601600
2026-02-11,193.2393,193.2393,190.8145,192.1317,2115700
2026-02-12,194.1274,196.7618,193.2493,194.4368,1942700
2026-02-13,194.1175,196.8217,192.91,196.1232,1445700
2026-02-17,197.7098,198.558,194.7761,197.7897,2528900
2026-02-18,197.2708,200.1746,196.7419,199.9551,2205100
2026-02-19,199.0071,200.1447,197.9593,199.9551,1574600
2026-02-20,198.9771,202.8788,198.4682,201.0228,1987900
2026-02-23,201.6215,202.35,197.8495,201.4619,1795400
2026-02-24,201.6714,201.881,198.6478,200.1247,1883500
2026-02-25,199.506,204.4156,199.506,201.1026,2203800
2026-02-26,202.4797,204.2858,201.7213,203.0684,2641300
2026-02-27,202.2202,205.9623,200.8531,205.2039,4422700
2026-03-02,202.6593,203.8168,200.1047,201.871,3048600
2026-03-03,198.3285,198.9073,193.6584,197.2209,4988600
2026-03-04,214.2946,216.3402,206.102,213.0672,7735700
2026-03-05,211.0415,214.4243,210.7621,214.3744,3595600
2026-03-06,212.5583,213.1869,209.2852,211.3009,2410500
2026-03-09,209.5347,211.8298,203.8168,211.7001,3408600
2026-03-10,210.6024,216.1307,208.926,212.4784,2562000
2026-03-11,212.2489,213.6559,211.1014,212.4186,2131500
2026-03-12,209.9837,212.7179,208.9559,209.395,2283700
2026-03-13,209.6,210.75,206.01,206.28,2583200
2026-03-16,206.82,210.31,206.82,207.96,2073000
2026-03-17,209.34,210.38,208.52,209.19,2120000
2026-03-18,208.2,210.95,207.02,207.22,2491900
2026-03-19,207.11,211.46,206.63,210.66,2143000
2026-03-20,209.71,211.36,208.15,211.19,3535115
