date,open,high,low,close,volume
2025-03-14,126.7995,128.5205,125.8751,127.8321,5380700
2025-03-17,127.8419,130.5069,127.8419,129.8579,4934600
2025-03-18,129.8776,131.0577,129.5236,130.4873,4128400
2025-03-19,131.7854,133.4866,131.2937,133.0736,7080700
2025-03-20,131.8935,133.0736,131.6674,132.2377,4311300
2025-03-21,131.6084,132.2672,129.5137,130.1726,9545900
2025-03-24,130.4578,132.6508,129.7497,132.4541,5525300
2025-03-25,132.5426,133.6833,131.7559,133.408,3990600
2025-03-26,133.7128,133.9095,131.8345,132.1001,4464500
2025-03-27,132.6704,132.7196,130.9495,131.215,3914000
2025-03-28,130.7626,131.4215,129.4547,129.5334,3935200
2025-03-31,128.8843,130.9298,128.4123,130.2611,5521100
2025-04-01,130.0841,130.8315,129.1794,130.6446,4799300
2025-04-02,129.1794,131.4609,129.0319,130.9397,3352900
2025-04-03,128.8253,131.4904,127.7829,128.0681,4605200
2025-04-04,123.9083,124.282,115.4019,115.5003,8526700
2025-04-07,112.0289,117.9293,110.4063,115.3724,8774800
2025-04-08,120.968,121.912,116.7295,118.4603,8108600
2025-04-09,117.0442,126.7897,116.2083,126.298,6747400
2025-04-10,124.8032,127.1437,121.7154,124.9606,6457800
2025-04-11,124.0657,127.1732,122.9249,126.1308,3654100
2025-04-14,127.1044,127.7928,126.1505,126.9962,4099900
2025-04-15,126.3668,127.7928,126.1112,126.5045,6315600
2025-04-16,127.7534,128.0386,126.3078,127.1044,5382800
2025-04-17,127.2126,128.3336,125.5801,126.7504,5228300
2025-04-21,126.3668,126.593,122.6594,124.0263,6397400
2025-04-22,112.6287,115.2446,110.7603,111.8617,17094400
2025-04-23,115.4314,120.5845,115.3331,118.2833,10456300
2025-04-24,118.0374,120.0337,117.5261,119.9452,4512800
2025-04-25,120.6926,123.4166,120.3779,123.1413,6205900
2025-04-28,123.8395,124.2132,121.6268,122.7283,5460100
2025-04-29,122.7283,123.9477,122.3251,123.6428,4313600
2025-04-30,123.7018,124.4689,121.5482,124.0362,5674100
2025-05-01,124.3017,125.9636,123.3478,125.2949,4820900
2025-05-02,127.2322,128.8253,125.7276,128.0485,5002200
2025-05-05,127.8419,127.9009,126.1505,126.4553,3293300
2025-05-06,125.4621,126.534,124.8032,126.0325,2596100
2025-05-07,125.6883,126.6717,125.2654,125.3834,4029200
2025-05-08,125.8653,128.3631,125.3834,126.534,4748300
