date,open,high,low,close,volume
2025-03-14,111.1548,112.0722,110.367,111.5936,752900
2025-03-17,111.2745,113.9269,111.2745,112.8899,772500
2025-03-18,112.3215,112.7204,110.8656,112.3713,965600
2025-03-19,111.803,112.0323,107.5749,109.6092,1108400
2025-03-20,109.3599,110.377,106.1789,106.6775,1079600
2025-03-21,106.3085,107.1162,105.1518,106.9866,1282000
2025-03-24,108.2431,109.8186,107.3157,108.2829,702800
2025-03-25,108.9012,109.0209,106.3484,107.0764,1290800
2025-03-26,106.6875,107.8641,105.6005,107.0564,806100
2025-03-27,106.857,108.1832,105.9894,107.0365,614000
2025-03-28,107.5949,107.5949,105.072,105.3213,852300
2025-03-31,105.2316,106.4581,102.9182,105.5008,877700
2025-04-01,105.0322,106.7573,103.4766,104.015,980300
2025-04-02,103.4367,106.857,103.4367,106.4182,693000
2025-04-03,103.7458,104.743,100.2557,100.4651,929300
2025-04-04,98.5705,98.7201,93.2755,94.5718,2108500
2025-04-07,93.2655,100.0264,90.7427,95.8881,1680100
2025-04-08,97.9921,98.7201,90.0048,91.5304,1249500
2025-04-09,89.8253,101.572,89.3566,101.0534,1898200
2025-04-10,98.7201,99.2087,90.7826,92.757,1786800
2025-04-11,93.7641,95.1901,91.4906,94.5918,2420800
2025-04-14,97.0448,97.6032,94.851,97.344,1221500
2025-04-15,96.6559,97.7029,94.9607,95.2698,1177400
2025-04-16,95.2798,96.9152,92.2085,93.4849,1299800
2025-04-17,93.0558,93.6645,91.5489,91.6288,1353400
2025-04-21,90.6907,91.04,88.3456,89.583,2156400
2025-04-22,91.3993,93.3053,90.551,92.1377,1510700
2025-04-23,95.1814,98.8936,92.9859,93.4849,1703900
2025-04-24,93.5747,95.0915,91.9381,94.9319,2168500
2025-04-25,94.2733,94.8022,92.4371,94.0936,1390000
2025-04-28,101.0192,101.0192,92.7165,94.862,2062700
2025-04-29,94.7223,96.0096,93.2753,94.4629,1772800
2025-04-30,93.0458,93.7444,91.3194,93.2354,1886000
2025-05-01,94.6924,95.2412,90.9901,92.7065,1725200
2025-05-02,95.0516,96.299,93.5448,93.7943,944900
2025-05-05,93.2953,94.0737,92.3872,92.6367,705300
2025-05-06,91.6986,92.3373,89.2038,90.2317,861400
2025-05-07,91.3893,91.7385,89.613,91.3993,924100
2025-05-08,92.0878,94.5028,91.1099,92.7065,1005400
2025-05-09,92.8163,93.0558,91.0001,91.06,1330300
2025-05-12,93.3252,98.5743,92.7864,98.2949,1641800
2025-05-13,97.9256,98.0653,96.339,96.5086,1168500
2025-05-14,95.9897,96.319,90.7107,90.8304,1744300
2025-05-15,90.6009,90.6608,88.4454,90.2117,1820500
2025-05-16,90.2217,93.0658,89.124,93.0658,1050300
2025-05-19,91.7785,94.1635,91.4492,94.1036,923100
2025-05-20,93.8242,94.413,92.8662,93.3851,1072800
2025-05-21,92.0778,92.4271,89.593,89.6429,1300400
2025-05-22,89.1939,90.6808,88.9244,90.2916,1180200
2025-05-23,88.4654,89.583,87.8267,89.144,1023500
2025-05-27,91.2496,92.6067,90.6209,92.0379,1536500
2025-05-28,92.0479,92.2674,91.0899,91.1498,1098000
2025-05-29,92.4271,93.3751,91.03,91.7186,1101900
2025-05-30,90.4313,91.4491,89.2837,90.2317,2068400
2025-06-02,89.3336,89.5731,88.0662,89.134,838000
2025-06-03,88.8246,90.9602,87.5174,90.8404,927600
2025-06-04,91.2695,93.1257,91.1498,92.2076,914300
2025-06-05,92.2575,92.2575,90.082,90.3115,777100
2025-06-06,91.3893,92.5968,90.6907,91.7785,903400
2025-06-09,92.6666,94.1036,91.3893,92.6866,1157600
2025-06-10,93.9439,96.6383,92.6566,96.0496,1793400
2025-06-11,96.4986,97.9755,95.0916,95.8699,1295200
2025-06-12,95.2612,95.8599,94.2932,95.5007,694000
2025-06-13,93.5947,95.1714,93.1556,93.3352,672600
2025-06-16,95.1414,96.319,92.5868,96.1493,1148200
2025-06-17,95.1714,95.5805,93.7044,93.9639,1157300
2025-06-18,93.8042,95.4408,92.6666,94.2134,985900
2025-06-20,94.852,95.4907,93.9439,94.7922,2073100
2025-06-23,94.0737,95.3909,92.9859,94.7523,809700
2025-06-24,95.6005,96.798,95.0616,96.1893,961200
2025-06-25,95.9598,98.2649,95.0816,97.4965,927100
2025-06-26,97.9755,101.0691,97.7859,98.5843,1381300
2025-06-27,99.1032,99.1032,96.3389,97.6163,1331000
2025-06-30,97.9157,98.0354,95.7701,96.5186,958900
2025-07-01,96.0196,101.9672,95.9997,98.8238,866100
2025-07-02,99.5922,100.9593,98.6142,100.6899,967900
2025-07-03,100.3306,101.9073,99.8017,101.099,811000
2025-07-07,100.6699,100.6699,97.756,98.5044,1005000
2025-07-08,98.6242,102.1269,98.0055,100.4504,930100
2025-07-09,100.6,101.8774,97.6362,99.9215,911300
2025-07-10,99.9115,103.9032,99.8317,102.1868,856800
2025-07-11,101.1788,101.588,100.2009,101.2886,676400
2025-07-14,100.161,101.1489,98.1053,98.2649,1138600
2025-07-15,98.7639,99.2728,95.5207,95.7003,1120900
2025-07-16,96.2591,96.2791,93.924,94.7024,1324700
2025-07-17,94.7323,95.82,93.6246,95.3809,1449600
