date,open,high,low,close,volume
2025-03-14,433.05,447.98,433.05,446.23,1118100
2025-03-17,445.0,460.81,440.0,453.51,1489100
2025-03-18,448.81,454.59,445.02,447.99,1020100
2025-03-19,447.18,455.49,440.82,450.28,1108300
2025-03-20,446.89,453.93,443.19,449.99,810200
2025-03-21,441.2,454.61,438.12,448.6,3362100
2025-03-24,456.82,464.22,455.54,457.77,974200
2025-03-25,457.43,458.64,453.71,457.23,759000
2025-03-26,454.35,460.44,447.11,449.9,749100
2025-03-27,445.48,450.58,440.43,446.23,699000
2025-03-28,446.92,448.05,437.06,437.95,941500
2025-03-31,429.02,431.69,423.08,428.85,1371100
2025-04-01,430.11,436.72,423.17,435.94,985800
2025-04-02,426.16,443.62,425.0,438.55,1111200
2025-04-03,417.68,421.13,404.08,417.76,2133600
2025-04-04,403.0,408.94,387.41,388.13,2513200
2025-04-07,375.96,402.0,365.74,380.9,3060100
2025-04-08,391.39,403.19,376.23,381.59,2191500
2025-04-09,380.88,432.54,375.97,428.7,2146100
2025-04-10,415.32,417.73,391.61,406.89,1537600
2025-04-11,407.07,425.71,402.83,421.21,1745600
2025-04-14,428.9,430.55,416.0,421.98,1119500
2025-04-15,423.09,430.32,422.23,425.65,1016100
2025-04-16,416.19,423.56,408.62,415.65,1064000
2025-04-17,421.38,421.78,412.1,413.32,1002400
2025-04-21,406.26,407.29,396.03,402.36,901400
2025-04-22,407.69,417.16,402.86,413.4,946500
2025-04-23,432.34,441.38,420.17,422.23,1008100
2025-04-24,426.16,440.19,423.0,438.9,1093000
2025-04-25,435.64,447.31,433.31,446.62,1032100
2025-04-28,444.39,447.46,436.88,443.97,1117100
2025-04-29,445.83,462.43,444.24,460.77,1415400
2025-04-30,449.67,460.71,448.65,459.01,1338900
2025-05-01,462.47,467.73,457.7,459.36,1137700
2025-05-02,469.85,476.44,467.59,472.28,1293700
2025-05-05,469.17,482.87,465.59,477.41,1074600
2025-05-06,468.76,478.54,467.86,473.55,834200
2025-05-07,474.15,483.86,473.11,480.54,899300
2025-05-08,485.0,491.32,482.72,484.5,1011800
2025-05-09,487.11,487.84,479.04,482.9,571500
2025-05-12,503.66,506.66,497.05,505.59,1099700
2025-05-13,506.58,516.58,505.58,515.71,823400
2025-05-14,512.36,518.08,512.36,517.66,881600
2025-05-15,516.63,521.1,512.19,514.48,826600
2025-05-16,514.48,516.67,509.74,514.43,948100
2025-05-19,507.5,518.47,504.14,516.01,848600
2025-05-20,512.5,515.73,508.0,515.61,740800
2025-05-21,507.22,514.02,501.28,501.46,866100
2025-05-22,500.74,506.59,497.12,503.48,774900
2025-05-23,495.32,501.97,493.73,498.85,670000
2025-05-27,507.14,515.08,504.36,511.79,1251900
2025-05-28,511.02,514.99,445.0,462.43,4806200
2025-05-29,473.0,487.99,437.69,454.99,4314300
2025-05-30,450.36,465.76,447.48,463.98,3356200
2025-06-02,459.92,466.46,452.49,466.15,1299300
2025-06-03,464.56,471.96,461.12,466.26,1295200
2025-06-04,467.32,474.22,463.6,473.19,972400
2025-06-05,475.6,490.67,472.88,482.2,1676800
2025-06-06,486.32,490.76,482.48,486.0,943200
2025-06-09,503.88,512.0,495.01,495.77,1612100
2025-06-10,495.77,504.53,493.28,504.4,1085000
2025-06-11,503.25,505.98,498.24,500.73,1104800
2025-06-12,497.26,500.89,494.72,494.99,867800
2025-06-13,486.44,488.65,477.53,478.86,1162500
2025-06-16,480.5,482.83,473.75,479.41,1386400
2025-06-17,477.81,484.53,473.82,475.4,765500
2025-06-18,473.33,478.49,468.76,473.62,1040500
2025-06-20,480.0,482.53,468.54,470.53,1510900
2025-06-23,468.89,474.2,460.89,470.98,897500
2025-06-24,474.3,481.0,472.56,478.98,866200
2025-06-25,478.98,487.68,474.0,487.27,867900
2025-06-26,489.01,496.71,486.06,495.7,1019300
2025-06-27,500.01,521.69,500.01,502.63,2153600
2025-06-30,505.89,517.4,503.92,512.68,1343700
2025-07-01,509.22,522.85,506.08,521.78,1512800
2025-07-02,517.18,526.09,514.0,523.11,979100
2025-07-03,544.7,555.0,536.35,548.74,2020000
2025-07-07,544.11,545.08,534.34,536.52,1391000
2025-07-08,540.67,552.35,538.98,551.51,1314800
2025-07-09,552.38,554.42,544.06,550.95,839900
2025-07-10,552.49,569.44,545.83,566.19,1775200
2025-07-11,563.97,572.91,559.14,559.28,1358500
2025-07-14,575.0,579.0,542.49,549.53,5084300
2025-07-15,553.89,570.38,549.0,569.1,3178400
2025-07-16,569.25,574.98,550.62,571.2,7936000
2025-07-17,567.51,590.0,563.0,589.01,3621100
2025-07-18,588.21,600.9,578.87,584.76,3682300
2025-07-21,587.59,596.43,582.65,591.46,2445000
2025-07-22,583.92,617.0,578.87,615.13,2890600
