date,open,high,low,close,volume
2025-03-14,153.2692,153.574,151.183,153.5645,1887500
2025-03-17,154.5551,159.8419,153.936,158.9465,2279300
2025-03-18,158.6607,160.1182,156.7556,156.9842,1340200
2025-03-19,156.9842,158.1368,155.1362,156.9842,1674500
2025-03-20,156.8223,157.651,154.5075,156.6508,1445800
2025-03-21,155.5553,156.1364,152.3261,154.4123,3094000
2025-03-24,154.7933,158.5369,154.0217,158.2416,1300500
2025-03-25,158.4035,160.6992,156.4603,157.8987,1661800
2025-03-26,158.3083,160.5564,158.3083,160.4611,1630100
2025-03-27,160.4706,161.5184,157.6129,157.9844,1665700
2025-03-28,158.9751,159.4323,155.3744,156.4889,1309300
2025-03-31,155.9078,158.8703,155.8221,158.2035,2409200
2025-04-01,158.7369,159.5561,155.9173,158.575,1483200
2025-04-02,157.9558,162.7568,157.7177,162.3282,1417900
2025-04-03,155.9745,157.1747,144.6769,145.9153,3770000
2025-04-04,140.8667,143.5624,135.9799,139.1234,3680100
2025-04-07,133.3604,143.391,131.56,136.542,3557400
2025-04-08,141.4668,142.8861,131.9601,133.7128,2703600
2025-04-09,132.6078,146.925,129.8739,145.9153,4323400
2025-04-10,142.8861,144.7913,136.3134,140.6857,2325500
2025-04-11,139.8093,141.9526,135.5513,141.1715,1713000
2025-04-14,143.8196,144.6865,141.6382,142.7623,1406900
2025-04-15,142.5051,144.5436,141.7906,142.286,1203500
2025-04-16,142.1717,144.0578,139.876,141.0286,1435900
2025-04-17,142.0193,144.8579,141.7716,143.2671,1267300
2025-04-21,141.2667,141.6763,138.9234,140.2189,1701000
2025-04-22,142.2574,144.9627,140.981,143.5624,1495900
2025-04-23,145.7343,150.7925,145.6009,146.0105,1862300
2025-04-24,145.4009,149.8399,144.6388,148.7921,1696800
2025-04-25,148.9159,150.2876,148.1634,149.2303,1421800
2025-04-28,149.4684,151.4783,148.773,150.9925,1551700
2025-04-29,149.7256,150.9544,147.9348,149.3636,1284300
2025-04-30,148.1062,150.4114,145.8962,149.9161,2279600
2025-05-01,150.7258,153.2215,149.5541,151.3354,1365700
2025-05-02,153.4787,154.7266,152.1832,154.0979,1321300
2025-05-05,153.0406,154.5266,152.7071,153.2311,991100
2025-05-06,152.2023,153.7168,150.7448,152.5738,1139400
2025-05-07,153.2501,155.7744,152.9548,153.8121,1629300
2025-05-08,154.2217,156.5746,152.7453,155.2791,1387000
2025-05-09,155.603,157.2604,154.7933,155.4506,1612100
2025-05-12,161.366,163.9761,161.2803,163.3093,2804900
2025-05-13,159.7943,160.0324,152.8691,153.2501,3838100
2025-05-14,153.2215,154.2313,150.7067,153.5359,2179200
2025-05-15,153.6978,155.6982,153.3073,155.2982,1279200
2025-05-16,155.7649,157.5938,154.8409,157.289,1352600
2025-05-19,155.0695,157.1747,154.6694,156.6889,1591400
2025-05-20,155.7078,155.8697,154.1932,155.2124,1661800
2025-05-21,153.8121,154.317,150.4686,150.621,2158200
2025-05-22,150.4876,151.5355,148.5634,150.4591,1903800
2025-05-23,148.8302,150.5067,148.6492,149.335,1268500
2025-05-27,151.0402,153.2311,149.7828,152.6119,1929600
2025-05-28,152.6119,153.5835,151.3259,153.5645,1488400
2025-05-29,154.0408,156.8318,153.574,155.4887,1337300
2025-05-30,154.4218,155.5458,153.3644,155.3363,3546200
2025-06-02,154.4408,155.2029,151.9832,155.1838,1156200
2025-06-03,154.7171,155.9554,153.6311,154.1074,1651900
2025-06-04,153.8598,154.7457,152.7834,153.955,994700
2025-06-05,153.955,154.2694,152.8119,153.1263,1065900
2025-06-06,154.4885,155.0409,153.0024,154.4123,1303800
2025-06-09,154.1131,156.0722,153.8332,154.8176,1139000
2025-06-10,154.4122,155.4931,153.6981,155.2712,1328400
2025-06-11,155.7827,156.2459,153.4665,154.1227,1486300
2025-06-12,153.756,153.8043,152.4338,153.2445,1565000
2025-06-13,151.9802,152.5786,150.0115,151.4205,2090700
2025-06-16,152.6462,154.142,151.7486,152.347,1753200
2025-06-17,152.2601,152.9743,150.9669,151.6425,1388000
2025-06-18,151.6425,153.0322,150.7932,151.6135,1476100
2025-06-20,152.318,153.3217,151.1792,151.7776,2806500
2025-06-23,152.0864,153.9876,150.4747,153.5244,1340500
2025-06-24,154.0166,155.2905,153.2348,154.528,1559200
2025-06-25,154.0069,154.3929,151.5653,151.903,1380400
2025-06-26,152.4338,155.1361,152.0864,154.9913,1788200
2025-06-27,155.2133,156.4293,153.9201,154.8948,2029000
2025-06-30,154.7404,155.3098,152.4821,155.1457,2060200
2025-07-01,154.7404,159.9807,154.4122,158.5331,1772300
2025-07-02,158.6489,160.5212,157.4619,160.0483,1589400
2025-07-03,160.3764,161.9495,159.9035,160.9169,925300
2025-07-07,160.1738,162.0363,158.4945,159.2762,1277600
2025-07-08,158.5331,159.7491,157.4619,157.7418,1790400
2025-07-09,158.8709,158.9867,157.2303,157.2399,1427100
2025-07-10,157.2978,158.8998,157.0759,157.7418,1061500
2025-07-11,156.3424,156.7477,155.3387,156.1011,1112300
2025-07-14,155.6958,156.8828,155.0878,156.7574,1434000
2025-07-15,157.2496,157.2496,153.7657,154.3447,1532200
2025-07-16,155.1264,156.2556,153.785,155.8309,1438900
2025-07-17,156.0432,157.4812,155.7151,157.0469,1054200
2025-07-18,157.211,158.0892,156.3907,157.1724,950800
