date,open,high,low,close,volume
2025-03-14,478.1637,483.1343,474.8202,482.668,1427800
2025-03-17,483.7495,492.3414,481.6362,490.3869,1168300
2025-03-18,489.3352,492.6986,480.9714,486.5374,1469800
2025-03-19,486.7457,493.79,486.2794,491.3294,1224200
2025-03-20,491.131,495.3675,489.2955,493.2939,1342100
2025-03-21,490.2381,494.1273,488.2836,493.9686,2603900
2025-03-24,499.1574,503.7014,497.1632,499.9809,1560600
2025-03-25,504.3166,510.3191,502.0248,509.1285,1351300
2025-03-26,508.3745,510.6266,501.1913,503.8106,1053800
2025-03-27,503.4435,507.6403,500.9235,504.644,821200
2025-03-28,503.7809,506.926,497.8677,498.5622,1140500
2025-03-31,497.6494,506.5687,493.9884,504.1082,1420600
2025-04-01,500.1099,508.4142,499.0781,506.7672,980700
2025-04-02,501.7867,510.8647,501.2906,509.942,864000
2025-04-03,494.2166,503.9793,484.7317,485.5353,1516900
2025-04-04,473.5304,475.2369,447.179,447.9529,1961400
2025-04-07,439.361,457.1997,423.7843,434.8666,3184700
2025-04-08,459.2634,466.6945,431.3246,438.0315,2265700
2025-04-09,431.5825,472.2009,424.6375,470.2662,2733400
2025-04-10,467.3593,467.3593,443.9645,454.1638,1685200
2025-04-11,452.4473,463.2319,447.2385,461.4857,1045200
2025-04-14,468.4705,471.2683,464.7797,467.8851,825300
2025-04-15,468.8276,472.0719,466.3373,467.012,1086100
2025-04-16,465.5139,468.2423,456.3861,460.3349,831000
2025-04-17,462.4978,463.8669,457.4081,459.2435,913100
2025-04-21,456.3861,456.6044,440.5713,445.4626,1639900
2025-04-22,447.1989,463.3113,446.7425,462.7557,1240200
2025-04-23,471.7644,480.4654,463.6288,466.5358,1232100
2025-04-24,469.026,478.253,467.0219,477.4791,1228300
2025-04-25,476.9831,478.4018,472.3994,476.229,979100
2025-04-28,476.229,480.2274,469.9984,475.604,1531100
2025-04-29,482.6184,491.885,478.8681,487.8966,1886300
2025-04-30,485.0591,498.453,479.3344,496.1215,2427200
2025-05-01,494.9805,502.3025,493.4328,495.0103,1583000
2025-05-02,499.5642,505.785,498.9094,502.6399,892300
2025-05-05,500.7151,507.9776,498.3439,501.9255,993800
2025-05-06,497.0144,502.0247,496.1413,497.8676,775300
2025-05-07,498.2943,503.5923,496.568,501.737,1064500
2025-05-08,503.7412,510.7358,503.2451,503.6221,870100
2025-05-09,503.8999,505.4179,501.6576,503.7411,941800
2025-05-12,511.9561,514.9226,506.9458,514.2877,909500
2025-05-13,514.2876,518.4546,511.4005,511.5195,1215500
2025-05-14,512.9383,513.1764,506.6977,507.9181,1607700
2025-05-15,508.434,516.1132,505.9933,515.2004,1232200
2025-05-16,517.3732,518.7424,514.0991,518.3555,1022200
2025-05-19,513.1467,522.3836,513.1467,520.1612,725600
2025-05-20,516.3017,519.3178,514.8135,518.8317,1279100
2025-05-21,515.8354,517.3236,505.5468,506.2612,1501400
