date,open,high,low,close,volume
2025-03-14,66.3287,68.12,65.7283,67.9845,5795800
2025-03-17,67.9845,69.5338,67.7811,68.8075,4759400
2025-03-18,68.2072,69.069,67.8877,68.5074,3915100
2025-03-19,68.6623,68.9431,68.1007,68.8366,5920400
2025-03-21,67.6565,68.1417,67.1227,67.4818,7235900
2025-03-24,67.9379,68.6657,67.6468,68.1805,4073900
2025-03-25,68.1805,68.1805,66.7346,67.0645,4456100
2025-03-26,67.2974,68.8792,67.2489,68.6754,5304600
2025-03-27,68.4134,68.6269,67.8506,67.9864,4412700
2025-03-28,68.394,68.4134,67.5594,67.6662,3114300
2025-03-31,67.8797,69.5196,67.6759,69.2479,5007500
2025-04-01,68.9859,69.5585,68.2678,69.442,5649500
2025-04-02,69.015,70.9461,69.015,70.6841,4726600
2025-04-03,70.0243,71.247,68.5589,68.6366,6681100
2025-04-04,68.1514,68.3648,63.4255,63.9301,6652200
2025-04-07,62.688,64.4541,60.0679,62.0184,9770500
2025-04-08,63.901,64.5318,60.8054,61.8923,5639200
2025-04-09,61.5138,66.2882,60.5337,66.0456,5983900
2025-04-10,65.1625,65.8612,63.1441,64.9199,6830400
2025-04-11,65.0461,66.589,63.7069,66.2882,4169500
2025-04-14,67.1422,68.064,66.5502,67.6662,3742300
2025-04-15,67.802,68.4425,67.5983,68.1417,3187300
2025-04-16,67.9088,69.1509,67.6371,68.3066,3027800
2025-04-17,68.6657,69.8302,68.1417,69.015,3595100
2025-04-21,68.4425,68.9665,67.0354,68.3746,5086200
2025-04-22,69.2382,70.3057,68.8501,70.1698,4966500
2025-04-23,70.8976,72.0524,70.4124,71.1402,4060500
2025-04-24,71.0432,72.5473,70.558,72.3144,4021500
2025-04-25,72.3338,73.0034,72.0136,72.4697,4123000
2025-04-28,72.5764,73.673,72.1106,73.3624,4817800
2025-04-29,73.081,73.8088,72.9161,73.1198,3507500
2025-04-30,72.722,72.8578,70.8297,72.0718,4419700
2025-05-01,72.1785,72.9937,71.2664,72.4891,3306000
