date,open,high,low,close,volume
2025-03-14,85.2948,86.9429,85.2752,86.2268,2261100
2025-03-17,85.9717,89.3168,85.9717,88.7871,2948500
2025-03-18,88.7576,88.8459,86.7565,86.9527,2204900
2025-03-20,87.3186,88.7922,87.3186,87.4076,2060500
2025-03-21,86.9823,87.7142,85.6472,87.2988,2576000
2025-03-24,88.4263,89.079,87.5065,87.8131,1715000
2025-03-25,87.3483,87.4669,84.7868,86.9922,3154000
2025-03-26,86.6362,87.2197,84.9945,86.6659,3534900
2025-03-27,86.2505,88.268,85.3505,86.5373,2977400
2025-03-28,86.0329,86.3988,83.4022,83.9857,1886200
2025-03-31,83.5604,84.3714,81.9681,84.0153,2628600
2025-04-01,83.6692,84.3912,82.3934,83.6099,2728200
2025-04-02,82.8187,85.39,82.6011,84.5791,2810100
2025-04-03,79.2978,80.267,70.4957,70.743,12915600
2025-04-04,67.9046,67.9244,63.2464,65.9958,9249900
2025-04-07,64.2848,71.7617,63.4739,67.9046,7297500
2025-04-08,70.2089,71.6331,64.6903,65.8079,5679900
2025-04-09,65.0167,75.1836,62.4948,73.4726,10253500
2025-04-10,70.921,71.6825,67.8947,68.9727,5483500
2025-04-11,68.4683,70.4265,66.8859,69.3782,3879000
2025-04-14,74.1056,74.4023,70.8122,71.8705,3437300
2025-04-15,71.2968,72.6913,71.0595,71.2078,3147600
2025-04-16,70.7034,72.3056,70.5155,72.0188,5798900
2025-04-17,72.6814,75.599,72.088,74.9462,4588400
2025-04-21,73.6309,73.8287,71.821,73.1166,2950600
2025-04-22,73.8781,75.0748,73.7792,74.5309,2177900
2025-04-23,78.2792,80.2868,76.7066,77.2308,4013700
2025-04-24,78.2891,82.3538,78.2693,82.1264,4105400
2025-04-25,82.4132,82.8879,81.0978,81.7901,4055400
2025-04-28,81.3055,81.978,79.6736,81.2561,2895700
2025-04-29,80.6824,81.7703,80.3264,80.7022,6502500
2025-04-30,86.1812,90.5032,84.5296,90.0285,11880100
2025-05-01,90.9878,92.1449,88.901,89.0197,5496500
2025-05-02,90.5427,92.2636,90.2856,92.046,3409300
2025-05-05,91.3142,93.2921,90.968,92.5504,2805700
2025-05-06,91.4427,93.3713,90.9087,92.8669,2754100
2025-05-07,92.9559,94.6174,92.3031,94.3998,3715800
2025-05-08,95.2504,96.1602,93.9251,95.2405,2392700
2025-05-09,96.0416,96.6547,94.5778,94.657,2568200
2025-05-12,100.0173,101.9063,98.8998,100.8283,5791900
2025-05-13,100.7788,104.814,100.4327,104.3096,4336000
2025-05-14,103.9931,104.6953,103.3305,104.0327,4245700
2025-05-15,105.7832,106.8117,104.7447,106.248,4711900
2025-05-16,106.337,107.781,105.8227,106.604,3234900
2025-05-19,104.7447,108.4634,104.4975,107.8403,3286200
2025-05-20,108.2656,108.2755,105.1107,105.7931,3404100
2025-05-21,105.3282,106.6337,102.5887,103.281,4800400
2025-05-22,104.9129,110.2436,104.1909,107.6623,8056800
2025-05-23,107.0887,111.9249,107.0887,111.4996,5981600
2025-05-27,112.6172,116.0688,111.9545,115.7622,4485900
2025-05-28,115.9501,117.3248,115.5347,116.049,4094000
2025-05-29,116.2666,116.8995,115.0006,116.8402,2434800
2025-05-30,115.8808,117.8193,115.3863,116.6424,4352600
2025-06-02,115.7226,118.4424,115.4951,117.8391,3097600
2025-06-03,117.7896,122.6753,117.4435,121.8742,4835200
2025-06-04,122.3687,126.2851,122.3687,126.2357,5769200
2025-06-05,126.5027,128.5202,125.9587,126.295,4765100
2025-06-06,127.4818,128.5301,125.3653,125.573,4377400
2025-06-09,128.1147,130.7751,127.462,128.7378,5425500
2025-06-10,128.54,129.2521,124.9599,126.5818,6119700
2025-06-11,127.6301,127.6598,124.3269,125.0983,4553200
2025-06-12,124.7719,125.9488,124.406,124.6829,3005000
2025-06-13,123.7928,126.8983,123.2588,125.8697,3000800
2025-06-16,127.284,130.0433,126.206,129.5982,3530300
2025-06-17,129.0147,132.0312,128.5697,129.4301,3410800
2025-06-18,129.4301,132.2883,128.9257,129.8554,2816800
2025-06-20,130.7158,131.151,128.8862,129.5191,6027300
2025-06-23,130.8741,132.4169,129.4796,131.6158,4372700
2025-06-24,132.5257,136.0267,132.3773,134.8103,4670500
2025-06-25,136.8783,137.8924,135.4963,137.7433,3574900
2025-06-26,137.7433,139.9903,137.2064,139.8809,3047100
2025-06-27,140.7658,141.6507,139.4832,140.6266,4651100
2025-06-30,141.1834,143.6491,140.7658,143.5,3663500
2025-07-01,142.814,144.892,141.8098,144.2059,4951400
2025-07-02,144.2059,151.1756,143.9574,151.0663,6703600
2025-07-03,151.1259,151.285,148.3818,148.5806,3619700
2025-07-07,148.6105,150.9271,146.8904,147.5367,3661700
2025-07-08,148.2028,148.8491,142.6052,143.6392,4598800
2025-07-09,145.0808,145.0808,140.8951,141.1933,6198800
2025-07-10,143.669,145.399,141.6308,143.669,5593500
