date,open,high,low,close,volume
2025-03-14,177.8723,179.2368,175.7767,176.7416,1650500
2025-03-17,178.652,181.7808,177.5896,178.9639,1771100
2025-03-18,177.3947,177.3947,174.5778,174.8118,1698700
2025-03-19,174.4121,175.2308,172.0046,174.4706,2208500
2025-03-20,172.9013,177.4044,172.8428,174.3536,2038500
2025-03-21,173.5154,175.9034,172.8038,172.9306,6618400
2025-03-24,173.9832,176.1763,172.6966,175.7182,2071800
2025-03-25,175.3673,175.9131,172.9208,173.8468,1537600
2025-03-26,173.9443,179.6755,173.4959,179.4513,1518200
2025-03-27,178.8567,180.4845,177.4727,179.6462,1318500
2025-03-28,180.1628,182.0147,177.6481,179.0906,1232900
2025-03-31,177.2582,180.6599,176.3225,178.8762,1823000
2025-04-01,179.9289,180.5234,178.2232,180.1336,1423200
2025-04-02,180.2408,182.4143,177.0535,178.1062,2196200
2025-04-03,178.0185,181.7028,175.6597,176.8976,2639500
2025-04-04,176.8293,176.8878,169.1,169.4606,3176900
2025-04-07,165.6983,175.3868,165.2207,168.2228,3172500
2025-04-08,171.7025,175.0067,164.2363,166.634,3796100
2025-04-09,164.207,179.4513,163.7489,178.7592,4524000
2025-04-10,171.4783,182.005,170.6693,180.0751,6449200
2025-04-11,176.303,182.5996,174.5486,180.9328,3758900
2025-04-14,182.044,184.9778,179.3538,182.5313,2025200
2025-04-15,182.4631,182.9017,178.9152,179.2076,1609400
2025-04-16,179.4708,180.7476,177.3167,178.3986,1320000
2025-04-17,179.3831,182.4339,178.4084,181.9075,1295300
2025-04-21,181.7321,183.0187,178.4669,182.5216,2001200
2025-04-22,183.8471,185.9428,182.1804,182.2681,2384900
2025-04-23,182.5313,184.9291,180.2408,182.5411,1915800
2025-04-24,182.1025,183.2331,180.348,182.7555,1586900
2025-04-25,181.8198,183.2429,179.0907,180.6599,1054300
2025-04-28,181.2935,182.658,180.1433,181.0498,1519000
2025-04-29,180.3343,183.1766,178.9818,182.5689,1420900
2025-04-30,183.8234,184.8525,181.3046,183.8038,1296100
