date,open,high,low,close,volume
2025-03-14,42.8727,43.388,42.6782,43.0477,2311500
2025-03-17,43.884,44.4236,43.8354,43.9909,4402600
2025-03-18,43.8548,44.0784,43.388,43.8256,3581500
2025-03-19,43.6117,45.0217,43.5436,44.7299,4090300
2025-03-20,44.5257,44.7397,44.2438,44.448,2364000
2025-03-21,43.7381,43.9618,42.8338,42.9894,9219200
2025-03-24,43.2908,43.9034,43.145,43.777,3994200
2025-03-25,44.0493,44.9633,43.3978,44.3118,5386500
2025-03-26,44.0007,44.3021,43.4658,44.0298,3619800
2025-03-27,42.9262,44.3896,42.7706,44.1465,4020800
2025-03-28,44.3118,44.798,42.9894,43.2811,4134900
2025-03-31,42.7365,43.9812,42.3281,43.8159,4922600
2025-04-01,44.0298,44.3702,43.0769,44.3604,4611700
2025-04-02,43.8548,45.819,43.8062,45.7607,3665500
2025-04-03,42.9796,43.3686,41.4044,41.5308,6127500
2025-04-04,39.7319,41.0738,38.1371,39.9263,5923500
2025-04-07,37.3787,40.3639,36.7175,38.3219,7017400
2025-04-08,39.5957,39.761,36.4452,37.1356,5064700
2025-04-09,36.805,41.7642,35.9882,41.5016,6367100
2025-04-10,40.1014,40.3056,38.1274,39.1581,4721100
2025-04-11,38.1177,39.8972,37.3495,39.6735,4376600
2025-04-14,40.7723,40.7918,39.6832,40.2958,2737700
2025-04-15,40.2667,40.9668,39.8194,39.975,3062300
2025-04-16,39.9847,40.1986,39.2029,39.6443,2943600
2025-04-17,39.7416,40.6167,39.6541,40.2083,3693700
2025-04-21,39.9652,40.2083,39.2359,39.6541,2546100
2025-04-22,39.8972,40.8696,39.4499,40.3931,2979900
2025-04-23,40.7966,42.3379,40.432,40.7626,4555900
2025-04-24,40.1403,41.5113,40.1014,41.278,4821400
2025-04-25,41.4238,41.4627,40.6654,41.064,2089400
2025-04-28,41.2196,42.192,40.9182,41.3752,3121000
2025-04-29,41.2293,41.6377,40.782,41.1807,2403500
2025-04-30,40.0916,41.0543,39.4499,40.8598,4614400
2025-05-01,40.2958,41.0154,39.2943,39.3526,2989200
2025-05-02,40.0819,40.6265,39.6054,40.1403,2310300
2025-05-05,39.2457,39.5568,37.8892,38.5261,2784500
2025-05-06,37.9718,38.6233,37.8454,38.4678,3262400
2025-05-07,38.9151,39.2748,38.6476,38.8956,3318300
2025-05-08,39.9312,40.8112,39.4596,40.5487,4211200
2025-05-09,40.6167,40.7918,40.0625,40.7432,3304400
2025-05-12,43.9229,45.5079,42.8532,43.7576,5216200
2025-05-13,44.2924,45.0508,43.9326,44.7105,4318800
2025-05-14,44.6716,45.4913,43.8013,45.3231,5151500
2025-05-15,45.1578,45.8288,44.9342,45.3426,4180900
2025-05-16,45.1571,45.903,45.0295,45.7754,3141900
2025-05-19,45.2945,45.7361,44.9313,45.53,2472300
2025-05-20,45.3632,45.5398,44.9019,45.0884,2059700
2025-05-21,44.7252,44.8528,43.6456,43.6652,2433600
2025-05-22,43.3217,43.9793,43.0371,43.6554,2723300
2025-05-23,42.8801,43.5082,42.7917,42.9291,2015700
2025-05-27,43.9499,43.9499,43.3119,43.5671,3327900
2025-05-28,43.3414,43.3806,42.6641,42.7034,3040500
2025-05-29,43.6358,43.6358,42.6249,43.096,2226000
2025-05-30,42.458,42.5856,41.8495,42.5267,5468200
2025-06-02,42.5267,42.5366,41.2214,41.8299,3091400
2025-06-03,41.4079,42.2519,41.1036,42.0164,2934500
2025-06-04,42.0998,42.3206,41.8005,41.8005,2804200
2025-06-05,41.9379,42.7132,41.5649,42.2716,2197100
2025-06-06,42.9095,42.9439,42.1842,42.5169,1561900
2025-06-09,42.9586,43.3806,42.6543,43.1745,2644300
2025-06-10,43.2726,43.3659,42.7672,42.9978,2011700
2025-06-11,42.7525,43.0371,42.3128,42.5856,1940000
2025-06-12,42.1538,42.4973,41.8986,42.2029,2557800
2025-06-13,41.3686,42.1636,40.976,41.2018,3757200
2025-06-16,42.4875,42.9978,42.1145,42.4482,3855700
2025-06-17,42.0851,42.7721,41.8692,41.9967,3126000
2025-06-18,41.9575,42.0262,41.5011,41.6042,3237600
2025-06-20,42.4384,42.4777,41.5453,41.5649,11210100
2025-06-23,40.9858,41.7072,40.5736,41.6336,3735600
2025-06-24,42.6249,42.8506,42.0556,42.6936,2362800
2025-06-25,42.2617,42.6151,40.8779,41.6925,8211200
2025-06-26,42.1734,42.2078,41.4373,41.8888,4796000
2025-06-27,42.1342,42.6494,41.9477,42.2617,7720500
2025-06-30,41.9526,42.409,41.6581,42.3501,3377000
2025-07-01,43.8321,45.2945,43.2776,45.0,2872800
2025-07-02,45.0589,46.3544,45.0197,46.3054,4858800
2025-07-03,46.4231,47.2034,46.2563,47.1396,3591500
2025-07-07,46.2906,46.7372,45.6576,45.9717,6041700
2025-07-08,46.1483,46.7765,45.795,46.2465,3021100
2025-07-09,46.2661,46.5802,46.0109,46.3643,2378500
2025-07-10,46.6587,47.3457,45.9815,47.1298,3103800
2025-07-11,45.8637,46.4182,45.8637,46.325,1852600
2025-07-14,45.8932,46.0993,45.5202,45.53,1509900
2025-07-15,45.7754,45.8146,44.4946,44.5584,2492100
2025-07-16,44.6565,45.1767,44.2737,45.0196,2491900
2025-07-17,44.1854,45.3533,44.0774,45.2258,2920600
2025-07-18,44.9509,45.1472,43.7732,44.0284,2982500
2025-07-21,44.4504,45.0098,44.313,44.5976,2404700
2025-07-22,44.0774,45.4908,43.7143,45.3828,4732900
2025-07-23,45.9128,47.2279,45.8931,46.9237,3384400
2025-07-24,46.7372,47.4439,46.6145,47.1396,3085400
2025-07-25,47.964,47.9935,46.7568,47.9444,3098000
2025-07-28,47.9051,48.1063,47.2868,47.6303,3006400
2025-07-29,47.7727,47.8953,47.0218,47.3065,3021400
2025-07-30,44.7743,47.4046,44.7743,46.482,7226500
2025-07-31,44.7154,45.952,43.4797,43.5573,7855600
2025-08-01,43.6652,43.9155,42.8801,43.5278,4016500
2025-08-04,43.7143,43.8468,43.0224,43.2432,2472500
2025-08-05,43.3315,43.518,42.8212,43.3512,3325000
2025-08-06,42.9488,43.0273,41.8103,41.8397,4820100
2025-08-07,42.7623,43.1058,42.3108,42.988,3364000
2025-08-08,43.0764,43.1941,42.4531,42.8212,2797300
2025-08-11,42.8899,43.0665,42.2323,42.6151,2339200
2025-08-12,42.5513,43.5465,42.355,43.4493,6080600
2025-08-13,43.4788,44.3179,43.1843,44.2836,2389700
2025-08-14,43.94,43.9891,42.8114,42.9095,2929500
2025-08-15,42.9204,42.9601,41.9688,42.3158,4460600
2025-08-18,42.2464,42.6032,42.0977,42.5437,4230200
2025-08-19,42.6627,43.4061,42.514,42.7915,4854600
2025-08-20,42.633,42.6974,41.5723,41.5822,7698800
2025-08-21,42.0481,43.535,41.8796,43.307,5988400
2025-08-22,43.416,45.5274,43.3962,45.2994,4850900
2025-08-25,45.1408,45.5373,44.9524,45.5274,2931100
2025-08-26,44.3627,46.0081,44.3627,45.8941,4953700
2025-08-27,45.4084,45.5621,44.8731,45.2597,4069300
2025-08-28,45.7553,46.023,45.0912,45.9833,3503600
2025-08-29,45.9635,47.0539,45.8842,46.9448,4320700
2025-09-02,45.6562,46.7565,45.6314,46.697,3312300
2025-09-03,47.381,47.381,46.3015,46.5384,4490500
2025-09-04,46.3104,46.5136,45.0218,45.7653,3809800
2025-09-05,45.9239,46.8507,45.7851,46.4988,2339700
2025-09-08,46.9448,47.1232,45.0912,46.2807,3329000
2025-09-09,46.0626,46.3203,44.4618,44.9624,3359200
2025-09-10,44.8632,45.2696,44.4965,44.8731,3530600
2025-09-11,44.6253,45.4332,44.5361,45.2399,2898500
2025-09-12,44.6352,44.9524,43.8323,43.8819,3339100
2025-09-15,45.4481,45.4481,44.0157,44.0802,3906000
2025-09-16,43.8323,44.1396,43.193,43.8918,3386100
2025-09-17,43.9612,44.8731,43.5449,43.6539,3334200
2025-09-18,43.9909,44.1793,43.3566,43.7828,3417000
2025-09-19,43.9265,44.0108,42.8213,43.4359,19817700
2025-09-22,43.188,43.3962,42.8411,43.0988,4016800
2025-09-23,43.6242,44.0802,43.188,43.4259,3275800
2025-09-24,43.2872,44.0207,42.6181,42.8708,2766700
2025-09-25,42.1274,42.623,41.7706,41.9094,4076300
2025-09-26,41.9391,42.2365,41.3493,41.7607,2856800
2025-09-29,41.9391,41.9787,41.5327,41.84,2484900
2025-09-30,41.7607,42.2712,41.3245,42.1968,3740500
2025-10-01,42.5041,43.1484,42.2712,42.286,3894100
2025-10-02,42.2563,42.3851,41.4088,41.5129,4133900
2025-10-03,41.6021,42.2067,41.2056,41.612,5151700
2025-10-06,40.6307,41.6318,39.6791,39.9566,6926900
2025-10-07,40.6703,41.1461,40.2143,40.819,6114100
2025-10-08,41.275,43.1385,41.275,42.9204,6476100
2025-10-09,42.9006,43.077,42.1225,42.514,7498700
2025-10-10,42.405,43.0096,40.0657,40.0954,5207500
2025-10-13,40.9082,41.3344,40.5712,41.1659,3731500
2025-10-14,40.7992,42.4347,40.7645,41.8598,3901800
2025-10-15,42.0878,42.0878,40.8785,41.3939,3155000
2025-10-16,41.6318,41.6417,40.8289,40.9578,3430300
2025-10-17,40.8983,41.6794,40.8884,41.0371,4264700
2025-10-20,41.3741,41.949,41.3344,41.8598,3270800
2025-10-21,41.8895,42.4298,41.5624,42.1373,4288200
2025-10-22,42.0779,42.8907,42.0679,42.286,2678200
2025-10-23,42.1373,42.8609,41.9986,42.6429,3026200
2025-10-24,43.1583,43.1583,42.5041,42.6924,2200000
2025-10-27,42.742,43.188,42.4843,43.0195,2431200
2025-10-28,42.9006,42.9006,42.286,42.7123,3127300
2025-10-29,41.0965,41.1957,37.3794,37.5083,19642900
2025-10-30,37.092,37.2486,35.5555,35.7241,10299900
2025-10-31,35.3672,36.745,34.9013,36.5963,7649400
2025-11-03,36.3783,36.7698,35.6448,36.2494,7809600
2025-11-04,35.615,36.636,35.6051,35.9917,6910900
2025-11-05,36.1205,36.2791,35.169,35.734,5812500
2025-11-06,35.5159,35.7191,34.9212,35.4069,4795100
2025-11-07,34.8419,35.506,34.6932,35.4961,4821500
2025-11-10,35.7141,35.7439,34.822,35.1888,4847500
2025-11-11,35.6943,36.1503,35.3623,35.5258,7860800
2025-11-12,35.6051,36.0313,35.0599,35.0698,4473900
2025-11-13,35.1838,35.4663,34.5941,34.7725,4891800
2025-11-14,34.1083,34.2372,33.4145,33.9894,4507100
2025-11-17,33.9101,34.0588,33.3798,33.6226,4563900
