date,open,high,low,close,volume
2025-03-14,76.9587,77.6266,76.2144,77.264,1146900
2025-03-17,77.2926,78.161,77.0827,77.8175,1068700
2025-03-18,77.4072,78.2373,76.9873,77.598,1137400
2025-03-19,77.369,78.6572,76.6819,78.3996,1421500
2025-03-20,77.6075,78.0369,76.5483,76.8346,1963200
2025-03-21,76.1476,76.4434,75.2792,75.9185,2491100
2025-03-24,76.8728,78.4377,76.8442,78.2469,1406300
2025-03-25,77.2926,77.827,76.0521,76.7869,1702600
2025-03-26,75.6418,76.7487,73.8097,74.8498,1686300
2025-03-27,74.7926,75.4414,73.7525,74.1532,1654200
2025-03-28,74.7353,75.0502,72.7601,72.9318,1789000
2025-03-31,72.1493,73.9433,70.9088,73.3612,1776900
2025-04-01,73.2849,73.304,71.9967,72.6551,1846800
2025-04-02,71.6627,73.6093,71.5673,73.4566,2070600
2025-04-03,67.9412,68.0366,61.691,61.7005,6033700
2025-04-04,60.1165,60.6509,55.1259,60.002,7517600
2025-04-07,57.9599,61.0516,55.6316,56.5572,6433100
2025-04-08,58.7806,58.7806,52.3777,53.3033,7095900
2025-04-09,52.1773,61.6051,51.4425,61.2807,7941900
2025-04-10,58.8855,58.9046,53.3224,55.9942,5025800
2025-04-11,55.7652,56.6717,53.7995,56.3091,3765500
2025-04-14,58.0077,58.0077,56.2232,57.3492,2876900
2025-04-15,56.9103,58.0458,56.1374,56.166,2268700
2025-04-16,55.5457,56.395,53.7709,54.2098,2177000
2025-04-17,54.1526,55.5171,54.1335,54.5915,2922600
2025-04-21,53.5609,54.5438,52.8453,53.79,2921200
2025-04-22,54.5438,56.4236,54.5438,55.708,2302900
2025-04-23,57.9122,60.8322,56.4236,56.4332,3335100
2025-04-24,57.1679,59.1718,56.4332,59.0859,1949400
2025-04-25,58.7901,59.5153,58.3703,58.7615,1995000
2025-04-28,58.7997,60.4505,58.3321,58.4752,2504400
2025-04-29,58.208,59.1241,57.8168,58.4561,3119200
2025-04-30,58.4752,59.4199,55.7557,57.2729,7190800
2025-05-01,57.5592,57.9122,55.8511,56.2423,4396400
2025-05-02,57.4733,59.8589,57.2061,58.5802,3739200
2025-05-05,58.4943,58.4943,57.1775,57.3302,2482100
2025-05-06,56.3664,57.0248,55.9942,56.2805,2093200
2025-05-07,56.4809,57.4351,55.5648,56.2328,3348600
2025-05-08,57.3015,60.1738,56.8149,59.0191,3985100
2025-05-09,59.4676,60.5173,59.3531,59.8016,2867100
2025-05-12,67.2732,69.8783,67.2732,69.2103,7055300
2025-05-13,70.4222,71.2524,69.1817,70.4413,3642200
2025-05-14,69.8115,70.7753,68.0557,68.571,2735700
2025-05-15,68.0175,68.1988,66.9965,67.4641,2120600
