date,open,high,low,close,volume
2025-03-14,361.2392,368.3534,359.2872,366.1438,1797900
2025-03-17,364.7171,373.2383,364.6279,370.0676,1236000
2025-03-18,370.5729,373.268,369.3542,372.4654,1774900
2025-03-19,373.4265,377.3998,371.1773,374.5858,1554900
2025-03-20,374.0408,374.7939,369.8991,370.7909,1509100
2025-03-21,367.9273,371.3557,363.1317,367.7094,2372300
2025-03-24,370.1072,373.7733,369.2551,370.8404,1124300
2025-03-25,372.2969,375.5667,366.8275,369.4532,865000
2025-03-26,368.0264,369.1956,356.6913,364.4,1657600
2025-03-27,364.2414,366.6095,362.1409,364.1721,1138800
2025-03-28,362.1607,365.1332,359.9511,361.1599,1274300
2025-03-31,359.0446,371.6275,358.5481,369.6909,1924300
2025-04-01,366.7513,371.4686,364.0897,370.7337,1180900
2025-04-02,367.0293,375.7489,364.1691,374.8651,1801700
2025-04-03,365.4403,371.985,359.1042,365.6191,3306100
2025-04-04,358.5977,359.5809,342.4395,343.4227,3956700
2025-04-07,332.9453,355.1317,326.8971,342.9659,4198700
2025-04-08,353.0262,355.0125,330.0354,335.0507,2053000
2025-04-09,332.697,361.8949,327.7314,360.4747,3128700
2025-04-10,355.8666,356.9888,335.1301,345.9949,2669000
2025-04-11,348.736,350.6726,339.3906,347.8719,1767200
2025-04-14,352.3112,355.5389,346.7398,350.9904,1317900
2025-04-15,352.4105,352.9468,343.6114,344.4159,1670400
2025-04-16,345.846,350.1561,341.218,344.2868,1302900
2025-04-17,343.7902,348.6267,340.8307,344.1179,1349900
2025-04-21,342.3402,343.2638,332.8161,337.2554,1312500
2025-04-22,339.768,347.0476,339.1622,345.7268,1506800
2025-04-23,352.6687,365.8376,352.6588,354.655,1521400
2025-04-24,356.1844,358.846,352.0332,358.5679,1349800
2025-04-25,358.121,363.7222,356.9094,362.5503,1462600
2025-04-28,364.4671,366.4136,361.4082,363.9705,1223300
2025-04-29,364.4572,369.7605,363.2952,368.3701,1108300
2025-04-30,367.4564,372.5809,364.04,371.3494,2251700
