date,open,high,low,close,volume
2025-03-14,70.4858,71.3808,70.0773,71.2738,2075800
2025-03-17,71.3516,72.9858,71.0987,72.694,2206500
2025-03-18,72.4508,73.0442,72.2173,72.3341,1950600
2025-03-19,71.7601,72.3146,69.2991,70.4177,5902600
2025-03-20,70.2816,70.3594,68.9586,69.2504,5122400
2025-03-21,69.0267,69.3574,68.3361,69.1726,4898000
2025-03-24,69.338,69.8827,69.2213,69.4839,2659100
2025-03-25,68.9975,69.3185,68.0929,68.4722,3403200
2025-03-26,69.1143,70.8166,68.8711,70.7679,3190800
2025-03-27,71.1668,72.1103,70.7679,72.0228,2689200
2025-03-28,72.2757,72.3244,71.6045,72.0812,2140500
2025-03-31,72.3049,73.2582,72.2854,72.9956,3351700
2025-04-01,73.1609,73.5111,72.5773,73.3652,2482400
2025-04-02,73.4527,73.8127,72.7718,73.2485,3069600
2025-04-03,73.4138,74.1629,72.8983,73.3555,5029600
2025-04-04,73.1204,73.1988,69.7905,69.9668,5117200
2025-04-07,68.9287,69.6534,67.2343,68.0276,4539300
2025-04-08,69.6436,69.6436,65.9905,66.5978,4452500
2025-04-09,66.2354,69.8689,65.7359,69.6045,5273300
2025-04-10,69.105,69.4086,66.8426,68.2431,4374900
2025-04-11,68.488,69.5751,67.822,68.9777,2453200
2025-04-14,69.291,70.5055,68.9189,70.3586,2469600
2025-04-15,70.0452,70.8091,69.7416,69.8101,2322700
2025-04-16,70.2117,70.4271,68.9385,69.2323,2478900
2025-04-17,69.4184,71.0147,69.4184,70.2606,2762500
2025-04-21,70.2508,70.3292,69.3302,69.9668,2198400
2025-04-22,70.4859,72.0039,70.4173,71.7787,3340300
2025-04-23,71.9843,72.7776,70.7895,71.3869,4577700
2025-04-24,70.956,71.622,70.574,71.0441,2649200
2025-04-25,70.4663,70.9462,68.9874,69.4673,3720500
2025-04-28,69.3694,70.0158,68.5663,68.9678,5022700
2025-04-29,66.9503,69.7318,66.5978,68.7916,5940200
2025-04-30,69.1637,70.0746,68.1746,69.9276,4730600
2025-05-01,69.3792,69.5751,68.6153,68.7034,2919900
2025-05-02,69.4086,69.9374,68.8112,69.291,2512100
2025-05-05,69.2812,69.4869,68.6446,69.1735,2542900
2025-05-06,68.7916,69.0952,68.3019,68.5663,2801900
2025-05-07,68.488,69.5163,68.488,69.056,2462500
2025-05-08,69.1833,71.1029,69.105,70.1235,3097800
2025-05-09,70.1039,70.2704,69.2421,69.291,2401000
2025-05-12,69.6828,70.4957,69.1931,70.4467,3377700
2025-05-13,70.4663,70.5349,69.3204,69.34,3162700
2025-05-14,69.3204,70.0452,68.8993,69.6632,3425600
2025-05-15,69.4184,70.858,69.4184,70.858,2603700
2025-05-16,70.9658,71.2694,70.5936,70.9462,3218800
2025-05-19,70.6916,71.4946,70.4957,71.4946,2024100
2025-05-20,71.5436,72.5132,71.2596,72.1998,2625500
2025-05-21,71.7101,72.1117,70.6818,70.7405,2543500
2025-05-22,70.672,70.8776,69.9081,70.4957,2772200
2025-05-23,69.5359,70.2606,69.5359,69.9962,2628400
2025-05-27,70.5153,71.0441,70.241,70.7895,2943300
2025-05-28,70.7307,71.5534,69.9668,70.0354,2003600
2025-05-29,70.0158,70.7014,69.8395,70.5838,2588900
2025-05-30,70.5153,72.2684,70.1921,71.4946,5362900
2025-06-02,71.1323,71.7003,70.8678,71.5534,2811800
2025-06-03,71.2694,72.1704,71.2008,72.1117,2655100
2025-06-04,72.0921,72.1998,71.3771,71.3967,2198700
2025-06-05,71.1127,72.3761,70.8483,72.2488,3009300
2025-06-06,72.8266,73.6982,72.5916,72.9637,2722700
2025-06-09,73.0127,74.1488,72.8952,73.6787,3375000
2025-06-10,73.757,74.5111,73.6885,73.9529,2461200
2025-06-11,73.7276,74.041,72.9343,73.1988,2136600
2025-06-12,72.9735,73.9137,72.6699,73.8354,2420500
2025-06-13,73.5318,73.9333,72.4936,72.758,2255200
2025-06-16,73.2379,73.8452,72.6111,73.2086,2924100
2025-06-17,72.9735,73.2575,72.5818,72.7189,2351100
2025-06-18,72.7972,73.2379,72.3859,72.4446,2826200
2025-06-20,72.6209,73.5318,72.474,73.14,4904800
2025-06-23,73.3359,74.4328,73.14,74.3446,2632200
2025-06-24,74.6091,74.8049,73.9627,74.3055,2309100
2025-06-25,74.0508,74.4132,73.3946,73.5024,2601000
2025-06-26,73.5122,73.7962,72.7385,72.9931,2265400
2025-06-27,73.0714,73.6884,72.9637,73.4632,3546200
2025-06-30,73.6689,74.374,73.4828,74.1781,4262500
2025-07-01,74.4034,76.0977,73.7472,75.7647,3167100
2025-07-02,75.7549,76.1761,75.2065,76.0781,2768800
2025-07-03,75.8414,76.2261,75.2398,76.1176,1878000
2025-07-07,75.9598,76.2655,75.1807,75.6541,2760200
2025-07-08,75.9006,76.0979,75.3582,75.4765,2118700
2025-07-09,75.3976,75.4963,74.8651,75.2793,1672700
2025-07-10,75.1412,77.0841,75.0327,76.3937,2435200
2025-07-11,76.305,76.6502,75.299,75.7823,3049100
2025-07-14,75.7132,76.6797,75.5752,76.6304,2550900
2025-07-15,76.5121,77.1235,75.2694,75.3187,2713200
2025-07-16,75.733,76.4332,75.2497,76.2359,2844700
2025-07-17,76.2655,76.9855,75.516,76.8375,3322900
2025-07-18,76.9658,77.7252,76.8967,77.3307,2333200
2025-07-21,77.4194,78.1196,77.2912,77.6364,2305900
2025-07-22,77.8139,79.1256,77.8139,79.096,2428000
2025-07-23,79.244,80.319,79.096,79.6483,2633900
2025-07-24,79.8949,79.8949,78.7607,78.7607,2707700
2025-07-25,78.8297,79.53,78.6423,79.1946,2951700
2025-07-28,78.9284,79.816,78.7706,79.2439,4450700
2025-07-29,77.0841,78.7508,74.7467,77.3011,7259800
2025-07-30,77.6956,79.6384,77.6463,79.0073,4225300
2025-07-31,78.3662,79.165,77.7153,78.5043,3101200
2025-08-01,78.6818,78.879,77.7745,78.7804,2101300
2025-08-04,78.7508,79.3229,78.1492,78.3761,2092900
2025-08-05,78.1591,78.8495,78.0013,78.1591,3928100
2025-08-06,78.307,80.3584,78.1591,80.3485,5291100
2025-08-07,80.6345,81.029,78.4451,79.2637,4288800
2025-08-08,79.3524,79.9047,78.6621,79.5398,3584600
2025-08-11,79.668,79.6779,78.1887,78.7706,3374000
2025-08-12,78.9382,79.7864,78.81,79.6384,2512900
2025-08-13,79.6582,81.5024,79.1256,81.0586,3916400
2025-08-14,80.7825,80.96,79.6976,80.0822,2315400
2025-08-15,80.2401,80.2401,78.3662,78.4254,3937800
2025-08-18,78.4451,78.8199,77.518,78.1295,2489100
2025-08-19,78.3761,79.165,78.1492,78.3958,2232500
2025-08-20,78.7607,79.9047,78.6029,79.8653,2720000
2025-08-21,79.4412,79.5694,78.3859,78.6226,2048100
2025-08-22,78.7114,79.3327,78.1196,79.1848,2428600
2025-08-25,78.8988,79.1059,77.9914,78.238,2370000
2025-08-26,78.1098,78.6128,78.1098,78.5339,3970500
2025-08-27,78.81,79.5497,78.7015,79.1946,3134200
2025-08-28,79.1946,79.3623,78.021,78.4944,1527000
2025-08-29,78.6719,79.5004,78.6621,79.3623,2139600
2025-09-02,79.2341,80.0822,79.2242,79.4412,1917900
2025-09-03,78.9875,81.2657,78.7311,79.9245,3985400
2025-09-04,80.4077,81.4235,79.885,81.3742,3068600
2025-09-05,81.2953,82.0251,80.4373,81.315,2675000
2025-09-08,80.9501,81.0685,79.2242,80.4274,3043600
2025-09-09,80.0822,80.3485,79.096,79.7371,1451500
2025-09-10,79.2045,79.6286,78.6818,79.0862,2135800
2025-09-11,79.1749,80.2203,78.8692,79.9245,2403100
2025-09-12,80.0132,80.4767,79.1749,80.171,2415700
2025-09-15,80.0231,80.1118,78.7607,78.7706,2104000
2025-09-16,78.8297,80.5261,78.7706,80.4077,4449200
2025-09-17,80.674,81.7095,80.3387,81.3249,3524900
2025-09-18,80.7923,81.2066,79.8357,80.8022,3594900
2025-09-19,81.0586,82.0942,80.8417,81.2559,7527000
2025-09-22,81.1178,81.3742,80.102,80.2499,2391800
2025-09-23,80.3189,81.1474,80.0921,81.0882,2670200
2025-09-24,80.9994,81.4334,80.5261,80.6937,2330100
2025-09-25,81.0192,81.0783,79.2933,80.0034,3910600
2025-09-26,80.1118,80.9501,79.9047,80.8121,3008500
2025-09-29,80.8219,81.0981,79.2341,80.7134,2278700
2025-09-30,80.4472,81.3446,80.2795,81.2066,2863200
2025-10-01,80.8712,81.8476,80.7923,81.68,2952200
2025-10-02,81.2164,82.321,81.2164,82.1238,2700000
2025-10-03,82.1138,82.5208,81.5282,81.548,2227400
2025-10-06,81.2403,81.3693,80.1285,80.2377,2204300
2025-10-07,80.327,80.4859,78.6693,79.3641,3385100
2025-10-08,79.3542,79.384,77.2994,78.1829,3169300
2025-10-09,78.431,78.6494,77.4086,77.4681,2433500
