date,open,high,low,close,volume
2025-03-14,24.7175,25.5318,24.6696,25.4647,37591300
2025-03-17,25.4551,25.8,25.1486,25.7042,45570000
2025-03-18,25.6755,25.8479,25.4456,25.4935,30365600
2025-03-19,25.5318,25.8096,25.3402,25.7138,30145700
2025-03-20,25.7713,25.8,25.5605,25.6659,27272300
2025-03-21,25.6851,26.0683,25.5222,25.8863,91268600
2025-03-24,25.733,26.0779,25.7138,25.8288,26863300
2025-03-25,25.8384,26.4036,25.8384,26.1641,42339700
2025-03-26,26.2599,26.6719,26.212,26.4898,42589400
2025-03-27,26.6048,27.2275,26.4802,27.0168,43000100
2025-03-28,27.1605,27.3137,26.8826,26.9976,35085300
2025-03-31,27.0742,27.3616,27.0263,27.0934,50156500
2025-04-01,27.2084,27.4095,27.0359,27.285,43986400
2025-04-02,27.2179,27.3904,26.8347,26.9593,41574800
2025-04-03,27.3425,27.8119,27.2563,27.4,48912300
2025-04-04,26.8251,27.2371,25.4168,25.5222,61361000
2025-04-07,24.1235,26.0875,24.0468,25.7042,74875400
2025-04-08,25.8863,26.0491,24.9378,25.2827,55717100
2025-04-09,24.9953,25.733,24.1426,25.3593,77738700
2025-04-10,25.4058,25.9093,25.0766,25.551,51467900
2025-04-11,25.735,26.0448,25.522,25.9383,32057600
2025-04-14,25.7834,26.4805,25.735,26.3353,27042800
2025-04-15,26.6258,26.7516,26.3934,26.6258,25721300
2025-04-16,26.8581,26.8969,26.0836,26.161,27835900
2025-04-17,26.3159,26.6161,26.1513,26.2869,24870300
2025-04-21,26.2966,26.4128,25.3284,25.493,46226000
2025-04-22,25.1734,26.4902,25.1541,26.1029,50906800
2025-04-23,25.6963,26.4515,25.2896,26.3256,43351000
2025-04-24,26.3063,26.9453,26.2772,26.6548,43640800
2025-04-25,26.587,26.6451,25.7834,25.9577,37050300
2025-04-28,26.0448,26.4031,25.948,26.3934,24156000
2025-04-29,26.2385,26.5677,26.1901,26.4321,25015800
2025-04-30,26.7226,27.0034,26.4515,26.8194,38877100
2025-05-01,26.6258,26.8969,26.4031,26.7613,37367600
2025-05-02,26.7226,26.8969,26.4902,26.7323,22928400
2025-05-05,26.6839,26.8097,26.2966,26.6354,21335300
2025-05-06,26.6645,27.3422,26.6258,27.2648,32491700
2025-05-07,27.1486,27.4972,27.0615,27.2067,28352900
