date,open,high,low,close,volume
2025-03-14,56.5313,57.6179,56.5313,57.3295,1666700
2025-03-17,57.5218,58.0122,56.8198,57.0891,2242300
2025-03-18,56.9737,57.2141,56.5121,56.6756,1921900
2025-03-19,56.4833,56.4833,55.5025,56.0506,2245800
2025-03-20,56.0121,57.3968,56.0121,56.7237,3165400
2025-03-21,56.8775,57.7333,56.1852,56.6275,8355700
2025-03-24,57.1083,57.1852,56.214,56.9929,1929700
2025-03-25,56.9256,57.0506,56.0794,56.5025,1295300
2025-03-26,56.6564,58.3872,56.5698,58.2333,1969700
2025-03-27,58.3199,58.6949,58.0122,58.618,1548200
2025-03-28,58.7814,58.9738,57.9353,58.2045,1594300
2025-03-31,57.993,59.3103,57.993,58.5314,1984300
2025-04-01,58.7334,59.0026,57.8391,58.8872,1794600
2025-04-02,59.5796,59.8488,58.4641,59.5699,1622300
2025-04-03,59.5411,61.0604,59.0892,60.0603,4413200
2025-04-04,59.4738,60.6565,58.5987,58.8007,3780100
2025-04-07,57.291,59.7719,56.8871,58.041,3220900
2025-04-08,59.118,59.7526,55.6082,56.2621,3171600
2025-04-09,55.5505,59.243,55.5313,58.2526,3625700
2025-04-10,57.7814,58.8391,56.5025,57.6468,1876300
2025-04-11,57.4833,58.5891,56.5025,58.3584,2583000
2025-04-14,58.6949,59.0507,57.8968,58.3295,1563100
2025-04-15,58.4449,58.5699,56.8775,57.2237,3556300
2025-04-16,57.7237,58.5026,56.3679,56.4544,1893100
2025-04-17,57.0025,57.4064,56.4256,56.4929,1549300
2025-04-21,56.4448,56.4448,54.5409,55.7044,1915000
2025-04-22,56.1659,57.0794,55.9929,56.7333,1714700
2025-04-23,57.0314,57.2525,55.7044,56.4448,2052300
2025-04-24,56.1852,56.3967,55.7236,56.1082,1296400
2025-04-25,56.1083,56.1563,54.1466,54.6178,2273100
2025-04-28,54.7717,55.3005,54.2716,54.5216,1520000
2025-04-29,54.2043,54.8967,53.9158,54.8678,1734600
2025-04-30,55.1851,55.5121,54.2909,55.3198,2425500
2025-05-01,55.339,55.5986,54.7813,55.0505,1701300
2025-05-02,55.714,55.7813,55.1659,55.3486,1859800
2025-05-05,55.2524,55.5794,54.8005,55.2332,1785200
2025-05-06,54.839,55.0409,54.3197,54.714,2051200
2025-05-07,55.2524,55.2524,54.3582,54.6563,3406400
2025-05-08,50.3388,53.0023,49.1368,52.1754,6871000
2025-05-09,51.9254,53.3004,51.9254,52.5312,3314500
2025-05-12,53.0985,53.4928,52.1369,52.8389,4661300
2025-05-13,52.8389,53.4447,52.5889,53.06,3421500
2025-05-14,52.9062,53.5985,52.8196,53.3581,3284500
2025-05-15,53.5793,54.3678,53.3389,54.1082,3117000
2025-05-16,54.4063,54.6947,54.0409,54.6659,2228700
2025-05-19,54.4736,54.762,53.8197,54.4351,2668000
2025-05-20,54.3197,55.3582,54.2812,54.762,2616800
2025-05-21,54.4928,54.637,53.2812,53.5024,3272100
2025-05-22,53.3485,53.5504,52.1177,52.2235,3318800
2025-05-23,51.9542,52.4831,51.7042,51.935,2179200
2025-05-27,52.3581,52.3869,51.7811,52.1081,2520900
2025-05-28,51.8773,52.0985,50.8773,50.9253,2981400
2025-05-29,51.0215,51.7427,50.3388,51.6369,2623400
2025-05-30,51.6081,51.8004,51.1561,51.5311,3500600
2025-06-02,51.108,51.2811,50.2426,50.8388,2116000
2025-06-03,50.7042,50.9446,49.6849,50.7426,2401900
2025-06-04,50.7042,51.2234,50.3772,50.7426,1907600
2025-06-05,50.6753,50.6849,49.5791,49.8676,2937600
2025-06-06,50.5469,50.5469,49.9646,50.4595,1918900
2025-06-09,50.5469,50.7312,50.2072,50.5566,2395500
2025-06-10,50.5663,50.9835,50.2654,50.6633,1611500
2025-06-11,50.6924,50.7506,50.0131,50.2266,2004200
2025-06-12,50.0229,50.1975,49.6541,49.9937,1815600
2025-06-13,49.7026,49.9646,48.9069,49.0913,1993800
2025-06-16,49.4891,49.4891,47.8977,48.15,2836300
2025-06-17,47.8977,48.5673,47.8298,47.8783,2988500
2025-06-18,48.0142,48.3926,47.3058,47.364,3016300
2025-06-20,47.5193,47.5969,46.4131,46.6265,4635500
2025-06-23,46.481,46.9079,46.0055,46.6265,2881200
2025-06-24,46.7527,47.2961,46.5295,46.7915,2846700
2025-06-25,46.7042,46.7624,45.6562,45.8405,2772700
2025-06-26,46.0152,46.7236,45.792,45.8405,2633500
2025-06-27,45.5494,46.1705,45.5494,46.0346,3322400
2025-06-30,45.9085,46.8012,45.8988,46.6653,3795600
2025-07-01,46.7624,48.3635,46.5974,47.6163,3076600
2025-07-02,47.9171,48.3829,47.5775,48.0724,2909400
2025-07-03,48.1985,48.5188,47.8686,47.9754,1466400
2025-07-07,47.7425,48.0239,47.2282,47.5484,2422100
2025-07-08,47.2767,48.2471,47.0535,47.9171,2429400
2025-07-09,47.8977,48.3344,47.4805,48.0821,2234700
2025-07-10,47.6163,48.8875,47.529,48.3344,1972200
2025-07-11,47.8395,48.7031,47.5872,48.5188,1782000
2025-07-14,48.315,48.3635,47.4611,48.0045,1656500
2025-07-15,48.0045,48.1403,47.4708,47.5969,2043800
2025-07-16,47.5484,48.3344,47.4708,48.2082,1749900
2025-07-17,48.1694,48.9166,48.0918,48.8487,2108500
2025-07-18,49.1301,49.3339,48.4703,48.577,1903400
2025-07-21,48.7517,48.9748,48.3732,48.48,1918200
2025-07-22,48.5964,50.1102,48.5964,50.1102,2435100
2025-07-23,50.4013,50.6051,50.0908,50.5372,2622400
2025-07-24,50.3237,50.5177,49.3339,49.363,2377300
2025-07-25,49.5571,49.7511,49.266,49.6735,1976500
2025-07-28,49.1495,49.3824,48.1597,48.4411,1996400
2025-07-29,48.4994,49.1592,48.2762,49.1204,2118100
2025-07-30,49.0331,49.2466,47.6745,47.8589,2244000
2025-07-31,47.0438,47.8007,46.6071,47.2767,4733200
2025-08-01,47.8492,47.9268,46.6654,46.7818,3089500
2025-08-04,46.8497,47.6454,46.6848,47.17,3763000
2025-08-05,47.5872,49.5765,46.5295,47.7619,5773800
2025-08-06,47.7522,48.9069,47.2379,48.7225,3744800
2025-08-07,48.9651,48.9943,47.8686,48.0336,3500600
2025-08-08,48.3053,49.528,48.2762,49.1883,2560900
2025-08-11,49.1689,49.5668,48.2277,48.8196,3348100
2025-08-12,49.0525,50.1199,48.8584,49.528,2667500
2025-08-13,49.266,50.411,49.1592,50.1781,2565100
2025-08-14,49.8773,50.0908,49.0622,49.7123,1661000
2025-08-15,49.887,50.2072,49.6638,49.8967,1514100
2025-08-18,49.79,50.0811,49.4794,49.6056,2091900
2025-08-19,49.6347,50.6051,49.625,50.0229,1942700
2025-08-20,50.2363,50.5857,49.7317,49.7997,2510300
2025-08-21,49.4794,50.2946,49.1107,50.2072,2213800
2025-08-22,50.411,51.3717,50.2751,51.2455,1717400
2025-08-25,51.0223,51.2455,49.9161,50.0811,1440600
2025-08-26,49.7609,49.9064,48.7614,48.839,2653000
2025-08-27,48.7808,49.7706,48.7808,49.6153,2029800
2025-08-28,49.8676,49.8676,48.315,48.7323,2054200
2025-08-29,48.9069,49.4309,48.6546,48.9943,1714600
2025-09-02,48.0821,48.9069,47.9559,48.7614,2358200
2025-09-03,48.5964,48.7323,48.1597,48.3344,2477500
2025-09-04,48.4897,48.577,48.0336,48.4314,1866000
2025-09-05,48.4706,49.6265,48.4118,49.3621,1787900
2025-09-08,49.0682,49.1661,48.451,48.8625,1983400
2025-09-09,49.0192,49.2837,48.2943,48.4412,2060300
2025-09-10,48.2159,48.2453,47.54,48.0494,2613900
2025-09-11,48.3139,48.4118,47.8535,48.1278,1953700
2025-09-12,47.6673,47.7947,47.0796,47.4322,2467300
2025-09-15,47.4714,47.6086,46.6388,46.8445,2454000
2025-09-16,46.8543,47.158,46.0118,46.4624,2758800
2025-09-17,46.58,47.0208,45.8159,45.9041,2404000
2025-09-18,45.7963,46.2763,45.473,45.9432,2142100
2025-09-19,46.1882,46.2567,45.4045,45.62,5386100
2025-09-22,45.1596,45.3653,44.1604,44.1702,3558300
2025-09-23,44.4836,44.4836,43.0926,43.1906,3732100
2025-09-24,43.0044,44.5424,42.9065,44.3857,3645700
2025-09-25,44.5032,44.6796,43.3963,43.504,3217800
2025-09-26,43.7587,44.1702,43.5628,43.9155,2154400
2025-09-29,43.9743,44.9539,43.8077,44.8265,2587200
2025-09-30,44.3759,44.5424,43.6412,44.3269,2763400
2025-10-01,44.9539,45.2771,44.513,45.091,2804000
2025-10-02,44.8853,45.7473,44.8853,45.2379,2467900
2025-10-03,45.1694,45.5318,45.0616,45.4437,1684200
2025-10-06,45.3065,45.3457,44.709,44.7188,2297300
2025-10-07,45.0616,45.522,44.7873,45.2379,2171200
2025-10-08,45.2379,45.3457,44.6404,44.6698,2035900
2025-10-09,44.7873,45.1596,44.4151,45.0714,2343800
2025-10-10,45.3751,45.6298,44.7677,45.0322,2168700
2025-10-13,44.8657,45.4437,44.7383,45.091,2061100
2025-10-14,45.0518,45.8649,44.8755,45.7767,2144500
2025-10-15,45.6396,46.0902,44.6306,45.4241,2663300
2025-10-16,45.6004,46.2371,45.4632,46.0804,1840100
2025-10-17,46.2273,46.5506,45.7473,46.3645,1872600
2025-10-20,46.3743,46.3939,45.6298,45.6494,1610800
2025-10-21,45.5808,45.8061,45.2575,45.5906,2106700
2025-10-22,45.3457,46.2763,45.2281,45.6396,1452000
2025-10-23,45.5514,45.6102,44.4347,44.6894,1846400
2025-10-24,44.7677,45.0224,44.229,44.513,2429200
2025-10-27,44.5032,44.6894,44.2387,44.3465,2184900
2025-10-28,44.131,44.6404,43.9351,44.3073,1994000
2025-10-29,43.9155,44.0134,42.5832,42.6224,2637400
2025-10-30,42.6224,43.22,42.5342,42.7595,2416300
2025-10-31,42.4461,42.9849,42.064,42.8281,2191300
2025-11-03,42.6616,42.74,42.0934,42.3383,3383300
2025-11-04,42.3187,44.1604,42.064,42.7791,5524400
2025-11-05,42.5734,44.5914,42.5342,44.2583,4004600
2025-11-06,43.9155,44.9049,43.122,43.1906,4487900
2025-11-07,43.7196,45.4143,43.3963,45.3849,4323900
2025-11-10,45.4437,46.1196,45.3261,45.8845,2972500
2025-11-11,46.0706,46.7857,45.2771,46.1979,2889000
2025-11-12,46.58,46.8935,45.0028,45.0322,4112800
2025-11-13,45.0616,46.3351,44.8853,45.9237,4230400
2025-11-14,45.9922,46.2861,44.9147,45.4926,2776700
2025-11-17,45.3947,45.7473,44.6796,44.6894,3771200
2025-11-18,44.993,45.7571,44.5718,45.5024,2987600
2025-11-19,44.8363,45.3653,44.2681,44.3465,2982300
2025-11-20,44.2192,45.0518,44.1604,44.5424,2456200
2025-11-21,44.8461,45.6494,44.5914,45.1694,4134100
2025-11-24,44.9343,45.7473,44.4151,45.2869,18871200
2025-11-25,45.7277,46.3155,45.2771,45.4437,3789100
2025-11-26,45.3457,46.1392,45.2575,45.6592,2860000
2025-11-28,45.571,45.8747,45.4437,45.5612,1517300
2025-12-01,45.5024,46.3155,45.3555,45.953,3004800
2025-12-02,45.7277,45.8159,44.9245,45.5514,5180400
2025-12-03,45.3947,46.1686,45.2575,45.2967,4535000
2025-12-04,45.1596,45.6886,44.4934,44.6404,2897100
2025-12-05,44.5414,45.1551,44.5018,44.6701,2882800
2025-12-08,44.7394,46.3132,44.4226,46.1449,4842800
2025-12-09,46.0459,46.3033,44.5414,44.7592,2752100
2025-12-10,45.1452,46.4121,44.8185,46.3725,4315800
2025-12-11,46.5408,47.1842,46.5012,46.5804,2403600
2025-12-12,46.7685,47.2139,46.6893,47.1149,2274600
2025-12-15,47.1248,47.3228,44.6602,47.1842,3660100
2025-12-16,47.2733,48.1938,47.0852,47.3228,2887200
2025-12-17,47.3129,48.0255,47.2634,47.5702,2190800
2025-12-18,47.3921,47.8573,47.1149,47.204,2472100
2025-12-19,47.5603,47.8474,47.1545,47.1941,4967700
2025-12-22,47.0357,47.0357,45.6599,46.0756,3596500
2025-12-23,46.4022,46.4022,45.2343,45.5609,2462500
2025-12-24,45.5411,45.9568,45.4025,45.8578,1097400
2025-12-26,45.848,45.9964,45.5312,45.9469,2043600
2025-12-29,45.6203,46.2439,45.4421,46.135,2579800
2025-12-30,46.0855,46.4022,45.8776,46.3231,2282000
