date,open,high,low,close,volume
2025-03-14,484.53,492.36,483.57,491.45,168100
2025-03-17,491.23,500.92,487.58,497.3,184800
2025-03-18,497.69,500.62,494.86,498.52,200300
2025-03-19,499.12,508.71,499.04,500.72,338500
2025-03-20,494.47,501.37,494.47,499.29,190600
2025-03-21,497.0,503.02,495.0,501.82,653600
2025-03-24,506.51,508.13,498.94,507.7,290700
2025-03-25,507.63,513.59,505.16,512.25,220600
2025-03-26,513.46,514.75,508.06,509.0,246300
2025-03-27,507.73,510.56,501.3,506.91,251200
2025-03-28,505.61,510.75,493.9,495.52,200500
2025-03-31,492.74,499.48,490.1,497.71,271500
2025-04-01,494.82,501.35,492.75,498.33,312600
2025-04-02,490.07,502.6,490.07,499.68,207500
2025-04-03,496.09,496.09,469.12,471.6,310400
2025-04-04,461.47,463.0,435.91,436.57,433300
2025-04-07,426.2,445.9,419.0,437.9,509000
2025-04-08,445.03,457.61,428.89,435.54,349000
2025-04-09,431.29,470.86,431.29,468.69,416200
2025-04-10,460.19,464.14,443.41,458.93,346500
2025-04-11,459.93,466.89,449.24,464.8,247200
2025-04-14,470.0,472.53,464.35,466.81,393400
2025-04-15,466.39,474.54,466.33,468.62,212700
2025-04-16,464.27,466.94,457.15,460.89,230600
2025-04-17,462.63,465.71,457.81,462.19,224100
2025-04-21,459.81,461.94,447.45,453.35,327500
2025-04-22,456.27,462.85,456.27,461.1,346900
2025-04-23,446.63,462.78,438.86,448.52,635400
2025-04-24,445.15,459.46,440.57,459.13,424800
2025-04-25,457.87,468.14,453.89,458.6,314500
2025-04-28,461.52,464.49,457.41,463.04,242100
2025-04-29,461.88,465.46,456.22,462.62,267000
2025-04-30,461.48,466.81,456.59,466.03,268800
2025-05-01,468.79,471.15,462.77,466.26,273100
2025-05-02,473.78,480.88,465.91,478.83,369500
2025-05-05,476.41,480.97,474.83,478.7,316700
2025-05-06,474.42,481.14,471.96,476.23,450600
2025-05-07,478.05,483.61,478.05,481.67,206000
2025-05-08,486.09,488.82,480.92,481.95,331700
2025-05-09,484.45,486.09,480.61,484.96,269200
2025-05-12,491.15,500.0,483.69,493.92,506800
2025-05-13,493.46,496.51,489.63,493.17,313700
2025-05-14,491.8,493.72,486.73,491.11,410100
2025-05-15,492.61,497.64,490.93,496.2,263000
2025-05-16,496.4,499.43,493.27,499.17,340500
2025-05-19,495.81,497.83,494.09,497.04,253700
2025-05-20,496.39,496.39,491.28,495.44,385000
2025-05-21,494.47,496.87,487.69,489.23,366200
2025-05-22,489.42,490.06,483.23,488.04,179600
2025-05-23,484.83,487.99,483.23,486.22,156300
2025-05-27,491.46,495.69,488.01,494.95,176600
2025-05-28,495.29,498.4,493.72,496.24,441800
